occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
a47e6b39fde96a8ce347e31166b01a8df7ad00b4,aa682195882b8e6007dcb4952d4c6f36c336bb83,22a6d9c02eb5fb3d973dc8bc49258b0b,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,markdown-here::::src/firefox/chrome/locale/es/strings.properties::::options_page__gfm_line_breaks_enabled_label::::<b>Enable GFM line breaks.</b> <-> markdown-here::::src/firefox/chrome/locale/ru/strings.properties::::options_page__gfm_line_breaks_enabled_label::::<b>Enable GFM line breaks.</b>,src/firefox/chrome/locale/es/strings.properties,"markdown-here::::src/firefox/chrome/locale/es/strings.properties::::options_page__gfm_line_breaks_enabled_label(location: section: dummy_section, option: options_page__gfm_line_breaks_enabled_label)",git show a47e6b39fde96a8ce347e31166b01a8df7ad00b4 -- src/firefox/chrome/locale/es/strings.properties
38565f846515b187988dd6830e6f32da7c175b21,1258c9e8c069a0da594a0b00513a79d54817baa4,8b58c8e763094c119ac57a8fc0f248d1,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"markdown-here::::src/firefox/chrome/locale/en/strings.properties::::options_page__tex_math_customization_5_1::::<code>{mathcode}</code>: The text between the <code>$</code> symbols — i.e., the raw TeX formula; like <code>\\Delta</code>. <-> markdown-here::::src/firefox/chrome/locale/ru/strings.properties::::options_page__tex_math_customization_5_1::::<code>{mathcode}</code>: The text between the <code>$</code> symbols — i.e., the raw TeX formula; like <code>\\Delta</code>.",src/firefox/chrome/locale/ru/strings.properties,"markdown-here::::src/firefox/chrome/locale/ru/strings.properties::::options_page__tex_math_customization_5_1(location: section: dummy_section, option: options_page__tex_math_customization_5_1)",git show 38565f846515b187988dd6830e6f32da7c175b21 -- src/firefox/chrome/locale/ru/strings.properties
4a4a6c079bdc85caaf4d2b71b5c3806108754107,0e521196fdf2181c44c6f95dfb8efb309f229e29,6e9520a68a9ac7f063127ab9da3795e2,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,markdown-here::::src/firefox/chrome/locale/en/strings.properties::::options_page__reload_restart::::Reload your email web page or restart your web browser. <-> markdown-here::::src/firefox/chrome/locale/it/strings.properties::::options_page__reload_restart::::Reload your email web page or restart your web browser.,src/firefox/chrome/locale/en/strings.properties,"markdown-here::::src/firefox/chrome/locale/en/strings.properties::::options_page__reload_restart(location: section: dummy_section, option: options_page__reload_restart)",git show 4a4a6c079bdc85caaf4d2b71b5c3806108754107 -- src/firefox/chrome/locale/en/strings.properties
e8ab75ed88c5463f4f71e8a28099c4041cc2e2b5,629e689c10ec21c7fa93416b94371f4e24fa1fa2,168ab64765424c491015594a810e5e38,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,markdown-here::::src/firefox/chrome/locale/en/strings.properties::::upgrade_notification_changes_tooltip::::Click to the see the changes in this release <-> markdown-here::::src/firefox/chrome/locale/ja/strings.properties::::upgrade_notification_changes_tooltip::::Click to the see the changes in this release,src/firefox/chrome/locale/ja/strings.properties,"markdown-here::::src/firefox/chrome/locale/ja/strings.properties::::upgrade_notification_changes_tooltip(location: section: dummy_section, option: upgrade_notification_changes_tooltip)",git show e8ab75ed88c5463f4f71e8a28099c4041cc2e2b5 -- src/firefox/chrome/locale/ja/strings.properties
e8ab75ed88c5463f4f71e8a28099c4041cc2e2b5,629e689c10ec21c7fa93416b94371f4e24fa1fa2,8a9588f0f6fa16a407d887ca1b94c4c5,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"markdown-here::::src/firefox/chrome/locale/en/strings.properties::::options_page__footer_2::::Created by <a target=\""_blank\"" href=\""http://adam-p.github.com/\"">Adam Pritchard</a>. <-> markdown-here::::src/firefox/chrome/locale/ja/strings.properties::::options_page__footer_2::::Created by <a target=\""_blank\"" href=\""http://adam-p.github.com/\"">Adam Pritchard</a>.",src/firefox/chrome/locale/ja/strings.properties,"markdown-here::::src/firefox/chrome/locale/ja/strings.properties::::options_page__footer_2(location: section: dummy_section, option: options_page__footer_2)",git show e8ab75ed88c5463f4f71e8a28099c4041cc2e2b5 -- src/firefox/chrome/locale/ja/strings.properties
38565f846515b187988dd6830e6f32da7c175b21,1258c9e8c069a0da594a0b00513a79d54817baa4,e3bd5fcb70ca25de61091613cfc3c760,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,markdown-here::::src/firefox/chrome/locale/de/strings.properties::::options_page__gfm_line_breaks_enabled_label::::<b>Enable GFM line breaks.</b> <-> markdown-here::::src/firefox/chrome/locale/ru/strings.properties::::options_page__gfm_line_breaks_enabled_label::::<b>Enable GFM line breaks.</b>,src/firefox/chrome/locale/ru/strings.properties,"markdown-here::::src/firefox/chrome/locale/ru/strings.properties::::options_page__gfm_line_breaks_enabled_label(location: section: dummy_section, option: options_page__gfm_line_breaks_enabled_label)",git show 38565f846515b187988dd6830e6f32da7c175b21 -- src/firefox/chrome/locale/ru/strings.properties
9842b197601b96045b61e85a09520b18ac5018e7,0affcaf35016a18436960c7178c2ea1e61e4b532,129d12149d376295dcddb4b183c221d9,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"markdown-here::::src/firefox/chrome/locale/it/strings.properties::::options_page__preview_markdown::::```javascript<br>\nfunction syntaxHighlighting() {<br>\n&nbsp; var n = 33;<br>\n&nbsp; var s = \""hello, こんにちは\"";<br>\n&nbsp; console.log(s);<br>\n}<br>\n```<br>\n<br>\n* plain<br>\n* *emphasis*<br>\n&nbsp; * **strong emphasis**<br>\n&nbsp; &nbsp; * ~~strikethrough~~<br>\n* `inline code`<br>\n<br>\n1. Numbered list<br>\n2. [Link](https://www.google.com)<br>\n<br>\n<br>\nAn image: ![Markdown Here logo](http://adam-p.github.io/markdown-here/img/icon24.png)\n<br>\n<br>\n> Block quote.&nbsp; <br>\n> *With* **some** `markdown`.<br>\n<br>\nIf **TeX Math** support is enabled, this is the quadratic equation:&nbsp;<br>\n$-b \\pm \\sqrt{b^2 - 4ac} \\over 2a$<br>\n<br>\n# Header 1<br>\n## Header 2<br>\n### Header 3<br>\n#### Header 4<br>\n##### Header 5<br>\n###### Header 6<br>\n&nbsp; <br>\n| Tables        | Are           | Cool  |<br>\n| ------------- |:-------------:| -----:|<br>\n| column 3 is   | right-aligned | $1600 |<br>\n| column 2 is   | centered      |   $12 |<br>\n| zebra stripes | are neat      |    $1 |<br>\n<br>\nHere's a horizontal rule:<br>\n<br>\n---<br>\n<br>\n```<br>\ncode block<br>\nwith no highlighting<br>\n```<br>\n<br>\n <-> markdown-here::::src/firefox/chrome/locale/ko/strings.properties::::options_page__preview_markdown::::```javascript<br>\nfunction syntaxHighlighting() {<br>\n&nbsp; var n = 33;<br>\n&nbsp; var s = \""hello, こんにちは\"";<br>\n&nbsp; console.log(s);<br>\n}<br>\n```<br>\n<br>\n* plain<br>\n* *emphasis*<br>\n&nbsp; * **strong emphasis**<br>\n&nbsp; &nbsp; * ~~strikethrough~~<br>\n* `inline code`<br>\n<br>\n1. Numbered list<br>\n2. [Link](https://www.google.com)<br>\n<br>\n<br>\nAn image: ![Markdown Here logo](http://adam-p.github.io/markdown-here/img/icon24.png)\n<br>\n<br>\n> Block quote.&nbsp; <br>\n> *With* **some** `markdown`.<br>\n<br>\nIf **TeX Math** support is enabled, this is the quadratic equation:&nbsp;<br>\n$-b \\pm \\sqrt{b^2 - 4ac} \\over 2a$<br>\n<br>\n# Header 1<br>\n## Header 2<br>\n### Header 3<br>\n#### Header 4<br>\n##### Header 5<br>\n###### Header 6<br>\n&nbsp; <br>\n| Tables        | Are           | Cool  |<br>\n| ------------- |:-------------:| -----:|<br>\n| column 3 is   | right-aligned | $1600 |<br>\n| column 2 is   | centered      |   $12 |<br>\n| zebra stripes | are neat      |    $1 |<br>\n<br>\nHere's a horizontal rule:<br>\n<br>\n---<br>\n<br>\n```<br>\ncode block<br>\nwith no highlighting<br>\n```<br>\n<br>\n",src/firefox/chrome/locale/it/strings.properties,"markdown-here::::src/firefox/chrome/locale/it/strings.properties::::options_page__preview_markdown(location: section: dummy_section, option: options_page__preview_markdown)",git show 9842b197601b96045b61e85a09520b18ac5018e7 -- src/firefox/chrome/locale/it/strings.properties
38565f846515b187988dd6830e6f32da7c175b21,1258c9e8c069a0da594a0b00513a79d54817baa4,cf9c71be28b7f841438c51e4ae08144f,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,markdown-here::::src/firefox/chrome/locale/ko/strings.properties::::new_changelist_items::::NEW <-> markdown-here::::src/firefox/chrome/locale/zh_TW/strings.properties::::new_changelist_items::::NEW,src/firefox/chrome/locale/zh_TW/strings.properties,"markdown-here::::src/firefox/chrome/locale/zh_TW/strings.properties::::new_changelist_items(location: section: dummy_section, option: new_changelist_items)",git show 38565f846515b187988dd6830e6f32da7c175b21 -- src/firefox/chrome/locale/zh_TW/strings.properties
38565f846515b187988dd6830e6f32da7c175b21,1258c9e8c069a0da594a0b00513a79d54817baa4,3c77f1a663b8e4b1adb1d0a55d3f24f1,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"markdown-here::::src/firefox/chrome/locale/ko/strings.properties::::options_page__tex_math_privacy_issue_2::::If you customize the formula rendering tag, you should use a secure (https://) path. Not all rendering services provide a secure option. <-> markdown-here::::src/firefox/chrome/locale/ru/strings.properties::::options_page__tex_math_privacy_issue_2::::If you customize the formula rendering tag, you should use a secure (https://) path. Not all rendering services provide a secure option.",src/firefox/chrome/locale/ru/strings.properties,"markdown-here::::src/firefox/chrome/locale/ru/strings.properties::::options_page__tex_math_privacy_issue_2(location: section: dummy_section, option: options_page__tex_math_privacy_issue_2)",git show 38565f846515b187988dd6830e6f32da7c175b21 -- src/firefox/chrome/locale/ru/strings.properties
e8ab75ed88c5463f4f71e8a28099c4041cc2e2b5,629e689c10ec21c7fa93416b94371f4e24fa1fa2,29681d6f52464cc2e8aa151bf5cc4cf8,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,markdown-here::::src/firefox/chrome/locale/en/strings.properties::::toggle_button_tooltip::::Click to toggle Markdown rendering <-> markdown-here::::src/firefox/chrome/locale/ja/strings.properties::::toggle_button_tooltip::::Click to toggle Markdown rendering,src/firefox/chrome/locale/ja/strings.properties,"markdown-here::::src/firefox/chrome/locale/ja/strings.properties::::toggle_button_tooltip(location: section: dummy_section, option: toggle_button_tooltip)",git show e8ab75ed88c5463f4f71e8a28099c4041cc2e2b5 -- src/firefox/chrome/locale/ja/strings.properties
a47e6b39fde96a8ce347e31166b01a8df7ad00b4,aa682195882b8e6007dcb4952d4c6f36c336bb83,1d2f3503a807163176f58f2bf45ad686,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,markdown-here::::src/firefox/chrome/locale/en/strings.properties::::options_page__markdown_toggle_button_text::::Markdown Toggle <-> markdown-here::::src/firefox/chrome/locale/es/strings.properties::::options_page__markdown_toggle_button_text::::Markdown Toggle,src/firefox/chrome/locale/es/strings.properties,"markdown-here::::src/firefox/chrome/locale/es/strings.properties::::options_page__markdown_toggle_button_text(location: section: dummy_section, option: options_page__markdown_toggle_button_text)",git show a47e6b39fde96a8ce347e31166b01a8df7ad00b4 -- src/firefox/chrome/locale/es/strings.properties
c56dc33b8a1b094cab25bf6c9eaad7eda9fc9874,df6de9e83fa40ad64f6750a12e1a7c8cb40ad463,3c5a893b8fff7b98de683050ecd6de44,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,markdown-here::::src/firefox/chrome/locale/de/strings.properties::::upgrade_notification_changes_tooltip::::Click to see the changes in this release <-> markdown-here::::src/firefox/chrome/locale/ko/strings.properties::::upgrade_notification_changes_tooltip::::Click to see the changes in this release,src/firefox/chrome/locale/de/strings.properties,"markdown-here::::src/firefox/chrome/locale/de/strings.properties::::upgrade_notification_changes_tooltip(location: section: dummy_section, option: upgrade_notification_changes_tooltip)",git show c56dc33b8a1b094cab25bf6c9eaad7eda9fc9874 -- src/firefox/chrome/locale/de/strings.properties
38565f846515b187988dd6830e6f32da7c175b21,1258c9e8c069a0da594a0b00513a79d54817baa4,6c182dd0bf760dadd57122daa6403214,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"markdown-here::::src/firefox/chrome/locale/ko/strings.properties::::options_page__header_anchors_enabled_2::::It's disabled by default because it <a href=\""https://github.com/adam-p/markdown-here/issues/155\"" target=\""_blank\"">creates visual noise in Thunderbird</a>. (And most people probably won't use the feature.) <-> markdown-here::::src/firefox/chrome/locale/ru/strings.properties::::options_page__header_anchors_enabled_2::::It's disabled by default because it <a href=\""https://github.com/adam-p/markdown-here/issues/155\"" target=\""_blank\"">creates visual noise in Thunderbird</a>. (And most people probably won't use the feature.)",src/firefox/chrome/locale/ru/strings.properties,"markdown-here::::src/firefox/chrome/locale/ru/strings.properties::::options_page__header_anchors_enabled_2(location: section: dummy_section, option: options_page__header_anchors_enabled_2)",git show 38565f846515b187988dd6830e6f32da7c175b21 -- src/firefox/chrome/locale/ru/strings.properties
