occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
9c47d0f5b832684eeb1457bc7dc4480993935743,48d3277c0ff0b95e28bc18f70dcb8a5e0dfa04ae,13215f5070ab27e47ef3f4684267e519,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,moby::::Dockerfile::::env::::components::::1 <-> moby::::api/swagger.yaml::::paths::::/info::::get::::responses::::200::::examples::::application/json::::ContainersPaused::::1,,,
9c47d0f5b832684eeb1457bc7dc4480993935743,48d3277c0ff0b95e28bc18f70dcb8a5e0dfa04ae,415ed03d27bf4e247b67b1def6db1216,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,moby::::Dockerfile::::env::::components::::1 <-> moby::::api/swagger.yaml::::paths::::/swarm::::get::::responses::::200::::schema::::example::::Spec::::Raft::::HeartbeatTick::::1,,,
f088cb56b5950a160d71d4739549c80f224c0093,4d19f08b6ded0b13362f72610e6fbc1d16a953c8,f03638d1fd0f2e9153b21cf9c80d6386,MissingArtifactConflict,ConfigType.PATH<->ConfigType.UNKNOWN,moby::::Dockerfile::::file::::Dockerfile <-> moby::::vendor/src/github.com/docker/notary/development.yml::::client::::dockerfile::::Dockerfile,,,
40f890e1df92886f59e78a4709c659feae5dbd58,ec33ff2d142f37c7e0ccf408d0fa914776e1d97f,d5f1688c2e2f1579ebf591dd5760f6c8,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,moby::::.travis.yml::::language::::go <-> moby::::vendor/src/github.com/docker/libcontainer/Dockerfile::::cmd::::param0::::go,vendor/src/github.com/docker/libcontainer/Dockerfile,moby::::vendor/src/github.com/docker/libcontainer/Dockerfile::::cmd::::param0(location: 23),git show 40f890e1df92886f59e78a4709c659feae5dbd58 -- vendor/src/github.com/docker/libcontainer/Dockerfile
7acd3de972d48870ead32a560143eed10c220bb7,dad0c812361c58e38ffcc08a3ae44c3a39debfbc,05b6ea7103fa56f7ea809ccac4adad90,MissingArtifactConflict,ConfigType.PATH<->ConfigType.UNKNOWN,moby::::Dockerfile::::file::::Dockerfile <-> moby::::vendor/src/github.com/docker/notary/development.rethink.yml::::services::::client::::build::::dockerfile::::Dockerfile,,,
27655a95d866994bece70459c0236ce27fbfd65d,101b08b969863bd276e73b4b529d49d13cd1a355,e8870925f8adfbd034bdb59a723759d7,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,moby::::docs/sources/dotcloud.yml::::www::::type::::static <-> moby::::docs/website/dotcloud.yml::::www::::type::::static,,,
9c47d0f5b832684eeb1457bc7dc4480993935743,48d3277c0ff0b95e28bc18f70dcb8a5e0dfa04ae,692dc0ae0e5b62942fea3fe815de6219,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,moby::::Dockerfile::::env::::components::::1 <-> moby::::api/swagger.yaml::::definitions::::SwarmSpec::::example::::Raft::::HeartbeatTick::::1,,,
f3a34acfeab83ac7c3d6e660ce812635a89da3fb,dade85c448b5381145259253b153fa1149942f85,6192f03aba52224ceca2732c0b95b556,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,moby::::.drone.yml::::script::::hack/dind <-> moby::::builder/parser/testfiles/docker/Dockerfile::::entrypoint::::param0::::hack/dind,,,
ded50ac150f8ebe5a1d1c92e9123b445b2934a6d,3e7513fa5cb16813416b9b157ae05bce2089e16a,ec94de47377653ad082bf8a4b914fdb2,MissingArtifactConflict,ConfigType.PATH<->ConfigType.UNKNOWN,moby::::Dockerfile::::file::::Dockerfile <-> moby::::docs/mkdocs.yml::::pages::::Dockerfile,,,
174c0bdace2efa6ebaee5e523ec456756b96fbe3,a3d651d75b0b6902a2f87dee85721b72ffd5314d,faba2a08475a656d0fcfc6060c5b7f30,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,moby::::Dockerfile::::env::::components::::1 <-> moby::::api/swagger.yaml::::paths::::/services/{id}/update::::post::::parameters::::parameters_1::::schema::::allOf::::allOf_1::::example::::UpdateConfig::::Parallelism::::1,api/swagger.yaml,moby::::api/swagger.yaml::::paths::::/services/{id}/update::::post::::parameters::::parameters_1::::schema::::allOf::::allOf_1::::example::::UpdateConfig::::Parallelism(location: 7608),git show 174c0bdace2efa6ebaee5e523ec456756b96fbe3 -- api/swagger.yaml
7acd3de972d48870ead32a560143eed10c220bb7,dad0c812361c58e38ffcc08a3ae44c3a39debfbc,5342c95cf591df100a64ad1bed30d6c6,MissingArtifactConflict,ConfigType.PATH<->ConfigType.UNKNOWN,moby::::Dockerfile::::file::::Dockerfile <-> moby::::vendor/src/github.com/docker/notary/development.mysql.yml::::services::::client::::build::::dockerfile::::Dockerfile,,,
6b778f292fbcdca82b65b58b1bb295442654eeb8,82af2a9d0f3c2518e431567f28d5a1b8e01348b4,054bac2d978542b686e6c0933ade28eb,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,moby::::Dockerfile::::env::::components::::1 <-> moby::::docs/api/v1.38.yaml::::paths::::/services/create::::post::::parameters::::parameters_0::::schema::::allOf::::allOf_1::::example::::RollbackConfig::::Parallelism::::1,,,
