occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
819722ad5022435ecffa377835403659b0de37d6,56e7143e7811ae7aa5747ef837fd5f57abb858f2,0d51f826117133f5e3183c7374e9c24e,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,protobuf::::java/util/pom.xml::::project::::profiles::::profile_release::::distributionManagement::::repository_sonatype-nexus-staging::::url::::https://oss.sonatype.org/service/local/staging/deploy/maven2/ <-> protobuf::::javanano/pom.xml::::project::::profiles::::profile_release::::distributionManagement::::repository_sonatype-nexus-staging::::url::::https://oss.sonatype.org/service/local/staging/deploy/maven2/,,,
bfb70e2f406973353b9d2327495ef49e7907f326,97273f0f3a192b3e78b3e8f87583ee5d9f5672d6,f39247da4febb0a75cdd92558b31d68c,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,protobuf::::java/kotlin-lite/pom.xml::::project::::dependencies::::dependency_com.google.guava/guava::::scope::::test <-> protobuf::::java/kotlin/pom.xml::::project::::dependencies::::dependency_org.easymock/easymockclassextension::::scope::::test,,,
af86aab66e40df8940d0a06054b9798beb53a0e3,8f311e11c0cb1d0ed9372cf996bf6521cda929c7,98f719d99a92d3e83830d2c448d154a1,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.UNKNOWN,protobuf::::js/package.json::::version::::version:3.11.4 <-> protobuf::::protoc-artifacts/pom.xml::::project::::version::::version:3.11.4,protoc-artifacts/pom.xml,protobuf::::protoc-artifacts/pom.xml::::project::::version(location: 11),git show af86aab66e40df8940d0a06054b9798beb53a0e3 -- protoc-artifacts/pom.xml
819722ad5022435ecffa377835403659b0de37d6,56e7143e7811ae7aa5747ef837fd5f57abb858f2,27393ca8acfbc35ff287f8fdb0abf300,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,protobuf::::java/util/pom.xml::::project::::inceptionYear::::2008 <-> protobuf::::javanano/pom.xml::::project::::inceptionYear::::2008,,,
819722ad5022435ecffa377835403659b0de37d6,56e7143e7811ae7aa5747ef837fd5f57abb858f2,e04d45265128000328651b95ad27cbbd,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,protobuf::::java/util/pom.xml::::project::::build::::plugins::::plugin_maven-surefire-plugin::::configuration::::includes::::include_**/*Test.java::::**/*Test.java <-> protobuf::::javanano/pom.xml::::project::::build::::plugins::::plugin_maven-surefire-plugin::::configuration::::includes::::include_**/*Test.java::::**/*Test.java,,,
819722ad5022435ecffa377835403659b0de37d6,56e7143e7811ae7aa5747ef837fd5f57abb858f2,46e2e2bb0c6d0332f96f69fb4b27386a,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,protobuf::::java/pom.xml::::project::::build::::plugins::::plugin_maven-antrun-plugin::::executions::::execution_generate-test-sources::::configuration::::tasks::::mkdir::::dir::::target/generated-test-sources <-> protobuf::::javanano/pom.xml::::project::::build::::plugins::::plugin_maven-antrun-plugin::::executions::::execution_generate-test-sources::::configuration::::tasks::::mkdir::::dir::::target/generated-test-sources,,,
819722ad5022435ecffa377835403659b0de37d6,56e7143e7811ae7aa5747ef837fd5f57abb858f2,ba0f52c1f2ce3b96f2b85d8d464bd32f,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,protobuf::::java/util/pom.xml::::project::::dependencies::::dependency_org.easymock/easymock::::version::::version:2.2 <-> protobuf::::javanano/pom.xml::::project::::dependencies::::dependency_org.easymock/easymock::::version::::version:2.2,,,
d3928a86ed85353bb3e68025d5a870b4a1da0c18,ac338041bf3b98c40e8e58b04df7c9737b75d7a6,ebf6b0c14c3a7ea8c0884d98ec202094,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,protobuf::::java/core/pom.xml::::project::::build::::testResources::::testResource::::directory::::${protobuf.source.dir} <-> protobuf::::java/kotlin-lite/pom.xml::::project::::build::::resources::::resource::::directory::::${protobuf.source.dir},,,
819722ad5022435ecffa377835403659b0de37d6,56e7143e7811ae7aa5747ef837fd5f57abb858f2,6a99be7870c9c0c05458990af2f2abfa,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,protobuf::::java/util/pom.xml::::project::::profiles::::profile_release::::build::::plugins::::plugin_org.apache.maven.plugins/maven-gpg-plugin::::executions::::execution_sign-artifacts::::phase::::verify <-> protobuf::::javanano/pom.xml::::project::::profiles::::profile_release::::build::::plugins::::plugin_org.apache.maven.plugins/maven-gpg-plugin::::executions::::execution_sign-artifacts::::phase::::verify,,,
819722ad5022435ecffa377835403659b0de37d6,56e7143e7811ae7aa5747ef837fd5f57abb858f2,4b6d617d2767b888507ab3c830c18fc3,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"protobuf::::java/util/pom.xml::::project::::description::::Protocol Buffers are a way of encoding structured data in an efficient yet
    extensible format. <-> protobuf::::javanano/pom.xml::::project::::description::::Protocol Buffers are a way of encoding structured data in an efficient yet
    extensible format.",java/util/pom.xml,protobuf::::java/util/pom.xml::::project::::description(location: 16),git show 819722ad5022435ecffa377835403659b0de37d6 -- java/util/pom.xml
