occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
601bc406851ea0793f37c6a84a7f1661dbd3ac06,5971d2f8a908765cedb95ae38b867358d152a082,38053add30150c1d64b063cc2278a80a,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,react::::.circleci/config.yml::::jobs::::build::::environment::::TRAVIS_REPO_SLUG::::facebook/react <-> react::::packages/schedule/package.json::::repository::::facebook/react,,,
076833f54f4f57f276983620dd10f113e78fbe96,3c2d731234783038b2b4f8db8adcd9dc2b0fa62b,d5db52fc200426918dd82776197db343,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,react::::circle.yml::::machine::::environment::::TRAVIS_REPO_SLUG::::facebook/react <-> react::::packages/react-test-renderer/package.json::::repository::::facebook/react,,,
b24830109560d7bb4ff141764662ddcdc9d8b92d,ea7238966deb72d764dce344e8dd19aeb6a63cc4,134116a3e1e34a5ed93f798a4f0a2209,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,react::::fixtures/dom/package.json::::dependencies::::prop-types::::prop-types:^15.6.0 <-> react::::packages/react-dom/package.json::::dependencies::::prop-types::::prop-types:^15.6.0,packages/react-dom/package.json,react::::packages/react-dom/package.json::::dependencies::::prop-types(location: 18),git show b24830109560d7bb4ff141764662ddcdc9d8b92d -- packages/react-dom/package.json
22f54af45828a4380f2af47df3436a490979b33b,bb8977239d86da8a262881130fb0d2e7f89fdb46,31447d03f6e7d99fc76c7a6062f4bbfc,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,react::::examples/todomvc-flux/package.json::::devDependencies::::envify::::envify:~1.2.0 <-> react::::npm-react/package.json::::peerDependencies::::envify::::envify:~1.2.0,,,
a1a97ff8fd152d0971e4555632e77a43b3e1a717,754d1c1a33202c76e751a3eb0a49fab9df9fb6ab,7718dd2645bcda6c888d101fc7bdb585,MissingArtifactConflict,ConfigType.COMMAND<->ConfigType.COMMAND,react::::fixtures/dom/package.json::::scripts::::start::::react-scripts start <-> react::::fixtures/suspense/io/package.json::::scripts::::start::::react-scripts start,,,
16b7a87eef1611391e97fcdd0f4e22e306e9faac,1090cda9bf11c00c08eac87b2350d32ecbea2a78,05d9bb176ac4770c67180151e17cb09f,MissingArtifactConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,react::::fixtures/eslint/proxy/package.json::::version::::version:0.0.0 <-> react::::packages/events/package.json::::version::::version:0.0.0,,,
763cf65eab1509d5ec15d79a018396c79a3b650d,b9343534f3d19451a0593812b5a82594e54275f6,0da2f17927c9f3899f4df6624035d0b9,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,react::::packages/react-call-return/package.json::::peerDependencies::::react::::react:^16.0.0 || 16.3.0-alpha.3 <-> react::::packages/react-is/package.json::::peerDependencies::::react::::react:^16.0.0 || 16.3.0-alpha.3,,,
7ba88d7d910238082b24bf5dfb5d00aca5840a19,18073e26e7945cf603b83edc669b702e33a0f2c8,dc99595a5eb3d44902d324d6ccbf578b,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,react::::fixtures/unstable-async/suspense/package.json::::dependencies::::react-dom::::react-dom:../../../build/node_modules/react-dom <-> react::::fixtures/unstable-async/time-slicing/package.json::::dependencies::::react-dom::::react-dom:../../../build/node_modules/react-dom,,,
3402b69b112db3ff1b1307262c98f5c5c12743fc,1012ef995b4e227edc08a148f09538f14cea7ccc,dae19c827d36425758ba641b9dac0919,MissingArtifactConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,react::::fixtures/concurrent/time-slicing/package.json::::version::::version:0.1.0 <-> react::::packages/react-flight/package.json::::version::::version:0.1.0,,,
379e75b6a47c145f24ccc39b356784ab1e6a4881,227eb33e89ea2974d2c7ef79052b1a3c5afa839d,2fe5761fb78e74f9adf8865410afb32e,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.PATH,react::::.circleci/config.yml::::jobs::::RELEASE_CHANNEL_stable_yarn_build::::steps::::steps_3::::persist_to_workspace::::paths::::dist <-> react::::packages/react-devtools-shared/src/node_modules/react-window/package.json::::files::::files/dist::::dist,,,
13ae2fea1119daf4d46cc5c1ead20e90b3812f73,5ef0d4f5b87110278140e96115d2b034f7803556,b5c38f77f2ad114584d79644cdd7c5bd,MissingArtifactConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,react::::fixtures/eslint/proxy/package.json::::version::::version:0.0.0 <-> react::::packages/react-devtools-shared/package.json::::version::::version:0.0.0,,,
