occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
6ec1e6e6a506c0eee33d323cb83e2e21846e687f,0aa6a22e95b29d46064eb67d12f1cd22670ec4c9,2e9e477a89e2c419a0478da2cf9d792c,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,redis::::.github/workflows/ci.yml::::jobs::::build-ubuntu-old::::steps::::steps_1::::name::::make <-> redis::::.github/workflows/daily.yml::::jobs::::test-ubuntu-tls::::steps::::steps_2::::name::::make,,,
75ce64ad064dc4782435ba77e30e512ee7bcc859,fc551d21644053a52dad5a04478b84e0fdd5441f,1de19f8510e250926d57e5cfcbb5d570,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,redis::::.github/workflows/ci.yml::::jobs::::test-ubuntu-latest::::steps::::steps_3::::run::::./runtest-moduleapi --verbose <-> redis::::.github/workflows/daily.yml::::jobs::::test-centos6-jemalloc::::steps::::steps_3::::run::::./runtest-moduleapi --verbose,,,
0b3bfbaf26d9ffc2fbd2596c91258904ad745205,05764394d07935b726cb7fc89191dcbf5f0243bb,6fdab9e7552a87ce9c86c392a3415d7f,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,redis::::.github/workflows/ci.yml::::jobs::::test-ubuntu-latest::::steps::::steps_2::::name::::test <-> redis::::.github/workflows/daily.yml::::jobs::::test-jemalloc::::steps::::steps_2::::name::::test,,,
0dd6478f403d03043362ba7bfa25b1c60ae4e1fa,41272b2d30b31a92f846f3c3d77a7d4ee30b009d,f21d10606d299ab2cfa33bae903fde3f,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,redis::::.github/workflows/ci.yml::::jobs::::build-freebsd::::steps::::steps_0::::uses::::actions/checkout@v2 <-> redis::::.github/workflows/daily.yml::::jobs::::test-valgrind::::steps::::steps_0::::uses::::actions/checkout@v2,,,
a110325e85c1c8dc6eede9039594910f10ab8db7,735da13cb25756cb9ede188536cc9535f3da6117,7e9b6563146d7870544ffce2aebdae79,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,redis::::.github/workflows/ci.yml::::jobs::::build-32bit::::runs-on::::ubuntu-latest <-> redis::::.github/workflows/daily.yml::::jobs::::test-ubuntu-32bit::::runs-on::::ubuntu-latest,,,
a110325e85c1c8dc6eede9039594910f10ab8db7,735da13cb25756cb9ede188536cc9535f3da6117,53c71c97bbd3d3c16458d81e668469fd,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,redis::::.github/workflows/ci.yml::::jobs::::test-ubuntu-latest::::steps::::steps_3::::name::::module api test <-> redis::::.github/workflows/daily.yml::::jobs::::test-ubuntu-32bit::::steps::::steps_4::::name::::module api test,,,
11b6d529f178fed03fd165922e1b0cdd4170a791,2e52a531c77230d2da7d5f6555f51fda43d47c84,e70763f8814a7fa2eea38a0df835f2da,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,redis::::deps/hiredis/.travis.yml::::matrix::::include::::os/linux::::os::::linux <-> redis::::deps/jemalloc/.travis.yml::::matrix::::include::::os/linux::::os::::linux,,,
a110325e85c1c8dc6eede9039594910f10ab8db7,735da13cb25756cb9ede188536cc9535f3da6117,8f7c16f4c636e3ad7fb7b5242e10c09d,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,redis::::.github/workflows/ci.yml::::jobs::::test-ubuntu-latest::::steps::::steps_2::::name::::test <-> redis::::.github/workflows/daily.yml::::jobs::::test-centos7-jemalloc::::steps::::steps_3::::name::::test,,,
75ce64ad064dc4782435ba77e30e512ee7bcc859,fc551d21644053a52dad5a04478b84e0fdd5441f,16e5d46e03a60d05ad32c193d306d9fa,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,redis::::.github/workflows/ci.yml::::jobs::::build-macos-latest::::steps::::steps_1::::name::::make <-> redis::::.github/workflows/daily.yml::::jobs::::test-centos6-jemalloc::::steps::::steps_1::::name::::make,,,
23412e88278cfb9b0befb5a83c174924ab5d7a1a,42fdecc7ee97feaf2cd7aef1262baff150028483,3b51d91f2b8fdda44fed1d5af3b89efd,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,redis::::deps/hiredis/.travis.yml::::os::::osx <-> redis::::deps/jemalloc/.travis.yml::::matrix::::include::::os/osx::::os::::osx,,,
