occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
3eeffd097b17e81dec99e98633110d93e9ae66a3,ee723843db6e132fb1e574ef7594487962185d3d,bca62d86ed998cef4a47bb1edc2f9057,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,redux::::examples/async/package.json::::dependencies::::react::::react:^16.8.6 <-> redux::::examples/counter/package.json::::dependencies::::react::::react:^16.8.6,examples/async/package.json,redux::::examples/async/package.json::::dependencies::::react(location: 10),git show 3eeffd097b17e81dec99e98633110d93e9ae66a3 -- examples/async/package.json
41d6f3da5ce627ef1c4fb048bb8acd35698b4284,59c97df5301d4046b906d59958be14b2f9dfbc9f,c985d63bbb93e8eb410884482d949877,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,redux::::examples/todos-flow/package.json::::devDependencies::::enzyme::::enzyme:^2.4.1 <-> redux::::examples/todos/package.json::::devDependencies::::enzyme::::enzyme:^2.4.1,examples/todos-flow/package.json,redux::::examples/todos-flow/package.json::::devDependencies::::enzyme(location: 6),git show 41d6f3da5ce627ef1c4fb048bb8acd35698b4284 -- examples/todos-flow/package.json
fcbec7ef6a7dba5ae71816cacfac1945c8514c7f,48cc10349db6ec983fec6cfed42d0ccec6084283,9e7faaf685ffb2039725314bb44cd3bf,ModifiedOptionConflict,ConfigType.COMMAND<->ConfigType.COMMAND,redux::::examples/shopping-cart/package.json::::scripts::::test::::react-scripts test <-> redux::::examples/todos-flow/package.json::::scripts::::test::::react-scripts test,examples/todos-flow/package.json,redux::::examples/todos-flow/package.json::::scripts::::test(location: 24),git show fcbec7ef6a7dba5ae71816cacfac1945c8514c7f -- examples/todos-flow/package.json
bf88ea217de13c71a2eb1aa4916925c12baac19b,a631a82f3daad303b7df31c75a56f2f75829ab6e,55e7955afbb3a3e8d5c70bd7f65854a9,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,redux::::examples/tree-view/package.json::::devDependencies::::babel-preset-react-hmre::::babel-preset-react-hmre:^1.1.1 <-> redux::::examples/universal/package.json::::devDependencies::::babel-preset-react-hmre::::babel-preset-react-hmre:^1.1.1,,,
bf88ea217de13c71a2eb1aa4916925c12baac19b,a631a82f3daad303b7df31c75a56f2f75829ab6e,5c9131f86a2ca286c58a0aa2c94a7fc2,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,redux::::examples/real-world/package.json::::devDependencies::::babel-core::::babel-core:^6.3.15 <-> redux::::package.json::::devDependencies::::babel-core::::babel-core:^6.3.15,,,
761fe1534f5fa1321259457b9022b7d2fd6099ad,37183e282053725d6ca9eb508283dbaf02c2c29f,3c862eda35e80b9a68594b7baf043f36,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,redux::::examples/todomvc/package.json::::dependencies::::react::::react:^16.8.6 <-> redux::::examples/universal/package.json::::dependencies::::react::::react:^16.8.6,examples/todomvc/package.json,redux::::examples/todomvc/package.json::::dependencies::::react(location: 12),git show 761fe1534f5fa1321259457b9022b7d2fd6099ad -- examples/todomvc/package.json
bf88ea217de13c71a2eb1aa4916925c12baac19b,a631a82f3daad303b7df31c75a56f2f75829ab6e,9369057cd0a8dbcf427053846a4f4d7b,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,redux::::examples/counter/package.json::::dependencies::::react::::react:^0.14.7 <-> redux::::examples/universal/package.json::::dependencies::::react::::react:^0.14.7,examples/counter/package.json,redux::::examples/counter/package.json::::dependencies::::react(location: 11),git show bf88ea217de13c71a2eb1aa4916925c12baac19b -- examples/counter/package.json
bf88ea217de13c71a2eb1aa4916925c12baac19b,a631a82f3daad303b7df31c75a56f2f75829ab6e,b947ac646370ff0eda36bb93f6915b75,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,redux::::examples/shopping-cart/package.json::::repository::::type::::git <-> redux::::package.json::::repository::::type::::git,,,
bf88ea217de13c71a2eb1aa4916925c12baac19b,a631a82f3daad303b7df31c75a56f2f75829ab6e,18b12c00cff89aca717dffe83e874dc3,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,redux::::examples/counter/package.json::::dependencies::::react-dom::::react-dom:^0.14.7 <-> redux::::examples/universal/package.json::::dependencies::::react-dom::::react-dom:^0.14.7,examples/counter/package.json,redux::::examples/counter/package.json::::dependencies::::react-dom(location: 12),git show bf88ea217de13c71a2eb1aa4916925c12baac19b -- examples/counter/package.json
bf88ea217de13c71a2eb1aa4916925c12baac19b,a631a82f3daad303b7df31c75a56f2f75829ab6e,a6c808052dc9931ca0a683fcde14170f,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,redux::::examples/counter/package.json::::devDependencies::::babel-preset-react::::babel-preset-react:^6.3.13 <-> redux::::examples/universal/package.json::::devDependencies::::babel-preset-react::::babel-preset-react:^6.3.13,,,
