occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
1d1c335dadd1888831953819958e4475f9814836,7617c169a97762a638f9ed017da0c37eee33ce06,2054d0cef2bca726c18f17016381c562,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,svelte::::package.json::::devDependencies::::mocha::::mocha:^6.2.0 <-> svelte::::site/package.json::::devDependencies::::mocha::::mocha:^6.2.0,package.json,svelte::::package.json::::devDependencies::::mocha(location: 86),git show 1d1c335dadd1888831953819958e4475f9814836 -- package.json
8b121644733ea9151525ce6a2ce0c2ccb07351a4,8bb840412ef03c08088b0baa89aad7aa27705c74,f32736fc7e73ad133054e5821929ac8e,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,svelte::::package.json::::devDependencies::::rollup-plugin-replace::::rollup-plugin-replace:^2.0.0 <-> svelte::::site/package.json::::devDependencies::::rollup-plugin-replace::::rollup-plugin-replace:^2.0.0,site/package.json,svelte::::site/package.json::::devDependencies::::rollup-plugin-replace(location: 52),git show 8b121644733ea9151525ce6a2ce0c2ccb07351a4 -- site/package.json
52eccbbe87b81797f572dedb9065345cbcf5546e,05e2130d05d7d249eaf597da1f3c4cd6943fbb05,5be73b81445587b5d09304c86fcc5d00,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,svelte::::.github/workflows/ci.yml::::jobs::::Tests::::steps::::steps_3::::run::::npm install <-> svelte::::site/.travis.yml::::install::::npm install,,,
52eccbbe87b81797f572dedb9065345cbcf5546e,05e2130d05d7d249eaf597da1f3c4cd6943fbb05,ce0f29597d30718a218411591c71b763,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,svelte::::.github/workflows/ci.yml::::jobs::::Tests::::steps::::steps_0::::run::::git config --global core.autocrlf false <-> svelte::::site/appveyor.yml::::init::::git config --global core.autocrlf false,,,
0a1f5993210a628357a7dfe2e5cc06101e4ed6fb,b4d5dea73fec818a39236e9e95d25e247d36b307,802bcb531855a2234173f361ae25676e,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,svelte::::.github/workflows/ci.yml::::jobs::::Tests::::steps::::steps_2::::run::::npm install <-> svelte::::site/appveyor.yml::::install::::npm install,,,
8e30ade0ccd346f3ed7576855c2994f7dd0d2c91,8d7853ad7a004bba1620d64dbdc9128c86e02469,e2f31b59c67006d9cf5eae101d4f46e3,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,svelte::::package.json::::devDependencies::::rollup::::rollup:^1.1.2 <-> svelte::::site/package.json::::devDependencies::::rollup::::rollup:^1.1.2,site/package.json,svelte::::site/package.json::::devDependencies::::rollup(location: 47),git show 8e30ade0ccd346f3ed7576855c2994f7dd0d2c91 -- site/package.json
590c77ebba900bdaceb303a3a2b70945f68165bd,d25c7070b3b9ed627ebabd5de2ffe6d2434674ce,af654f6d30961691c257d37f9ef5db51,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,svelte::::.github/workflows/ci.yml::::jobs::::Tests::::steps::::steps_2::::run::::npm install <-> svelte::::site/.travis.yml::::install::::npm install,,,
176096231be2b4fb13b991426264ec67e6bc78d9,0e9039973e99390abeca6cbb01151c1459ce8926,bb9549f15da3f7d9293bae5f3f240a94,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,svelte::::.travis.yml::::node_js::::6 <-> svelte::::appveyor.yml::::environment::::matrix::::matrix_0::::nodejs_version::::6,,,
8e30ade0ccd346f3ed7576855c2994f7dd0d2c91,8d7853ad7a004bba1620d64dbdc9128c86e02469,8fe30fe2cbc96617394cc4c1f3b795b0,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,svelte::::package.json::::devDependencies::::rollup-plugin-node-resolve::::rollup-plugin-node-resolve:^4.0.0 <-> svelte::::site/package.json::::devDependencies::::rollup-plugin-node-resolve::::rollup-plugin-node-resolve:^4.0.0,site/package.json,svelte::::site/package.json::::devDependencies::::rollup-plugin-node-resolve(location: 51),git show 8e30ade0ccd346f3ed7576855c2994f7dd0d2c91 -- site/package.json
7c5d753d6bef3cfeeb1b921e91214e65c4e8b479,69f37834dc19b76f9a90b26ba23c48eff9e9b34f,83ee4268c8f32818d8a6ace25470f967,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,svelte::::.github/stale.yml::::issues::::daysUntilClose::::14 <-> svelte::::.github/workflows/ci.yml::::jobs::::Tests::::strategy::::matrix::::node-version::::14,,,
05e2130d05d7d249eaf597da1f3c4cd6943fbb05,397278f1e729265e4a0ddbd0ad34fc3e7c0b04e5,a14eaf9fcfd3ddeeaa9863c26e6fb356,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,svelte::::appveyor.yml::::install::::npm install <-> svelte::::site/.travis.yml::::install::::npm install,,,
0a1f5993210a628357a7dfe2e5cc06101e4ed6fb,b4d5dea73fec818a39236e9e95d25e247d36b307,724e3ddb4a77a3d81c6239c4e8ff9d9b,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,svelte::::.github/workflows/ci.yml::::jobs::::Tests::::steps::::steps_2::::run::::npm install <-> svelte::::site/.travis.yml::::install::::npm install,,,
eb94a884d008001d5e0e78533807bfc24d0787e0,665ec3fcad7bc25b39dcf7676740237b3170bb35,65f2e97370e082bc861429f8e166c83e,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,svelte::::package.json::::devDependencies::::rollup-plugin-node-resolve::::rollup-plugin-node-resolve:^3.3.0 <-> svelte::::site/package.json::::devDependencies::::rollup-plugin-node-resolve::::rollup-plugin-node-resolve:^3.3.0,package.json,svelte::::package.json::::devDependencies::::rollup-plugin-node-resolve(location: 78),git show eb94a884d008001d5e0e78533807bfc24d0787e0 -- package.json
