occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
4938147e9a9a99c789511208e44f103bbb69dc36,d4d297440be295b2fa31cc0d9d85f51b6fe588b3,b71481b85dddddaa93044e13bc7a0084,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,tensorflow::::tensorflow/java/maven/hadoop/pom.xml::::project::::groupId::::org.tensorflow <-> tensorflow::::tensorflow/java/maven/libtensorflow/pom.xml::::project::::parent_org.tensorflow/parentpom::::groupId::::org.tensorflow,,,
e1344d3b3aea0b5bc0deaae4196ee846f9028888,b1c3a133faf10227043675f4872a9358a0b63d8e,8a69f196de3d8e693a748bba2df30c9e,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,tensorflow::::tensorflow/compiler/xla/g3doc/_index.yaml::::landing_page::::rows::::rows_1::::items::::items_0::::image_path::::/ecosystem/images/tf-logo-card-16x9.png <-> tensorflow::::tensorflow/lite/g3doc/_index.yaml::::landing_page::::rows::::rows_8::::items::::items_2::::image_path::::/ecosystem/images/tf-logo-card-16x9.png,,,
095379cd1feb5a2179241b92d088de1e3ef5b91e,1bdd79df431f08a4a4afee3306375d6c0bfc6850,defb0c601b7e0e760a3813fcbe009622,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,tensorflow::::tensorflow/tools/dist_test/Dockerfile::::copy::::dest::::/ <-> tensorflow::::tensorflow/tools/docker/Dockerfile::::copy::::dest::::/,,,
1f40d771dbaae84f48b09079334712d246bfe2f0,f459248088a335efb11fa456c62ddca6e009e291,b7589b3314eaf81c3e51407b503e4efc,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,tensorflow::::tensorflow/compiler/mlir/g3doc/_book.yaml::::upper_tabs::::upper_tabs_2::::lower_tabs::::other::::other_0::::contents::::contents_2::::title::::Overview <-> tensorflow::::tensorflow/lite/g3doc/_book.yaml::::upper_tabs::::upper_tabs_1::::lower_tabs::::other::::other_1::::contents::::contents_51::::title::::Overview,,,
9206bfe261660c3cee50779c92b57714580bd91d,e4abe3bbc09d3b63078b171ff598a9e9b5e63dbd,19e5849e8d41bfcc881c90d44dc8c1a3,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,tensorflow::::tensorflow/java/maven/tensorflow/pom.xml::::project::::artifactId::::tensorflow <-> tensorflow::::tensorflow/tools/dockerfiles/spec.yml::::partials::::tensorflow::::args::::TF_PACKAGE::::default::::tensorflow,,,
27f785efc3e6db564de8acf103e76b4e1a5e29b3,6b2832f8dd3017434936c91b3a623ec543c47824,47dee5fa70b8724c4da095d410367d9b,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,tensorflow::::tensorflow/compiler/mlir/g3doc/_book.yaml::::upper_tabs::::upper_tabs_2::::lower_tabs::::other::::other_0::::contents::::contents_2::::title::::Overview <-> tensorflow::::tensorflow/lite/g3doc/_book.yaml::::upper_tabs::::upper_tabs_1::::lower_tabs::::other::::other_1::::contents::::contents_24::::title::::Overview,,,
fac3266748fb4efcd70bad183eafb35837abef8d,8e5bc389dd1a89d333a6b79535d8eeb36e076c97,267be8bc20f9870db727ac0aa8aca79c,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,tensorflow::::tensorflow/compiler/xla/g3doc/_book.yaml::::upper_tabs::::upper_tabs_2::::lower_tabs::::other::::other_0::::name::::Overview <-> tensorflow::::tensorflow/lite/g3doc/_book.yaml::::upper_tabs::::upper_tabs_1::::lower_tabs::::other::::other_1::::contents::::contents_54::::title::::Overview,tensorflow/lite/g3doc/_book.yaml,tensorflow::::tensorflow/lite/g3doc/_book.yaml::::upper_tabs::::upper_tabs_1::::lower_tabs::::other::::other_1::::contents::::contents_54::::title(location: 190),git show fac3266748fb4efcd70bad183eafb35837abef8d -- tensorflow/lite/g3doc/_book.yaml
307e8db26270f11cdaf96b003131c18932cd3c3c,fbc17b42067b4c1ca8203d85143769aafde0dd08,5bd05853ad008b07fe922059ad4ae5c2,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,tensorflow::::tensorflow/lite/g3doc/_index.yaml::::landing_page::::rows::::rows_8::::background::::grey <-> tensorflow::::tensorflow/lite/g3doc/models/_index.yaml::::landing_page::::rows::::rows_4::::background::::grey,,,
30cab77912bfb4a4e4c70443e88ff1e455ce4f0e,a648b8f74d4e54a6dc3f2d2afc4067e1538f9829,b522e8fc54c8efc574d8129205fad5c5,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,tensorflow::::tensorflow/contrib/lite/java/ovic/demo/gradle/wrapper/gradle-wrapper.properties::::distributionbase::::GRADLE_USER_HOME <-> tensorflow::::tensorflow/examples/android/gradle/wrapper/gradle-wrapper.properties::::zipstorebase::::GRADLE_USER_HOME,,,
eb60066056c64f2c30c0f58c24cf89e629e5120d,ade3d0fee318c6fe6fde3fb18ca2805f232e68a9,54636715694376a60ada5fb4bcc1aeda,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,tensorflow::::tensorflow/contrib/lite/g3doc/_book.yaml::::upper_tabs::::upper_tabs_1::::lower_tabs::::other::::other_0::::contents::::contents_14::::title::::Overview <-> tensorflow::::tensorflow/contrib/lite/g3doc/api_docs/python/_toc.yaml::::toc::::toc_0::::section::::section_0::::title::::Overview,,,
