occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
d42851eeedf755730d5a129880bcb78e4d3ab40e,2b20d2e4875ec85ceefa662a42ec8d78e3561daf,c887a3c9c4c26635c493dc61569db220,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"terminal::::build/pipelines/release.yml::::jobs::::jobs_0::::steps::::steps_16::::${{ if eq(parameters.buildTerminal, true) }}::::${{ if eq(parameters.buildTerminal, true) }}_1::::task::::PublishBuildArtifacts@1 <-> terminal::::build/pipelines/templates/helix-processtestresults-job.yml::::jobs::::jobs_0::::steps::::steps_5::::${{if ne(parameters.pgoArtifact, '') }}::::${{if ne(parameters.pgoArtifact, '') }}_0::::task::::PublishBuildArtifacts@1",,,
1ca8e40dccaf741dd72ac5089d2151a7a7d7f844,5fee4f80d207b121416ae6bb022ed4484b360cb6,c8afebb72c69594b1a231fcda3727376,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"terminal::::build/pipelines/release.yml::::jobs::::jobs_0::::steps::::steps_11::::${{ if eq(parameters.buildTerminal, true) }}::::${{ if eq(parameters.buildTerminal, true) }}_0::::inputs::::platform::::$(BuildPlatform) <-> terminal::::build/pipelines/templates/build-console-audit-job.yml::::jobs::::jobs_0::::steps::::steps_3::::inputs::::platform::::$(BuildPlatform)",,,
d42851eeedf755730d5a129880bcb78e4d3ab40e,2b20d2e4875ec85ceefa662a42ec8d78e3561daf,2099b8ca3e38a16c19d472919e0ce69a,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"terminal::::build/pipelines/release.yml::::jobs::::jobs_0::::steps::::steps_11::::${{ if eq(parameters.buildWPF, true) }}::::${{ if eq(parameters.buildWPF, true) }}_0::::inputs::::solution::::**\OpenConsole.sln <-> terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_7::::inputs::::solution::::**\OpenConsole.sln",,,
1ca8e40dccaf741dd72ac5089d2151a7a7d7f844,5fee4f80d207b121416ae6bb022ed4484b360cb6,224e1dc75e744564cdb7792bd99636d6,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"terminal::::build/pipelines/release.yml::::jobs::::jobs_0::::steps::::steps_11::::${{ if eq(parameters.buildTerminal, true) }}::::${{ if eq(parameters.buildTerminal, true) }}_0::::task::::VSBuild@1 <-> terminal::::build/pipelines/templates/build-console-audit-job.yml::::jobs::::jobs_0::::steps::::steps_3::::task::::VSBuild@1",build/pipelines/templates/build-console-audit-job.yml,terminal::::build/pipelines/templates/build-console-audit-job.yml::::jobs::::jobs_0::::steps::::steps_3::::task(location: 42),git show 1ca8e40dccaf741dd72ac5089d2151a7a7d7f844 -- build/pipelines/templates/build-console-audit-job.yml
1ca8e40dccaf741dd72ac5089d2151a7a7d7f844,5fee4f80d207b121416ae6bb022ed4484b360cb6,7e508349aec1910c40a8c580cdd4b185,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"terminal::::build/pipelines/release.yml::::jobs::::jobs_0::::steps::::steps_17::::${{ if eq(parameters.buildTerminal, true) }}::::${{ if eq(parameters.buildTerminal, true) }}_0::::task::::CopyFiles@2 <-> terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_20::::task::::CopyFiles@2",build/pipelines/templates/build-console-steps.yml,terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_20::::task(location: 191),git show 1ca8e40dccaf741dd72ac5089d2151a7a7d7f844 -- build/pipelines/templates/build-console-steps.yml
3bff7021da0e505654c4e6d833fdd443ab01c00b,6f5e45843b51153eb7a98da2d1bff5c1a142602f,e36809ccb39160b6165c40ae8fd5a821,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"terminal::::build/pipelines/release.yml::::jobs::::jobs_3::::${{ if eq(parameters.buildTerminalVPack, true) }}::::${{ if eq(parameters.buildTerminalVPack, true) }}_0::::steps::::steps_0::::checkout::::self <-> terminal::::build/pipelines/templates/build-console-audit-job.yml::::jobs::::jobs_0::::steps::::steps_0::::checkout::::self",,,
3bff7021da0e505654c4e6d833fdd443ab01c00b,6f5e45843b51153eb7a98da2d1bff5c1a142602f,5bd6d13c88e10c9ca1ea2986cdc27b18,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,terminal::::build/pipelines/release.yml::::jobs::::jobs_0::::steps::::steps_13::::task::::PowerShell@2 <-> terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_12::::task::::PowerShell@2,,,
826ec65dcf1dd815e8fa964c7c02706cc4d28e67,e2f6790a0c5f38159894f45eb3f2b86623d7b38d,4d967abfdb45762577bcff07e6fec8d6,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,terminal::::build/pipelines/ci.yml::::stages::::stages_4::::condition::::succeeded() <-> terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_16::::condition::::succeeded(),build/pipelines/templates/build-console-steps.yml,terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_16::::condition(location: 150),git show 826ec65dcf1dd815e8fa964c7c02706cc4d28e67 -- build/pipelines/templates/build-console-steps.yml
d42851eeedf755730d5a129880bcb78e4d3ab40e,2b20d2e4875ec85ceefa662a42ec8d78e3561daf,44a1c643c79b5455dfaa3920b1171f58,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,terminal::::build/pipelines/release.yml::::jobs::::jobs_0::::steps::::steps_7::::inputs::::targetType::::inline <-> terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_10::::inputs::::targetType::::inline,,,
d42851eeedf755730d5a129880bcb78e4d3ab40e,2b20d2e4875ec85ceefa662a42ec8d78e3561daf,e12f244850f504015794a181207861d6,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,terminal::::build/pipelines/release.yml::::jobs::::jobs_0::::steps::::steps_12::::inputs::::errorActionPreference::::silentlyContinue <-> terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_9::::inputs::::errorActionPreference::::silentlyContinue,,,
3bff7021da0e505654c4e6d833fdd443ab01c00b,6f5e45843b51153eb7a98da2d1bff5c1a142602f,b1f6823fc10aa4666553d00ea531cab9,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"terminal::::build/pipelines/release.yml::::jobs::::jobs_0::::steps::::steps_12::::${{ if eq(parameters.buildWPF, true) }}::::${{ if eq(parameters.buildWPF, true) }}_0::::inputs::::configuration::::$(BuildConfiguration) <-> terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_7::::inputs::::configuration::::$(BuildConfiguration)",,,
3bff7021da0e505654c4e6d833fdd443ab01c00b,6f5e45843b51153eb7a98da2d1bff5c1a142602f,b20349a7973f688e691497d5fa1ad77a,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,terminal::::build/pipelines/release.yml::::jobs::::jobs_0::::steps::::steps_4::::task::::333b11bd-d341-40d9-afcf-b32d5ce6f23b@2 <-> terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_4::::task::::333b11bd-d341-40d9-afcf-b32d5ce6f23b@2,build/pipelines/release.yml,terminal::::build/pipelines/release.yml::::jobs::::jobs_0::::steps::::steps_4::::task(location: 96),git show 3bff7021da0e505654c4e6d833fdd443ab01c00b -- build/pipelines/release.yml
1ca8e40dccaf741dd72ac5089d2151a7a7d7f844,5fee4f80d207b121416ae6bb022ed4484b360cb6,ee42ed849062331320445125fa13cb48,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,terminal::::build/pipelines/release.yml::::jobs::::jobs_0::::steps::::steps_16::::inputs::::filePath::::build\scripts\Run-Tests.ps1 <-> terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_13::::inputs::::filePath::::build\scripts\Run-Tests.ps1,build/pipelines/templates/build-console-steps.yml,terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_13::::inputs::::filePath(location: 113),git show 1ca8e40dccaf741dd72ac5089d2151a7a7d7f844 -- build/pipelines/templates/build-console-steps.yml
826ec65dcf1dd815e8fa964c7c02706cc4d28e67,e2f6790a0c5f38159894f45eb3f2b86623d7b38d,baab96627e44614f50804b5757ccd375,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"terminal::::build/pipelines/release.yml::::jobs::::jobs_0::::steps::::steps_12::::${{ if eq(parameters.buildTerminal, true) }}::::${{ if eq(parameters.buildTerminal, true) }}_1::::condition::::failed() <-> terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_21::::condition::::failed()",,,
3bff7021da0e505654c4e6d833fdd443ab01c00b,6f5e45843b51153eb7a98da2d1bff5c1a142602f,220722287b705a7c11ea6a65dce0da3a,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"terminal::::build/pipelines/release.yml::::jobs::::jobs_2::::${{ if eq(parameters.buildWPF, true) }}::::${{ if eq(parameters.buildWPF, true) }}_0::::steps::::steps_3::::task::::DownloadBuildArtifacts@0 <-> terminal::::build/pipelines/templates/helix-runtests-job.yml::::jobs::::jobs_0::::steps::::steps_4::::task::::DownloadBuildArtifacts@0",,,
3bff7021da0e505654c4e6d833fdd443ab01c00b,6f5e45843b51153eb7a98da2d1bff5c1a142602f,722786f8af1907155b2cdc9e03589d5e,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"terminal::::build/pipelines/release.yml::::jobs::::jobs_3::::${{ if eq(parameters.buildTerminalVPack, true) }}::::${{ if eq(parameters.buildTerminalVPack, true) }}_0::::steps::::steps_2::::task::::DownloadBuildArtifacts@0 <-> terminal::::build/pipelines/templates/helix-runtests-job.yml::::jobs::::jobs_0::::steps::::steps_4::::task::::DownloadBuildArtifacts@0",,,
3bff7021da0e505654c4e6d833fdd443ab01c00b,6f5e45843b51153eb7a98da2d1bff5c1a142602f,10821d3af63f91a78a4552b2770426e6,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"terminal::::build/pipelines/release.yml::::jobs::::jobs_2::::${{ if eq(parameters.buildWPF, true) }}::::${{ if eq(parameters.buildWPF, true) }}_0::::steps::::steps_7::::task::::VSBuild@1 <-> terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_7::::task::::VSBuild@1",,,
