occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
93bac1b81f5dfc324d7c8f33febf0a41afc97261;17574a87bf23f3db220d3a79dcb66e8fcf8c6b1f;85ec613215dce3567ffef4382d882b35;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param5::::-- <-> TypeScript::::tests/cases/docker/vue-next/Dockerfile::::cmd::::param3::::--;tests/cases/docker/office-ui-fabric/Dockerfile;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param5(location: 22);git show 93bac1b81f5dfc324d7c8f33febf0a41afc97261 -- tests/cases/docker/office-ui-fabric/Dockerfile;no;different params in Docker Command;obvious no conflict
0548b23fde61dc40d49a21311e936c5f8b1e7342;140601b6a56b2d9b9920be2921a27913e50d5d98;ed51225e9dfe156615f3cf8f3eb24264;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;TypeScript::::package.json::::devDependencies::::@types/node::::@types/node:latest <-> TypeScript::::tests/cases/user/tslint/package.json::::devDependencies::::@types/node::::@types/node:latest;package.json;TypeScript::::package.json::::devDependencies::::@types/node(location: 47);git show 0548b23fde61dc40d49a21311e936c5f8b1e7342 -- package.json;yes;library;version number
1b3af58289bebb5ff40e5ad4e6e765527b88ace9;0b84a965953aea2b1443b5dba0e906d680ef5cd3;97ce44717bedb6ce63a3b14d52c0e912;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;TypeScript::::.github/workflows/ci.yml::::name::::CI <-> TypeScript::::.github/workflows/release-branch-artifact.yaml::::name::::CI;.github/workflows/release-branch-artifact.yaml;TypeScript::::.github/workflows/release-branch-artifact.yaml::::name(location: 1);git show 1b3af58289bebb5ff40e5ad4e6e765527b88ace9 -- .github/workflows/release-branch-artifact.yaml;no;name in yaml file;obvious no conflict
43d073918315e3aba803b77ddea0578fb55213be;d923253eb48ce612945b56325c67ef8e3465f94c;a02f3e846ff2de473f7424491b49ac7f;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;TypeScript::::.github/workflows/set-version.yaml::::jobs::::build::::steps::::steps_1::::with::::ref::::${{ github.event.client_payload.branch_name }} <-> TypeScript::::.github/workflows/sync-branch.yaml::::jobs::::build::::steps::::steps_1::::with::::ref::::${{ github.event.client_payload.branch_name }};.github/workflows/sync-branch.yaml;TypeScript::::.github/workflows/sync-branch.yaml::::jobs::::build::::steps::::steps_1::::with::::ref(location: 23);git show 43d073918315e3aba803b77ddea0578fb55213be -- .github/workflows/sync-branch.yaml;yes;option;same option
46f02955b01f578179b2504b28bd1e4a74af9508;b1b9ac06127f882d61ff5d0bb2d59a940fb37b18;ffd54ae717c8da44e2056b8282b13d2c;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;TypeScript::::package.json::::devDependencies::::@types/mocha::::@types/mocha:latest <-> TypeScript::::tests/cases/user/tslint/package.json::::devDependencies::::@types/mocha::::@types/mocha:latest;package.json;TypeScript::::package.json::::devDependencies::::@types/mocha(location: 48);git show 46f02955b01f578179b2504b28bd1e4a74af9508 -- package.json;yes;library;version number
4f7eaf7d719b04c2b96085beb7a9197208d8b24e;13ecdb5344aef171ea9f8271be8002832791aa2b;9b1104355ab86dcbeaa3655916847c93;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;TypeScript::::tests/cases/docker/azure-sdk/Dockerfile::::entrypoint::::exec_command::::rush <-> TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::entrypoint::::param0::::rush;tests/cases/docker/office-ui-fabric/Dockerfile;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::entrypoint::::param0(location: 20);git show 4f7eaf7d719b04c2b96085beb7a9197208d8b24e -- tests/cases/docker/office-ui-fabric/Dockerfile;yes;value;different options
4f7eaf7d719b04c2b96085beb7a9197208d8b24e;13ecdb5344aef171ea9f8271be8002832791aa2b;d6d7f07fa2f26f805993004378b543e7;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;TypeScript::::tests/cases/docker/azure-sdk/Dockerfile::::cmd::::exec_command::::rebuild --parallelism 1 <-> TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::exec_command::::rebuild --parallelism 1;tests/cases/docker/office-ui-fabric/Dockerfile;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::exec_command(location: 21);git show 4f7eaf7d719b04c2b96085beb7a9197208d8b24e -- tests/cases/docker/office-ui-fabric/Dockerfile;yes;option;same option
4f7eaf7d719b04c2b96085beb7a9197208d8b24e;13ecdb5344aef171ea9f8271be8002832791aa2b;de173cb0fe5a11f798fe865d2bf4023b;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;TypeScript::::tests/cases/docker/azure-sdk/Dockerfile::::cmd::::param0::::rebuild <-> TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param0::::rebuild;tests/cases/docker/office-ui-fabric/Dockerfile;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param0(location: 21);git show 4f7eaf7d719b04c2b96085beb7a9197208d8b24e -- tests/cases/docker/office-ui-fabric/Dockerfile;yes;option;same option
4f7eaf7d719b04c2b96085beb7a9197208d8b24e;13ecdb5344aef171ea9f8271be8002832791aa2b;9aa454c3be9813f697bedd02b93b4b00;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;TypeScript::::tests/cases/docker/azure-sdk/Dockerfile::::cmd::::param1::::--parallelism <-> TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param1::::--parallelism;tests/cases/docker/office-ui-fabric/Dockerfile;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param1(location: 21);git show 4f7eaf7d719b04c2b96085beb7a9197208d8b24e -- tests/cases/docker/office-ui-fabric/Dockerfile;yes;option;same option
4f7eaf7d719b04c2b96085beb7a9197208d8b24e;13ecdb5344aef171ea9f8271be8002832791aa2b;a758b470089553e11705eabc8af03caa;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;TypeScript::::tests/cases/docker/azure-sdk/Dockerfile::::cmd::::param2::::1 <-> TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param2::::1;tests/cases/docker/office-ui-fabric/Dockerfile;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param2(location: 21);git show 4f7eaf7d719b04c2b96085beb7a9197208d8b24e -- tests/cases/docker/office-ui-fabric/Dockerfile;yes;option;same option
