occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
27944e530416936009cb7e5f2547b9b30e776f3d;6d0b4e7343e8d17bca10b90ad8b1b95313938687;cf88dd33462500cbb9ff6847791843ca;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;angular::::package.json::::version::::version:4.0.0-beta.8 <-> angular::::tools/@angular/tsc-wrapped/package.json::::version::::version:4.0.0-beta.8;tools/@angular/tsc-wrapped/package.json;angular::::tools/@angular/tsc-wrapped/package.json::::version(location: 3);git show 27944e530416936009cb7e5f2547b9b30e776f3d -- tools/@angular/tsc-wrapped/package.json;yes;version;version number
34147fbf71c2b5b0f7d2a306b0d470ecf485146b;9e59703ae1732991c5f05ec24a6829fec7d39c65;e72a27b54bda34f88ab804ef9c9d5b90;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;angular::::integration/hello_world__closure/package.json::::dependencies::::@angular/common::::@angular/common:file:../../dist/packages-dist-es2015/common <-> angular::::integration/typings_test_ts20/package.json::::dependencies::::@angular/common::::@angular/common:file:../../dist/packages-dist-es2015/common;integration/typings_test_ts20/package.json;angular::::integration/typings_test_ts20/package.json::::dependencies::::@angular/common(location: 7);git show 34147fbf71c2b5b0f7d2a306b0d470ecf485146b -- integration/typings_test_ts20/package.json;yes;library;version number
34147fbf71c2b5b0f7d2a306b0d470ecf485146b;9e59703ae1732991c5f05ec24a6829fec7d39c65;9d121ad1ac226e6359926d3a33b52541;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;angular::::integration/hello_world__closure/package.json::::dependencies::::@angular/core::::@angular/core:file:../../dist/packages-dist-es2015/core <-> angular::::integration/typings_test_ts20/package.json::::dependencies::::@angular/core::::@angular/core:file:../../dist/packages-dist-es2015/core;integration/typings_test_ts20/package.json;angular::::integration/typings_test_ts20/package.json::::dependencies::::@angular/core(location: 10);git show 34147fbf71c2b5b0f7d2a306b0d470ecf485146b -- integration/typings_test_ts20/package.json;yes;library;version number
34147fbf71c2b5b0f7d2a306b0d470ecf485146b;9e59703ae1732991c5f05ec24a6829fec7d39c65;9200eaac124259cd8e20dbcd4dc89447;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;angular::::integration/hello_world__closure/package.json::::dependencies::::@angular/compiler-cli::::@angular/compiler-cli:file:../../dist/packages-dist-es2015/compiler-cli <-> angular::::integration/typings_test_ts20/package.json::::dependencies::::@angular/compiler-cli::::@angular/compiler-cli:file:../../dist/packages-dist-es2015/compiler-cli;integration/typings_test_ts20/package.json;angular::::integration/typings_test_ts20/package.json::::dependencies::::@angular/compiler-cli(location: 9);git show 34147fbf71c2b5b0f7d2a306b0d470ecf485146b -- integration/typings_test_ts20/package.json;yes;library;version number
34147fbf71c2b5b0f7d2a306b0d470ecf485146b;9e59703ae1732991c5f05ec24a6829fec7d39c65;de7bae848314297376c7cba9a63d2a43;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;angular::::integration/hello_world__closure/package.json::::dependencies::::@angular/platform-browser::::@angular/platform-browser:file:../../dist/packages-dist-es2015/platform-browser <-> angular::::integration/typings_test_ts20/package.json::::dependencies::::@angular/platform-browser::::@angular/platform-browser:file:../../dist/packages-dist-es2015/platform-browser;integration/typings_test_ts20/package.json;angular::::integration/typings_test_ts20/package.json::::dependencies::::@angular/platform-browser(location: 12);git show 34147fbf71c2b5b0f7d2a306b0d470ecf485146b -- integration/typings_test_ts20/package.json;yes;library;version number
34e2666b1aab2acaee49ee8634e11bac273a2386;2c8b7850f8ca755602c2eb88c509f6c24d7b3381;49d8b3f452a0cdbee211bf2868c7968a;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;angular::::modules/@angular/compiler-cli/package.json::::peerDependencies::::typescript::::typescript:^2.0.2 <-> angular::::tools/@angular/tsc-wrapped/package.json::::peerDependencies::::typescript::::typescript:^2.0.2;tools/@angular/tsc-wrapped/package.json;angular::::tools/@angular/tsc-wrapped/package.json::::peerDependencies::::typescript(location: 17);git show 34e2666b1aab2acaee49ee8634e11bac273a2386 -- tools/@angular/tsc-wrapped/package.json;yes;library;version number
3f228669d73c0976f3b82ba5af58b66b414ebedc;3820609f24728dbd9be262a6f19586341d25af65;18b0f1f106e2118a783d88c80a5c9f04;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.NAME;angular::::modules/angular2/pubspec.yaml::::name::::angular <-> angular::::package.json::::name::::angular;modules/angular2/pubspec.yaml;angular::::modules/angular2/pubspec.yaml::::name(location: 1);git show 3f228669d73c0976f3b82ba5af58b66b414ebedc -- modules/angular2/pubspec.yaml;no;name in yaml file;obvious no conflict
44fcf5b19bbd880c388d09bb73639755935042fc;eaf2a4088ce7b9e199949ab6a662b3e2ee388c69;79287b2a679846233003c1acbe182b5e;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;angular::::modules/@angular/router-deprecated/src/package.json::::version::::version:0.2.0 <-> angular::::tools/@angular/tsc-wrapped/package.json::::version::::version:0.2.0;tools/@angular/tsc-wrapped/package.json;angular::::tools/@angular/tsc-wrapped/package.json::::version(location: 3);git show 44fcf5b19bbd880c388d09bb73639755935042fc -- tools/@angular/tsc-wrapped/package.json;yes;version;version number
4e86bd23b252362e283c88a0046c55032a94a33a;3cd00481647b12c7ad1cf045af9c93e920ca27e4;034ddb693f28c919285cced6d3849d3d;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;angular::::modules_dart/analysis_server/pubspec.yaml::::environment::::sdk::::>=1.9.0-dev.8.0 <-> angular::::modules_dart/analyzer_plugin/pubspec.yaml::::environment::::sdk::::>=1.9.0-dev.8.0;modules_dart/analyzer_plugin/pubspec.yaml;angular::::modules_dart/analyzer_plugin/pubspec.yaml::::environment::::sdk(location: 5);git show 4e86bd23b252362e283c88a0046c55032a94a33a -- modules_dart/analyzer_plugin/pubspec.yaml;yes;option;same option and equal value
5e33849500f1a8b0df0d2229226675dc47a10721;559beb0b2cb280dce0bf4be7854a5f9a42468c3d;ccb41183545989c2f35c724bed621a58;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;angular::::modules/playground/pubspec.yaml::::dev_dependencies::::guinness::::^0.1.17 <-> angular::::pubspec.yaml::::dev_dependencies::::guinness::::^0.1.17;pubspec.yaml;angular::::pubspec.yaml::::dev_dependencies::::guinness(location: 7);git show 5e33849500f1a8b0df0d2229226675dc47a10721 -- pubspec.yaml;yes;library;version number
5ef11774c22c649d4891073a3cad3ea84994e611;75db2c52411c801afa138800fe20cec3b731184e;93950945136a8c2881b501b33cce64d8;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;angular::::modules/benchmarks_external/pubspec.yaml::::environment::::sdk::::>=1.4.0 <-> angular::::modules/examples/pubspec.yaml::::environment::::sdk::::>=1.4.0;modules/examples/pubspec.yaml;angular::::modules/examples/pubspec.yaml::::environment::::sdk(location: 3);git show 5ef11774c22c649d4891073a3cad3ea84994e611 -- modules/examples/pubspec.yaml;yes;option;same option and equal value
5ef11774c22c649d4891073a3cad3ea84994e611;75db2c52411c801afa138800fe20cec3b731184e;bfea2d1ff1110510548698b1cd371315;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;angular::::modules/benchmarks_external/pubspec.yaml::::dependencies::::browser::::>=0.10.0 <0.11.0 <-> angular::::modules/examples/pubspec.yaml::::dependencies::::browser::::>=0.10.0 <0.11.0;modules/examples/pubspec.yaml;angular::::modules/examples/pubspec.yaml::::dependencies::::browser(location: 7);git show 5ef11774c22c649d4891073a3cad3ea84994e611 -- modules/examples/pubspec.yaml;yes;library;version number
7466ad05fa15c8cec82e2a19996f05feb8f2db38;e18c1142c8332a60e94fd2b8e99447181add8ca0;fc6c7aaeb8c862c580bb04f38bb7f189;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;angular::::modules_dart/analysis_server/pubspec.yaml::::dependencies::::analyzer::::^0.24.4 <-> angular::::modules_dart/analyzer_plugin/pubspec.yaml::::dependencies::::analyzer::::^0.24.4;modules_dart/analyzer_plugin/pubspec.yaml;angular::::modules_dart/analyzer_plugin/pubspec.yaml::::dependencies::::analyzer(location: 8);git show 7466ad05fa15c8cec82e2a19996f05feb8f2db38 -- modules_dart/analyzer_plugin/pubspec.yaml;yes;library;version number
a4a2d4e56db181e6caf2b702f6b9b9a5d15dfc33;d77f409093c37e6bccddbdfc2cd6ab2d1d4b22da;67415d24cbf62a4b0b083fd51654102d;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;angular::::modules/examples/pubspec.yaml::::dev_dependencies::::guinness::::>=0.1.17 <0.2.0 <-> angular::::pubspec.yaml::::dev_dependencies::::guinness::::>=0.1.17 <0.2.0;pubspec.yaml;angular::::pubspec.yaml::::dev_dependencies::::guinness(location: 7);git show a4a2d4e56db181e6caf2b702f6b9b9a5d15dfc33 -- pubspec.yaml;yes;library;version number
a63bcec22091b2bbe44804f688e7e69f6fffbc24;486d38ce86ae8e617101cc66ff0d9f55a19eb25d;9c1d517b980e9f62234d6e6f08dbbea5;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.NAME;angular::::.circleci/config.yml::::jobs::::publish_packages_as_artifacts::::steps::::steps_3::::store_artifacts::::destination::::zone.js <-> angular::::packages/zone.js/package.json::::name::::zone.js;.circleci/config.yml;angular::::.circleci/config.yml::::jobs::::publish_packages_as_artifacts::::steps::::steps_3::::store_artifacts::::destination(location: 565);git show a63bcec22091b2bbe44804f688e7e69f6fffbc24 -- .circleci/config.yml;no;order changed in yaml file;generic yaml plguin
b97554eeb4cacf491ea77734ac8f559e2f948dcb;0ef0a3cfb3a9b8db45abcc4a3208717c78a73aa5;94604e0f0de990bf8058913229fc2819;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;angular::::package.json::::version::::version:4.0.0-beta.2 <-> angular::::tools/@angular/tsc-wrapped/package.json::::version::::version:4.0.0-beta.2;package.json;angular::::package.json::::version(location: 3);git show b97554eeb4cacf491ea77734ac8f559e2f948dcb -- package.json;yes;version;version number
ba5167f4c0fb7ab1245eb340f2ed07fd6159d978;289054901375d1ef1b513912216bb33dcab5bab0;5494702c1d1a0e04d01fa234aa762563;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;angular::::modules/@angular/compiler_cli/package.json::::version::::version:0.2.0 <-> angular::::modules/@angular/router-deprecated/src/package.json::::version::::version:0.2.0;modules/@angular/compiler_cli/package.json;angular::::modules/@angular/compiler_cli/package.json::::version(location: 3);git show ba5167f4c0fb7ab1245eb340f2ed07fd6159d978 -- modules/@angular/compiler_cli/package.json;yes;version;version number
c3b442ea53ad43fd348f80a579a82060aa239c7b;6335fc407c46184998262402316f71ae7bf42b5d;9bd99b4455a2b39d647f6c57d78056eb;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;angular::::pubspec.yaml::::description::::Compile JavaScript to Dart so that you can compile it back to JavaScript and run. <-> angular::::tools/js2dart/pubspec.yaml::::description::::Compile JavaScript to Dart so that you can compile it back to JavaScript and run.;pubspec.yaml;angular::::pubspec.yaml::::description(location: 5);git show c3b442ea53ad43fd348f80a579a82060aa239c7b -- pubspec.yaml;no;description in yaml file;obvious no conflict
c55a09fb98dd9966a7f6b55cfead237f49753538;1e638df7df32d66682d2383a427d8269229d23e0;24d6caccd7b73a3c72d9797e332f980f;ModifiedOptionConflict;ConfigType.NAME<->ConfigType.NAME;angular::::modules/@angular/router-deprecated/package.json::::name::::@angular/router <-> angular::::modules/@angular/router-deprecated/src/package.json::::name::::@angular/router;modules/@angular/router-deprecated/package.json;angular::::modules/@angular/router-deprecated/package.json::::name(location: 2);git show c55a09fb98dd9966a7f6b55cfead237f49753538 -- modules/@angular/router-deprecated/package.json;no;name in package.json file;obvious no conflict
c9ac17f7b755e116ea31e03be3d081599d427e67;9ff257465bdbb895c8a1704c7faebb131d65d1f2;098b2a3b3a1c3bd8f0b056697ed29b17;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;angular::::.travis.yml::::node_js::::5.4.1 <-> angular::::circle.yml::::machine::::node::::version::::5.4.1;.travis.yml;angular::::.travis.yml::::node_js(location: 3);git show c9ac17f7b755e116ea31e03be3d081599d427e67 -- .travis.yml;yes;node version;different option but equal value
