occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
23f86972e0fbb659d83b0d3cb08f4e69ffa1b02e;035034d166883c1098695235be3bdef7e140858b;2131c73c34df7c9f756d2fb62a724103;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;ant-design::::.github/workflows/gitleaks.yml::::jobs::::gitleaks::::steps::::steps_0::::uses::::actions/checkout@v2 <-> ant-design::::.github/workflows/rebase.yml::::jobs::::rebase::::steps::::steps_0::::uses::::actions/checkout@v2;.github/workflows/rebase.yml;ant-design::::.github/workflows/rebase.yml::::jobs::::rebase::::steps::::steps_0::::uses(location: 11);git show 23f86972e0fbb659d83b0d3cb08f4e69ffa1b02e -- .github/workflows/rebase.yml;yes;option;same option and equal values
11e4b487b8028b243516e9867ce5ca158325275a;13bf86dc343977917a124f8a597da70906463639;c9d8a9068bff305d8b0ff93dbb04551a;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;ant-design::::.github/workflows/test.yml::::jobs::::react-17-lib::::steps::::steps_4::::name::::test <-> ant-design::::.github/workflows/ui.yml::::jobs::::test::::steps::::steps_2::::name::::test;.github/workflows/ui.yml;ant-design::::.github/workflows/ui.yml::::jobs::::test::::steps::::steps_2::::name(location: 23);git show 11e4b487b8028b243516e9867ce5ca158325275a -- .github/workflows/ui.yml;no;order changed in yaml file;generic yaml plugin
11e4b487b8028b243516e9867ce5ca158325275a;13bf86dc343977917a124f8a597da70906463639;dbb23678437ba987cc30b42c0ff25489;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;ant-design::::.github/workflows/site-deploy.yml::::jobs::::setup::::steps::::steps_5::::name::::install <-> ant-design::::.github/workflows/ui.yml::::jobs::::test::::steps::::steps_1::::name::::install;.github/workflows/ui.yml;ant-design::::.github/workflows/ui.yml::::jobs::::test::::steps::::steps_1::::name(location: 17);git show 11e4b487b8028b243516e9867ce5ca158325275a -- .github/workflows/ui.yml;no;order changed in yaml file;generic yaml plugin
11e4b487b8028b243516e9867ce5ca158325275a;13bf86dc343977917a124f8a597da70906463639;7ca2f4322f66f14d92fb502dc1c3e8ad;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;ant-design::::.github/workflows/preview-build.yml::::jobs::::build-site::::steps::::steps_5::::if::::${{ always() }} <-> ant-design::::.github/workflows/ui.yml::::jobs::::test::::steps::::steps_9::::if::::${{ always() }};.github/workflows/ui.yml;ant-design::::.github/workflows/ui.yml::::jobs::::test::::steps::::steps_9::::if(location: 58);git show 11e4b487b8028b243516e9867ce5ca158325275a -- .github/workflows/ui.yml;no;order changed in yaml file;generic yaml plugin
20c9151c06aa1ae6f6588dfa945e645c13da505b;099478e6184a34d730c5ee429fc3f8fc83d1f5f3;52950bdc8eda3f952b5b715e394cc58c;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;ant-design::::azure-pipelines.yml::::stages::::stages_0::::jobs::::jobs_0::::steps::::steps_3::::script::::npm run site <-> ant-design::::netlify.toml::::build::::command::::npm run site;azure-pipelines.yml;ant-design::::azure-pipelines.yml::::stages::::stages_0::::jobs::::jobs_0::::steps::::steps_3::::script(location: 29);git show 20c9151c06aa1ae6f6588dfa945e645c13da505b -- azure-pipelines.yml;no;order changed in yaml file;generic yaml plugin
323b09a98f83475ef8e379753300a1627ded7e20;c636b5c526578567c1070a072c4067771d01c477;8decaa54a68be80ddd4f84df07f3a381;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;ant-design::::.github/workflows/issue-open-check.yml::::jobs::::check-issue::::steps::::steps_1::::uses::::actions-cool/issues-helper@v1.2 <-> ant-design::::.github/workflows/issue-remove-inactive.yml::::jobs::::remove-inactive::::steps::::steps_0::::uses::::actions-cool/issues-helper@v1.2;.github/workflows/issue-remove-inactive.yml;ant-design::::.github/workflows/issue-remove-inactive.yml::::jobs::::remove-inactive::::steps::::steps_0::::uses(location: 15);git show 323b09a98f83475ef8e379753300a1627ded7e20 -- .github/workflows/issue-remove-inactive.yml;yes;option;same option and equal values
370ea439618b29a47ad43a645af6ef5251c8aa81;caa37a061a685bf09a0974e266befeb57b2d6776;d63bf3a9b662d3ef85a9976fe52a3ae0;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;ant-design::::.github/workflows/rebase.yml::::jobs::::rebase::::steps::::steps_0::::uses::::actions/checkout@master <-> ant-design::::.github/workflows/test.yml::::jobs::::lint::::steps::::steps_0::::uses::::actions/checkout@master;.github/workflows/rebase.yml;ant-design::::.github/workflows/rebase.yml::::jobs::::rebase::::steps::::steps_0::::uses(location: 14);git show 370ea439618b29a47ad43a645af6ef5251c8aa81 -- .github/workflows/rebase.yml;yes;option;same option and equal values
37a0646adb7bc594cea61af51ea0dd86ae5788af;0c00351b6ba066a22e286eb2e078e8133ea1e897;ab1a4818f4aef0bf8d7525676dcf9452;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;ant-design::::.github/workflows/test.yml::::jobs::::setup::::steps::::steps_5::::name::::install <-> ant-design::::.github/workflows/ui.yml::::jobs::::test::::steps::::steps_1::::name::::install;.github/workflows/ui.yml;ant-design::::.github/workflows/ui.yml::::jobs::::test::::steps::::steps_1::::name(location: 19);git show 37a0646adb7bc594cea61af51ea0dd86ae5788af -- .github/workflows/ui.yml;no;order changed in yaml file;generic yaml plugin
37a0646adb7bc594cea61af51ea0dd86ae5788af;0c00351b6ba066a22e286eb2e078e8133ea1e897;6f8a2eb23c8959cd33bb76311e8ef812;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;ant-design::::.github/workflows/test.yml::::jobs::::dist::::steps::::steps_5::::name::::test <-> ant-design::::.github/workflows/ui.yml::::jobs::::test::::steps::::steps_2::::name::::test;.github/workflows/ui.yml;ant-design::::.github/workflows/ui.yml::::jobs::::test::::steps::::steps_2::::name(location: 23);git show 37a0646adb7bc594cea61af51ea0dd86ae5788af -- .github/workflows/ui.yml;no;order changed in yaml file;generic yaml plugin
3fcc85607732db3168c1b6ac4d4e03162c770d42;97a5006f788a561d1ae35161b9520c39c4b6c0e2;c820abc2ca1fac5a682afecf4fdc654a;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;ant-design::::.circleci/config.yml::::workflows::::version::::2 <-> ant-design::::.codecov.yml::::coverage::::precision::::2;.codecov.yml;ant-design::::.codecov.yml::::coverage::::precision(location: 5);git show 3fcc85607732db3168c1b6ac4d4e03162c770d42 -- .codecov.yml;no;magic numbers, different options;magic number/word
