occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
01a62d6a6a5b68d5af8d4c122cf41d495123e297;acd8489c32ce7f25c4ae802234987773bb54cc7b;ed59d5265291585705a320999b188161;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::packages/react-error-overlay/package.json::::devDependencies::::eslint-plugin-import::::eslint-plugin-import:2.8.0 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::eslint-plugin-import::::eslint-plugin-import:2.8.0;packages/react-scripts/package.json;create-react-app::::packages/react-scripts/package.json::::dependencies::::eslint-plugin-import(location: 42);git show 01a62d6a6a5b68d5af8d4c122cf41d495123e297 -- packages/react-scripts/package.json;yes;library;version number
02882a70963e61c617ce87a0b668240c2ed6bb6b;77d8a9196b0ef58b02b09042bc415fe3861b544b;cd9dd22051de5b84760c936192d7980a;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::package.json::::devDependencies::::eslint-plugin-flowtype::::eslint-plugin-flowtype:2.18.1 <-> create-react-app::::packages/eslint-config-react-app/package.json::::peerDependencies::::eslint-plugin-flowtype::::eslint-plugin-flowtype:2.18.1;packages/eslint-config-react-app/package.json;create-react-app::::packages/eslint-config-react-app/package.json::::peerDependencies::::eslint-plugin-flowtype(location: 16);git show 02882a70963e61c617ce87a0b668240c2ed6bb6b -- packages/eslint-config-react-app/package.json;yes;library;version number
02882a70963e61c617ce87a0b668240c2ed6bb6b;77d8a9196b0ef58b02b09042bc415fe3861b544b;e215bd3cc64a96a3b476e6b8c7e0bf18;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::package.json::::devDependencies::::eslint-plugin-import::::eslint-plugin-import:1.12.0 <-> create-react-app::::packages/eslint-config-react-app/package.json::::peerDependencies::::eslint-plugin-import::::eslint-plugin-import:1.12.0;packages/eslint-config-react-app/package.json;create-react-app::::packages/eslint-config-react-app/package.json::::peerDependencies::::eslint-plugin-import(location: 17);git show 02882a70963e61c617ce87a0b668240c2ed6bb6b -- packages/eslint-config-react-app/package.json;yes;library;version number
02882a70963e61c617ce87a0b668240c2ed6bb6b;77d8a9196b0ef58b02b09042bc415fe3861b544b;903d1124fc3c20b6fa4e3bd50aa768a8;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::package.json::::devDependencies::::eslint-plugin-react::::eslint-plugin-react:6.3.0 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::eslint-plugin-react::::eslint-plugin-react:6.3.0;packages/react-scripts/package.json;create-react-app::::packages/react-scripts/package.json::::dependencies::::eslint-plugin-react(location: 45);git show 02882a70963e61c617ce87a0b668240c2ed6bb6b -- packages/react-scripts/package.json;yes;library;version number
02882a70963e61c617ce87a0b668240c2ed6bb6b;77d8a9196b0ef58b02b09042bc415fe3861b544b;e7cd8555358ec09baa33810a9f3a01c5;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::package.json::::devDependencies::::eslint::::eslint:3.5.0 <-> create-react-app::::packages/eslint-config-react-app/package.json::::peerDependencies::::eslint::::eslint:3.5.0;packages/eslint-config-react-app/package.json;create-react-app::::packages/eslint-config-react-app/package.json::::peerDependencies::::eslint(location: 15);git show 02882a70963e61c617ce87a0b668240c2ed6bb6b -- packages/eslint-config-react-app/package.json;yes;library;version number
02882a70963e61c617ce87a0b668240c2ed6bb6b;77d8a9196b0ef58b02b09042bc415fe3861b544b;5a665c83816e651352863119348ac62c;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::package.json::::devDependencies::::eslint-plugin-flowtype::::eslint-plugin-flowtype:2.18.1 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::eslint-plugin-flowtype::::eslint-plugin-flowtype:2.18.1;packages/react-scripts/package.json;create-react-app::::packages/react-scripts/package.json::::dependencies::::eslint-plugin-flowtype(location: 42);git show 02882a70963e61c617ce87a0b668240c2ed6bb6b -- packages/react-scripts/package.json;yes;library;version number
09a87e35a2d27f1e41a32f23ce64bfd213eeddd7;c543bbab6d4b1de8a3ea5658eac31fc6268baf74;22aa03de9cece54f1eb7c0f49b2a9813;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::packages/react-dev-utils/package.json::::version::::version:1.0.3 <-> create-react-app::::packages/react-scripts/package.json::::version::::version:1.0.3;packages/react-scripts/package.json;create-react-app::::packages/react-scripts/package.json::::version(location: 3);git show 09a87e35a2d27f1e41a32f23ce64bfd213eeddd7 -- packages/react-scripts/package.json;yes;version;version number
09a87e35a2d27f1e41a32f23ce64bfd213eeddd7;c543bbab6d4b1de8a3ea5658eac31fc6268baf74;18d58ee60b2dc71d5ff57198d7e9a232;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::packages/react-dev-utils/package.json::::version::::version:1.0.3 <-> create-react-app::::packages/react-error-overlay/package.json::::version::::version:1.0.3;packages/react-error-overlay/package.json;create-react-app::::packages/react-error-overlay/package.json::::version(location: 3);git show 09a87e35a2d27f1e41a32f23ce64bfd213eeddd7 -- packages/react-error-overlay/package.json;yes;library;version number
2015bf9ee34f1426130c2cd37a728c5222c71e8a;4ae4a2c1c6c23b2a191caf29d01670130b8cd63d;7ede0e6320f65548d1aec76ff5e6639b;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::packages/babel-plugin-named-asset-import/package.json::::peerDependencies::::@babel/core::::@babel/core:7.1.0 <-> create-react-app::::packages/babel-preset-react-app/package.json::::dependencies::::@babel/core::::@babel/core:7.1.0;packages/babel-plugin-named-asset-import/package.json;create-react-app::::packages/babel-plugin-named-asset-import/package.json::::peerDependencies::::@babel/core(location: 15);git show 2015bf9ee34f1426130c2cd37a728c5222c71e8a -- packages/babel-plugin-named-asset-import/package.json;yes;library;version number
2346a028fd4cda5c8686cb5c07ad052af3217c99;a5aa2ca31ba75b0d3d0e41e2c153b49f902c3139;2ff5070a497579b45a52761b1a01eef6;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::packages/react-error-overlay/package.json::::devDependencies::::terser-webpack-plugin::::terser-webpack-plugin:1.2.1 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::terser-webpack-plugin::::terser-webpack-plugin:1.2.1;packages/react-scripts/package.json;create-react-app::::packages/react-scripts/package.json::::dependencies::::terser-webpack-plugin(location: 68);git show 2346a028fd4cda5c8686cb5c07ad052af3217c99 -- packages/react-scripts/package.json;yes;library;version number
