occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
12d2758e0836e70c157e0ddb7da305670a94307e;f5c3fdc4ae1525d3129f5c63a093db9ca6d78724;32e1d666b077b8ffa71e8b18b06a1bcd;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;electron::::.circleci/config.yml::::jobs::::osx-release-tests::::<<::::steps::::steps_8::::run::::name::::Run Electron tests <-> electron::::vsts-arm-test-steps.yml::::steps::::steps_8::::displayName::::Run Electron tests;.circleci/config.yml;electron::::.circleci/config.yml::::jobs::::osx-release-tests::::<<::::steps::::steps_8::::run::::name(location: 289);git show 12d2758e0836e70c157e0ddb7da305670a94307e -- .circleci/config.yml;no;order changed in yaml file;generic yaml plugin
12d2758e0836e70c157e0ddb7da305670a94307e;f5c3fdc4ae1525d3129f5c63a093db9ca6d78724;fb9eaf7478f4726a26446e8bc30116f5;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;electron::::.circleci/config.yml::::jobs::::linux-x64-testing-nan::::<<::::steps::::steps_3::::run::::name::::Setup for headless testing <-> electron::::vsts-arm-test-steps.yml::::steps::::steps_7::::displayName::::Setup for headless testing;.circleci/config.yml;electron::::.circleci/config.yml::::jobs::::linux-x64-testing-nan::::<<::::steps::::steps_3::::run::::name(location: 444);git show 12d2758e0836e70c157e0ddb7da305670a94307e -- .circleci/config.yml;no;order changed in yaml file;generic yaml plugin
12d2758e0836e70c157e0ddb7da305670a94307e;f5c3fdc4ae1525d3129f5c63a093db9ca6d78724;b2103de79f5d3e782a5c5676fbe05631;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;electron::::.circleci/config.yml::::jobs::::linux-ia32-testing-tests::::<<::::steps::::steps_4::::run::::name::::Setup for headless testing <-> electron::::vsts-arm-test-steps.yml::::steps::::steps_7::::displayName::::Setup for headless testing;.circleci/config.yml;electron::::.circleci/config.yml::::jobs::::linux-ia32-testing-tests::::<<::::steps::::steps_4::::run::::name(location: 460);git show 12d2758e0836e70c157e0ddb7da305670a94307e -- .circleci/config.yml;no;order changed in yaml file;generic yaml plugin
235780ef1d3387acb76f6063b5d36666da2d254a;084d3982c9c4f9e22b706353ea371d20df41af3b;764439dade92dc32733f6710e107bf1a;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;electron::::.circleci/config.yml::::jobs::::linux-x64-testing::::<<::::steps::::steps_7::::run::::command::::cd src ninja -C out/Default electron:electron_mksnapshot_zip <-> electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_13::::bash::::cd src ninja -C out/Default electron:electron_mksnapshot_zip;.circleci/config.yml;electron::::.circleci/config.yml::::jobs::::linux-x64-testing::::<<::::steps::::steps_7::::run::::command(location: 267);git show 235780ef1d3387acb76f6063b5d36666da2d254a -- .circleci/config.yml;no;run in yaml file;obvious no conflict
2bf4b65eaad3ca783874e63912505e4ba096414f;9f227bcc87a9310ac3891a32d3ae556391c3c47d;f63523b825b5a5e5a75e0edd7da189cc;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;electron::::.circleci/config.yml::::jobs::::linux-arm64-release::::<<::::steps::::steps_14::::run::::name::::Check sccache stats after build <-> electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_4::::displayName::::Check sccache stats after build;.circleci/config.yml;electron::::.circleci/config.yml::::jobs::::linux-arm64-release::::<<::::steps::::steps_14::::run::::name(location: 62);git show 2bf4b65eaad3ca783874e63912505e4ba096414f -- .circleci/config.yml;no;order changed in yaml file;generic yaml plugin
2bf4b65eaad3ca783874e63912505e4ba096414f;9f227bcc87a9310ac3891a32d3ae556391c3c47d;ae9daaf1ccea0fe5480f13222087eb99;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;electron::::.circleci/config.yml::::jobs::::linux-x64-release::::<<::::steps::::steps_14::::run::::name::::Check sccache stats after build <-> electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_4::::displayName::::Check sccache stats after build;.circleci/config.yml;electron::::.circleci/config.yml::::jobs::::linux-x64-release::::<<::::steps::::steps_14::::run::::name(location: 62);git show 2bf4b65eaad3ca783874e63912505e4ba096414f -- .circleci/config.yml;no;order changed in yaml file;generic yaml plugin
2db9701e7d3b6ed213aae0a4cca3b83dc6ee5592;d50569a7df4015888bc3540eeef910a79cb6ae06;6bf8f6d439cf83d8315381dc8e879f07;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;electron::::.circleci/config.yml::::steps-tests::::steps::::steps_7::::run::::name::::Run Electron tests <-> electron::::vsts-arm-test-steps.yml::::steps::::steps_8::::displayName::::Run Electron tests;.circleci/config.yml;electron::::.circleci/config.yml::::steps-tests::::steps::::steps_7::::run::::name(location: 209);git show 2db9701e7d3b6ed213aae0a4cca3b83dc6ee5592 -- .circleci/config.yml;no;order changed in yaml file;generic yaml plugin
3365f7355523f462dbae7d4282522420663f113a;e72ae60096343076b56e8d7593452a4371df3215;eeb4c657424b0790a3de68fd88d5fc00;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;electron::::.circleci/config.yml::::jobs::::linux-ia32-verify-ffmpeg::::<<::::steps::::steps_3::::run::::name::::Setup for headless testing <-> electron::::vsts-arm-test-steps.yml::::steps::::steps_7::::displayName::::Setup for headless testing;.circleci/config.yml;electron::::.circleci/config.yml::::jobs::::linux-ia32-verify-ffmpeg::::<<::::steps::::steps_3::::run::::name(location: 287);git show 3365f7355523f462dbae7d4282522420663f113a -- .circleci/config.yml;no;order changed in yaml file;generic yaml plugin
350b901ac6eefa17357710bf1ffd521fc6aded51;bef8c3430cbb77145329d2ff7166a936d266db74;b9ad82100ceab3547ce52641d6d7b323;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;electron::::.circleci/config.yml::::jobs::::linux-x64-release::::<<::::steps::::steps_5::::run::::command::::cd src ninja -C out/Default electron:electron_dist_zip <-> electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_10::::bash::::cd src ninja -C out/Default electron:electron_dist_zip;.circleci/config.yml;electron::::.circleci/config.yml::::jobs::::linux-x64-release::::<<::::steps::::steps_5::::run::::command(location: 167);git show 350b901ac6eefa17357710bf1ffd521fc6aded51 -- .circleci/config.yml;no;order changed in yaml file;generic yaml plugin
37928ab1c6e3788cacfffa6c7ef180ee23ee6d1e;5fc9fbd5689d66b004b9d55d418ef374f3f1ecdd;09912cfd6a956a2c4c55688980aaf7ca;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;electron::::.circleci/config.yml::::jobs::::linux-ia32-testing-node::::<<::::steps::::steps_3::::run::::name::::Setup for headless testing <-> electron::::vsts-arm-test-steps.yml::::steps::::steps_6::::displayName::::Setup for headless testing;vsts-arm-test-steps.yml;electron::::vsts-arm-test-steps.yml::::steps::::steps_6::::displayName(location: 61);git show 37928ab1c6e3788cacfffa6c7ef180ee23ee6d1e -- vsts-arm-test-steps.yml;no;order changed in yaml file;generic yaml plugin
