occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
0af4f03a15ea9355f1a279fddae8a878fc4b777e;eeda3d7a24149654dc864771363660119ee3fbb6;2ab02c9b74aa50b46a3c39ada95543bc;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;freeCodeCamp::::.github/workflows/crowdin-i18n-client-ui-download.yml::::jobs::::i18n-download-client-ui-translations::::steps::::steps_2::::uses::::crowdin/github-action@master <-> freeCodeCamp::::.github/workflows/crowdin-i18n-docs.download.yml::::jobs::::i18n-download-docs-translations::::steps::::steps_3::::uses::::crowdin/github-action@master;.github/workflows/crowdin-i18n-docs.download.yml;freeCodeCamp::::.github/workflows/crowdin-i18n-docs.download.yml::::jobs::::i18n-download-docs-translations::::steps::::steps_3::::uses(location: 61);git show 0af4f03a15ea9355f1a279fddae8a878fc4b777e -- .github/workflows/crowdin-i18n-docs.download.yml;no;order changed in yaml file;generic yaml plugin
0cddfe38c1a74e4e666560cf088d223f7bad6569;55f601592b0627ecdee28964184760ff57d285c5;6bfa93da6cd8039fea191faf40f879bc;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;freeCodeCamp::::curriculum/challenges/espanol/12-certificates/legacy-back-end-certificate/legacy-back-end-certificate.yml::::tests::::tests_1::::title::::Request Header Parser Microservice <-> freeCodeCamp::::curriculum/challenges/portuguese/12-certificates/legacy-back-end-certificate/legacy-back-end-certificate.yml::::tests::::tests_1::::title::::Request Header Parser Microservice;curriculum/challenges/portuguese/12-certificates/legacy-back-end-certificate/legacy-back-end-certificate.yml;freeCodeCamp::::curriculum/challenges/portuguese/12-certificates/legacy-back-end-certificate/legacy-back-end-certificate.yml::::tests::::tests_1::::title(location: 12);git show 0cddfe38c1a74e4e666560cf088d223f7bad6569 -- curriculum/challenges/portuguese/12-certificates/legacy-back-end-certificate/legacy-back-end-certificate.yml;no;title in yaml file, different languages;obvious no conflict
0cddfe38c1a74e4e666560cf088d223f7bad6569;55f601592b0627ecdee28964184760ff57d285c5;9edfe2e131ddb453fee3a7fd6db62496;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;freeCodeCamp::::curriculum/challenges/espanol/12-certificates/legacy-front-end-certificate/legacy-front-end-certificate.yml::::tests::::tests_7::::title::::Build a Wikipedia Viewer <-> freeCodeCamp::::curriculum/challenges/italian/12-certificates/legacy-front-end-certificate/legacy-front-end-certificate.yml::::tests::::tests_7::::title::::Build a Wikipedia Viewer;curriculum/challenges/italian/12-certificates/legacy-front-end-certificate/legacy-front-end-certificate.yml;freeCodeCamp::::curriculum/challenges/italian/12-certificates/legacy-front-end-certificate/legacy-front-end-certificate.yml::::tests::::tests_7::::title(location: 30);git show 0cddfe38c1a74e4e666560cf088d223f7bad6569 -- curriculum/challenges/italian/12-certificates/legacy-front-end-certificate/legacy-front-end-certificate.yml;no;title in yaml file, different languages;obvious no conflict
0cddfe38c1a74e4e666560cf088d223f7bad6569;55f601592b0627ecdee28964184760ff57d285c5;e5e12773e5beb31b265808babb40faa7;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;freeCodeCamp::::curriculum/challenges/espanol/12-certificates/apis-and-microservices-certificate/apis-and-microservices-certificate.yml::::tests::::tests_1::::title::::Request Header Parser Microservice <-> freeCodeCamp::::curriculum/challenges/italian/12-certificates/legacy-back-end-certificate/legacy-back-end-certificate.yml::::tests::::tests_1::::title::::Request Header Parser Microservice;curriculum/challenges/italian/12-certificates/legacy-back-end-certificate/legacy-back-end-certificate.yml;freeCodeCamp::::curriculum/challenges/italian/12-certificates/legacy-back-end-certificate/legacy-back-end-certificate.yml::::tests::::tests_1::::title(location: 12);git show 0cddfe38c1a74e4e666560cf088d223f7bad6569 -- curriculum/challenges/italian/12-certificates/legacy-back-end-certificate/legacy-back-end-certificate.yml;no;title in yaml file, different languages;obvious no conflict
0cddfe38c1a74e4e666560cf088d223f7bad6569;55f601592b0627ecdee28964184760ff57d285c5;a4e5c956175809abb33f3c0660e9fd44;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;freeCodeCamp::::curriculum/challenges/espanol/12-certificates/legacy-front-end-certificate/legacy-front-end-certificate.yml::::tests::::tests_2::::title::::Build a 25 + 5 Clock <-> freeCodeCamp::::curriculum/challenges/italian/12-certificates/legacy-front-end-certificate/legacy-front-end-certificate.yml::::tests::::tests_2::::title::::Build a 25 + 5 Clock;curriculum/challenges/italian/12-certificates/legacy-front-end-certificate/legacy-front-end-certificate.yml;freeCodeCamp::::curriculum/challenges/italian/12-certificates/legacy-front-end-certificate/legacy-front-end-certificate.yml::::tests::::tests_2::::title(location: 15);git show 0cddfe38c1a74e4e666560cf088d223f7bad6569 -- curriculum/challenges/italian/12-certificates/legacy-front-end-certificate/legacy-front-end-certificate.yml;no;title in yaml file, different languages;obvious no conflict
0cddfe38c1a74e4e666560cf088d223f7bad6569;55f601592b0627ecdee28964184760ff57d285c5;b87d1ac8a7c8cc48e7b773fd09a4171c;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;freeCodeCamp::::curriculum/challenges/english/12-certificates/machine-learning-with-python-certificate/machine-learning-with-python-certificate.yml::::tests::::tests_0::::title::::Rock Paper Scissors <-> freeCodeCamp::::curriculum/challenges/portuguese/12-certificates/machine-learning-with-python-certificate/machine-learning-with-python-certificate.yml::::tests::::tests_0::::title::::Rock Paper Scissors;curriculum/challenges/portuguese/12-certificates/machine-learning-with-python-certificate/machine-learning-with-python-certificate.yml;freeCodeCamp::::curriculum/challenges/portuguese/12-certificates/machine-learning-with-python-certificate/machine-learning-with-python-certificate.yml::::tests::::tests_0::::title(location: 9);git show 0cddfe38c1a74e4e666560cf088d223f7bad6569 -- curriculum/challenges/portuguese/12-certificates/machine-learning-with-python-certificate/machine-learning-with-python-certificate.yml;no;title in yaml file, different languages;obvious no conflict
0cddfe38c1a74e4e666560cf088d223f7bad6569;55f601592b0627ecdee28964184760ff57d285c5;1cb33c483b7c1caae5404cbf18a2c1f5;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;freeCodeCamp::::curriculum/challenges/italian/12-certificates/relational-databases-certificate/relational-databases-certificate.yml::::tests::::tests_0::::title::::Celestial Bodies Database <-> freeCodeCamp::::curriculum/challenges/portuguese/12-certificates/relational-databases-certificate/relational-databases-certificate.yml::::tests::::tests_0::::title::::Celestial Bodies Database;curriculum/challenges/portuguese/12-certificates/relational-databases-certificate/relational-databases-certificate.yml;freeCodeCamp::::curriculum/challenges/portuguese/12-certificates/relational-databases-certificate/relational-databases-certificate.yml::::tests::::tests_0::::title(location: 9);git show 0cddfe38c1a74e4e666560cf088d223f7bad6569 -- curriculum/challenges/portuguese/12-certificates/relational-databases-certificate/relational-databases-certificate.yml;no;title in yaml file, different languages;obvious no conflict
0cddfe38c1a74e4e666560cf088d223f7bad6569;55f601592b0627ecdee28964184760ff57d285c5;8168b5e5fd90ef8beaebd2bba988eeb3;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;freeCodeCamp::::curriculum/challenges/english/12-certificates/legacy-back-end-certificate/legacy-back-end-certificate.yml::::title::::Legacy Back End Certificate <-> freeCodeCamp::::curriculum/challenges/italian/12-certificates/legacy-back-end-certificate/legacy-back-end-certificate.yml::::title::::Legacy Back End Certificate;curriculum/challenges/italian/12-certificates/legacy-back-end-certificate/legacy-back-end-certificate.yml;freeCodeCamp::::curriculum/challenges/italian/12-certificates/legacy-back-end-certificate/legacy-back-end-certificate.yml::::title(location: 3);git show 0cddfe38c1a74e4e666560cf088d223f7bad6569 -- curriculum/challenges/italian/12-certificates/legacy-back-end-certificate/legacy-back-end-certificate.yml;no;title in yaml file, different languages;obvious no conflict
0cddfe38c1a74e4e666560cf088d223f7bad6569;55f601592b0627ecdee28964184760ff57d285c5;17ea5422f706f699a4d2ad21b2bbd35c;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;freeCodeCamp::::curriculum/challenges/english/12-certificates/front-end-libraries-certificate/front-end-libraries-certificate.yml::::tests::::tests_1::::title::::Build a Markdown Previewer <-> freeCodeCamp::::curriculum/challenges/portuguese/12-certificates/front-end-libraries-certificate/front-end-libraries-certificate.yml::::tests::::tests_1::::title::::Build a Markdown Previewer;curriculum/challenges/portuguese/12-certificates/front-end-libraries-certificate/front-end-libraries-certificate.yml;freeCodeCamp::::curriculum/challenges/portuguese/12-certificates/front-end-libraries-certificate/front-end-libraries-certificate.yml::::tests::::tests_1::::title(location: 12);git show 0cddfe38c1a74e4e666560cf088d223f7bad6569 -- curriculum/challenges/portuguese/12-certificates/front-end-libraries-certificate/front-end-libraries-certificate.yml;no;title in yaml file, different languages;obvious no conflict
0cddfe38c1a74e4e666560cf088d223f7bad6569;55f601592b0627ecdee28964184760ff57d285c5;2b78d0a69d6a88ccedfa5a3ebe10c52f;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;freeCodeCamp::::curriculum/challenges/english/12-certificates/machine-learning-with-python-certificate/machine-learning-with-python-certificate.yml::::title::::Machine Learning with Python Certificate <-> freeCodeCamp::::curriculum/challenges/italian/12-certificates/machine-learning-with-python-certificate/machine-learning-with-python-certificate.yml::::title::::Machine Learning with Python Certificate;curriculum/challenges/italian/12-certificates/machine-learning-with-python-certificate/machine-learning-with-python-certificate.yml;freeCodeCamp::::curriculum/challenges/italian/12-certificates/machine-learning-with-python-certificate/machine-learning-with-python-certificate.yml::::title(location: 3);git show 0cddfe38c1a74e4e666560cf088d223f7bad6569 -- curriculum/challenges/italian/12-certificates/machine-learning-with-python-certificate/machine-learning-with-python-certificate.yml;no;title in yaml file, different languages;obvious no conflict
