occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
03aaf3b8c72d862a156435df44d6525f5d7c6b49;a6c8e9f98a403603dbd3d062d1e7283ca9545be1;8727dda36d1a7b5d82e1fdeb138178b1;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;frp::::conf/frpc.ini::::web02::::type::::http <-> frp::::conf/frps.ini::::web02::::type::::http;conf/frps.ini;frp::::conf/frps.ini::::web02::::type(location: section: web02, option: type);git show 03aaf3b8c72d862a156435df44d6525f5d7c6b49 -- conf/frps.ini;yes;option;same option
343de44a52ea125d807f328fc690d9228b873c93;784a52abc5d770eb54408ea72511a9c420a75d0f;7da1d223e793b7e1afc8b0dbf47ed0fe;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;frp::::.github/workflows/build-and-push-image.yml::::jobs::::binary::::steps::::steps_0::::with::::go-version::::1.16 <-> frp::::.github/workflows/goreleaser.yml::::jobs::::goreleaser::::steps::::steps_1::::with::::go-version::::1.16;.github/workflows/build-and-push-image.yml;frp::::.github/workflows/build-and-push-image.yml::::jobs::::binary::::steps::::steps_0::::with::::go-version(location: 21);git show 343de44a52ea125d807f328fc690d9228b873c93 -- .github/workflows/build-and-push-image.yml;yes;option;same option
457f67e6ebf51ce02ef645d35648e388f064c65c;4d37fc17e3468f9cfb03afefd5e831bd2598da39;e40b1a6b2d2c302d4f7e081f5a3add75;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;frp::::.github/workflows/stale.yml::::jobs::::stale::::steps::::steps_0::::with::::days-before-close::::10 <-> frp::::conf/frpc_full.ini::::ssh::::health_check_interval_s::::10;.github/workflows/stale.yml;frp::::.github/workflows/stale.yml::::jobs::::stale::::steps::::steps_0::::with::::days-before-close(location: 25);git show 457f67e6ebf51ce02ef645d35648e388f064c65c -- .github/workflows/stale.yml;no;magic numbers different options;magic number/word
80358b4191bc8064decb0bb611a22aa419fefa6c;5da32127b3c90177e55b72f5a64a25a8f28847e1;b780dff0600fedaa664a93f0a569558a;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;frp::::web/frpc/package.json::::scripts::::build::::rimraf dist && webpack -p --progress --hide-modules <-> frp::::web/frps/package.json::::scripts::::build::::rimraf dist && webpack -p --progress --hide-modules;web/frps/package.json;frp::::web/frps/package.json::::scripts::::build(location: 8);git show 80358b4191bc8064decb0bb611a22aa419fefa6c -- web/frps/package.json;yes;option;same option
80358b4191bc8064decb0bb611a22aa419fefa6c;5da32127b3c90177e55b72f5a64a25a8f28847e1;8a9c895fd9d995c7c67775239f3a38e8;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;frp::::web/frpc/package.json::::devDependencies::::less-loader::::less-loader:^4.1.0 <-> frp::::web/frps/package.json::::devDependencies::::less-loader::::less-loader:^4.1.0;web/frps/package.json;frp::::web/frps/package.json::::devDependencies::::less-loader(location: 38);git show 80358b4191bc8064decb0bb611a22aa419fefa6c -- web/frps/package.json;yes;library;version number
91a945bbe1d819b7d346fa63f3855d380c9ded1d;85c329e03d5c1fe61e0423af1d3d5f1b2c3d00ae;3af0fa90ab9d5e2504735ec5ed741194;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;frp::::conf/frpc.ini::::web02::::type::::http <-> frp::::tests/conf/auto_test_frpc.ini::::web::::type::::http;conf/frpc.ini;frp::::conf/frpc.ini::::web02::::type(location: section: web02, option: type);git show 91a945bbe1d819b7d346fa63f3855d380c9ded1d -- conf/frpc.ini;yes;option;same option
a388fb1dae6204b2cf62792a9fea315e73d2dc36;2d36a91b66e6cdefef9989a0b9ecf8708207ad74;dd03fa112f8bcf57234b4452acd82a88;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;frp::::glide.yaml::::import::::import_9::::package::::github.com/pkg/errors <-> frp::::vendor/github.com/pkg/errors/.travis.yml::::go_import_path::::github.com/pkg/errors;glide.yaml;frp::::glide.yaml::::import::::import_9::::package(location: 25);git show a388fb1dae6204b2cf62792a9fea315e73d2dc36 -- glide.yaml;no;order changed in yaml file;generic yaml plugin
a6c8e9f98a403603dbd3d062d1e7283ca9545be1;10dac6da80736543b2e5b575a506598ad2f8018d;1a2ad630e8291f1774896c8882cf98e3;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;frp::::conf/frpc.ini::::web01::::type::::http <-> frp::::conf/frps.ini::::web01::::type::::http;conf/frps.ini;frp::::conf/frps.ini::::web01::::type(location: section: web01, option: type);git show a6c8e9f98a403603dbd3d062d1e7283ca9545be1 -- conf/frps.ini;yes;option;same option
c89ac77976a269981b7005b371f81d224d54a0f5;22f957352f2ca413a76cb47b1fa7260696c86c08;c1ec1127707e5c55692038c9873a0587;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;frp::::tests/ci/auto_test_frpc_visitor.ini::::common::::log_level::::debug <-> frp::::tests/ci/auto_test_frps.ini::::common::::log_level::::debug;tests/ci/auto_test_frps.ini;frp::::tests/ci/auto_test_frps.ini::::common::::log_level(location: section: common, option: log_level);git show c89ac77976a269981b7005b371f81d224d54a0f5 -- tests/ci/auto_test_frps.ini;yes;option;same option
ccd7c4db654f5b45fa7286ca3b9b10e29cecc438;2dacc69c5de3124ad8b230f6462832b692ee35dc;4f9808f0212755b2f71e5a45c5b76e11;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;frp::::conf/frpc.ini::::common::::server_addr::::0.0.0.0 <-> frp::::tests/conf/auto_test_frps.ini::::common::::bind_addr::::0.0.0.0;conf/frpc.ini;frp::::conf/frpc.ini::::common::::server_addr(location: section: common, option: server_addr);git show ccd7c4db654f5b45fa7286ca3b9b10e29cecc438 -- conf/frpc.ini;yes;different options;different options
