occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
43e7fbca2a34db9935bdc01ad0929ff6a259af01;08fa6091b9093eb590155c7a5d4156a42c029cae;c9db40ff18639fd263c36d3fad5e042d;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;mall::::mall-demo/pom.xml::::project::::description::::Demo project for Spring Boot <-> mall::::mall-portal/pom.xml::::project::::description::::Demo project for Spring Boot;mall-portal/pom.xml;mall::::mall-portal/pom.xml::::project::::description(location: 12);git show 43e7fbca2a34db9935bdc01ad0929ff6a259af01 -- mall-portal/pom.xml;no;description in pom.xml;obvious no conflict
73214817a82d64f6e191704a9390660e4551c43b;1a236d8ed970180c6fee8844a978dd3d52323864;4a7d896d909638ecae004b249f36f095;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;mall::::mall-admin/src/main/resources/application-prod.properties::::spring.datasource.username::::root <-> mall::::mall-mbg/src/main/resources/generator.properties::::jdbc.password::::root;mall-admin/src/main/resources/application-prod.properties;mall::::mall-admin/src/main/resources/application-prod.properties::::spring.datasource.username(location: section: dummy_section, option: spring.datasource.username);git show 73214817a82d64f6e191704a9390660e4551c43b -- mall-admin/src/main/resources/application-prod.properties;no;different options;obvious no conflict
73214817a82d64f6e191704a9390660e4551c43b;1a236d8ed970180c6fee8844a978dd3d52323864;c2a3a3182af0d0a697b7fbd027c060be;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;mall::::mall-search/src/main/resources/application-dev.properties::::spring.datasource.username::::root <-> mall::::mall-search/src/main/resources/application-prod.properties::::spring.datasource.username::::root;mall-search/src/main/resources/application-prod.properties;mall::::mall-search/src/main/resources/application-prod.properties::::spring.datasource.username(location: section: dummy_section, option: spring.datasource.username);git show 73214817a82d64f6e191704a9390660e4551c43b -- mall-search/src/main/resources/application-prod.properties;yes;option;same option
73214817a82d64f6e191704a9390660e4551c43b;1a236d8ed970180c6fee8844a978dd3d52323864;b072ceca8c19d843edd1f76d47af0eea;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;mall::::mall-portal/src/main/resources/application-dev.properties::::spring.datasource.username::::root <-> mall::::mall-portal/src/main/resources/application-prod.properties::::spring.datasource.username::::root;mall-portal/src/main/resources/application-prod.properties;mall::::mall-portal/src/main/resources/application-prod.properties::::spring.datasource.username(location: section: dummy_section, option: spring.datasource.username);git show 73214817a82d64f6e191704a9390660e4551c43b -- mall-portal/src/main/resources/application-prod.properties;yes;option;same option
73214817a82d64f6e191704a9390660e4551c43b;1a236d8ed970180c6fee8844a978dd3d52323864;7966e718d54d1c65f4e9f080e762ddfa;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;mall::::mall-mbg/src/main/resources/generator.properties::::jdbc.userid::::root <-> mall::::mall-search/src/main/resources/application-prod.properties::::spring.datasource.password::::root;mall-search/src/main/resources/application-prod.properties;mall::::mall-search/src/main/resources/application-prod.properties::::spring.datasource.password(location: section: dummy_section, option: spring.datasource.password);git show 73214817a82d64f6e191704a9390660e4551c43b -- mall-search/src/main/resources/application-prod.properties;no;different options;obvious no conflict
73214817a82d64f6e191704a9390660e4551c43b;1a236d8ed970180c6fee8844a978dd3d52323864;bfa4a9daa520d8f10a25e22a6789a3c6;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;mall::::mall-admin/src/main/resources/application-prod.properties::::spring.datasource.password::::root <-> mall::::mall-portal/src/main/resources/application-dev.properties::::spring.datasource.username::::root;mall-admin/src/main/resources/application-prod.properties;mall::::mall-admin/src/main/resources/application-prod.properties::::spring.datasource.password(location: section: dummy_section, option: spring.datasource.password);git show 73214817a82d64f6e191704a9390660e4551c43b -- mall-admin/src/main/resources/application-prod.properties;no;different options;obvious no conflict
73214817a82d64f6e191704a9390660e4551c43b;1a236d8ed970180c6fee8844a978dd3d52323864;afb286130e6359f98da673955b4dcaf6;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;mall::::mall-mbg/src/main/resources/generator.properties::::jdbc.password::::root <-> mall::::mall-portal/src/main/resources/application-prod.properties::::spring.datasource.password::::root;mall-portal/src/main/resources/application-prod.properties;mall::::mall-portal/src/main/resources/application-prod.properties::::spring.datasource.password(location: section: dummy_section, option: spring.datasource.password);git show 73214817a82d64f6e191704a9390660e4551c43b -- mall-portal/src/main/resources/application-prod.properties;yes;option;same option
8cb20508e869e761123861922ba31285faae24e7;7ece9913960884ab3a59a196fcbecac72c6e99d3;e676019af3217925657b686b4daea7a7;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;mall::::mall-portal/pom.xml::::project::::description::::Demo project for Spring Boot <-> mall::::mall-search/pom.xml::::project::::description::::Demo project for Spring Boot;mall-search/pom.xml;mall::::mall-search/pom.xml::::project::::description(location: 12);git show 8cb20508e869e761123861922ba31285faae24e7 -- mall-search/pom.xml;no;description in pom.xml;obvious no conflict
8cb20508e869e761123861922ba31285faae24e7;7ece9913960884ab3a59a196fcbecac72c6e99d3;396ae83fa85fd195b872cdc54ede6abc;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;mall::::mall-demo/pom.xml::::project::::dependencies::::dependency_com.macro/mall-mbg::::groupId::::com.macro <-> mall::::pom.xml::::project::::groupId::::com.macro;pom.xml;mall::::pom.xml::::project::::groupId(location: 7);git show 8cb20508e869e761123861922ba31285faae24e7 -- pom.xml;no;different options;obvious no conflict
8cb20508e869e761123861922ba31285faae24e7;7ece9913960884ab3a59a196fcbecac72c6e99d3;2006d26779ea4175d77dd1900aec87e7;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;mall::::mall-demo/pom.xml::::project::::dependencies::::dependency_com.macro/mall-mbg::::groupId::::com.macro <-> mall::::mall-search/pom.xml::::project::::groupId::::com.macro;mall-search/pom.xml;mall::::mall-search/pom.xml::::project::::groupId(location: 6);git show 8cb20508e869e761123861922ba31285faae24e7 -- mall-search/pom.xml;no;different options;obvious no conflict
