occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
0b2d3cad1313443a7740ef63b5b55af1e92d06bb;71dc5baf75cb43c00e71a75857ea7213c1002c6c;d99067224c4750421f3d4210ae24e7a8;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;puppeteer::::experimental/puppeteer-firefox/package.json::::dependencies::::ws::::ws:^6.1.0 <-> puppeteer::::package.json::::dependencies::::ws::::ws:^6.1.0;package.json;puppeteer::::package.json::::dependencies::::ws(location: 47);git show 0b2d3cad1313443a7740ef63b5b55af1e92d06bb -- package.json;yes;library;version number
2a1e67815e566773c3f947121f1e98525c4b9717;dc18de5a3b4fc80b958a7477d8b840fb4d4b107e;c3173b131a346a8953fa5b34c6b8238b;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;puppeteer::::package.json::::devDependencies::::typescript::::typescript:4.2.4 <-> puppeteer::::test-ts-types/js-cjs-import-esm-output/package.json::::devDependencies::::typescript::::typescript:4.2.4;package.json;puppeteer::::package.json::::devDependencies::::typescript(location: 115);git show 2a1e67815e566773c3f947121f1e98525c4b9717 -- package.json;yes;library;version number
3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b;93ee922f938d7882ff38ca187f0b89ec0eba53fe;a1f1b70e6f1a6d48827a2f2f733c6b94;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;puppeteer::::experimental/puppeteer-firefox/package.json::::dependencies::::mime::::mime:^2.0.3 <-> puppeteer::::package.json::::devDependencies::::mime::::mime:^2.0.3;package.json;puppeteer::::package.json::::devDependencies::::mime(location: 101);git show 3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b -- package.json;yes;library;version number
3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b;93ee922f938d7882ff38ca187f0b89ec0eba53fe;1cf9b2bf915124e44b662800d50dced9;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;puppeteer::::package.json::::devDependencies::::@types/sinon::::@types/sinon:^9.0.4 <-> puppeteer::::vendor/mitt/package.json::::devDependencies::::@types/sinon::::@types/sinon:^9.0.4;package.json;puppeteer::::package.json::::devDependencies::::@types/sinon(location: 83);git show 3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b -- package.json;yes;library;version number
3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b;93ee922f938d7882ff38ca187f0b89ec0eba53fe;1d1bd8513a90dc81ec3628cc5d363670;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;puppeteer::::package.json::::devDependencies::::sinon::::sinon:^9.0.2 <-> puppeteer::::vendor/mitt/package.json::::devDependencies::::sinon::::sinon:^9.0.2;package.json;puppeteer::::package.json::::devDependencies::::sinon(location: 108);git show 3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b -- package.json;yes;library;version number
3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b;93ee922f938d7882ff38ca187f0b89ec0eba53fe;f67dd63178a2fd9455917a545bdf5e28;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;puppeteer::::experimental/puppeteer-firefox/package.json::::dependencies::::progress::::progress:^2.0.1 <-> puppeteer::::package.json::::dependencies::::progress::::progress:^2.0.1;package.json;puppeteer::::package.json::::dependencies::::progress(location: 65);git show 3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b -- package.json;yes;library;version number
3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b;93ee922f938d7882ff38ca187f0b89ec0eba53fe;98b5983bdb293f5122ef714f17691fdd;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;puppeteer::::package.json::::dependencies::::rimraf::::rimraf:^3.0.2 <-> puppeteer::::vendor/mitt/package.json::::devDependencies::::rimraf::::rimraf:^3.0.2;package.json;puppeteer::::package.json::::dependencies::::rimraf(location: 67);git show 3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b -- package.json;yes;library;version number
3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b;93ee922f938d7882ff38ca187f0b89ec0eba53fe;01f5a809464b8058cb57387f677041ab;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;puppeteer::::experimental/puppeteer-firefox/package.json::::dependencies::::debug::::debug:^4.1.0 <-> puppeteer::::package.json::::dependencies::::debug::::debug:^4.1.0;package.json;puppeteer::::package.json::::dependencies::::debug(location: 59);git show 3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b -- package.json;yes;library;version number
3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b;93ee922f938d7882ff38ca187f0b89ec0eba53fe;96e45f5049d2f19e30342e792efe3ddb;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;puppeteer::::package.json::::devDependencies::::@types/mocha::::@types/mocha:^7.0.2 <-> puppeteer::::vendor/mitt/package.json::::devDependencies::::@types/mocha::::@types/mocha:^7.0.2;package.json;puppeteer::::package.json::::devDependencies::::@types/mocha(location: 79);git show 3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b -- package.json;yes;library;version number
3fa85796b7b4cf6973d0b34c75e3441d1e7f18b7;25e4e6d951e5716e052944a440ecea425b8ca46a;edf68fd915730dfc1dd7d320c1955a78;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;puppeteer::::experimental/puppeteer-firefox/package.json::::dependencies::::proxy-from-env::::proxy-from-env:^1.0.0 <-> puppeteer::::package.json::::dependencies::::proxy-from-env::::proxy-from-env:^1.0.0;package.json;puppeteer::::package.json::::dependencies::::proxy-from-env(location: 57);git show 3fa85796b7b4cf6973d0b34c75e3441d1e7f18b7 -- package.json;yes;library;version number
