occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
01dbed4d82b9088cd4c89c9f21093c8ae7930e18;0bffac2a0037f9bac8c43e6b3be68730d9e7b8e2;94bc224d4d63436d3bd5e728cb0d4b9e;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;react-native::::package.json::::dependencies::::babel-generator::::babel-generator:^6.21.0 <-> react-native::::packager/package.json::::dependencies::::babel-generator::::babel-generator:^6.21.0;package.json;react-native::::package.json::::dependencies::::babel-generator(location: 138);git show 01dbed4d82b9088cd4c89c9f21093c8ae7930e18 -- package.json;yes;library;version number
01dbed4d82b9088cd4c89c9f21093c8ae7930e18;0bffac2a0037f9bac8c43e6b3be68730d9e7b8e2;63f2a78ce418bbff2207f7bc6470194d;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;react-native::::package.json::::dependencies::::babel-register::::babel-register:^6.18.0 <-> react-native::::packager/package.json::::dependencies::::babel-register::::babel-register:^6.18.0;package.json;react-native::::package.json::::dependencies::::babel-register(location: 148);git show 01dbed4d82b9088cd4c89c9f21093c8ae7930e18 -- package.json;yes;library;version number
01dbed4d82b9088cd4c89c9f21093c8ae7930e18;0bffac2a0037f9bac8c43e6b3be68730d9e7b8e2;f6686e6bfbc1cc2027c357b3176dd23b;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;react-native::::package.json::::dependencies::::babel-core::::babel-core:^6.21.0 <-> react-native::::packager/package.json::::dependencies::::babel-core::::babel-core:^6.21.0;package.json;react-native::::package.json::::dependencies::::babel-core(location: 137);git show 01dbed4d82b9088cd4c89c9f21093c8ae7930e18 -- package.json;yes;library;version number
037979a2ac722036fb0a4967769f38535507dd10;2615aada8ac20c2ff86a54c42fc84140858bb5a9;6453a6b56a37be4aa168c2a77fb1e855;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;react-native::::ReactCommon/hermes/inspector/tools/msggen/package.json::::dependencies::::yargs::::yargs:^14.2.0 <-> react-native::::package.json::::devDependencies::::yargs::::yargs:^14.2.0;package.json;react-native::::package.json::::devDependencies::::yargs(location: 152);git show 037979a2ac722036fb0a4967769f38535507dd10 -- package.json;yes;library;version number
051a05b9f2069f48dbf1a6608b225b1610ed249d;05095cc10799494272a5174d3a95c910568b4456;19f16baaec528f31808ce44fc6e4df73;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;react-native::::package.json::::dependencies::::babel-types::::babel-types:^6.6.4 <-> react-native::::website/package.json::::dependencies::::babel-types::::babel-types:^6.6.4;package.json;react-native::::package.json::::dependencies::::babel-types(location: 151);git show 051a05b9f2069f48dbf1a6608b225b1610ed249d -- package.json;yes;library;version number
051a05b9f2069f48dbf1a6608b225b1610ed249d;05095cc10799494272a5174d3a95c910568b4456;adb7e460357173ea4a2eeaf253a3b589;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;react-native::::babel-preset/package.json::::dependencies::::babel-plugin-syntax-trailing-function-commas::::babel-plugin-syntax-trailing-function-commas:^6.5.0 <-> react-native::::package.json::::dependencies::::babel-plugin-syntax-trailing-function-commas::::babel-plugin-syntax-trailing-function-commas:^6.5.0;package.json;react-native::::package.json::::dependencies::::babel-plugin-syntax-trailing-function-commas(location: 143);git show 051a05b9f2069f48dbf1a6608b225b1610ed249d -- package.json;yes;library;version number
051a05b9f2069f48dbf1a6608b225b1610ed249d;05095cc10799494272a5174d3a95c910568b4456;e109d4db025f4bedda8e06dc85b57032;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;react-native::::package.json::::dependencies::::babel-register::::babel-register:^6.6.0 <-> react-native::::website/package.json::::dependencies::::babel-register::::babel-register:^6.6.0;package.json;react-native::::package.json::::dependencies::::babel-register(location: 150);git show 051a05b9f2069f48dbf1a6608b225b1610ed249d -- package.json;yes;library;version number
161a09fc1e6f6f90ebe67cb739e5deccd46e5b99;369aff8584a10b84523cf50251c9b07beb342e72;ee070be0c41b94d2c259854eb3cd0d14;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;react-native::::package.json::::devDependencies::::eslint::::eslint:5.1.0 <-> react-native::::packages/eslint-config-react-native-community/package.json::::devDependencies::::eslint::::eslint:5.1.0;packages/eslint-config-react-native-community/package.json;react-native::::packages/eslint-config-react-native-community/package.json::::devDependencies::::eslint(location: 22);git show 161a09fc1e6f6f90ebe67cb739e5deccd46e5b99 -- packages/eslint-config-react-native-community/package.json;no;option was removed;generic yaml plugin
18f661e44426a100c243db4052c73ae23b4c5c56;986ace86b985c3258d28de9db88312c9ad9fd76b;7a2a870b3f5e959c52d495d96da69560;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;react-native::::package.json::::dependencies::::wordwrap::::wordwrap:^1.0.0 <-> react-native::::packager/package.json::::dependencies::::wordwrap::::wordwrap:^1.0.0;package.json;react-native::::package.json::::dependencies::::wordwrap(location: 75);git show 18f661e44426a100c243db4052c73ae23b4c5c56 -- package.json;yes;library;version number
1ab3002239992ab7a80dd5e7428afa55bb4ee008;ea53218ae94726b45b7d5933a0fda9129386274d;6c02a0b60267c7521f91d429c9d92aa8;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;react-native::::ReactCommon/hermes/inspector/tools/msggen/package.json::::version::::version:1.0.0 <-> react-native::::packages/polyfills/package.json::::version::::version:1.0.0;packages/polyfills/package.json;react-native::::packages/polyfills/package.json::::version(location: 3);git show 1ab3002239992ab7a80dd5e7428afa55bb4ee008 -- packages/polyfills/package.json;yes;version;version number
431d6386cbfc4cb7c5c26494137c4a6b2c84bea7;856927fb20f4f17be286b3a82c12197de5625036;8ab30d8b71218d80dcbe19253642f9e6;ModifiedOptionConflict;ConfigType.NAME<->ConfigType.NAME;react-native::::packager/package.json::::name::::react-native-cli <-> react-native::::react-native-cli/package.json::::name::::react-native-cli;packager/package.json;react-native::::packager/package.json::::name(location: 3);git show 431d6386cbfc4cb7c5c26494137c4a6b2c84bea7 -- packager/package.json;no;name in package.json;obvious no conflict
49dec444c1a62308eefcc278cdba7707cda10bee;5e526294d2aebbd9df18bcc455470d33c68daf45;2978e5e42b583cc03eb6352b8de043ed;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;react-native::::package.json::::dependencies::::jest-haste-map::::jest-haste-map:18.0.0 <-> react-native::::packager/package.json::::dependencies::::jest-haste-map::::jest-haste-map:18.0.0;package.json;react-native::::package.json::::dependencies::::jest-haste-map(location: 162);git show 49dec444c1a62308eefcc278cdba7707cda10bee -- package.json;yes;library;version number
4eb57cf39b31addf0871971d3d36041d603799e1;c5740a3ce5e49acfb8e52f7066bbd152825f7381;55a15cb684a5b823b56b3d382a180f73;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;react-native::::local-cli/core/__fixtures__/files/package.json::::version::::version:1.0.0 <-> react-native::::react-native-cli/package.json::::version::::version:1.0.0;react-native-cli/package.json;react-native::::react-native-cli/package.json::::version(location: 3);git show 4eb57cf39b31addf0871971d3d36041d603799e1 -- react-native-cli/package.json;yes;version;version number
509108afde6b6048df7b10873634dc9517537695;d5daa214c7069f67a84c1bbe006afd73e40c3c69;77c26ba3c21f06d6d13d09dce31609a1;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;react-native::::package.json::::dependencies::::babel-preset-fbjs::::babel-preset-fbjs:^2.1.0 <-> react-native::::packager/package.json::::dependencies::::babel-preset-fbjs::::babel-preset-fbjs:^2.1.0;package.json;react-native::::package.json::::dependencies::::babel-preset-fbjs(location: 146);git show 509108afde6b6048df7b10873634dc9517537695 -- package.json;yes;library;version number
53023fb877dfceaa4acc0a946ee2a3df854c0c24;ac6136afadd650861c408244bb1799dc080aab0d;d0645ba9511f61541be6d62daa1f806a;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;react-native::::ReactCommon/hermes/inspector/tools/msggen/package.json::::version::::version:1.0.0 <-> react-native::::packages/normalize-color/package.json::::version::::version:1.0.0;packages/normalize-color/package.json;react-native::::packages/normalize-color/package.json::::version(location: 3);git show 53023fb877dfceaa4acc0a946ee2a3df854c0c24 -- packages/normalize-color/package.json;yes;version;version number
55773e7359b5c26c72716a5ec1ced36d00f26c99;7afa4d0ec20d056a7518a6bd884478a46cde865d;a986acd9760bce9ad60b9dc690290732;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;react-native::::package.json::::dependencies::::babel-plugin-external-helpers::::babel-plugin-external-helpers:^6.5.0 <-> react-native::::website/package.json::::dependencies::::babel-plugin-external-helpers::::babel-plugin-external-helpers:^6.5.0;package.json;react-native::::package.json::::dependencies::::babel-plugin-external-helpers(location: 134);git show 55773e7359b5c26c72716a5ec1ced36d00f26c99 -- package.json;yes;library;version number
55773e7359b5c26c72716a5ec1ced36d00f26c99;7afa4d0ec20d056a7518a6bd884478a46cde865d;c61e10d91ec4e6cb0f0191cb491dc9c9;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;react-native::::package.json::::dependencies::::babel-polyfill::::babel-polyfill:^6.6.1 <-> react-native::::website/package.json::::dependencies::::babel-polyfill::::babel-polyfill:^6.6.1;package.json;react-native::::package.json::::dependencies::::babel-polyfill(location: 138);git show 55773e7359b5c26c72716a5ec1ced36d00f26c99 -- package.json;yes;library;version number
55773e7359b5c26c72716a5ec1ced36d00f26c99;7afa4d0ec20d056a7518a6bd884478a46cde865d;9710a31501782b428fbe1e5d1ba9a03d;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;react-native::::package.json::::dependencies::::babel-core::::babel-core:^6.6.4 <-> react-native::::website/package.json::::dependencies::::babel-core::::babel-core:^6.6.4;package.json;react-native::::package.json::::dependencies::::babel-core(location: 133);git show 55773e7359b5c26c72716a5ec1ced36d00f26c99 -- package.json;yes;library;version number
576e294ad80904e8ffb13b6bc09100033cd3afe1;f1f2046e5316001b5b9b76f849d153eeda18316a;322fda7d4b23ebf2a79f99075c379bca;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;react-native::::ReactCommon/hermes/inspector/tools/msggen/package.json::::version::::version:1.0.0 <-> react-native::::packages/eslint-config-react-native-community/package.json::::version::::version:1.0.0;packages/eslint-config-react-native-community/package.json;react-native::::packages/eslint-config-react-native-community/package.json::::version(location: 3);git show 576e294ad80904e8ffb13b6bc09100033cd3afe1 -- packages/eslint-config-react-native-community/package.json;yes;version;version number
613631cd743b384d50f7d539269b08cee28b36b4;77ca7fa72aaa0fbea5d98dc9d2efd326efd2547d;b24c5a4ac9b5cb31029559f6495d4d7d;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;react-native::::local-cli/rnpm/link/package.json::::dependencies::::xcode::::xcode:^0.8.2 <-> react-native::::package.json::::dependencies::::xcode::::xcode:^0.8.2;package.json;react-native::::package.json::::dependencies::::xcode(location: 189);git show 613631cd743b384d50f7d539269b08cee28b36b4 -- package.json;yes;library;version number
6612c4675eec216679d2f19995bf8b638926c320;36786ebea1a8faf2cb4a28bc14486069be53730f;6e9a6d635e8a7d77b5ff1479bee7acda;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;react-native::::Libraries/Animated/release/package.json::::version::::version:0.1.0 <-> react-native::::react-native-git-upgrade/package.json::::version::::version:0.1.0;react-native-git-upgrade/package.json;react-native::::react-native-git-upgrade/package.json::::version(location: 3);git show 6612c4675eec216679d2f19995bf8b638926c320 -- react-native-git-upgrade/package.json;yes;version;version number
761b249134e2a06701b09ab024a7c455f182bd3f;4288579ae99f8d50d6026dc435be4afe4d2ece9f;8189f97dc8dc828064cb07563e2e58af;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;react-native::::package.json::::scripts::::start::::./packager/packager.sh <-> react-native::::packager/package.json::::scripts::::start::::./packager/packager.sh;package.json;react-native::::package.json::::scripts::::start(location: 43);git show 761b249134e2a06701b09ab024a7c455f182bd3f -- package.json;yes;option;same option
7a1feec859dec3b2f887502a392527ef04ad123b;42cc025494bd14ee553eba5106a5ca2cc04cf93b;17286fe407747db6845564bf10eaca57;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;react-native::::package.json::::dependencies::::babel-register::::babel-register:^6.18.0 <-> react-native::::react-native-git-upgrade/package.json::::dependencies::::babel-register::::babel-register:^6.18.0;package.json;react-native::::package.json::::dependencies::::babel-register(location: 137);git show 7a1feec859dec3b2f887502a392527ef04ad123b -- package.json;yes;library;version number
