occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
067f2b09823dca5c1fad829e49467b3b4e78dd7c;94e624a295ebe2b2425bfcde768ece0813b08003;532af3643abae81d716182f17b75d7b0;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;realworld::::etc/backend-repos.yaml::::etc/backend-repos.yaml_38::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png <-> realworld::::etc/frontend-repos.yaml::::etc/frontend-repos.yaml_23::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png;etc/frontend-repos.yaml;realworld::::etc/frontend-repos.yaml::::etc/frontend-repos.yaml_23::::logo(location: 72);git show 067f2b09823dca5c1fad829e49467b3b4e78dd7c -- etc/frontend-repos.yaml;no;order changed in yaml file;generic yaml plugin
07f5a2ed7323ffd3686d0c4e127f47f587505e2b;c3098de63f7d362e8b555ce6deccbe00ed1ca025;00ddfdd908d2304f95396d20fc83bd97;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;realworld::::etc/backend-repos.yaml::::etc/backend-repos.yaml_38::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png <-> realworld::::etc/frontend-repos.yaml::::etc/frontend-repos.yaml_26::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png;etc/frontend-repos.yaml;realworld::::etc/frontend-repos.yaml::::etc/frontend-repos.yaml_26::::logo(location: 81);git show 07f5a2ed7323ffd3686d0c4e127f47f587505e2b -- etc/frontend-repos.yaml;no;order changed in yaml file;generic yaml plugin
07f5a2ed7323ffd3686d0c4e127f47f587505e2b;c3098de63f7d362e8b555ce6deccbe00ed1ca025;3429fd8d68215d0d280cd1e63868e168;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;realworld::::etc/backend-repos.yaml::::etc/backend-repos.yaml_29::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png <-> realworld::::etc/frontend-repos.yaml::::etc/frontend-repos.yaml_29::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png;etc/frontend-repos.yaml;realworld::::etc/frontend-repos.yaml::::etc/frontend-repos.yaml_29::::logo(location: 90);git show 07f5a2ed7323ffd3686d0c4e127f47f587505e2b -- etc/frontend-repos.yaml;no;order changed in yaml file;generic yaml plugin
3007b217dce959483b9bfc8598db0e0efc878f1a;9e81032baeb7a1f02c2c4d03ef7e5304ae444a21;d72ac4a56cd449d02cb83608f372d644;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;realworld::::etc/backend-repos.yaml::::etc/backend-repos.yaml_37::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png <-> realworld::::etc/frontend-repos.yaml::::etc/frontend-repos.yaml_25::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png;etc/backend-repos.yaml;realworld::::etc/backend-repos.yaml::::etc/backend-repos.yaml_37::::logo(location: 114);git show 3007b217dce959483b9bfc8598db0e0efc878f1a -- etc/backend-repos.yaml;no;order changed in yaml file;generic yaml plugin
661955f88e69ab72805c49f785761e256ab9b97f;62ea7d1411f7504a3070d4a2d00438c7e299eb56;b7cc09179f0599a99b8b155e4be5841b;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;realworld::::etc/backend-repos.yaml::::etc/backend-repos.yaml_29::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png <-> realworld::::etc/frontend-repos.yaml::::etc/frontend-repos.yaml_29::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png;etc/frontend-repos.yaml;realworld::::etc/frontend-repos.yaml::::etc/frontend-repos.yaml_29::::logo(location: 90);git show 661955f88e69ab72805c49f785761e256ab9b97f -- etc/frontend-repos.yaml;no;order changed in yaml file;generic yaml plugin
661955f88e69ab72805c49f785761e256ab9b97f;62ea7d1411f7504a3070d4a2d00438c7e299eb56;264307960bf0b25c38d3dd180c7d24af;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;realworld::::etc/backend-repos.yaml::::etc/backend-repos.yaml_29::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png <-> realworld::::etc/frontend-repos.yaml::::etc/frontend-repos.yaml_25::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png;etc/frontend-repos.yaml;realworld::::etc/frontend-repos.yaml::::etc/frontend-repos.yaml_25::::logo(location: 78);git show 661955f88e69ab72805c49f785761e256ab9b97f -- etc/frontend-repos.yaml;no;order changed in yaml file;generic yaml plugin
691e90c12e527038200b93e8c72814ea4dec1e9b;afb2e43b4e1049d6a9e85ff38bac85ee9c8e8b8c;20a3b4282a2b760cc33bd884734c3fdc;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;realworld::::etc/backend-repos.yaml::::etc/backend-repos.yaml_38::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png <-> realworld::::etc/frontend-repos.yaml::::etc/frontend-repos.yaml_24::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png;etc/backend-repos.yaml;realworld::::etc/backend-repos.yaml::::etc/backend-repos.yaml_38::::logo(location: 117);git show 691e90c12e527038200b93e8c72814ea4dec1e9b -- etc/backend-repos.yaml;no;order changed in yaml file;generic yaml plugin
691e90c12e527038200b93e8c72814ea4dec1e9b;afb2e43b4e1049d6a9e85ff38bac85ee9c8e8b8c;d7a859be93d2f1eb16221f441149ed71;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;realworld::::etc/backend-repos.yaml::::etc/backend-repos.yaml_30::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png <-> realworld::::etc/frontend-repos.yaml::::etc/frontend-repos.yaml_24::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png;etc/backend-repos.yaml;realworld::::etc/backend-repos.yaml::::etc/backend-repos.yaml_30::::logo(location: 93);git show 691e90c12e527038200b93e8c72814ea4dec1e9b -- etc/backend-repos.yaml;no;order changed in yaml file;generic yaml plugin
86c414da64bd032a9289ef9bf8469bd36b246ab9;31edff56178b5e851ed8794c2ecdb5e4b645adfd;e63661f1d11e718bada4f42c1cedf042;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;realworld::::etc/backend-repos.yaml::::etc/backend-repos.yaml_30::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png <-> realworld::::etc/frontend-repos.yaml::::etc/frontend-repos.yaml_21::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png;etc/frontend-repos.yaml;realworld::::etc/frontend-repos.yaml::::etc/frontend-repos.yaml_21::::logo(location: 66);git show 86c414da64bd032a9289ef9bf8469bd36b246ab9 -- etc/frontend-repos.yaml;no;logo in yaml file;obvious no cnflict
9e81032baeb7a1f02c2c4d03ef7e5304ae444a21;87891603bf6331b8e26c23417ef8861e832f7c2e;3dd06a34c4ee6675aefe9e254de57d4e;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;realworld::::etc/backend-repos.yaml::::etc/backend-repos.yaml_37::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png <-> realworld::::etc/frontend-repos.yaml::::etc/frontend-repos.yaml_28::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png;etc/frontend-repos.yaml;realworld::::etc/frontend-repos.yaml::::etc/frontend-repos.yaml_28::::logo(location: 87);git show 9e81032baeb7a1f02c2c4d03ef7e5304ae444a21 -- etc/frontend-repos.yaml;no;order changed in yaml file;generic yaml plugin
9e81032baeb7a1f02c2c4d03ef7e5304ae444a21;87891603bf6331b8e26c23417ef8861e832f7c2e;5383a795c27d3d2427173dd0c98191a7;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;realworld::::etc/backend-repos.yaml::::etc/backend-repos.yaml_29::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png <-> realworld::::etc/frontend-repos.yaml::::etc/frontend-repos.yaml_24::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png;etc/frontend-repos.yaml;realworld::::etc/frontend-repos.yaml::::etc/frontend-repos.yaml_24::::logo(location: 75);git show 9e81032baeb7a1f02c2c4d03ef7e5304ae444a21 -- etc/frontend-repos.yaml;no;order changed in yaml file;generic yaml plugin
d4ccbfa412e8d4d9bbe9269f8b2c44af1aff20c6;dc9844edc5b682862f90a6ef3c8101f52cbd6ea2;1dd1eb7359caf9359b7fa3539fd2f829;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;realworld::::etc/backend-repos.yaml::::etc/backend-repos.yaml_38::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png <-> realworld::::etc/frontend-repos.yaml::::etc/frontend-repos.yaml_30::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png;etc/frontend-repos.yaml;realworld::::etc/frontend-repos.yaml::::etc/frontend-repos.yaml_30::::logo(location: 93);git show d4ccbfa412e8d4d9bbe9269f8b2c44af1aff20c6 -- etc/frontend-repos.yaml;no;order changed in yaml file;generic yaml plugin
d4ccbfa412e8d4d9bbe9269f8b2c44af1aff20c6;dc9844edc5b682862f90a6ef3c8101f52cbd6ea2;7b2f0c1746d57d2daea5617e12b747d6;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;realworld::::etc/backend-repos.yaml::::etc/backend-repos.yaml_38::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png <-> realworld::::etc/frontend-repos.yaml::::etc/frontend-repos.yaml_27::::logo::::https://raw.githubusercontent.com/gothinkster/realworld-starter-kit/master/logo.png;etc/frontend-repos.yaml;realworld::::etc/frontend-repos.yaml::::etc/frontend-repos.yaml_27::::logo(location: 84);git show d4ccbfa412e8d4d9bbe9269f8b2c44af1aff20c6 -- etc/frontend-repos.yaml;no;order changed in yaml file;generic yaml plugin
