occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
0c5871244cde3b29289b938ae3f5a8a61fef2264;5e58f3ec899985fa047dc5c62c200c97ae74171a;7344f7846758cc5340e6b4f2447a4e33;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::examples/official-storybook/package.json::::devDependencies::::react-dom::::react-dom:^16.4.2 <-> storybook::::lib/cli/test/fixtures/react_babelrc/package.json::::dependencies::::react-dom::::react-dom:^16.4.2;examples/official-storybook/package.json;storybook::::examples/official-storybook/package.json::::devDependencies::::react-dom(location: 51);git show 0c5871244cde3b29289b938ae3f5a8a61fef2264 -- examples/official-storybook/package.json;yes;library;version number
0c5871244cde3b29289b938ae3f5a8a61fef2264;5e58f3ec899985fa047dc5c62c200c97ae74171a;0e9f342bf2638006da90990cbda47115;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::app/angular/package.json::::dependencies::::react::::react:^16.4.2 <-> storybook::::lib/cli/test/fixtures/react_babel_config_js/package.json::::dependencies::::react::::react:^16.4.2;app/angular/package.json;storybook::::app/angular/package.json::::dependencies::::react(location: 38);git show 0c5871244cde3b29289b938ae3f5a8a61fef2264 -- app/angular/package.json;yes;library;version number
16536bc7ca5ef89ec6f08df5485f9bae13606e09;7190bec21daca24470dfa4f1ddd52a634268fc0d;8f0987b094df1822356332f304303791;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::addons/essentials/package.json::::peerDependencies::::@storybook/vue::::@storybook/vue:6.5.0-alpha.3 <-> storybook::::examples/vue-cli/package.json::::devDependencies::::@storybook/vue::::@storybook/vue:6.5.0-alpha.3;addons/essentials/package.json;storybook::::addons/essentials/package.json::::peerDependencies::::@storybook/vue(location: 59);git show 16536bc7ca5ef89ec6f08df5485f9bae13606e09 -- addons/essentials/package.json;yes;library;version number
1709cfd7f992b16ba056cb1b0009f4669b0f4be5;17643b4b71d688df518e254087fcb08cacb78ffc;a3ccc122a967ce9c3db7726eb970d5c1;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::addons/ondevice-backgrounds/package.json::::version::::version:4.1.0 <-> storybook::::app/preact/package.json::::version::::version:4.1.0;addons/ondevice-backgrounds/package.json;storybook::::addons/ondevice-backgrounds/package.json::::version(location: 3);git show 1709cfd7f992b16ba056cb1b0009f4669b0f4be5 -- addons/ondevice-backgrounds/package.json;yes;version;version number
26e76300bdeefdfca7a004aa41a43ad0b4d73ab2;514cb0e9c3f42da43e8734cd07bf88c7e0df0606;5b75c9e0451cc4cdff6b7f10a430ca90;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::examples/vue-kitchen-sink/package.json::::devDependencies::::@storybook/addons::::@storybook/addons:^3.4.0-alpha.7 <-> storybook::::lib/cli/test/snapshots/react_native_scripts/package.json::::devDependencies::::@storybook/addons::::@storybook/addons:^3.4.0-alpha.7;examples/vue-kitchen-sink/package.json;storybook::::examples/vue-kitchen-sink/package.json::::devDependencies::::@storybook/addons(location: 23);git show 26e76300bdeefdfca7a004aa41a43ad0b4d73ab2 -- examples/vue-kitchen-sink/package.json;yes;library;version number
2b9500e543d0403d20553df7b71ec5a28f9fc9db;c5b1b5d53ba3ad4aa589416dcf251cfea52e867e;de2eac5d40a203850d9c6da88b2188c2;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::app/vue/package.json::::dependencies::::@storybook/addon-links::::@storybook/addon-links:^3.3.0-alpha.6 <-> storybook::::lib/cli/test/snapshots/react_native/package.json::::devDependencies::::@storybook/addon-links::::@storybook/addon-links:^3.3.0-alpha.6;app/vue/package.json;storybook::::app/vue/package.json::::dependencies::::@storybook/addon-links(location: 26);git show 2b9500e543d0403d20553df7b71ec5a28f9fc9db -- app/vue/package.json;yes;library;version number
301ace0326b0efa3fe8a3bcaeb84eb4ae45b9037;31150f4d18b7bbaaa5f6aa941073950d05814348;952bc367c878ca95e3d2932bb0fc70e3;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::examples/official-storybook/package.json::::devDependencies::::@storybook/addon-actions::::@storybook/addon-actions:^3.4.0-alpha.6 <-> storybook::::lib/cli/test/snapshots/angular-cli/package.json::::devDependencies::::@storybook/addon-actions::::@storybook/addon-actions:^3.4.0-alpha.6;examples/official-storybook/package.json;storybook::::examples/official-storybook/package.json::::devDependencies::::@storybook/addon-actions(location: 14);git show 301ace0326b0efa3fe8a3bcaeb84eb4ae45b9037 -- examples/official-storybook/package.json;yes;library;version number
301ace0326b0efa3fe8a3bcaeb84eb4ae45b9037;31150f4d18b7bbaaa5f6aa941073950d05814348;556c72f5c8787d769823dbdf47fd6a16;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::lib/cli/test/snapshots/react/package.json::::devDependencies::::@storybook/react::::@storybook/react:^3.4.0-alpha.6 <-> storybook::::lib/ui/package.json::::devDependencies::::@storybook/react::::@storybook/react:^3.4.0-alpha.6;lib/ui/package.json;storybook::::lib/ui/package.json::::devDependencies::::@storybook/react(location: 48);git show 301ace0326b0efa3fe8a3bcaeb84eb4ae45b9037 -- lib/ui/package.json;yes;library;version number
34d67578762d09e6658f2149f096ef578b10676e;c4de394383b67c47b1b5c530fc9aa48c898cbc43;3e850c2727e2f9f3889f64fa94ffddc3;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::app/vue/package.json::::dependencies::::@storybook/addon-actions::::@storybook/addon-actions:^3.3.0-rc.0 <-> storybook::::lib/cli/test/snapshots/react/package.json::::devDependencies::::@storybook/addon-actions::::@storybook/addon-actions:^3.3.0-rc.0;app/vue/package.json;storybook::::app/vue/package.json::::dependencies::::@storybook/addon-actions(location: 25);git show 34d67578762d09e6658f2149f096ef578b10676e -- app/vue/package.json;yes;library;version number
34d67578762d09e6658f2149f096ef578b10676e;c4de394383b67c47b1b5c530fc9aa48c898cbc43;8c9c35f2522782a1faee9b8414f695d5;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::app/vue/package.json::::dependencies::::@storybook/addon-links::::@storybook/addon-links:^3.3.0-rc.0 <-> storybook::::lib/cli/test/snapshots/react_project/package.json::::devDependencies::::@storybook/addon-links::::@storybook/addon-links:^3.3.0-rc.0;app/vue/package.json;storybook::::app/vue/package.json::::dependencies::::@storybook/addon-links(location: 26);git show 34d67578762d09e6658f2149f096ef578b10676e -- app/vue/package.json;yes;library;version number
3705c5604b411b7004b25622f83b44139c6509c6;944227aaa99d05c9694e617120c3bcf78cdf1329;ab0466ab038e4a77c56c285dbfa37f8e;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::addons/knobs/package.json::::version::::version:4.0.0 <-> storybook::::package.json::::version::::version:4.0.0;addons/knobs/package.json;storybook::::addons/knobs/package.json::::version(location: 3);git show 3705c5604b411b7004b25622f83b44139c6509c6 -- addons/knobs/package.json;yes;version;version number
3705c5604b411b7004b25622f83b44139c6509c6;944227aaa99d05c9694e617120c3bcf78cdf1329;012300149c876bed37b6938db57a1c61;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::app/marko/package.json::::version::::version:4.0.0 <-> storybook::::package.json::::version::::version:4.0.0;app/marko/package.json;storybook::::app/marko/package.json::::version(location: 3);git show 3705c5604b411b7004b25622f83b44139c6509c6 -- app/marko/package.json;yes;version;version number
3705c5604b411b7004b25622f83b44139c6509c6;944227aaa99d05c9694e617120c3bcf78cdf1329;3254082a5d29eeefdee288837599f44f;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::addons/events/package.json::::dependencies::::@storybook/addons::::@storybook/addons:4.0.0 <-> storybook::::addons/storyshots/storyshots-core/package.json::::devDependencies::::@storybook/addons::::@storybook/addons:4.0.0;addons/events/package.json;storybook::::addons/events/package.json::::dependencies::::@storybook/addons(location: 30);git show 3705c5604b411b7004b25622f83b44139c6509c6 -- addons/events/package.json;yes;library;version number
3b8be65eb82fc9657799b8e23133673b98d9b293;4deec607d7f5e5178431414737665946e1f1227f;e32dbd678018cb5f3a6cf0d2af87b3f1;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::docs/package.json::::dependencies::::@storybook/addon-actions::::@storybook/addon-actions:5.1.0-alpha.6 <-> storybook::::examples/official-storybook/package.json::::devDependencies::::@storybook/addon-actions::::@storybook/addon-actions:5.1.0-alpha.6;examples/official-storybook/package.json;storybook::::examples/official-storybook/package.json::::devDependencies::::@storybook/addon-actions(location: 17);git show 3b8be65eb82fc9657799b8e23133673b98d9b293 -- examples/official-storybook/package.json;yes;library;version number
3b8be65eb82fc9657799b8e23133673b98d9b293;4deec607d7f5e5178431414737665946e1f1227f;e72a736e19d13fba7d99b7354ef2d9f0;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::docs/package.json::::dependencies::::@storybook/addon-links::::@storybook/addon-links:5.1.0-alpha.6 <-> storybook::::examples/riot-kitchen-sink/package.json::::devDependencies::::@storybook/addon-links::::@storybook/addon-links:5.1.0-alpha.6;examples/riot-kitchen-sink/package.json;storybook::::examples/riot-kitchen-sink/package.json::::devDependencies::::@storybook/addon-links(location: 23);git show 3b8be65eb82fc9657799b8e23133673b98d9b293 -- examples/riot-kitchen-sink/package.json;yes;library;version number
