occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
418df63f5cf07cd500f9dfa43fe9b9cb0a3e7996;9d9f14753516c73315e06c4453a6f8658e696c29;323c77ae97ee726e224805fc05ad89a0;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;tailwindcss::::.github/workflows/release-insiders.yml::::jobs::::build::::steps::::steps_5::::run::::npm test <-> tailwindcss::::.github/workflows/release.yml::::jobs::::build::::steps::::steps_5::::run::::npm test;.github/workflows/release.yml;tailwindcss::::.github/workflows/release.yml::::jobs::::build::::steps::::steps_5::::run(location: 45);git show 418df63f5cf07cd500f9dfa43fe9b9cb0a3e7996 -- .github/workflows/release.yml;no;order changed in yaml file;generic yaml plugin
418df63f5cf07cd500f9dfa43fe9b9cb0a3e7996;9d9f14753516c73315e06c4453a6f8658e696c29;21370abb376e262bb535b699e7641bfd;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;tailwindcss::::.github/workflows/release-insiders.yml::::jobs::::build::::steps::::steps_5::::name::::Test <-> tailwindcss::::.github/workflows/release.yml::::jobs::::build::::steps::::steps_5::::name::::Test;.github/workflows/release.yml;tailwindcss::::.github/workflows/release.yml::::jobs::::build::::steps::::steps_5::::name(location: 44);git show 418df63f5cf07cd500f9dfa43fe9b9cb0a3e7996 -- .github/workflows/release.yml;no;order changed in yaml file;generic yaml plugin
418df63f5cf07cd500f9dfa43fe9b9cb0a3e7996;9d9f14753516c73315e06c4453a6f8658e696c29;07715691bf4f8d7ed15689a8417999ad;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;tailwindcss::::.github/workflows/integration-tests.yml::::jobs::::test::::steps::::steps_4::::run::::npm run prepublishOnly <-> tailwindcss::::.github/workflows/nodejs.yml::::jobs::::build::::steps::::steps_4::::run::::npm run prepublishOnly;.github/workflows/nodejs.yml;tailwindcss::::.github/workflows/nodejs.yml::::jobs::::build::::steps::::steps_4::::run(location: 42);git show 418df63f5cf07cd500f9dfa43fe9b9cb0a3e7996 -- .github/workflows/nodejs.yml;no;option was removed;generic yaml plugin
418df63f5cf07cd500f9dfa43fe9b9cb0a3e7996;9d9f14753516c73315e06c4453a6f8658e696c29;d246c94819b1dde9076619071efcfeee;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;tailwindcss::::.github/workflows/integration-tests.yml::::jobs::::test::::steps::::steps_4::::run::::npm run prepublishOnly <-> tailwindcss::::.github/workflows/release.yml::::jobs::::build::::steps::::steps_4::::run::::npm run prepublishOnly;.github/workflows/release.yml;tailwindcss::::.github/workflows/release.yml::::jobs::::build::::steps::::steps_4::::run(location: 40);git show 418df63f5cf07cd500f9dfa43fe9b9cb0a3e7996 -- .github/workflows/release.yml;no;option was removed;generic yaml plugin
418df63f5cf07cd500f9dfa43fe9b9cb0a3e7996;9d9f14753516c73315e06c4453a6f8658e696c29;5555c8dd39bcf9777d1ac276a4a5a15e;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;tailwindcss::::.github/workflows/integration-tests.yml::::jobs::::test::::steps::::steps_4::::run::::npm run prepublishOnly <-> tailwindcss::::.github/workflows/release-insiders.yml::::jobs::::build::::steps::::steps_4::::run::::npm run prepublishOnly;.github/workflows/release-insiders.yml;tailwindcss::::.github/workflows/release-insiders.yml::::jobs::::build::::steps::::steps_4::::run(location: 40);git show 418df63f5cf07cd500f9dfa43fe9b9cb0a3e7996 -- .github/workflows/release-insiders.yml;no;option was removed;generic yaml plugin
5dce25a4cea029b2a66e1174b77122f4807ecc21;42bc7a965800cc6a0e2580d7ea57e99e21fb7772;94615c2d953a79c7cb2f228c817a21e2;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;tailwindcss::::integrations/rollup/package.json::::scripts::::test::::jest <-> tailwindcss::::integrations/webpack-5/package.json::::scripts::::test::::jest;integrations/rollup/package.json;tailwindcss::::integrations/rollup/package.json::::scripts::::test(location: 7);git show 5dce25a4cea029b2a66e1174b77122f4807ecc21 -- integrations/rollup/package.json;yes;option;same option
5dce25a4cea029b2a66e1174b77122f4807ecc21;42bc7a965800cc6a0e2580d7ea57e99e21fb7772;45e50bd8b636f4605c1b31f7d8c2037f;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;tailwindcss::::integrations/webpack-4/package.json::::scripts::::test::::jest <-> tailwindcss::::integrations/webpack-5/package.json::::scripts::::test::::jest;integrations/webpack-4/package.json;tailwindcss::::integrations/webpack-4/package.json::::scripts::::test(location: 10);git show 5dce25a4cea029b2a66e1174b77122f4807ecc21 -- integrations/webpack-4/package.json;yes;option;same option
5dce25a4cea029b2a66e1174b77122f4807ecc21;42bc7a965800cc6a0e2580d7ea57e99e21fb7772;6e46d13bb1c4bbe2420d7f40add021cb;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;tailwindcss::::integrations/vite/package.json::::scripts::::test::::jest <-> tailwindcss::::integrations/webpack-5/package.json::::scripts::::test::::jest;integrations/vite/package.json;tailwindcss::::integrations/vite/package.json::::scripts::::test(location: 9);git show 5dce25a4cea029b2a66e1174b77122f4807ecc21 -- integrations/vite/package.json;yes;option;same option
5dce25a4cea029b2a66e1174b77122f4807ecc21;42bc7a965800cc6a0e2580d7ea57e99e21fb7772;94ccf79989ca9eea6681a911923e8ec3;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;tailwindcss::::integrations/postcss-cli/package.json::::scripts::::test::::jest <-> tailwindcss::::integrations/webpack-5/package.json::::scripts::::test::::jest;integrations/postcss-cli/package.json;tailwindcss::::integrations/postcss-cli/package.json::::scripts::::test(location: 7);git show 5dce25a4cea029b2a66e1174b77122f4807ecc21 -- integrations/postcss-cli/package.json;yes;option;same option
5dce25a4cea029b2a66e1174b77122f4807ecc21;42bc7a965800cc6a0e2580d7ea57e99e21fb7772;8af68ac5bb3446c5e7c089c13306e7ee;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;tailwindcss::::integrations/parcel/package.json::::scripts::::test::::jest <-> tailwindcss::::integrations/webpack-5/package.json::::scripts::::test::::jest;integrations/parcel/package.json;tailwindcss::::integrations/parcel/package.json::::scripts::::test(location: 8);git show 5dce25a4cea029b2a66e1174b77122f4807ecc21 -- integrations/parcel/package.json;yes;option;same option
65650bb043c7365e51a62ef30c82612d35e6de1b;df758b6874c32006f078bb4c0a3dd6a997b05714;5f059ab6cbc81d468d492b1ca8c76783;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;tailwindcss::::integrations/postcss-cli/package.json::::scripts::::test::::jest <-> tailwindcss::::integrations/tailwindcss-cli/package.json::::scripts::::test::::jest;integrations/tailwindcss-cli/package.json;tailwindcss::::integrations/tailwindcss-cli/package.json::::scripts::::test(location: 7);git show 65650bb043c7365e51a62ef30c82612d35e6de1b -- integrations/tailwindcss-cli/package.json;yes;option;same option
6c5db2ed902e4e681bbbff8082566972fb207771;0e2131df3ea4199e870b97030910c68e55f3e6dc;2acd68434cdc6fac1f0dd78ffb5aa9bd;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;tailwindcss::::integrations/package.json::::devDependencies::::jest::::jest:^26.6.3 <-> tailwindcss::::package.json::::devDependencies::::jest::::jest:^26.6.3;package.json;tailwindcss::::package.json::::devDependencies::::jest(location: 58);git show 6c5db2ed902e4e681bbbff8082566972fb207771 -- package.json;yes;library;version number
88b57ea992b6a46a2c17eea4b8a9699dc8383641;ee83e3ba719e08149a97266862874ca14c1600bb;9120f36a2fc511608dfa08d95824f99f;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;tailwindcss::::.github/workflows/nodejs.yml::::jobs::::build::::steps::::steps_5::::run::::npm test <-> tailwindcss::::.github/workflows/release-insiders.yml::::jobs::::build::::steps::::steps_4::::run::::npm test;.github/workflows/release-insiders.yml;tailwindcss::::.github/workflows/release-insiders.yml::::jobs::::build::::steps::::steps_4::::run(location: 39);git show 88b57ea992b6a46a2c17eea4b8a9699dc8383641 -- .github/workflows/release-insiders.yml;no;order changed in yaml file;generic yaml plugin
88b57ea992b6a46a2c17eea4b8a9699dc8383641;ee83e3ba719e08149a97266862874ca14c1600bb;bf2db0b386d4d8b4f78aa835af8d1e9b;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;tailwindcss::::.github/workflows/release-insiders.yml::::jobs::::build::::steps::::steps_7::::name::::Publish <-> tailwindcss::::.github/workflows/release.yml::::jobs::::build::::steps::::steps_5::::name::::Publish;.github/workflows/release.yml;tailwindcss::::.github/workflows/release.yml::::jobs::::build::::steps::::steps_5::::name(location: 41);git show 88b57ea992b6a46a2c17eea4b8a9699dc8383641 -- .github/workflows/release.yml;no;order changed in yaml file;generic yaml plugin
