occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
1b7370918ac988524bdc604fd919608c827b0b76;f6cf38a3eeddf256ac7625a06d087b6ca1049f53;6bddcb13b055836eaab6c0427ae39b66;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;transformers::::.github/workflows/self-nightly-scheduled.yml::::jobs::::run_all_tests_torch_multi_gpu::::steps::::steps_6::::name::::Run all pipeline tests on GPU <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_tf_multi_gpu::::steps::::steps_6::::name::::Run all pipeline tests on GPU;.github/workflows/self-scheduled.yml;transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_tf_multi_gpu::::steps::::steps_6::::name(location: 352);git show 1b7370918ac988524bdc604fd919608c827b0b76 -- .github/workflows/self-scheduled.yml;no;order changed in yaml file;generic yaml plugin
1b7370918ac988524bdc604fd919608c827b0b76;f6cf38a3eeddf256ac7625a06d087b6ca1049f53;db1482ef71f1b5b7b05dcb71ff6b7617;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;transformers::::.github/workflows/self-nightly-scheduled.yml::::jobs::::run_all_tests_torch_cuda_extensions_multi_gpu::::steps::::steps_6::::name::::Test suite reports artifacts <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_tf_multi_gpu::::steps::::steps_8::::name::::Test suite reports artifacts;.github/workflows/self-scheduled.yml;transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_tf_multi_gpu::::steps::::steps_8::::name(location: 365);git show 1b7370918ac988524bdc604fd919608c827b0b76 -- .github/workflows/self-scheduled.yml;no;order changed in yaml file;generic yaml plugin
1b7370918ac988524bdc604fd919608c827b0b76;f6cf38a3eeddf256ac7625a06d087b6ca1049f53;723b1f426b37cc9ade64cb1b2c07ebf3;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_torch_cuda_extensions_multi_gpu::::steps::::steps_8::::name::::Test suite reports artifacts <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_torch_cuda_extensions_multi_gpu::::steps::::steps_6::::name::::Test suite reports artifacts;.github/workflows/self-scheduled.yml;transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_torch_cuda_extensions_multi_gpu::::steps::::steps_6::::name(location: 494);git show 1b7370918ac988524bdc604fd919608c827b0b76 -- .github/workflows/self-scheduled.yml;no;order changed in yaml file;generic yaml plugin
1b7370918ac988524bdc604fd919608c827b0b76;f6cf38a3eeddf256ac7625a06d087b6ca1049f53;5e3569d69756951852cc8b39ee0fe6d5;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;transformers::::.github/workflows/self-nightly-scheduled.yml::::jobs::::run_all_tests_torch_gpu::::steps::::steps_7::::run::::cat reports/examples_torch_gpu_failures_short.txt <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_torch_gpu::::steps::::steps_7::::run::::cat reports/examples_torch_gpu_failures_short.txt;.github/workflows/self-scheduled.yml;transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_torch_gpu::::steps::::steps_7::::run(location: 66);git show 1b7370918ac988524bdc604fd919608c827b0b76 -- .github/workflows/self-scheduled.yml;no;order changed in yaml file;generic yaml plugin
1b7370918ac988524bdc604fd919608c827b0b76;f6cf38a3eeddf256ac7625a06d087b6ca1049f53;d017aaea9684a9896d284ada6b94d568;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;transformers::::.github/workflows/self-nightly-scheduled.yml::::jobs::::run_all_tests_torch_multi_gpu::::steps::::steps_6::::run::::python -m pytest -n 1 -v --dist=loadfile -m is_pipeline_test --make-reports=tests_torch_pipeline_multi_gpu tests <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_torch_multi_gpu::::steps::::steps_6::::run::::python -m pytest -n 1 -v --dist=loadfile -m is_pipeline_test --make-reports=tests_torch_pipeline_multi_gpu tests;.github/workflows/self-scheduled.yml;transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_torch_multi_gpu::::steps::::steps_6::::run(location: 291);git show 1b7370918ac988524bdc604fd919608c827b0b76 -- .github/workflows/self-scheduled.yml;no;order changed in yaml file;generic yaml plugin
1b7370918ac988524bdc604fd919608c827b0b76;f6cf38a3eeddf256ac7625a06d087b6ca1049f53;b73f5399d4d8254321accd1049b960ea;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_torch_gpu::::steps::::steps_7::::name::::Failure short reports <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_tf_multi_gpu::::steps::::steps_7::::name::::Failure short reports;.github/workflows/self-scheduled.yml;transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_tf_multi_gpu::::steps::::steps_7::::name(location: 356);git show 1b7370918ac988524bdc604fd919608c827b0b76 -- .github/workflows/self-scheduled.yml;no;order changed in yaml file;generic yaml plugin
45e74afe55af956a10a7ad12d104b19ff33cda14;0dd87771a538990296a37614abdc35cc7165609f;ad26b808912dcc8041e048698159511a;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;transformers::::.github/workflows/self-scheduled.yml::::on::::schedule::::schedule_0::::cron::::0 0 * * * <-> transformers::::.github/workflows/stale.yml::::on::::schedule::::schedule_0::::cron::::0 0 * * *;.github/workflows/stale.yml;transformers::::.github/workflows/stale.yml::::on::::schedule::::schedule_0::::cron(location: 5);git show 45e74afe55af956a10a7ad12d104b19ff33cda14 -- .github/workflows/stale.yml;yes;option;same option
522e58e931f5e74049e16b1fac529d7bf35fb84c;5d8018d7c194057a2094b71afa72cc3b32c392a5;b2c8c3bb13faca6ef0d398ec8cf4481d;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_torch_cuda_extensions_multi_gpu::::steps::::steps_6::::name::::Run all tests on GPU <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_tf_gpu::::steps::::steps_4::::name::::Run all tests on GPU;.github/workflows/self-push.yml;transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_torch_cuda_extensions_multi_gpu::::steps::::steps_6::::name(location: 356);git show 522e58e931f5e74049e16b1fac529d7bf35fb84c -- .github/workflows/self-push.yml;no;order changed in yaml file;generic yaml plugin
6697af6d13022fa0b767e45bbda9b8710755155a;0521a781f92d6f5405f17621e86057f12a0d37d8;cf6ec993e2b28d9ef80f877552a807c6;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;transformers::::.github/workflows/doctests.yml::::jobs::::run_doctests::::steps::::steps_2::::name::::Install dependencies <-> transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_torch_gpu::::steps::::steps_2::::name::::Install dependencies;.github/workflows/self-push.yml;transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_torch_gpu::::steps::::steps_2::::name(location: 43);git show 6697af6d13022fa0b767e45bbda9b8710755155a -- .github/workflows/self-push.yml;no;name in yaml file and order changed;generic yaml plugin
6697af6d13022fa0b767e45bbda9b8710755155a;0521a781f92d6f5405f17621e86057f12a0d37d8;70bc5039be307b30622c49575d74d7f2;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_torch_multi_gpu::::steps::::steps_1::::name::::NVIDIA-SMI <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_torch_cuda_extensions_multi_gpu::::steps::::steps_1::::name::::NVIDIA-SMI;.github/workflows/self-push.yml;transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_torch_multi_gpu::::steps::::steps_1::::name(location: 152);git show 6697af6d13022fa0b767e45bbda9b8710755155a -- .github/workflows/self-push.yml;no;name in yaml file and order changed;generic yaml plugin
