"id","creationdate","score","title","tags"
46778868,2017-10-16 20:48:19,32,ng serve not working in Docker container,<angular><docker><docker-compose>
50257670,2018-05-09 16:04:25,27,dotnet core + Angular Universal + docker => Prerendering failed because of error: Error: Cannot find module,<angular><docker><asp.net-core><.net-core><angular-universal>
42485830,2017-02-27 12:28:13,20,Docker Nginx Angular2/Angular routes,<angular><nginx><docker><nginx-location>
44176922,2017-05-25 09:26:19,20,Docker container doesn't reload Angular app,<angular><docker><docker-compose><containers>
52291042,2018-09-12 08:44:49,17,Angular App running on nginx and behind an additional nginx reverse proxy,<angular><docker><nginx><reverse-proxy><nginx-reverse-proxy>
55784400,2019-04-21 16:10:24,15,Listen to changes and reload container on code change - docker-compose,<angular><visual-studio><docker><docker-compose><hot-reload>
44549480,2017-06-14 15:55:53,15,Angular & Docker: Environment aware configuration,<angular><docker>
50639530,2018-06-01 08:49:21,14,error TS2687: All declarations of 'observable' must have identical modifiers,<angular><typescript><docker><angular-cli>
42443194,2017-02-24 16:07:31,11,How to configure `ng serve` to catch changes in a dockersized Angular 2 app?,<angular><docker><docker-compose><angular-cli>
41486048,2017-01-05 13:12:50,11,How to shrink size of Docker image with NodeJs,<node.js><angular><docker><dockerfile>
56318079,2019-05-26 23:14:43,11,Angular Nginx Docker 404,<angular><docker><nginx><http-status-code-404>
56213079,2019-05-20 00:28:14,11,"404 Error on page refresh with Angular 7, NGINX and Docker",<angular><docker><nginx>
51337391,2018-07-14 10:02:32,10,"Docker/Angular/Nginx: ""exec: \""npm\"": executable file not found in $PATH"":",<angular><docker><nginx>
55757966,2019-04-19 07:12:31,10,Very Slow ng build --prod in Docker,<node.js><angular><docker><angular-cli-v6>
40379931,2016-11-02 12:25:50,10,configure Angular 2 Webpack App in Docker container environment specific,<angular><nginx><docker><webpack>
41485063,2017-01-05 12:25:04,8,Docker container with Angular2 app and NodeJs does not respond,<node.js><angular><docker>
61800182,2020-05-14 14:40:26,7,How to route Angular app inside Nginx container?,<angular><docker><nginx><docker-compose><routes>
50859980,2018-06-14 14:34:01,7,Configuring Dockerfile for an ASP.NET Core 2.1 Angular Project,<angular><docker><.net-core><asp.net-core-2.0><docker-for-windows>
57169923,2019-07-23 18:07:02,7,"""[NetworkError]"" in Angular SSR console with no additional information",<angular><docker><server-side-rendering>
49930865,2018-04-19 21:59:44,6,Angular CLI & Docker: ng serve change detection very slow,<angular><docker>
48685664,2018-02-08 12:34:48,6,Dockerized angular cli application hot reload fails,<angular><docker><angular-cli>
62349843,2020-06-12 17:55:37,6,API with dotnet/angular spa app cannot be reached inside docker container but can be reached outside docker container,<c#><angular><docker><.net-core><docker-compose>
61044111,2020-04-05 14:24:05,6,cors issue when throwing a runtime exception with spring and docker,<angular><spring><docker><cors><digital-ocean>
54838341,2019-02-23 04:50:08,5,Running headless Chromium Browser throws error 'Failed to read DnsConfig' (inside Docker container),<angular><docker><karma-jasmine><chromium>
49448669,2018-03-23 11:30:34,5,Angular app + NGINX + Docker,<angular><docker><nginx><web>
53230974,2018-11-09 17:53:28,5,Angular Docker hot reload not working on windows,<angular><docker>
51101115,2018-06-29 11:50:53,5,Angular Development Docker Container,<angular><docker><dockerfile>
59155171,2019-12-03 10:38:33,5,mime.types is not used for javascript and css files for angular 8 application(dockerized with nginx:alpine),<angular><docker><nginx><mime-types>
60772173,2020-03-20 10:12:54,5,Can't build Angular project after upgrade from 8 to 9,<node.js><angular><typescript><docker>
48754529,2018-02-12 19:56:09,5,No such file tsconfig.app.json when using docker to set up dev environment on Windows 10,<windows><angular><docker><docker-compose>
48351225,2018-01-20 00:02:11,5,Docker bind mount volumes do not propagate changes events watched by angular `ng serve` execution,<angular><docker><angular-cli><dockerfile><mounted-volumes>
53319337,2018-11-15 12:17:02,5,Angular: ng-serve ignoring certificates,<angular><docker><ssl><angular-cli>
45458468,2017-08-02 10:36:51,5,How to run unit tests inside Docker container,<angular><docker><karma-jasmine>
