Title,Method,Relevant,Origin Paper,Year,Publication,Level:Type Iteration 1,Level:Type Iteration 2,Level:Type Iteration 3,Level:Type Iteration 4,Notes,Iteration 1,Iteration 2,Iteration 3,Iteration 4
Understanding configuration dependencies of file systems,none,relevant,none,2022,HotStorage,"intra-component:value relationship, cross-component:value relationship, intra-component:constraints, cross-component:behavioral, cross-component:value control, intra-component:value control","intra-component:value relationship, cross-component:value relationship, intra-component:constraints, cross-component:behavioral, cross-component:value control, intra-component:value control","intra-component:value relationship, cross-component:value relationship, cross-component:behavioral, cross-component:value control, intra-component:value control, intra-component:value range constraints, intra-component:data type constraints","intra-component:value equality, cross-component:value equality, intra-component:value inequality, cross-component:value inequality, cross-component:behavioral, cross-component:value control, intra-component:value control, intra-component:value range constraints, intra-component:data type constraints",definition of configuration constraints and dependencies,done,done,done,done
Understanding and discovering software configuration dependencies in cloud and datacenter systems,none,relevant,none,2020,ESEC/FSE,"intra-component:value relationship, cross-component:value relationship, intra-component:value control, cross-component:value control, intra-component:default value, cross-component:default value, cross-component:overwrite, intra-component:overwrite, intra-component:behavioral, cross-component:behavioral  ","intra-component:value relationship, cross-component:value relationship, intra-component:value control, cross-component:value control, intra-component:default, cross-component:default, cross-component:overwrite, intra-component:overwrite, intra-component:behavioral, cross-component:behavioral  ","intra-component:value relationship, cross-component:value relationship, intra-component:value control, cross-component:value control, intra-component:default, cross-component:default, cross-component:overwrite, intra-component:overwrite, intra-component:behavioral, cross-component:behavioral  ","intra-component:value equality, cross-component:value equality, intra-component:value inequality, cross-component:value inequality, intra-component:value control, cross-component:value control, intra-component:default, cross-component:default, cross-component:overwrite, intra-component:overwrite, intra-component:behavioral, cross-component:behavioral  ",definition of functional and behavioral configuration dependencies,done,done,done,done
Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,none,relevant,none,2009,ICAC,"cross-component:value relationship, cross-component:behavioral, other:other","cross-component:value relationship, cross-component:behavioral, other:other","cross-component:value relationship, cross-component:behavioral","cross-component:value equality, cross-component:behavioral",,done,done,done,done
Configuration-dependent fault localization,none,relevant,none,2019,ICSE,intra-component:value control,other:other,source-code:control-flow,source-code:control-flow,,done,done,done,done
Easier Said Than Done: Diagnosing Misconfiguration via Configuration Constraints Analysis: A Study of the Variance of Configuration Constraints in Source Code,none,relevant,none,2017,EASE,"intra-component:constraints, intra-component:value relationship, other:value control","intra-component:constraints, intra-component:value relationship, intra-component:value control","intra-component:value relationship, intra-component:value control, intra-component:value range constraints, intra-component:syntax constraints, intra-component:semantic constraints","intra-component:value equality, intra-component:value inequality, intra-component:value control, intra-component:value range constraints, intra-component:syntax constraints, intra-component:semantic constraints",,done,done,done,done
Do not blame users for misconfigurations,none,relevant,none,2013,SOSP,"intra-component:constraints, intra-component:value relationship, intra-component:value control","intra-component:constraints, intra-component:value relationship, intra-component:value control","intra-component:value relationship, intra-component:value control, intra-component:syntax constraints, intra-component:value range constraints, intra-component:data type constraints, intra-component:semantic constraints","intra-component:value equality, intra-component:value inequality, intra-component:value control, intra-component:syntax constraints, intra-component:value range constraints, intra-component:data type constraints, intra-component:semantic constraints",SPEX provides definition of configuration constraints,done,done,done,done
ConfTest: Generating Comprehensive Misconfiguration for System Reaction Ability Evaluation,none,relevant,none,2017,EASE,intra-component:constraints,intra-component:constraints,"intra-component:semantic constraints, intra-component:data type constraints, intra-component:value range constraints, intra-component:syntax constraints","intra-component:semantic constraints, intra-component:data type constraints, intra-component:value range constraints, intra-component:syntax constraints",,done,done,done,done
Challenges and opportunities: an in-depth empirical study on configuration error injection testing,none,relevant,none,2021,ISSTA,"intra-component:constraints, intra-component:value control, intra-component:value relationship","intra-component:constraints, intra-component:value control, intra-component:value relationship","intra-component:value control, intra-component:value relationship, intra-component:value range constraints, intra-component:syntax constraints","intra-component:value control, intra-component:value range constraints, intra-component:syntax constraints",,done,done,done,done
Synthesizing configuration file specifications with association rule learning,none,relevant,none,2017,PACMPL,"intra-component:value relationship, intra-component:constraints","intra-component:value relationship, intra-component:constraints","intra-component:value relationship, intra-component:data type constraints, intra-component:other constraints","intra-component:value inequality, intra-component:value equality, intra-component:data type constraints, intra-component:other constraints",,done,done,done,done
Systems Approaches to Tackling Configuration Errors: A Survey,none,relevant,none,2015,CSUR,"intra-component:constraints, cross-component:value relationship","intra-component:constraints, cross-component:value relationship","cross-component:value relationship, intra-component:syntax constraints, intra-component:data type constraints","cross-component:value inequality, intra-component:syntax constraints, intra-component:data type constraints",definition of configuration constraints,done,done,done,done
