Digitial Library,Keyword,Title,Annotator 1,Annotator 2,Sorted By,Year,Seleced
ACM Digital Library,configuration dependencies,Understanding configuration dependencies of file systems,relevant,relevant,Relevance,2022,13.12.2023
ACM Digital Library,configuration dependencies,Managing emerging configuration dependencies in multi product lines,not-relevant,relevant,Relevance,2012,13.12.2023
ACM Digital Library,configuration dependencies,Understanding and discovering software configuration dependencies in cloud and datacenter systems,relevant,relevant,Relevance,2020,13.12.2023
ACM Digital Library,configuration dependencies,Exploiting Configuration Dependencies for Rapid Area-efficient Customization of Soft-core Processors,not-relevant,not-relevant,Relevance,2016,13.12.2023
ACM Digital Library,configuration dependencies,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,relevant,relevant,Relevance,2009,13.12.2023
ACM Digital Library,configuration dependencies,Incremental covering array failure characterization in large configuration spaces,not-relevant,not-relevant,Relevance,2009,13.12.2023
ACM Digital Library,configuration dependencies,Abstracting dependencies between software configuration items,not-relevant,not-relevant,Relevance,2000,13.12.2023
ACM Digital Library,configuration dependencies,Abstracting dependencies between software configuration items,not-relevant,not-relevant,Relevance,1996,13.12.2023
ACM Digital Library,configuration dependencies,Partition configuration for real-time systems with dependencies,not-relevant,not-relevant,Relevance,2013,13.12.2023
ACM Digital Library,configuration dependencies,Configuration-dependent fault localization,relevant,relevant,Relevance,2019,13.12.2023
ACM Digital Library,configuration constraints,Mining configuration constraints: static analyses and empirical results,not-relevant,relevant,Relevance,2014,13.12.2023
ACM Digital Library,configuration constraints,Easier Said Than Done: Diagnosing Misconfiguration via Configuration Constraints Analysis: A Study of the Variance of Configuration Constraints in Source Code,relevant,relevant,Relevance,2017,13.12.2023
ACM Digital Library,configuration constraints,Configuration knowledge of software product lines: a comprehensibility study,not-relevant,not-relevant,Relevance,2011,13.12.2023
ACM Digital Library,configuration constraints,Partition configuration for real-time systems with dependencies,duplicate,duplicate,Relevance,2013,13.12.2023
ACM Digital Library,configuration constraints,Configuring features with stakeholder goals,not-relevant,not-relevant,Relevance,2008,13.12.2023
ACM Digital Library,configuration constraints,Supporting feature model configuration using a demonstration-based approach,not-relevant,not-relevant,Relevance,2011,13.12.2023
ACM Digital Library,configuration constraints,Capacity planning tool for streaming media services,not-relevant,not-relevant,Relevance,2003,13.12.2023
ACM Digital Library,configuration constraints,On-line functionally untestable fault identification in embedded processor cores,not-relevant,not-relevant,Relevance,2013,13.12.2023
ACM Digital Library,configuration constraints,"Extending UML/MARTE to Support Discrete Controller Synthesis, Application to Reconfigurable Systems-on-Chip Modeling",not-relevant,not-relevant,Relevance,2014,13.12.2023
ACM Digital Library,configuration constraints,Automated reasoning for multi-step feature model configuration problems,not-relevant,not-relevant,Relevance,2009,13.12.2023
ACM Digital Library,misconfiguration,"Two threat patterns that exploit ""security misconfiguration"" and ""sensitive data exposure"" vulnerabilities",not-relevant,not-relevant,Relevance,2015,13.12.2023
ACM Digital Library,misconfiguration,Understanding BGP misconfiguration,not-relevant,not-relevant,Relevance,2002,13.12.2023
ACM Digital Library,misconfiguration,How does misconfiguration of analytic services compromise mobile privacy?,not-relevant,not-relevant,Relevance,2020,13.12.2023
