Snowballing: Backward/Forward,Method,Annotator 1,Annotator 2,Origin Paper,,
Bringing Together Configuration Research: Towards a Common Ground,Forward,not-relevant,,Understanding configuration dependencies of file systems,,
On the Reproducibility of Bugs in File-System Aware Storage Applications,Forward,relevant,,Understanding configuration dependencies of file systems,,
"BenchCouncil Transactions on Benchmarks, Standards and Evaluations",Backward,not-relevant,,Understanding configuration dependencies of file systems,,
A Study of Failure Recovery and Logging of High-Performance Parallel File Systems,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Fingerprinting the Checker Policies of Parallel File Systems,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
On Failure Diagnosis of the Storage Stack,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
PFault: A General Framework for Analyzing the Reliability of High-Performance Parallel File Systems,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
A study of persistent memory bugs in the Linux kernel,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
A Generic Framework for Testing Parallel File Systems,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Towards Robust File System Checkers,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Benchmarking for observability: The case of diagnosing storage failures,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Understanding the Fault Resilience of File System Checkers,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
SAIBench: Benchmarking AI for Science,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Three Laws of Technology Rise or Fall,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Preparing for the Future - Rethinking Proxy Apps,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Reliability Analysis of SSDs Under Power Fault,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Pinpointing Crash-Consistency Bugs in the HPC I/O Stack: A Cross-layer Approach,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Finding Bugs in File Systems with an Extensible Fuzzing Framework,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Understanding and Finding Crash-Consistency Bugs in Parallel File Systems,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
PROV-IO: An I/O-Centric Provenance Framework for Scientific Data on HPC Systems,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Torturing Databases for Fun and Profit,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Finding semantic bugs in file systems with an extensible fuzzing framework,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Understanding the robustness of SSDS under power fault,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Safe Management of Software Configuration,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
A Performance Study of Lustre File System Checker: Bottlenecks and Potentials,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Understanding SSD Reliability in Large-Scale Cloud Systems,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Evaluating File System Reliability on Solid State Drives,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
On Fault Resilience of File System Checkers,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
The Reliability of Modern File Systems in the face of SSD Errors,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Fault Tolerance Performance Evaluation of Large-Scale Distributed Storage Systems HDFS and Ceph Case Study,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Automated Implementation of Windows-related Security-Configuration Guides,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Model-Checking Support for File System Development,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Experiencing ProvLake to Manage the Data Lineage of AI Workflows,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
H5Prov: I/O Performance Analysis of Science Applications Using HDF5 File-level Provenance,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
