Number,Snowballing: Backward/Forward,Method,Annotator 1,Annotator 2,Origin Paper
1,Early Detection of Configuration Errors to Reduce Failure Damage,Backward,relevant,relevant,Understanding and discovering software configuration dependencies in cloud and datacenter systems
2,Finding heterogeneous-unsafe configuration parameters in cloud systems,Forward,relevant,relevant,Understanding and discovering software configuration dependencies in cloud and datacenter systems
3,Developer mistakes in writing android manifests: An empirical study of configuration errors,Forward,relevant,relevant,Systems Approaches to Tackling Configuration Errors: A Survey
4,Which configuration option should I change?,Forward,relevant,relevant,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications
5,Inferring and applying def-use like configuration couplings in deployment descriptors,Forward,relevant,relevant,Automated diagnosis of software configuration errors
6,Using Feature Selection to Identify Chains of Insecure Software Configuration Parameters,Forward,relevant,relevant,Do not blame users for misconfigurations
7,Discovering correctness constraints for self-management of system configuration,Backward,relevant,relevant,Systems Approaches to Tackling Configuration Errors: A Survey
8,Configuration tools: Working together,Backward,relevant,relevant,Systems Approaches to Tackling Configuration Errors: A Survey
9,Balancing Soundness and Efficiency for Practical Testing of Configurable Systems,Backward,relevant,relevant,Understanding and discovering software configuration dependencies in cloud and datacenter systems
10,New applications of software synthesis: Verification of configuration files and firewall repair,Forward,relevant,relevant,Do not blame users for misconfigurations
11,Precomputing Possible Configuration Error Diagnosis,Backward,relevant,relevant,Understanding and discovering software configuration dependencies in cloud and datacenter systems
12,On Cross-stack Configuration Errors,Backward,relevant,relevant,Understanding and discovering software configuration dependencies in cloud and datacenter systems
13,iGen: Dynamic Interaction Inference for Configurable Software,Backward,relevant,relevant,Understanding and discovering software configuration dependencies in cloud and datacenter systems
14,Feature model extraction from large collections of informal product descriptions,Backward,relevant,relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study
15,Propagating configuration decisions with modal implication graphs,Forward,relevant,relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study
16,Multi-layer software configuration: Empirical study on wordpress,Forward,relevant,relevant,ConfDiagnoser: an automated configuration error diagnosis tool for Java software
1,Pinpointing Crash-Consistency Bugs in the HPC I/O Stack: A Cross-layer Approach,Backward,not relevant,not relevant,Understanding configuration dependencies of file systems
2,Automatic detection and removal of conformance faults in feature models,Forward,not relevant,not relevant,Mining configuration constraints: static analyses and empirical results
3,GuyDance: guiding configuration updates for product-line evolution,Forward,not relevant,not relevant,Do not blame users for misconfigurations
4,H5Prov: I/O Performance Analysis of Science Applications Using HDF5 File-level Provenance,Backward,not relevant,not relevant,Understanding configuration dependencies of file systems
5,A scheme for X-ray medical image denoising using sparse representations,Forward,not relevant,not relevant,Encore: Exploiting system environment and correlation information for misconfiguration detection
6,Spllift-Statically analyzing software product lines in minutes instead of years,Backward,not relevant,not relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study
