occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
72f7d82f2deb8f21e73e0ce784608a4b4512250e,84b8e9a7906c71bddace38d4b1316652252a3adb,08f1b3e11287e81382597a72e400ad42,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,PowerToys::::.github/workflows/spelling2.yml::::jobs::::spelling::::steps::::steps_2::::with::::post_comment::::0 <-> PowerToys::::.pipelines/pipeline.user.windows.yml::::version::::minor::::0,,,
ff72f14e9b32e06c078030747de15311f38d413a,ea9941a8caa90dd8f84caa3a7a3d27c9c4c20434,26f285aea82e91e6ea9f566b6b998501,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,PowerToys::::.github/ISSUE_TEMPLATE/bug_report.yml::::labels::::Triage-Needed <-> PowerToys::::.github/ISSUE_TEMPLATE/documentation-issue.yml::::labels::::Triage-Needed,,,
9dcf85c0f114ccd6d832744ff1ce07f80e70c92c,14cab44ddc078665b5437a9676449adfa1cdcc67,af4015a5d191660dfeb539fdbc540e4a,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,PowerToys::::.github/ISSUE_TEMPLATE/documentation-issue.yml::::description::::Report issues in our documentation <-> PowerToys::::.github/ISSUE_TEMPLATE/feature_request.yml::::description::::Report issues in our documentation,.github/ISSUE_TEMPLATE/feature_request.yml,PowerToys::::.github/ISSUE_TEMPLATE/feature_request.yml::::description(location: 2),git show 9dcf85c0f114ccd6d832744ff1ce07f80e70c92c -- .github/ISSUE_TEMPLATE/feature_request.yml
ff72f14e9b32e06c078030747de15311f38d413a,ea9941a8caa90dd8f84caa3a7a3d27c9c4c20434,f3698070cd3f3e2f35abf05289ea2750,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,PowerToys::::.github/ISSUE_TEMPLATE/documentation-issue.yml::::labels::::Triage-Needed <-> PowerToys::::.github/ISSUE_TEMPLATE/feature_request.yml::::labels::::Triage-Needed,,,
9dcf85c0f114ccd6d832744ff1ce07f80e70c92c,14cab44ddc078665b5437a9676449adfa1cdcc67,03dc8dac1f6193a1ce77d1e4536176dc,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,PowerToys::::.github/ISSUE_TEMPLATE/documentation-issue.yml::::labels::::Issue-Docs <-> PowerToys::::.github/ISSUE_TEMPLATE/feature_request.yml::::labels::::Issue-Docs,,,
4d521cb9eb96fe31c8e1ea550ae41f9c7dcb073d,a07e9f96f85f71b515ea1556197481586338a860,59cc5972845404b61704ddfb85a00086,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,PowerToys::::.github/ISSUE_TEMPLATE/bug_report.yml::::body::::body_2::::type::::checkboxes <-> PowerToys::::.github/ISSUE_TEMPLATE/feature_request.yml::::body::::body_2::::type::::checkboxes,,,
ff72f14e9b32e06c078030747de15311f38d413a,ea9941a8caa90dd8f84caa3a7a3d27c9c4c20434,d2304142e12a2a2cb14ebeccef36e6f4,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,PowerToys::::.github/ISSUE_TEMPLATE/feature_request.yml::::labels::::Triage-Needed <-> PowerToys::::.github/ISSUE_TEMPLATE/translation_issue.yml::::labels::::Triage-Needed,,,
ff72f14e9b32e06c078030747de15311f38d413a,ea9941a8caa90dd8f84caa3a7a3d27c9c4c20434,15f1edc35492d45e44f795f9b0429c17,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,PowerToys::::.github/ISSUE_TEMPLATE/bug_report.yml::::labels::::Triage-Needed <-> PowerToys::::.github/ISSUE_TEMPLATE/feature_request.yml::::labels::::Triage-Needed,,,
4e8d2690f4be8c347a41967267bd579aa45b0079,b673badbc7d3274115d98e821d6ca8d65b1521bc,39f1966d266faaadee0c659037024417,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,PowerToys::::.github/ISSUE_TEMPLATE/bug_report.yml::::body::::body_0::::type::::markdown <-> PowerToys::::.github/ISSUE_TEMPLATE/feature_request.yml::::body::::body_1::::type::::markdown,.github/ISSUE_TEMPLATE/feature_request.yml,PowerToys::::.github/ISSUE_TEMPLATE/feature_request.yml::::body::::body_1::::type(location: 13),git show 4e8d2690f4be8c347a41967267bd579aa45b0079 -- .github/ISSUE_TEMPLATE/feature_request.yml
ff72f14e9b32e06c078030747de15311f38d413a,ea9941a8caa90dd8f84caa3a7a3d27c9c4c20434,bff085d66b643e7b9f9d1643ce9e5688,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,PowerToys::::.github/ISSUE_TEMPLATE/documentation-issue.yml::::labels::::Triage-Needed <-> PowerToys::::.github/ISSUE_TEMPLATE/translation_issue.yml::::labels::::Triage-Needed,,,
