occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
f768e3592c7305d343c7d65fb6a801c52715cfa7,320a99aee43dfcaa002825572ad18c7a1915e0a0,35779d7819509a7e157f57e4b46d4324,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,Python::::.github/workflows/codespell.yml::::jobs::::codespell::::steps::::steps_0::::uses::::actions/checkout@v2 <-> Python::::.github/workflows/directory_writer.yml::::jobs::::build::::steps::::steps_0::::uses::::actions/checkout@v2,.github/workflows/directory_writer.yml,Python::::.github/workflows/directory_writer.yml::::jobs::::build::::steps::::steps_0::::uses(location: 9),git show f768e3592c7305d343c7d65fb6a801c52715cfa7 -- .github/workflows/directory_writer.yml
5159c9c18d7f3487270f993f71246c231b1c9a48,0e0b2f18389b702dfb4203dfdc76751932a9dbcb,69de4dd35d0c6af411701314b2d2ec68,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,Python::::.github/workflows/codespell.yml::::jobs::::codespell::::runs-on::::ubuntu-latest <-> Python::::.github/workflows/directory_writer.yml::::jobs::::build::::runs-on::::ubuntu-latest,,,
c4e384d8cb004d252b8ebd87b40c8275ab3fb605,2934ad8ac3a0e4f4fb277c2023a827bf4fc6d9ca,6cf946adce9f0352eead10c230707814,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,Python::::.github/workflows/directory_writer.yml::::jobs::::build::::strategy::::matrix::::python-version::::3.7 <-> Python::::.travis.yml::::python::::3.7,,,
740eb9f4d8a527899bb9004b7634e9470d9a983a,2dcede06ec3a310b4e565eb320c945bd6901c639,21b18c0d25ef8afb993d0099e03c63a3,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,Python::::.github/workflows/approve_workflow_run.yml::::jobs::::approve::::runs-on::::ubuntu-latest <-> Python::::.github/workflows/directory_writer.yml::::jobs::::build::::runs-on::::ubuntu-latest,,,
4b6ceba232004ea1c00a03674bd3cfe2b04afc2d,4ce133902e4f791e325f2f390d89e0d4717c0b70,50583424f07a8c4b729fabb48c41517a,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,Python::::.pre-commit-config.yaml::::repos::::repos_0::::hooks::::hooks_2::::types::::python <-> Python::::.travis.yml::::language::::python,,,
3f909a73fe9ea11f32a0ce154a5684a5408ad42b,6f9bfcbce6a874758a64c29266a5395f966c22bd,08757c40031602c19b7cadabeacf783b,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,Python::::.github/workflows/auto_close_empty_issues.yml::::jobs::::check-issue-body-not-empty::::runs-on::::ubuntu-latest <-> Python::::.github/workflows/build.yml::::jobs::::build::::runs-on::::ubuntu-latest,,,
57d34437e0b4806ad86b36d2bb20702b93698184,dcbfff5215c1425dc4d3d212f911d59ca89b25ce,b52837c7d7e72aac34d897a2da3bb2fd,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,Python::::.github/workflows/codespell.yml::::jobs::::codespell::::runs-on::::ubuntu-latest <-> Python::::.github/workflows/directory_writer.yml::::jobs::::build::::runs-on::::ubuntu-latest,,,
57d34437e0b4806ad86b36d2bb20702b93698184,dcbfff5215c1425dc4d3d212f911d59ca89b25ce,706ceb661cc1ae0431882c9a437a0e4f,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,Python::::.github/workflows/autoblack.yml::::jobs::::build::::steps::::steps_1::::uses::::actions/setup-python@v2 <-> Python::::.github/workflows/codespell.yml::::jobs::::codespell::::steps::::steps_1::::uses::::actions/setup-python@v2,,,
6e56695892a6e8f412a849ccaa5a5a71c66b5902,7d0dacc93f95cbd8ca0d3aff400d473f254f21d9,232d2e68199857b45e83e632233af8e6,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,Python::::.github/workflows/autoblack.yml::::jobs::::build::::steps::::steps_3::::run::::black --check . <-> Python::::.travis.yml::::before_script::::black --check .,,,
57d34437e0b4806ad86b36d2bb20702b93698184,dcbfff5215c1425dc4d3d212f911d59ca89b25ce,4756ff573936f6e4a2076219b3184efc,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,Python::::.github/workflows/autoblack.yml::::on::::push <-> Python::::.github/workflows/codespell.yml::::on::::push,,,
