occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
f2fd9c6c97327488c17bd6f8d668ff23ee509cfd,762ec0595f58da24421271575ea20298c1830013,7d76f6ec7876f232cd456144dcdd4b4c,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,TypeScript::::.circleci/config.yml::::workflows::::main::::jobs::::jobs_2::::node6::::filters::::branches::::only::::release-2.5 <-> TypeScript::::.travis.yml::::branches::::only::::release-2.5,,,
23160eadbca48868416a9fa001935d28b8c1fee3,58715ff98cb857204833947f62160e06630caa96,6e105ed20c3cf38b280769a1930f7b0d,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,TypeScript::::.github/workflows/ci.yml::::on::::push::::branches::::master <-> TypeScript::::.travis.yml::::branches::::only::::master,,,
f2fd9c6c97327488c17bd6f8d668ff23ee509cfd,762ec0595f58da24421271575ea20298c1830013,bc5bba5a6d115085b8fb1d0542a622ab,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,TypeScript::::.circleci/config.yml::::workflows::::nightly::::jobs::::jobs_1::::node8::::filters::::branches::::only::::release-2.5 <-> TypeScript::::.travis.yml::::branches::::only::::release-2.5,,,
f2fd9c6c97327488c17bd6f8d668ff23ee509cfd,762ec0595f58da24421271575ea20298c1830013,e4f51c002dfe714cdaeaff45021369e9,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,TypeScript::::.circleci/config.yml::::workflows::::nightly::::jobs::::jobs_0::::node9::::filters::::branches::::only::::release-2.5 <-> TypeScript::::.travis.yml::::branches::::only::::release-2.5,,,
93bac1b81f5dfc324d7c8f33febf0a41afc97261,17574a87bf23f3db220d3a79dcb66e8fcf8c6b1f,85ec613215dce3567ffef4382d882b35,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param5::::-- <-> TypeScript::::tests/cases/docker/vue-next/Dockerfile::::cmd::::param3::::--,tests/cases/docker/office-ui-fabric/Dockerfile,TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param5(location: 22),git show 93bac1b81f5dfc324d7c8f33febf0a41afc97261 -- tests/cases/docker/office-ui-fabric/Dockerfile
991c61fe3ba5635e1edc429e836391fb9e7d47df,fc6a1bfc4768f93cff852f3a3c557acc631e2ef8,b267b1a019f82118e442da8ee1106c1c,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,TypeScript::::.github/workflows/blank.yml::::jobs::::build::::steps::::steps_0::::uses::::actions/checkout@v2 <-> TypeScript::::.github/workflows/nightly.yaml::::jobs::::build::::steps::::steps_0::::uses::::actions/checkout@v2,,,
71ee9acc63e2aa5b05d836f76989e0bf4973f840,117a8ae4f1e081c6277cba914853b14bc58d4ff8,96e6023c724f6470e4acce5f2e0584e4,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,TypeScript::::.github/workflows/ci.yml::::jobs::::build::::steps::::steps_4::::run::::gulp test-browser-integration <-> TypeScript::::.github/workflows/release-branch-artifact.yaml::::jobs::::build::::steps::::steps_4::::run::::gulp test-browser-integration,.github/workflows/ci.yml,TypeScript::::.github/workflows/ci.yml::::jobs::::build::::steps::::steps_4::::run(location: 34),git show 71ee9acc63e2aa5b05d836f76989e0bf4973f840 -- .github/workflows/ci.yml
f2fd9c6c97327488c17bd6f8d668ff23ee509cfd,762ec0595f58da24421271575ea20298c1830013,7ad86a55225cd8dd9afa4817f6b78187,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,TypeScript::::.circleci/config.yml::::workflows::::nightly::::jobs::::jobs_2::::node6::::filters::::branches::::only::::release-2.6 <-> TypeScript::::.travis.yml::::branches::::only::::release-2.6,,,
bacaada4c802f4e5d9098f6d5a72cdede22c826e,a070388227698bf6ee96fb9a3cb114e6472182cf,d92b5e72f2281e684425a17ba62e5c9b,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,TypeScript::::.circleci/config.yml::::workflows::::nightly::::triggers::::triggers_0::::schedule::::filters::::branches::::only::::master <-> TypeScript::::.travis.yml::::branches::::only::::master,,,
46f02955b01f578179b2504b28bd1e4a74af9508,b1b9ac06127f882d61ff5d0bb2d59a940fb37b18,ffd54ae717c8da44e2056b8282b13d2c,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,TypeScript::::package.json::::devDependencies::::@types/mocha::::@types/mocha:latest <-> TypeScript::::tests/cases/user/tslint/package.json::::devDependencies::::@types/mocha::::@types/mocha:latest,package.json,TypeScript::::package.json::::devDependencies::::@types/mocha(location: 48),git show 46f02955b01f578179b2504b28bd1e4a74af9508 -- package.json
4f7eaf7d719b04c2b96085beb7a9197208d8b24e,13ecdb5344aef171ea9f8271be8002832791aa2b,9b1104355ab86dcbeaa3655916847c93,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,TypeScript::::tests/cases/docker/azure-sdk/Dockerfile::::entrypoint::::exec_command::::rush <-> TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::entrypoint::::param0::::rush,tests/cases/docker/office-ui-fabric/Dockerfile,TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::entrypoint::::param0(location: 20),git show 4f7eaf7d719b04c2b96085beb7a9197208d8b24e -- tests/cases/docker/office-ui-fabric/Dockerfile
08e5b04849191ddec1a117c0a2f6b3ff2621b9a6,a2e83dafe13ecccaf6cc9e496fd71434bd4c1154,fd2d1bbd0bfbdb3383c5837aa71c043f,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,TypeScript::::tests/cases/user/parse5/package.json::::main::::index.js <-> TypeScript::::tests/cases/user/should/package.json::::main::::index.js,,,
0b84a965953aea2b1443b5dba0e906d680ef5cd3,3344781bf54c728bc4e4a42d5ba06e6f8beec0c1,6199e9d1cb2395e532cb9de8acc9ef5a,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,TypeScript::::.github/workflows/ci.yml::::on::::pull_request::::branches::::release-* <-> TypeScript::::.github/workflows/release-branch-artifact.yaml::::on::::pull_request::::branches::::release-*,,,
f2fd9c6c97327488c17bd6f8d668ff23ee509cfd,762ec0595f58da24421271575ea20298c1830013,5b637a4356f927e883091f5e66953642,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,TypeScript::::.circleci/config.yml::::workflows::::nightly::::jobs::::jobs_2::::node6::::filters::::branches::::only::::release-2.5 <-> TypeScript::::.travis.yml::::branches::::only::::release-2.5,,,
3c31dedde48f0f045ed967f17945dfb957c0a76a,fb50991b49bf1d277f94cdf47aa55ad17a1bfdb0,42918b19c60fb087d1f797b8d32c7d4d,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,TypeScript::::.circleci/config.yml::::workflows::::main::::jobs::::jobs_1::::node8::::<<::::filters::::branches::::only::::release-2.7 <-> TypeScript::::.travis.yml::::branches::::only::::release-2.7,,,
f22a71f7661b185b48a565ea5d8b2d97ec80c410,8800471b6b47f5cf05a07fd17a5c9a01d904b539,8c9a3c029e908279f253cd29de43612c,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,TypeScript::::package.json::::devDependencies::::@types/chai::::@types/chai:latest <-> TypeScript::::tests/cases/user/tslint/package.json::::devDependencies::::@types/chai::::@types/chai:latest,,,
4f7eaf7d719b04c2b96085beb7a9197208d8b24e,13ecdb5344aef171ea9f8271be8002832791aa2b,d6d7f07fa2f26f805993004378b543e7,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,TypeScript::::tests/cases/docker/azure-sdk/Dockerfile::::cmd::::exec_command::::rebuild --parallelism 1 <-> TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::exec_command::::rebuild --parallelism 1,tests/cases/docker/office-ui-fabric/Dockerfile,TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::exec_command(location: 21),git show 4f7eaf7d719b04c2b96085beb7a9197208d8b24e -- tests/cases/docker/office-ui-fabric/Dockerfile
2bc35febca03e40b04e168a0c55cff7e883b86b7,0df4667369785bd498ccf90d391d2ecdb50fcc30,aca50fd41cb4f8e038741df62a8fecf5,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,TypeScript::::.github/workflows/ci.yml::::jobs::::build::::steps::::steps_8::::run::::gulp test-browser-integration <-> TypeScript::::.github/workflows/release-branch-artifact.yaml::::jobs::::build::::steps::::steps_4::::run::::gulp test-browser-integration,,,
652f28164fe030268658cef9810d2c04a16e391b,f16a3e101b8c6dc9fc0d484236a0200d8ce45a62,41fa61de9e9e7c2a2a721eebd3804dc1,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param1::::build <-> TypeScript::::tests/cases/docker/vue-next/Dockerfile::::cmd::::param1::::build,tests/cases/docker/office-ui-fabric/Dockerfile,TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param1(location: 20),git show 652f28164fe030268658cef9810d2c04a16e391b -- tests/cases/docker/office-ui-fabric/Dockerfile
fe626897357930ad5d6396c535e448c8572efd7b,857095398cd30d299498f574480dbf5f3908e9d2,374fa8863ade3898c69a1c3964af2fd3,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,TypeScript::::.github/workflows/ci.yml::::jobs::::build::::steps::::steps_7::::name::::Validate the browser can import TypeScript <-> TypeScript::::.github/workflows/release-branch-artifact.yaml::::jobs::::build::::steps::::steps_4::::name::::Validate the browser can import TypeScript,.github/workflows/ci.yml,TypeScript::::.github/workflows/ci.yml::::jobs::::build::::steps::::steps_7::::name(location: 45),git show fe626897357930ad5d6396c535e448c8572efd7b -- .github/workflows/ci.yml
f2fd9c6c97327488c17bd6f8d668ff23ee509cfd,762ec0595f58da24421271575ea20298c1830013,cb195510bf502c6e72aaa491b21f0a82,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,TypeScript::::.circleci/config.yml::::workflows::::main::::jobs::::jobs_0::::node9::::filters::::branches::::only::::release-2.5 <-> TypeScript::::.travis.yml::::branches::::only::::release-2.5,,,
