occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
638a65c7a17ef3165d2a6dce3b9bc5092b7c354e,9b68214e9b9f74ba948c67935c7045c070b93f7f,40e09e73f5a0eaa31a5251807712d2d7,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,deno::::cli/Cargo.toml::::dependencies::::base64::::0.13.0 <-> deno::::runtime/Cargo.toml::::dependencies::::deno_url::::version::::0.13.0,runtime/Cargo.toml,deno::::runtime/Cargo.toml::::dependencies::::deno_url::::version(location: None),git show 638a65c7a17ef3165d2a6dce3b9bc5092b7c354e -- runtime/Cargo.toml
31d0325da426623805dcc100cf832cdec8771cf1,2012ef913157ff3feacf19dbe1b7cadda92cf20c,91f712bc595f5caccc6a680b0110fa79,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,deno::::extensions/url/Cargo.toml::::dependencies::::idna::::0.2.2 <-> deno::::test_util/Cargo.toml::::target::::cfg(unix)::::dependencies::::pty::::0.2.2,extensions/url/Cargo.toml,deno::::extensions/url/Cargo.toml::::dependencies::::idna(location: 18),git show 31d0325da426623805dcc100cf832cdec8771cf1 -- extensions/url/Cargo.toml
4b405727f87f79b64423fcffb565391e23b0815a,e5f4e72cf029402b64c1fb7f99551dab95ee4b06,3606acb5b48b2f95915a7e884cf73b4a,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,deno::::cli/Cargo.toml::::dev-dependencies::::trust-dns-client::::0.20.0 <-> deno::::core/Cargo.toml::::dependencies::::rusty_v8::::0.20.0,core/Cargo.toml,deno::::core/Cargo.toml::::dependencies::::rusty_v8(location: 24),git show 4b405727f87f79b64423fcffb565391e23b0815a -- core/Cargo.toml
463a5566ef2dcc6c7b74a35ffceb54a99e4b749e,5acf73e1997e5e22a08b904dbb3111f7bea01589,e17f459c28fd64bf34d040c97f1381d2,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,deno::::cli/Cargo.toml::::dependencies::::deno_runtime::::version::::0.19.0 <-> deno::::extensions/net/Cargo.toml::::dependencies::::rustls::::0.19.0,cli/Cargo.toml,deno::::cli/Cargo.toml::::dependencies::::deno_runtime::::version(location: None),git show 463a5566ef2dcc6c7b74a35ffceb54a99e4b749e -- cli/Cargo.toml
5fb3d139af4261c3e7fab74de9ead74efc45d58f,0728f0401b044b66be623d09006bcfb40af90562,3d23872c837fbba909a1e06c70afcab0,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,deno::::cli/Cargo.toml::::build-dependencies::::deno_web::::version::::0.9.0 <-> deno::::std/hash/_wasm/Cargo.toml::::dependencies::::md2::::0.9.0,cli/Cargo.toml,deno::::cli/Cargo.toml::::build-dependencies::::deno_web::::version(location: 34),git show 5fb3d139af4261c3e7fab74de9ead74efc45d58f -- cli/Cargo.toml
4b03fa8713c26f5919db6086f34d891f9a997e22,02b167cdbf12e6b671ead98b7b9d8d483cf5c939,e1ed6e0a62cb3f970d5aa33071479318,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,deno::::cli/Cargo.toml::::dependencies::::rustyline-derive::::0.4.0 <-> deno::::op_crates/webgpu/Cargo.toml::::package::::version::::0.4.0,op_crates/webgpu/Cargo.toml,deno::::op_crates/webgpu/Cargo.toml::::package::::version(location: 5),git show 4b03fa8713c26f5919db6086f34d891f9a997e22 -- op_crates/webgpu/Cargo.toml
d69685d9a46701a472818b4e9787be33a634e1ba,78026126bd63f5320f81c91d74062bda5ba33f84,5b69181f3edf213cbd7dbc566231960b,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,deno::::cli/Cargo.toml::::dependencies::::fancy-regex::::0.5.0 <-> deno::::extensions/url/Cargo.toml::::package::::version::::0.5.0,extensions/url/Cargo.toml,deno::::extensions/url/Cargo.toml::::package::::version(location: 5),git show d69685d9a46701a472818b4e9787be33a634e1ba -- extensions/url/Cargo.toml
d79b11fbd2283b61f18b64e4d9d5825ef086d481,4b405727f87f79b64423fcffb565391e23b0815a,bd313ab5bfda61a5b62dcb84a23532ae,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,deno::::op_crates/web/Cargo.toml::::dependencies::::serde::::version::::1.0.123 <-> deno::::test_util/Cargo.toml::::dependencies::::serde::::version::::1.0.123,,,
1cbc9ba10e402c2af67ad9c3b88564c110312769,31d0325da426623805dcc100cf832cdec8771cf1,d0af96f607b00f3ce31d2b3996554def,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,deno::::cli/Cargo.toml::::dependencies::::deno_runtime::::version::::0.14.0 <-> deno::::extensions/websocket/Cargo.toml::::dependencies::::tokio-tungstenite::::version::::0.14.0,cli/Cargo.toml,deno::::cli/Cargo.toml::::dependencies::::deno_runtime::::version(location: 78),git show 1cbc9ba10e402c2af67ad9c3b88564c110312769 -- cli/Cargo.toml
d4067f02ffbd9e3cdfd90582fbac956a83ef94b2,5548d63ad1e3a7fab1aac47670614e02537a2035,dd935222913a331ab44eb88d02b4ef00,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,deno::::cli/Cargo.toml::::dev-dependencies::::tower-test::::0.3.0 <-> deno::::runtime/Cargo.toml::::package::::version::::0.3.0,runtime/Cargo.toml,deno::::runtime/Cargo.toml::::package::::version(location: 5),git show d4067f02ffbd9e3cdfd90582fbac956a83ef94b2 -- runtime/Cargo.toml
