occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
a25e6e8cb0954d60762a886647798d2e3fe090d9,f230fb297968bba22819183188b0e3e15227a1cd,f61fd5f3cbcba08d031bfc8ba2fc4b5c,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,electron::::.circleci/config.yml::::jobs::::linux-ia32-testing::::environment::::<<::::ELECTRON_OUT_DIR::::Default <-> electron::::azure-pipelines-woa.yml::::steps::::steps_10::::env::::ELECTRON_OUT_DIR::::Default,,,
f956fc6eaf9f2e16de56fc5b4d190f9fb49c14ba,5cb4ad59e2b542654c5ccf675813d4f77efcd281,d7e077bb3dc9fdc536ebcfc3280b81a3,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,electron::::.circleci/config.yml::::jobs::::electron-gn-linux-arm64-release-fyi::::<<::::steps::::steps_13::::store_artifacts::::path::::src/out/Default/dist.zip <-> electron::::appveyor-gn.yml::::artifacts::::artifacts_1::::path::::src/out/Default/dist.zip,,,
c4a1cb05f2d0eb1a1e9a64b2388f883354975a33,5e613786450f93c0e1b2f9bf466ef7376e23b326,0e7e1f4cf8d085609bed077b0739b4fc,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,electron::::.circleci/config.yml::::jobs::::linux-ia32-release::::<<::::steps::::steps_13::::run::::name::::Check sccache stats after build <-> electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_7::::displayName::::Check sccache stats after build,,,
7cdd4b241e908600c30cf69842e09bb20525543b,15accaf1cf3d6de74cc3bf22f9a2387869cd6583,f8b66d0e14849feb56d184154a28b06e,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"electron::::.circleci/config.yml::::jobs::::electron-osx-x64::::<<::::steps::::steps_3::::run::::command::::if [ ""$ELECTRON_RELEASE"" == ""1"" ]; then
  echo 'Building Electron for release'
  script/build.py -c R
else
  echo 'Building Electron for debug'
  script/build.py -c D
fi
 <-> electron::::vsts.yml::::steps::::steps_2::::bash::::if [ ""$ELECTRON_RELEASE"" == ""1"" ]; then
  echo 'Building Electron for release'
  script/build.py -c R
else
  echo 'Building Electron for debug'
  script/build.py -c D
fi
",.circleci/config.yml,electron::::.circleci/config.yml::::jobs::::electron-osx-x64::::<<::::steps::::steps_3::::run::::command(location: 31),git show 7cdd4b241e908600c30cf69842e09bb20525543b -- .circleci/config.yml
7cdd4b241e908600c30cf69842e09bb20525543b,15accaf1cf3d6de74cc3bf22f9a2387869cd6583,b620a4de5229367b03035bd36abc1c02,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,electron::::.circleci/config.yml::::jobs::::electron-linux-ia32::::<<::::<<::::steps::::steps_11::::store_test_results::::path::::junit <-> electron::::vsts.yml::::steps::::steps_9::::inputs::::searchFolder::::junit,,,
9f227bcc87a9310ac3891a32d3ae556391c3c47d,47f39936b54d68df5ccf73c9fefe0f069e78704b,2867c854b8b8f11c115579f576d8b71e,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"electron::::.circleci/config.yml::::jobs::::linux-arm64-testing::::<<::::steps::::steps_5::::<<::::run::::command::::cd src
ninja -C out/Default electron:electron_dist_zip
 <-> electron::::vsts.yml::::jobs::::jobs_0::::steps::::steps_6::::bash::::cd src
ninja -C out/Default electron:electron_dist_zip
",,,
a25e6e8cb0954d60762a886647798d2e3fe090d9,f230fb297968bba22819183188b0e3e15227a1cd,18f1d0bc6e1dcf04ae04db8f8c0987dd,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,electron::::.circleci/config.yml::::jobs::::mas-testing-arm64-tests::::<<::::steps::::steps_6::::run::::name::::Setup for headless testing <-> electron::::vsts-arm-test-steps.yml::::steps::::steps_7::::displayName::::Setup for headless testing,,,
37928ab1c6e3788cacfffa6c7ef180ee23ee6d1e,5fc9fbd5689d66b004b9d55d418ef374f3f1ecdd,a7509c5d5efc0d779d08e1cb1ab56425,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,electron::::.circleci/config.yml::::steps-electron-build::::steps::::steps_24::::persist_to_workspace::::paths::::src/electron <-> electron::::vsts-arm-test-steps.yml::::steps::::steps_0::::inputs::::TargetFolder::::src/electron,,,
e9cde800aa8289686a2919e72c848ea2f5ddfff0,ba02a26b1e04a0ff13f20996bb3851ab173e84e9,62426577353329d4c67520e53976414e,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,electron::::.circleci/config.yml::::jobs::::linux-ia32-testing-tests::::<<::::steps::::steps_9::::run::::environment::::ELECTRON_TEST_RESULTS_DIR::::junit <-> electron::::azure-pipelines-woa.yml::::steps::::steps_8::::env::::ELECTRON_TEST_RESULTS_DIR::::junit,,,
a25e6e8cb0954d60762a886647798d2e3fe090d9,f230fb297968bba22819183188b0e3e15227a1cd,7a06c5e3aff2b41c8daecb9c61d36f0c,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,electron::::.circleci/config.yml::::jobs::::linux-x64-testing-tests::::environment::::<<::::ELECTRON_ENABLE_STACK_DUMPING::::1 <-> electron::::azure-pipelines-arm.yml::::steps::::steps_7::::env::::IGNORE_YARN_INSTALL_ERROR::::1,,,
a25e6e8cb0954d60762a886647798d2e3fe090d9,f230fb297968bba22819183188b0e3e15227a1cd,0f70ee4035b8ed2dd3a79a67df82c69d,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,electron::::.circleci/config.yml::::jobs::::osx-testing-x64-tests::::<<::::steps::::steps_10::::run::::environment::::MOCHA_REPORTER::::mocha-multi-reporters <-> electron::::azure-pipelines-woa.yml::::steps::::steps_9::::env::::MOCHA_REPORTER::::mocha-multi-reporters,,,
