occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
a325f5a52056f303abe7d1509e1f1ac6241aa219,58fb524f907342510df42abd67666c20e0afdfbf,b062c3e080ccd28068516bdaeb5b03d4,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,freeCodeCamp::::curriculum/challenges/english/00-certifications/legacy-front-end-certification/legacy-front-end-certification.yml::::title::::Legacy Front End Certification <-> freeCodeCamp::::curriculum/challenges/espanol/00-certifications/legacy-front-end-certification/legacy-front-end-certification.yml::::title::::Legacy Front End Certification,curriculum/challenges/espanol/00-certifications/legacy-front-end-certification/legacy-front-end-certification.yml,freeCodeCamp::::curriculum/challenges/espanol/00-certifications/legacy-front-end-certification/legacy-front-end-certification.yml::::title(location: 3),git show a325f5a52056f303abe7d1509e1f1ac6241aa219 -- curriculum/challenges/espanol/00-certifications/legacy-front-end-certification/legacy-front-end-certification.yml
a5de6207814c5ca37d641a8bc81257880ec14a77,8fbd765e00cb0f7edef12a39a8be053593c4df22,040247b0aa7b4905985f6b907b6e2fd8,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,freeCodeCamp::::curriculum/challenges/chinese-traditional/12-certificates/legacy-information-security-and-quality-assurance-certificate/legacy-information-security-and-quality-assurance-certificate.yml::::tests::::tests_4::::title::::Anonymous Message Board <-> freeCodeCamp::::curriculum/challenges/chinese/12-certificates/information-security-certificate/information-security-certificate.yml::::tests::::tests_1::::title::::Anonymous Message Board,curriculum/challenges/chinese/12-certificates/information-security-certificate/information-security-certificate.yml,freeCodeCamp::::curriculum/challenges/chinese/12-certificates/information-security-certificate/information-security-certificate.yml::::tests::::tests_1::::title(location: 12),git show a5de6207814c5ca37d641a8bc81257880ec14a77 -- curriculum/challenges/chinese/12-certificates/information-security-certificate/information-security-certificate.yml
a5de6207814c5ca37d641a8bc81257880ec14a77,8fbd765e00cb0f7edef12a39a8be053593c4df22,7267118ea5431c74b4398e1281f2f443,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,freeCodeCamp::::curriculum/challenges/chinese/12-certificates/legacy-front-end-certificate/legacy-front-end-certificate.yml::::tests::::tests_5::::title::::Use the Twitch JSON API <-> freeCodeCamp::::curriculum/challenges/italian/12-certificates/legacy-front-end-certificate/legacy-front-end-certificate.yml::::tests::::tests_5::::title::::Use the Twitch JSON API,curriculum/challenges/chinese/12-certificates/legacy-front-end-certificate/legacy-front-end-certificate.yml,freeCodeCamp::::curriculum/challenges/chinese/12-certificates/legacy-front-end-certificate/legacy-front-end-certificate.yml::::tests::::tests_5::::title(location: 24),git show a5de6207814c5ca37d641a8bc81257880ec14a77 -- curriculum/challenges/chinese/12-certificates/legacy-front-end-certificate/legacy-front-end-certificate.yml
7039947b4a7390e0f3c8152818b25ec95a9fae1a,c9ca667807831f65f5331ebb198efa7ca27db727,e39783a0662e4897dded67e92efec310,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,freeCodeCamp::::api-server/package.json::::devDependencies::::jest::::jest:^24.8.0 <-> freeCodeCamp::::package.json::::devDependencies::::jest::::jest:^24.8.0,api-server/package.json,freeCodeCamp::::api-server/package.json::::devDependencies::::jest(location: 12),git show 7039947b4a7390e0f3c8152818b25ec95a9fae1a -- api-server/package.json
626e9e5a340f3baa5bfcdf5ce218d46ad40d23ca,07501e44ae23830499b3e05cf2de8e5dd805c008,325b4ca2616e05d165ec9d02fce72971,MissingArtifactConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,freeCodeCamp::::package.json::::version::::version:0.0.1 <-> freeCodeCamp::::packages/learn/plugins/fcc-source-challenges/package.json::::version::::version:0.0.1,,,
7e269125eeca1247e7d5d436e02247b3f1f8420a,9680b28a3623a3667bef6b4f1e03c2c589a5887e,d92c48d7ee5dc347b15bfe0254792595,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,freeCodeCamp::::curriculum/challenges/english/00-certificates/legacy-back-end-certificate/legacy-back-end-certificate.yml::::tests::::tests_2::::title::::URL Shortener Microservice <-> freeCodeCamp::::curriculum/challenges/portuguese/00-certificates/back-end-development-and-apis-certificate/back-end-development-and-apis-certificate.yml::::tests::::tests_2::::title::::URL Shortener Microservice,curriculum/challenges/portuguese/00-certificates/back-end-development-and-apis-certificate/back-end-development-and-apis-certificate.yml,freeCodeCamp::::curriculum/challenges/portuguese/00-certificates/back-end-development-and-apis-certificate/back-end-development-and-apis-certificate.yml::::tests::::tests_2::::title(location: 15),git show 7e269125eeca1247e7d5d436e02247b3f1f8420a -- curriculum/challenges/portuguese/00-certificates/back-end-development-and-apis-certificate/back-end-development-and-apis-certificate.yml
38bbc04cc54f6fa2bc70294f9b56832bb6b44181,aeac9f3e2bf7fdb08c560939ef26796cf7ef3f5e,bb5628d0dc1e1e0d657786b4060a3770,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,freeCodeCamp::::bower_components/jsdom/package.json::::repository::::type::::git <-> freeCodeCamp::::public/js/lib/codemirror/package.json::::repository::::type::::git,,,
ae2b41a517ca9dd86bbdf40de4244c7208681066,ab1e0739b02c62fffe04491285f0a2f2df3dd2d2,815980e09ede47698fc113792c58249b,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,freeCodeCamp::::.github/workflows/crowdin-download.client-ui.yml::::jobs::::i18n-download-client-ui-translations::::steps::::steps_3::::uses::::freecodecamp/crowdin-action@main <-> freeCodeCamp::::.github/workflows/crowdin-download.curriculum.yml::::jobs::::i18n-download-curriculum-translations::::steps::::steps_8::::uses::::freecodecamp/crowdin-action@main,.github/workflows/crowdin-download.curriculum.yml,freeCodeCamp::::.github/workflows/crowdin-download.curriculum.yml::::jobs::::i18n-download-curriculum-translations::::steps::::steps_8::::uses(location: 211),git show ae2b41a517ca9dd86bbdf40de4244c7208681066 -- .github/workflows/crowdin-download.curriculum.yml
a325f5a52056f303abe7d1509e1f1ac6241aa219,58fb524f907342510df42abd67666c20e0afdfbf,a5db8f80335fc6c7d69f157c0cf471a4,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,freeCodeCamp::::curriculum/challenges/english/00-certifications/data-analysis-with-python-certification/data-analysis-with-python-certification.yml::::tests::::tests_1::::title::::Demographic Data Analyzer <-> freeCodeCamp::::curriculum/challenges/espanol/00-certifications/data-analysis-with-python-certification/data-analysis-with-python-certification.yml::::tests::::tests_1::::title::::Demographic Data Analyzer,curriculum/challenges/espanol/00-certifications/data-analysis-with-python-certification/data-analysis-with-python-certification.yml,freeCodeCamp::::curriculum/challenges/espanol/00-certifications/data-analysis-with-python-certification/data-analysis-with-python-certification.yml::::tests::::tests_1::::title(location: 12),git show a325f5a52056f303abe7d1509e1f1ac6241aa219 -- curriculum/challenges/espanol/00-certifications/data-analysis-with-python-certification/data-analysis-with-python-certification.yml
9a8478347242deea2e394df8ec958849cb08815e,000a8c3caf4dfc01b739881a9b75f761e3e13e6e,b7f3ad9f0f46eec55202f9f2a44b81b5,MissingOptionConflict,ConfigType.COMMAND<->ConfigType.COMMAND,freeCodeCamp::::package.json::::scripts::::postinstall::::npm run bootstrap <-> freeCodeCamp::::tools/contributor/package.json::::scripts::::postinstall::::npm run bootstrap,,,
