occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
97905845d0b7b28aa5da89628a08523418b613e7,d2d6f8c766e6cdce605a933e1c827e96e3ae24be,ecb2f2693f0ca6ed7503fea78e582c3b,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,go::::misc/dashboard/app/cron.yaml::::cron::::cron_0::::schedule::::every 24 hours <-> go::::misc/dashboard/godashboard/cron.yaml::::cron::::cron_0::::schedule::::every 24 hours,,,
2ffb79fe6fd2fccdf1d92ded58ef38a6f17f984a,597ead473965755891d5861547bb4556217a8928,f17bdf461c54eba04fe14a8914c270d0,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,go::::misc/dashboard/godashboard/app.yaml::::handlers::::handlers_3::::url::::/.* <-> go::::misc/godoc/app.yaml::::handlers::::handlers_0::::url::::/.*,misc/dashboard/godashboard/app.yaml,go::::misc/dashboard/godashboard/app.yaml::::handlers::::handlers_3::::url(location: 17),git show 2ffb79fe6fd2fccdf1d92ded58ef38a6f17f984a -- misc/dashboard/godashboard/app.yaml
c863101dedbd20c4b1d2833ae38a70ae08c48593,41dab0124c985a86ef1ecb03500c5b42865c1478,8348f840a4abe9b7ad09a5a1f4ea6913,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,go::::misc/dashboard/godashboard/app.yaml::::handlers::::handlers_4::::url::::/.* <-> go::::misc/godoc/app.yaml::::handlers::::handlers_0::::url::::/.*,misc/dashboard/godashboard/app.yaml,go::::misc/dashboard/godashboard/app.yaml::::handlers::::handlers_4::::url(location: 21),git show c863101dedbd20c4b1d2833ae38a70ae08c48593 -- misc/dashboard/godashboard/app.yaml
8d83f95a1459d7da529a32dadd88a5cf5ba146c9,d0776711fa1b081302baebb37ee21a23862631db,97a7350f3288a8ddf69614276c9fe5dc,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,go::::misc/dashboard/codereview/index.yaml::::indexes::::indexes_3::::properties::::properties_1::::direction::::desc <-> go::::misc/dashboard/godashboard/index.yaml::::indexes::::indexes_1::::properties::::properties_0::::direction::::desc,,,
28719a58ebb53cb21d5ffcf295d8909819f317fd,249c9707fe753a0df4bba7e35269bc39add493c2,c73927f3af52c09b5222033795dc958a,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,go::::misc/dashboard/app/app.yaml::::handlers::::handlers_2::::login::::admin <-> go::::misc/dashboard/godashboard/app.yaml::::handlers::::handlers_3::::login::::admin,,,
3059658df5517ca5d8e111d771137d18490bc616,38ac652a3c2d2c03f5242ae4700e77077a891dc4,cae7b5ed5af19878be7e077020de92c0,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,go::::misc/dashboard/app/app.yaml::::application::::godashboard <-> go::::misc/dashboard/godashboard/app.yaml::::application::::godashboard,misc/dashboard/app/app.yaml,go::::misc/dashboard/app/app.yaml::::application(location: 1),git show 3059658df5517ca5d8e111d771137d18490bc616 -- misc/dashboard/app/app.yaml
418042a495da434a3884f5f6f4c7343dcc762164,9d7ef011436188fa482f286708f1c0492aac2d96,b6b52fa2596c3928ebe9e90805f58a84,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,go::::misc/dashboard/app/app.yaml::::handlers::::handlers_3::::login::::admin <-> go::::misc/dashboard/godashboard/app.yaml::::handlers::::handlers_3::::login::::admin,,,
418042a495da434a3884f5f6f4c7343dcc762164,9d7ef011436188fa482f286708f1c0492aac2d96,8bb574dda86dd6c3d29f085bcabfe4da,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,go::::misc/dashboard/godashboard/app.yaml::::handlers::::handlers_3::::url::::/package/daily <-> go::::misc/dashboard/godashboard/cron.yaml::::cron::::cron_0::::url::::/package/daily,,,
5f8f2454d2feefa6fb3cea27b39a29534d2d8cb5,1f4bbce838647999e0c28b7e31b610b98f90a4c0,9e7132cd76f661b651ab67c890c0e962,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,go::::misc/dashboard/godashboard/app.yaml::::api_version::::1 <-> go::::misc/godoc/app.yaml::::api_version::::1,,,
df55c8b8ab349fba8bc16de31ab3a5398a62e171,7b9bfcef08886edd958ea07535f910d4af008b49,8998c91e895b77f81947de840ca12dfa,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,go::::misc/dashboard/app/app.yaml::::version::::1 <-> go::::misc/dashboard/godashboard/app.yaml::::api_version::::1,misc/dashboard/app/app.yaml,go::::misc/dashboard/app/app.yaml::::version(location: 7),git show df55c8b8ab349fba8bc16de31ab3a5398a62e171 -- misc/dashboard/app/app.yaml
8d83f95a1459d7da529a32dadd88a5cf5ba146c9,d0776711fa1b081302baebb37ee21a23862631db,d08ea21b213779e9cf777f6b8e1d9aba,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,go::::misc/dashboard/codereview/app.yaml::::version::::1 <-> go::::misc/dashboard/godashboard/app.yaml::::api_version::::1,,,
3530c7b8ba170ecf7531c1490acbdce434cab6c9,f02d30fa58bd81626a9784375096f20e0a2010f6,ea431bf724f5ec469499efe743bc7cb0,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,go::::misc/dashboard/app/app.yaml::::handlers::::handlers_2::::script::::_go_app <-> go::::misc/dashboard/codereview/app.yaml::::handlers::::handlers_1::::script::::_go_app,,,
