occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
50411fb28517d261c1cab28c79537a4a63b03244,2c766946862a897917524dfccd00f0c8d5be365d,b8f40831436cf608d69448a6ac1f8f8c,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,hugo::::.travis.yml::::matrix::::exclude::::os/windows::::os::::windows <-> hugo::::goreleaser.yml::::archive::::format_overrides::::format_overrides_0::::goos::::windows,,,
0f5230fe0a71f75ab1b3d5d59f0c9be8fccb7632,027505ad2b95f37c67b4e5ce8a90ce3cb8f141a7,fd91bb6b3ad16b1cdcced495ed4c415c,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,hugo::::Dockerfile::::env::::GOOS::::linux <-> hugo::::goreleaser.yml::::build::::goos::::linux,,,
9c4514d93f8cd42648230ff75a17554d577851ba,c627929e8cd1b0f6696c03f65b386b19a5647e9d,78dc4e6e7af7ee31319933f4a27a1e5b,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,hugo::::.travis.yml::::matrix::::exclude::::os/windows::::os::::windows <-> hugo::::goreleaser.yml::::archives::::archives_1::::format_overrides::::format_overrides_0::::goos::::windows,,,
67acffb2fed072d957b70cdeb4150a191bfdf25f,797236c730197163f071e90fc8ba562dbf960ba2,1b23c69ebcfa074ba48d9cd4857a67a3,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,hugo::::.circleci/config.yml::::jobs::::build::::steps::::steps_0::::checkout::::path::::hugo <-> hugo::::snap/snapcraft.yaml::::name::::hugo,,,
f62d5339101e1a52024333de2bacc5f592d1a9d9,51d616094af3fd769010306838bc87aca863277e,64cb1960bd6ddde9ed581d4e6a4c7321,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,hugo::::Dockerfile::::entrypoint::::param2::::hugo <-> hugo::::docs/netlify.toml::::build::::command::::hugo,,,
85e61dfc720a85ef6c839809ca4eedf19581c6d3,15203b9b77c921413fa46b89055da23925500143,89c5082d7ba941bd59222700d87da0fd,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,hugo::::docs/config.toml::::params::::release::::0.23-DEV <-> hugo::::snapcraft.yaml::::version::::0.23-DEV,,,
fd37b0039539862f756b7a885bfd902c7e73c357,a6d989812801382871767be42097da4fae543c4a,591c732e77effdaf3056ec929b7ece7b,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,hugo::::.circleci/config.yml::::jobs::::build::::steps::::steps_0::::checkout::::path::::hugo <-> hugo::::goreleaser.yml::::universal_binaries::::universal_binaries_0::::name_template::::hugo,,,
3823ed0b669efe26197bd12f9a1557d71ca86922,cbe159dd4a8dbd9c8128c57adef092a50415e5bb,32907e647a219b54c818ce81243d7be1,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,hugo::::.travis.yml::::os::::linux <-> hugo::::goreleaser.yml::::builds::::builds_0::::goos::::linux,,,
556ed88c520f78004495828f7444c33870f8add1,adbf2b00ec75a4b25c884da0f2a341963a99653b,fc1eb7f7c43b032b2e34bbddd7847c7b,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,hugo::::.travis.yml::::os::::linux <-> hugo::::goreleaser-extended.yml::::builds::::builds_2::::goos::::linux,,,
e5f34f8b3d0b5039c44c77a965af562e982b8146,627f92d5e9b08859653649283cf8c132ad6d90d8,0fc94334b7cecee83cfe7f8ba4f93254,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,hugo::::docs/config.toml::::taxonomies::::tag::::tags <-> hugo::::examples/multilingual/config.toml::::taxonomies::::tag::::tags,,,
