occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
cd8c4cc20d32b0b3f34faa18af710f3fdf706bfa,d6fa3ab659210e11099d9f4d2cc1be50415b7350,dae9477593840954b36b35e113d79d25,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,java-design-patterns::::naked-objects/dom/pom.xml::::project::::dependencies::::dependency_org.apache.isis.core/isis-core-unittestsupport::::scope::::test <-> java-design-patterns::::state/pom.xml::::project::::dependencies::::dependency_org.mockito/mockito-core::::scope::::test,,,
ede953ca9b554bc01d72eb34e94cd797cc23f160,3aacdad583bbcb63eabf5636ed7fe9509a5a824d,396c0f8faa99eeb715d28a13eb79623c,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,java-design-patterns::::model-view-presenter/pom.xml::::project::::dependencies::::dependency_junit/junit::::groupId::::junit <-> java-design-patterns::::observer/pom.xml::::project::::dependencies::::dependency_junit/junit::::groupId::::junit,,,
e290237620cfc8e9534a6fb758bddec2900b2c09,b884e9651e8eb7dd80d8cf2bdf00abf4cda5e161,90db67d532fd74e99ce2b3291d290097,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,java-design-patterns::::naked-objects/dom/pom.xml::::project::::profiles::::profile_isis-validate::::build::::plugins::::plugin_org.apache.isis.tool/isis-maven-plugin::::dependencies::::dependency_org.apache.isis.example.application/simpleapp-dom::::version::::version:1.9.0-SNAPSHOT <-> java-design-patterns::::tolerant-reader/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version::::version:1.9.0-SNAPSHOT,tolerant-reader/pom.xml,java-design-patterns::::tolerant-reader/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version(location: 8),git show e290237620cfc8e9534a6fb758bddec2900b2c09 -- tolerant-reader/pom.xml
d7262205101e445483864db6b0cc39974ca73565,41b757a636aca269bd92e80303e0ebf593c10989,78d165b3464ddc995aa7978cac5e8322,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,java-design-patterns::::aggregator-microservices/aggregator-service/pom.xml::::project::::parent_com.iluwatar/aggregator-microservices::::artifactId::::aggregator-microservices <-> java-design-patterns::::aggregator-microservices/pom.xml::::project::::build::::plugins::::plugin_com.github.markusmo3.urm/urm-maven-plugin::::configuration::::skipForProjects::::param::::aggregator-microservices,,,
211c0bf9cc226a48c3df09eeb00daf29ef38a707,4e4b7d2c326eccec42f87775ea5465455eb707b5,24956cfaad22eacb51a87b396700b1ac,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,java-design-patterns::::event-driven-architecture/pom.xml::::project::::dependencies::::dependency_org.junit.jupiter/junit-jupiter-api::::scope::::test <-> java-design-patterns::::step-builder/pom.xml::::project::::dependencies::::dependency_org.junit.jupiter/junit-jupiter-engine::::scope::::test,,,
e290237620cfc8e9534a6fb758bddec2900b2c09,b884e9651e8eb7dd80d8cf2bdf00abf4cda5e161,541a2e9afb1ca81ba360097bf40d6f1e,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,java-design-patterns::::interpreter/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version::::version:1.9.0-SNAPSHOT <-> java-design-patterns::::naked-objects/dom/pom.xml::::project::::profiles::::profile_isis-validate::::build::::plugins::::plugin_org.apache.isis.tool/isis-maven-plugin::::dependencies::::dependency_org.apache.isis.example.application/simpleapp-dom::::version::::version:1.9.0-SNAPSHOT,interpreter/pom.xml,java-design-patterns::::interpreter/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version(location: 8),git show e290237620cfc8e9534a6fb758bddec2900b2c09 -- interpreter/pom.xml
211c0bf9cc226a48c3df09eeb00daf29ef38a707,4e4b7d2c326eccec42f87775ea5465455eb707b5,2bb1bceb270d95fee24f547bdc880810,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,java-design-patterns::::abstract-document/pom.xml::::project::::dependencies::::dependency_org.junit.jupiter/junit-jupiter-api::::scope::::test <-> java-design-patterns::::naked-objects/webapp/pom.xml::::project::::dependencies::::dependency_junit/junit::::scope::::test,,,
e290237620cfc8e9534a6fb758bddec2900b2c09,b884e9651e8eb7dd80d8cf2bdf00abf4cda5e161,a698fb14fe1d68546a1ddc23a0355d49,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,java-design-patterns::::model-view-presenter/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version::::version:1.9.0-SNAPSHOT <-> java-design-patterns::::naked-objects/dom/pom.xml::::project::::profiles::::profile_isis-validate::::build::::plugins::::plugin_org.apache.isis.tool/isis-maven-plugin::::dependencies::::dependency_org.apache.isis.example.application/simpleapp-dom::::version::::version:1.9.0-SNAPSHOT,model-view-presenter/pom.xml,java-design-patterns::::model-view-presenter/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version(location: 8),git show e290237620cfc8e9534a6fb758bddec2900b2c09 -- model-view-presenter/pom.xml
ede953ca9b554bc01d72eb34e94cd797cc23f160,3aacdad583bbcb63eabf5636ed7fe9509a5a824d,5ca76325b55b1be080917787acdc88ff,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,java-design-patterns::::model-view-presenter/pom.xml::::project::::url::::http://maven.apache.org <-> java-design-patterns::::visitor/pom.xml::::project::::url::::http://maven.apache.org,,,
5f1c3ffddf5e6eb0a83858fa02e510d375f0b4b9,96ee8b36c65f0483899eede44f4d86cf8d8ccfe9,b36c8c70db3f35a0f4be1cc2d195aae9,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,java-design-patterns::::dao/pom.xml::::project::::build::::resources::::resource::::targetPath::::.. <-> java-design-patterns::::naked-objects/webapp/pom.xml::::project::::properties::::siteBaseDir::::..,,,
