occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
3ecffb1554d1cbe376f29a59a72039785af221a7,e3afdf6570d66beaa5be5d6ec01c802e894f6920,af3f996c1ef630e479438989c70d18b7,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-mbg/src/main/resources/generator.properties::::jdbc.password::::root <-> mall::::mall-search/src/main/resources/application-dev.properties::::spring.datasource.password::::root,,,
f3166259177f161190d15f36ad99879e6f77a7eb,f803f21908f353d1afc08d6df66f0d2d969c5f63,82d38065488bb96f21731f3dc20ea970,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-portal/pom.xml::::project::::dependencies::::dependency_org.springframework.boot/spring-boot-starter-redis::::groupId::::org.springframework.boot <-> mall::::mall-search/pom.xml::::project::::parent_org.springframework.boot/spring-boot-starter-parent::::groupId::::org.springframework.boot,,,
3ecffb1554d1cbe376f29a59a72039785af221a7,e3afdf6570d66beaa5be5d6ec01c802e894f6920,65385159d78352f3bee373fa8349d653,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-mbg/src/main/resources/generator.properties::::jdbc.userid::::root <-> mall::::mall-search/src/main/resources/application-dev.properties::::spring.datasource.username::::root,,,
8cb20508e869e761123861922ba31285faae24e7,7ece9913960884ab3a59a196fcbecac72c6e99d3,e676019af3217925657b686b4daea7a7,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-portal/pom.xml::::project::::description::::Demo project for Spring Boot <-> mall::::mall-search/pom.xml::::project::::description::::Demo project for Spring Boot,mall-search/pom.xml,mall::::mall-search/pom.xml::::project::::description(location: 12),git show 8cb20508e869e761123861922ba31285faae24e7 -- mall-search/pom.xml
83cd97284752cf3007af9175230e84febd32fc4f,c3359c9fcb410d4584ed2462167b40c276373987,8a293e0e9b69a55b4102cf76695d3c0e,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-admin/src/main/resources/application-dev.properties::::spring.datasource.username::::root <-> mall::::mall-mbg/src/main/resources/generator.properties::::jdbc.userid::::root,,,
73214817a82d64f6e191704a9390660e4551c43b,1a236d8ed970180c6fee8844a978dd3d52323864,4a7d896d909638ecae004b249f36f095,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-admin/src/main/resources/application-prod.properties::::spring.datasource.username::::root <-> mall::::mall-mbg/src/main/resources/generator.properties::::jdbc.password::::root,mall-admin/src/main/resources/application-prod.properties,"mall::::mall-admin/src/main/resources/application-prod.properties::::spring.datasource.username(location: section: dummy_section, option: spring.datasource.username)",git show 73214817a82d64f6e191704a9390660e4551c43b -- mall-admin/src/main/resources/application-prod.properties
08fa6091b9093eb590155c7a5d4156a42c029cae,450408c7b4981ec1aebcbd4726e1a3b0a4bc8ebf,95aca895e3f25d28d1469d56ca9323a2,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-demo/pom.xml::::project::::version::::version:1.0-SNAPSHOT <-> mall::::mall-mbg/pom.xml::::project::::dependencies::::dependency_com.macro.mall/mall-common::::version::::version:1.0-SNAPSHOT,,,
809dee0de09b597790d489eacb8edbb36f273062,4606c8dfb89e27cef7b10340f9e43f15e9508191,7c671425c932e90ff1c2044a60321e6b,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-admin/pom.xml::::project::::dependencies::::dependency_io.jsonwebtoken/jjwt::::artifactId::::jjwt <-> mall::::pom.xml::::project::::dependencyManagement::::dependencies::::dependency_io.jsonwebtoken/jjwt::::artifactId::::jjwt,,,
af24b1b06cdafce7dcb78981b2edef4ba21f4555,c73ae83bc7fff969465a5c88ba5498f630147298,ee11426181f56959d89d0c5136728609,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-admin/pom.xml::::project::::properties::::project.build.sourceEncoding::::UTF-8 <-> mall::::pom.xml::::project::::properties::::project.reporting.outputEncoding::::UTF-8,,,
cae5e7618a05f9c007422f748f3b11e4946307e3,e699a32dc537d2b3c04e8c52707af28bb7a25efc,53a15624a323617fab3c0bf66aa13f04,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-admin/pom.xml::::project::::dependencies::::dependency_org.springframework.boot/spring-boot-starter-web::::groupId::::org.springframework.boot <-> mall::::mall-portal/pom.xml::::project::::dependencies::::dependency_org.springframework.boot/spring-boot-starter-data-redis::::groupId::::org.springframework.boot,,,
f3166259177f161190d15f36ad99879e6f77a7eb,f803f21908f353d1afc08d6df66f0d2d969c5f63,6f2b194e4321e4c9a92a56e750513baf,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-demo/pom.xml::::project::::dependencies::::dependency_org.springframework.boot/spring-boot-starter-actuator::::groupId::::org.springframework.boot <-> mall::::mall-portal/pom.xml::::project::::dependencies::::dependency_org.springframework.boot/spring-boot-starter-cache::::groupId::::org.springframework.boot,,,
83cd97284752cf3007af9175230e84febd32fc4f,c3359c9fcb410d4584ed2462167b40c276373987,c15a4cc6996382c29c2940f5b3d40cd5,MissingArtifactConflict,ConfigType.PORT<->ConfigType.UNKNOWN,mall::::document/docker/docker-compose.yml::::services::::mall-portal::::ports::::out::::8085 <-> mall::::mall-portal/src/main/resources/application.properties::::http.port::::8085,,,
3ecffb1554d1cbe376f29a59a72039785af221a7,e3afdf6570d66beaa5be5d6ec01c802e894f6920,00aeaf23b56232e5bd084e5b05f1bced,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-mbg/src/main/resources/generator.properties::::jdbc.connectionurl::::jdbc:mysql://localhost:3306/mall <-> mall::::mall-search/src/main/resources/application-dev.properties::::spring.datasource.url::::jdbc:mysql://localhost:3306/mall,,,
83cd97284752cf3007af9175230e84febd32fc4f,c3359c9fcb410d4584ed2462167b40c276373987,3616b92bef541c7b1801d9cfb7e60935,MissingArtifactConflict,ConfigType.PORT<->ConfigType.UNKNOWN,mall::::document/docker/docker-compose.yml::::services::::mall-search::::ports::::out::::8081 <-> mall::::mall-search/src/main/resources/application.properties::::server.port::::8081,,,
83cd97284752cf3007af9175230e84febd32fc4f,c3359c9fcb410d4584ed2462167b40c276373987,1c133c9c4cadd5ea0c0cac06aa658cc6,MissingArtifactConflict,ConfigType.PORT<->ConfigType.UNKNOWN,mall::::document/docker/docker-compose.yml::::services::::redis::::ports::::out::::6379 <-> mall::::mall-portal/src/main/resources/application-prod.properties::::spring.redis.port::::6379,,,
c3359c9fcb410d4584ed2462167b40c276373987,470c40eb1656485e53fa175afd7c05d506b42e02,e9804fd12af30eac46a9f31c2bbde882,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-portal/src/main/resources/application-dev.properties::::spring.redis.database::::0 <-> mall::::mall-portal/src/main/resources/application-prod.properties::::spring.redis.pool.min-idle::::0,,,
cae5e7618a05f9c007422f748f3b11e4946307e3,e699a32dc537d2b3c04e8c52707af28bb7a25efc,c1fe96d54b6e1c2f808432e350f83c6f,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-portal/pom.xml::::project::::dependencies::::dependency_org.springframework.boot/spring-boot-starter-security::::groupId::::org.springframework.boot <-> mall::::mall-search/pom.xml::::project::::parent_org.springframework.boot/spring-boot-starter-parent::::groupId::::org.springframework.boot,,,
08fa6091b9093eb590155c7a5d4156a42c029cae,450408c7b4981ec1aebcbd4726e1a3b0a4bc8ebf,8adabe563c8d0f7a08a23591e825c42e,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-common/pom.xml::::project::::dependencies::::dependency_com.github.pagehelper/pagehelper::::groupId::::com.github.pagehelper <-> mall::::pom.xml::::project::::dependencies::::dependency_com.github.pagehelper/pagehelper-spring-boot-starter::::groupId::::com.github.pagehelper,,,
50e893264517129a294d7ec055f7016efb2e41a5,69ec434f436600bcdce71dad198a008084991ccd,68181f543406e82eff31408053530d91,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-mbg/src/main/resources/generator.properties::::jdbc.userid::::root <-> mall::::mall-portal/src/main/resources/application.properties::::spring.datasource.password::::root,,,
73214817a82d64f6e191704a9390660e4551c43b,1a236d8ed970180c6fee8844a978dd3d52323864,c2a3a3182af0d0a697b7fbd027c060be,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-search/src/main/resources/application-dev.properties::::spring.datasource.username::::root <-> mall::::mall-search/src/main/resources/application-prod.properties::::spring.datasource.username::::root,mall-search/src/main/resources/application-prod.properties,"mall::::mall-search/src/main/resources/application-prod.properties::::spring.datasource.username(location: section: dummy_section, option: spring.datasource.username)",git show 73214817a82d64f6e191704a9390660e4551c43b -- mall-search/src/main/resources/application-prod.properties
83cd97284752cf3007af9175230e84febd32fc4f,c3359c9fcb410d4584ed2462167b40c276373987,c495529d0f9c275f16eaf5b3c9c524fa,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-admin/pom.xml::::project::::properties::::project.reporting.outputEncoding::::UTF-8 <-> mall::::mall-demo/src/main/resources/application.properties::::spring.thymeleaf.encoding::::UTF-8,,,
8720597293b8aeced18234fac9668a768bc2a5e6,3c7f48df1e1a9756229a1baa16d908541060865f,655d8d5088fe638a8408f0a974dd49b5,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-demo/.mvn/wrapper/maven-wrapper.properties::::distributionurl::::https://repo1.maven.org/maven2/org/apache/maven/apache-maven/3.5.3/apache-maven-3.5.3-bin.zip <-> mall::::mall-search/.mvn/wrapper/maven-wrapper.properties::::distributionurl::::https://repo1.maven.org/maven2/org/apache/maven/apache-maven/3.5.3/apache-maven-3.5.3-bin.zip,,,
af24b1b06cdafce7dcb78981b2edef4ba21f4555,c73ae83bc7fff969465a5c88ba5498f630147298,226b09e6344a8c700cc3b092c082ee9f,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-demo/pom.xml::::project::::properties::::project.build.sourceEncoding::::UTF-8 <-> mall::::pom.xml::::project::::properties::::project.build.sourceEncoding::::UTF-8,,,
7a09989e2bef5fbebd8f455c2bc786b2ac59a7c2,e796282daa4331b448327d9263d22b66167498a0,9806821371dd732f8c86c189b6c45c87,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-demo/src/main/resources/application.yml::::logging::::level::::com.macro.mall::::debug <-> mall::::mall-search/src/main/resources/application.yml::::logging::::level::::com.macro.mall::::debug,,,
809dee0de09b597790d489eacb8edbb36f273062,4606c8dfb89e27cef7b10340f9e43f15e9508191,d359d92c132f5144a30bd4a29e7693d3,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-admin/pom.xml::::project::::dependencies::::dependency_org.springframework.boot/spring-boot-starter-security::::groupId::::org.springframework.boot <-> mall::::mall-demo/pom.xml::::project::::dependencies::::dependency_org.springframework.boot/spring-boot-starter-security::::groupId::::org.springframework.boot,,,
cae5e7618a05f9c007422f748f3b11e4946307e3,e699a32dc537d2b3c04e8c52707af28bb7a25efc,d71b67d8244784b844d3264005b7b436,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-demo/pom.xml::::project::::dependencies::::dependency_org.springframework.boot/spring-boot-starter-aop::::groupId::::org.springframework.boot <-> mall::::mall-search/pom.xml::::project::::dependencies::::dependency_org.springframework.boot/spring-boot-starter-data-elasticsearch::::groupId::::org.springframework.boot,,,
1a310a0d319705f45a3be0c4a4d766f9456431d9,809dee0de09b597790d489eacb8edbb36f273062,04707481f38091bcdd474d107ca3af46,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-demo/pom.xml::::project::::dependencies::::dependency_org.springframework.boot/spring-boot-starter-security::::artifactId::::spring-boot-starter-security <-> mall::::mall-portal/pom.xml::::project::::dependencies::::dependency_org.springframework.boot/spring-boot-starter-security::::artifactId::::spring-boot-starter-security,,,
af24b1b06cdafce7dcb78981b2edef4ba21f4555,c73ae83bc7fff969465a5c88ba5498f630147298,401acda49a48b5c823762ffd9ad302de,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-search/pom.xml::::project::::properties::::project.build.sourceEncoding::::UTF-8 <-> mall::::pom.xml::::project::::properties::::project.reporting.outputEncoding::::UTF-8,,,
7a09989e2bef5fbebd8f455c2bc786b2ac59a7c2,e796282daa4331b448327d9263d22b66167498a0,9e9d1a3289f1027a410e56b5f058be34,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-security/pom.xml::::project::::dependencies::::dependency_org.springframework.boot/spring-boot-starter-web::::artifactId::::spring-boot-starter-web <-> mall::::pom.xml::::project::::dependencies::::dependency_org.springframework.boot/spring-boot-starter-web::::artifactId::::spring-boot-starter-web,,,
cae5e7618a05f9c007422f748f3b11e4946307e3,e699a32dc537d2b3c04e8c52707af28bb7a25efc,6e8f1354f25d82bef12a8da49eba701e,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-admin/pom.xml::::project::::dependencies::::dependency_org.springframework.boot/spring-boot-starter-test::::groupId::::org.springframework.boot <-> mall::::mall-search/pom.xml::::project::::dependencies::::dependency_org.springframework.boot/spring-boot-starter-data-elasticsearch::::groupId::::org.springframework.boot,,,
