occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
4b29c83f8871f4fadfec85dfa010d213e09a2181,0fa6d82f20a1bb1eb9a5cee33a46f54cce7dc723,e719be93157ee75f3cc8f046d6c304ce,MissingOptionConflict,ConfigType.PATH<->ConfigType.PATH,material-ui::::package.json::::main::::./src/index.js <-> material-ui::::packages/material-ui-icons/package.json::::main::::./src/index.js,,,
abb565cb7e5f8b4031c9c838d827e6fb0ce4a8aa,c2034054c56523f21ed1164f60c4b189511b9147,c00b78e4ae13f2a7385146779988a298,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,material-ui::::examples/create-react-app-with-flow/package.json::::dependencies::::@material-ui/core::::@material-ui/core:^1.0.0-rc.0 <-> material-ui::::packages/material-ui-lab/package.json::::devDependencies::::@material-ui/core::::@material-ui/core:^1.0.0-rc.0,,,
96db065bf10df6c0366051607a8f760c073b5ab2,28052bf497f41d2b92858f7870d3cad87f2d5751,065e9a40cba8a44a20c56f3c4b0245b7,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,material-ui::::.circleci/config.yml::::workflows::::typescript-next::::triggers::::triggers_0::::schedule::::filters::::branches::::only::::next <-> material-ui::::.github/workflows/maintenance.yml::::on::::pull_request_target::::branches::::next,,,
e3048c802d4e8835830a3817582959ad1d00ff21,639f179420c12bbf5966488c4b53a4483106c182,8fb57d3cbdffce5c79babcdb6266ed05,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,material-ui::::.eslintrc.yaml::::rules::::react/jsx-handler-names::::0 <-> material-ui::::test/browser/.eslintrc.yaml::::rules::::no-unused-expressions::::0,.eslintrc.yaml,material-ui::::.eslintrc.yaml::::rules::::react/jsx-handler-names(location: 80),git show e3048c802d4e8835830a3817582959ad1d00ff21 -- .eslintrc.yaml
671d4c1686b684e3cfa98b607bb555ed69fffc8c,204f74122f52990211005e27b3577f88e5e51276,5519edfa72c9da3f2892e104697225ff,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,material-ui::::packages/material-ui-lab/package.json::::dependencies::::@material-ui/utils::::@material-ui/utils:^4.9.6 <-> material-ui::::packages/material-ui-styles/package.json::::dependencies::::@material-ui/utils::::@material-ui/utils:^4.9.6,packages/material-ui-lab/package.json,material-ui::::packages/material-ui-lab/package.json::::dependencies::::@material-ui/utils(location: 49),git show 671d4c1686b684e3cfa98b607bb555ed69fffc8c -- packages/material-ui-lab/package.json
02455452400748ba59d44f7cf4965eb387e85029,eaf401398d7b75a065cf3dfb34ac34607536223c,c49f54bd0a06c2d80d8796dc8e51a91b,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,material-ui::::packages/mui-material/package.json::::version::::version:5.2.0 <-> material-ui::::packages/mui-styled-engine/package.json::::version::::version:5.2.0,packages/mui-material/package.json,material-ui::::packages/mui-material/package.json::::version(location: 3),git show 02455452400748ba59d44f7cf4965eb387e85029 -- packages/mui-material/package.json
f04f522d390e87402e59f732f34a78570bd56d0b,b0b65e7f64aefbfc368b49e9adcda41a0a4df7de,e2f9fc30f86f780573e4469131023fad,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,material-ui::::examples/browserify-gulp-example/package.json::::devDependencies::::babelify::::babelify:^7.2.0 <-> material-ui::::package.json::::devDependencies::::babelify::::babelify:^7.2.0,,,
b74e6d24546ee3c79b4b7dea9c645c865eea22fe,81ee71787628c1d7de6e82c1e3629c0542b44f87,0034752d56705e40c00d4c081d5bde0c,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,material-ui::::packages/material-ui-styles/package.json::::version::::version:4.9.14 <-> material-ui::::packages/material-ui-system/package.json::::version::::version:4.9.14,packages/material-ui-styles/package.json,material-ui::::packages/material-ui-styles/package.json::::version(location: 3),git show b74e6d24546ee3c79b4b7dea9c645c865eea22fe -- packages/material-ui-styles/package.json
c9a484f44b82da2780d041f551e612b9e31e8ba8,a2b96ffe3dfe9589d366b72a75e21cc62d082cd1,b1608268a932fe33b4d0d0031ae59e4a,MissingArtifactConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,material-ui::::examples/create-react-app-next/package.json::::dependencies::::react-scripts::::react-scripts:latest <-> material-ui::::examples/create-react-app/package.json::::dependencies::::react-scripts::::react-scripts:latest,,,
eaa9bfa5f66e82b92b76121090f906a71203e9fd,58db8b27344cd4dd8f166db69b2ff8cd534884fc,f7d00aa261efc9390e1e941c8cbb8e0e,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,material-ui::::examples/create-react-app-with-flow/package.json::::dependencies::::jss::::jss:^8.1.0 <-> material-ui::::examples/create-react-app/package.json::::dependencies::::jss::::jss:^8.1.0,examples/create-react-app/package.json,material-ui::::examples/create-react-app/package.json::::dependencies::::jss(location: 6),git show eaa9bfa5f66e82b92b76121090f906a71203e9fd -- examples/create-react-app/package.json
