occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
da81548991948457603d6cf719c1198e0a88f888,86d69c443cb5c4e0dbbb01734c96cf451695c782,fecde71f5572b9e114b5377757165ab8,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,models::::official/vision/beta/configs/experiments/image_classification/imagenet_resnet50_gpu.yaml::::task::::model::::input_size::::224 <-> models::::official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml::::validation_dataset::::image_size::::224,,,
7d4fb07dd54efe930f7e49c4c98c34634b29b528,1804889cbe04a25365b1919b5c8f434f6e12a04a,fbeb95fcf043f20d600a77947e29fc57,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,models::::official/legacy/image_classification/configs/examples/resnet/imagenet/gpu.yaml::::train_dataset::::batch_size::::256 <-> models::::official/nlp/projects/teams/experiments/teams_en_uncased_small.yaml::::task::::model::::encoder::::teams::::hidden_size::::256,,,
e5b04fefa0747955a9142938074ae8f9fc8f7af1,54ea3cead3a15c0be356bf72ef7edc7b3d2c0405,e8c698f0cc2a463406e234bc00d69928,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,models::::official/legacy/image_classification/configs/examples/efficientnet/imagenet/efficientnet-b0-gpu.yaml::::model::::loss::::label_smoothing::::0.1 <-> models::::official/vision/beta/projects/movinet/configs/yaml/movinet_a2_stream_k600_8x8.yaml::::task::::losses::::label_smoothing::::0.1,,,
da81548991948457603d6cf719c1198e0a88f888,86d69c443cb5c4e0dbbb01734c96cf451695c782,fdfbc0ac72a304033c4d62fa481e37aa,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,models::::official/vision/beta/configs/experiments/image_classification/imagenet_mobilenetv2_gpu.yaml::::task::::model::::input_size::::224 <-> models::::official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml::::train_dataset::::image_size::::224,,,
da81548991948457603d6cf719c1198e0a88f888,86d69c443cb5c4e0dbbb01734c96cf451695c782,196830ab7db26fe88dc3f97bb901c0ba,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,models::::official/vision/beta/configs/experiments/image_classification/imagenet_resnet152_tpu.yaml::::task::::model::::input_size::::224 <-> models::::official/vision/image_classification/configs/examples/resnet/imagenet/tpu.yaml::::train_dataset::::image_size::::224,,,
7695e68c7728d5eb1a7c11ae21824a48bcd9a95c,78f65c8bf15f0e0d415ee019b00576138dce7f82,a41fcbbb0075ef3847b56ab7d4fe5619,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,models::::official/legacy/image_classification/configs/examples/efficientnet/imagenet/efficientnet-b1-tpu.yaml::::train::::epochs::::500 <-> models::::official/nlp/projects/example/experiments/local_example.yaml::::trainer::::train_steps::::500,,,
da81548991948457603d6cf719c1198e0a88f888,86d69c443cb5c4e0dbbb01734c96cf451695c782,13cbf6fe2c17929b35caa01dae17442c,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,models::::official/vision/beta/configs/experiments/image_classification/imagenet_mobilenetv2_gpu.yaml::::task::::model::::input_size::::224 <-> models::::official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml::::validation_dataset::::image_size::::224,,,
da81548991948457603d6cf719c1198e0a88f888,86d69c443cb5c4e0dbbb01734c96cf451695c782,30fb7cd358389763f088c9f194c155e0,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,models::::official/vision/beta/configs/experiments/image_classification/imagenet_mobilenetv2_tpu.yaml::::task::::model::::input_size::::224 <-> models::::official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml::::validation_dataset::::image_size::::224,,,
c2c57b2205c46f647d6bbe950878853a5e358d4b,e571473896606d9e4e36b65ca47daab220b602f8,9f89492e02e4a6c4de87df0b1da28ebe,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,models::::official/legacy/image_classification/configs/examples/resnet/imagenet/tpu.yaml::::model::::loss::::label_smoothing::::0.1 <-> models::::official/nlp/projects/teams/experiments/teams_en_uncased_small.yaml::::task::::model::::encoder::::any::::attention_dropout_rate::::0.1,,,
da81548991948457603d6cf719c1198e0a88f888,86d69c443cb5c4e0dbbb01734c96cf451695c782,63c3f85c80ffeb70aec6eddf8f727f71,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,models::::official/vision/beta/configs/experiments/image_classification/imagenet_resnet200_tpu.yaml::::task::::model::::input_size::::224 <-> models::::official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml::::train_dataset::::image_size::::224,,,
54ea3cead3a15c0be356bf72ef7edc7b3d2c0405,e6127d1cb9806d58f7b93d4e96ee7eb048fe2125,7bdb42eb3bc2ec53ab45f4f00aeb4855,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,models::::official/legacy/image_classification/configs/examples/efficientnet/imagenet/efficientnet-b0-tpu.yaml::::validation_dataset::::builder::::records <-> models::::official/vision/image_classification/configs/examples/efficientnet/imagenet/efficientnet-b1-gpu.yaml::::validation_dataset::::builder::::records,,,
6cf75874bb35370b1b94b472ac3dd4562cfe6ffe,ee7318bf81685d1cd8d6dc89d5d42373d2b927e6,12d05da78a9e87b82b42ff8dbae5ac4c,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,models::::official/legacy/image_classification/configs/examples/resnet/imagenet/tpu.yaml::::train_dataset::::dtype::::bfloat16 <-> models::::official/vision/beta/projects/assemblenet/experiment/ucf101_assemblenet_tpu.yaml::::runtime::::mixed_precision_dtype::::bfloat16,,,
da81548991948457603d6cf719c1198e0a88f888,86d69c443cb5c4e0dbbb01734c96cf451695c782,39467901d9a830e5c60ec06fe459a8d7,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,models::::official/vision/beta/configs/experiments/image_classification/imagenet_mobilenetv2_gpu.yaml::::task::::validation_data::::global_batch_size::::1024 <-> models::::official/vision/beta/configs/experiments/retinanet/coco_spinenet96_tpu.yaml::::task::::model::::input_size::::1024,,,
0414b5e8b666f46891a24870572f921d0b219f66,e3f75fcad0be983a747a97fb0cfe21977def7695,7a2163542593f5068276d5997e5f58c2,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,models::::official/vision/image_classification/configs/examples/efficientnet/imagenet/efficientnet-b1-tpu.yaml::::validation_dataset::::builder::::records <-> models::::official/vision/image_classification/configs/examples/resnet/imagenet/tpu.yaml::::validation_dataset::::builder::::records,official/vision/image_classification/configs/examples/resnet/imagenet/tpu.yaml,models::::official/vision/image_classification/configs/examples/resnet/imagenet/tpu.yaml::::validation_dataset::::builder(location: 26),git show 0414b5e8b666f46891a24870572f921d0b219f66 -- official/vision/image_classification/configs/examples/resnet/imagenet/tpu.yaml
da81548991948457603d6cf719c1198e0a88f888,86d69c443cb5c4e0dbbb01734c96cf451695c782,00a08e081c5e0fae3bb4e496274b8ca5,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,models::::official/vision/beta/configs/experiments/image_classification/imagenet_resnet101_tpu.yaml::::task::::model::::input_size::::224 <-> models::::official/vision/image_classification/configs/examples/resnet/imagenet/tpu.yaml::::validation_dataset::::image_size::::224,,,
da81548991948457603d6cf719c1198e0a88f888,86d69c443cb5c4e0dbbb01734c96cf451695c782,429aec25954ed10fecabc89308dc4587,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,models::::official/vision/beta/configs/experiments/image_classification/imagenet_mobilenetv2_gpu.yaml::::task::::model::::input_size::::224 <-> models::::official/vision/image_classification/configs/examples/resnet/imagenet/tpu.yaml::::train_dataset::::image_size::::224,,,
da81548991948457603d6cf719c1198e0a88f888,86d69c443cb5c4e0dbbb01734c96cf451695c782,589dd0a4128213a022214d62548b2a00,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,models::::official/vision/beta/configs/experiments/image_classification/imagenet_resnet50_gpu.yaml::::task::::model::::input_size::::224 <-> models::::official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml::::train_dataset::::image_size::::224,,,
da81548991948457603d6cf719c1198e0a88f888,86d69c443cb5c4e0dbbb01734c96cf451695c782,02410fc48093966dae14aa22ebc73aac,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,models::::official/vision/beta/configs/experiments/image_classification/imagenet_resnet50_tpu.yaml::::task::::model::::input_size::::224 <-> models::::official/vision/image_classification/configs/examples/resnet/imagenet/tpu.yaml::::train_dataset::::image_size::::224,,,
23a8e35ff364d7448dc767282e18032daca5202c,5e32b18b6661dbbd0ff72d20c3f0b914bcfc0c94,802e49ac31e17e28eb0d65fa686102b2,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,models::::.github/stale.yml::::daysUntilStale::::7 <-> models::::official/vision/beta/configs/experiments/maskrcnn/coco_spinenet143_casrcnn_tpu.yaml::::task::::model::::max_level::::7,,,
c2c57b2205c46f647d6bbe950878853a5e358d4b,e571473896606d9e4e36b65ca47daab220b602f8,9fbe58b8b1b23abc0537dabf62ad0111,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,models::::official/legacy/image_classification/configs/examples/efficientnet/imagenet/efficientnet-b1-gpu.yaml::::train::::epochs::::500 <-> models::::official/nlp/projects/teams/experiments/small/squad_v1.yaml::::trainer::::steps_per_loop::::500,,,
c2c57b2205c46f647d6bbe950878853a5e358d4b,e571473896606d9e4e36b65ca47daab220b602f8,f8a4c04d6b2b018dcfa58e70e1136772,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,models::::official/legacy/image_classification/configs/examples/efficientnet/imagenet/efficientnet-b0-tpu.yaml::::model::::loss::::label_smoothing::::0.1 <-> models::::official/nlp/projects/teams/experiments/base/wiki_books_pretrain.yaml::::task::::model::::generator::::attention_dropout_rate::::0.1,,,
da81548991948457603d6cf719c1198e0a88f888,86d69c443cb5c4e0dbbb01734c96cf451695c782,d6436ced9c0f3d5d45005a2c86db2907,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,models::::official/vision/beta/configs/experiments/image_classification/imagenet_mobilenetv2_gpu.yaml::::task::::train_data::::global_batch_size::::1024 <-> models::::official/vision/beta/configs/experiments/retinanet/coco_spinenet96_tpu.yaml::::task::::model::::input_size::::1024,,,
7d4fb07dd54efe930f7e49c4c98c34634b29b528,1804889cbe04a25365b1919b5c8f434f6e12a04a,83bed00c392816a48e7e0e02be1942e1,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,models::::official/legacy/image_classification/configs/examples/efficientnet/imagenet/efficientnet-b1-tpu.yaml::::model::::loss::::label_smoothing::::0.1 <-> models::::official/nlp/projects/teams/experiments/teams_en_uncased_small.yaml::::task::::model::::encoder::::teams::::attention_dropout_rate::::0.1,,,
