occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
da97b89f89f6d6a2746e31b24e7f2525302ab6db,67e24550df0148d00895dc7ed63e7e578c3234b9,e730397d44b6564e4a296e675f870275,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,nvm::::.github/workflows/rebase.yml::::jobs::::_::::steps::::steps_1::::uses::::ljharb/rebase@master <-> nvm::::.github/workflows/toc.yml::::jobs::::_::::steps::::steps_5::::uses::::ljharb/rebase@master,.github/workflows/toc.yml,nvm::::.github/workflows/toc.yml::::jobs::::_::::steps::::steps_5::::uses(location: 26),git show da97b89f89f6d6a2746e31b24e7f2525302ab6db -- .github/workflows/toc.yml
40b58344b9b6daf32e5f9b929ad6522f29dee3cc,71f886edfe4e9711863e9a0ac126a8f79fd3a8f0,3c1a8b80c0377d484e1de7045707c891,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,nvm::::.github/workflows/shellcheck.yml::::jobs::::shellcheck::::steps::::steps_0::::uses::::actions/checkout@v2 <-> nvm::::.github/workflows/toc.yml::::jobs::::_::::steps::::steps_0::::uses::::actions/checkout@v2,,,
cc54cce7aadeb05c0f8df50ac853db89ca069606,e2e9e37aef82f284ac5ada4ec66b342292632c33,07747c776049d81e00bb3fe41e766fd0,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,nvm::::.github/workflows/latest-npm.yml::::jobs::::nodes::::strategy::::matrix::::node-version::::11 <-> nvm::::.github/workflows/windows-npm.yml::::jobs::::wsl_matrix::::strategy::::matrix::::npm-node-version::::11,,,
da97b89f89f6d6a2746e31b24e7f2525302ab6db,67e24550df0148d00895dc7ed63e7e578c3234b9,48b79b8dfe5c140f3cb8bfd868a285f8,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,nvm::::.github/workflows/rebase.yml::::jobs::::_::::steps::::steps_1::::env::::GITHUB_TOKEN::::${{ secrets.GITHUB_TOKEN }} <-> nvm::::.github/workflows/toc.yml::::jobs::::_::::steps::::steps_5::::env::::GITHUB_TOKEN::::${{ secrets.GITHUB_TOKEN }},,,
63925da04e32be27c8dd1fa217d76f210e78fdb7,589529e19815b1c99b1746cc21a260d8da4e851f,04f19a2aac167b641ac703f1af0195a4,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.COMMAND,nvm::::.github/workflows/lint.yml::::jobs::::dockerfile_lint::::steps::::steps_1::::with::::command::::dockerfile_lint <-> nvm::::package.json::::scripts::::dockerfile_lint::::dockerfile_lint,,,
91494fe3c20d4d58277a336a9d66ba1d267ce11b,8a085c919390357fe7f2f182b3ca7d6753dede96,ee199f0ea6595fbc65a1121434812449,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,nvm::::.github/workflows/rebase.yml::::jobs::::_::::steps::::steps_1::::env::::GITHUB_TOKEN::::${{ secrets.GITHUB_TOKEN }} <-> nvm::::.github/workflows/toc.yml::::jobs::::_::::steps::::steps_6::::env::::GITHUB_TOKEN::::${{ secrets.GITHUB_TOKEN }},,,
a3ab48c82d7e3d6748daba1bd87a855294306460,5ac1f410b02222e1b640aaffb8bd89fb1d69d0d7,391275f3111ff45a439e90482b69e1e8,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,nvm::::.github/workflows/release.yml::::jobs::::release::::steps::::steps_1::::uses::::actions/setup-node@v2 <-> nvm::::.github/workflows/toc.yml::::jobs::::_::::steps::::steps_2::::uses::::actions/setup-node@v2,,,
91494fe3c20d4d58277a336a9d66ba1d267ce11b,8a085c919390357fe7f2f182b3ca7d6753dede96,947be0c311b442193121e939a3e00fdd,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,nvm::::.github/workflows/rebase.yml::::jobs::::_::::steps::::steps_1::::uses::::ljharb/rebase@master <-> nvm::::.github/workflows/toc.yml::::jobs::::_::::steps::::steps_6::::uses::::ljharb/rebase@master,,,
a3ab48c82d7e3d6748daba1bd87a855294306460,5ac1f410b02222e1b640aaffb8bd89fb1d69d0d7,3832ef920ade51ca0ec0ae02c8d72c2d,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,nvm::::.github/workflows/latest-npm.yml::::jobs::::node::::steps::::steps_0::::run::::echo tests completed <-> nvm::::.github/workflows/windows-npm.yml::::jobs::::nvm_windows::::steps::::steps_0::::run::::echo tests completed,,,
40b58344b9b6daf32e5f9b929ad6522f29dee3cc,71f886edfe4e9711863e9a0ac126a8f79fd3a8f0,887a6829fb8c145da0549fba77058e1f,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,nvm::::.github/workflows/latest-npm.yml::::jobs::::nodes::::strategy::::matrix::::node-version::::11 <-> nvm::::.github/workflows/windows-npm.yml::::jobs::::wsl_nodes::::strategy::::matrix::::npm-node-version::::11,,,
