occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
8991d323eab8e1f9fbed6b4cde6793b0733b9129,cec8f719a393ba84f1c9d0172f76653df00dd9dc,87ee4c75b9ab05c02361ea39c07d46df,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,opencv::::modules/java/android/default.properties::::target::::android-8 <-> opencv::::samples/android/tutorial-1-addopencv/default.properties::::target::::android-8,,,
2cee581c705762cc10df09b08cad0084329ca184,5430da2e0352161f58d14f2f3b3b251618e4ae5d,8547dcc405b8068971cdd2d3e1a6f219,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,opencv::::platforms/maven/opencv-it/pom.xml::::project::::dependencies::::dependency_org.osgi/org.osgi.compendium::::version::::version:4.3.0 <-> opencv::::platforms/maven/pom.xml::::project::::version::::version:4.3.0,platforms/maven/pom.xml,opencv::::platforms/maven/pom.xml::::project::::version(location: 6),git show 2cee581c705762cc10df09b08cad0084329ca184 -- platforms/maven/pom.xml
68534d70f379d5d4aa799444baedac9fda028248,bbdd0aecbd43d3690d244dbb7ff52ce7a736cdfd,63619ad1e39518272fbe2e7ee51f6d3f,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,opencv::::android/apps/CVCamera/default.properties::::android.library.reference.1::::../../android-jni <-> opencv::::android/apps/Calibration/default.properties::::android.library.reference.1::::../../android-jni,android/apps/Calibration/default.properties,"opencv::::android/apps/Calibration/default.properties::::android.library.reference.1(location: section: dummy_section, option: android.library.reference.1)",git show 68534d70f379d5d4aa799444baedac9fda028248 -- android/apps/Calibration/default.properties
84b77b685ffad70ba90540df706d0ec3fc2043a6,ef93688b9edb8facd016decccacd250f4bb1b736,a689f17de7a736381d958392870ba3ef,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,opencv::::android/service/engine/project.properties::::target::::android-8 <-> opencv::::android/service/engine_test/project.properties::::target::::android-8,android/service/engine/project.properties,"opencv::::android/service/engine/project.properties::::target(location: section: dummy_section, option: target)",git show 84b77b685ffad70ba90540df706d0ec3fc2043a6 -- android/service/engine/project.properties
7c6fc6e18afc9b197a4a02ee238ec3823253f5bb,39dab5e0cf9f021e972f15b64ef9a874deb522ae,b8f922816245e01e77c12b6c755e427a,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,opencv::::modules/java/android_test/default.properties::::target::::android-8 <-> opencv::::samples/android/2-native/default.properties::::target::::android-8,,,
5bea651e81abd1c676fe8b704bda7f9cc6ce88ba,b6c2c61ce1ea002e53629f2c7cf0b42b8e51f799,4c6d48c1d9b20981ee1e9bd9bd4271fc,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,opencv::::modules/java/android_test/default.properties::::target::::android-8 <-> opencv::::samples/android/tutorial-4-mixed/project.properties::::target::::android-8,samples/android/tutorial-4-mixed/project.properties,"opencv::::samples/android/tutorial-4-mixed/project.properties::::target(location: section: dummy_section, option: target)",git show 5bea651e81abd1c676fe8b704bda7f9cc6ce88ba -- samples/android/tutorial-4-mixed/project.properties
8c1a38b1c4b839121b2bb2e2827801887ed42569,82e8317730e48518e693842c1530de17953e0fe6,2d668a9c289d84d745557169dd9dd974,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,opencv::::platforms/maven/opencv-it/pom.xml::::project::::artifactId::::opencv-it <-> opencv::::platforms/maven/pom.xml::::project::::modules::::module::::opencv-it,platforms/maven/pom.xml,opencv::::platforms/maven/pom.xml::::project::::modules::::module(location: 44),git show 8c1a38b1c4b839121b2bb2e2827801887ed42569 -- platforms/maven/pom.xml
7c6fc6e18afc9b197a4a02ee238ec3823253f5bb,39dab5e0cf9f021e972f15b64ef9a874deb522ae,464bc63a55cbe02ca466e15af4196cac,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,opencv::::modules/java/android_test/default.properties::::target::::android-8 <-> opencv::::samples/android/3-nativecamera/default.properties::::target::::android-8,,,
5bea651e81abd1c676fe8b704bda7f9cc6ce88ba,b6c2c61ce1ea002e53629f2c7cf0b42b8e51f799,53d3bdcf832a3ed303a25adbeabb3fb6,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,opencv::::samples/android/face-detection/default.properties::::target::::android-8 <-> opencv::::samples/android/tutorial-3-native/project.properties::::target::::android-8,samples/android/tutorial-3-native/project.properties,"opencv::::samples/android/tutorial-3-native/project.properties::::target(location: section: dummy_section, option: target)",git show 5bea651e81abd1c676fe8b704bda7f9cc6ce88ba -- samples/android/tutorial-3-native/project.properties
5bea651e81abd1c676fe8b704bda7f9cc6ce88ba,b6c2c61ce1ea002e53629f2c7cf0b42b8e51f799,196a53976a7baa2607717c640c0ef86e,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,opencv::::samples/android/tutorial-1-addopencv/project.properties::::target::::android-8 <-> opencv::::samples/android/tutorial-2-opencvcamera/default.properties::::target::::android-8,samples/android/tutorial-1-addopencv/project.properties,"opencv::::samples/android/tutorial-1-addopencv/project.properties::::target(location: section: dummy_section, option: target)",git show 5bea651e81abd1c676fe8b704bda7f9cc6ce88ba -- samples/android/tutorial-1-addopencv/project.properties
