occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b,93ee922f938d7882ff38ca187f0b89ec0eba53fe,a1f1b70e6f1a6d48827a2f2f733c6b94,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,puppeteer::::experimental/puppeteer-firefox/package.json::::dependencies::::mime::::mime:^2.0.3 <-> puppeteer::::package.json::::devDependencies::::mime::::mime:^2.0.3,package.json,puppeteer::::package.json::::devDependencies::::mime(location: 101),git show 3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b -- package.json
3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b,93ee922f938d7882ff38ca187f0b89ec0eba53fe,1cf9b2bf915124e44b662800d50dced9,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,puppeteer::::package.json::::devDependencies::::@types/sinon::::@types/sinon:^9.0.4 <-> puppeteer::::vendor/mitt/package.json::::devDependencies::::@types/sinon::::@types/sinon:^9.0.4,package.json,puppeteer::::package.json::::devDependencies::::@types/sinon(location: 83),git show 3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b -- package.json
68efd34caebeb7da51c4c9708d2d49ad89060eec,01043c36c3eef3ca4d7975a7b6ea1d4f03935b00,5d13145295364c38587cf398afba89a9,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,puppeteer::::.github/workflows/main.yml::::jobs::::macos::::steps::::steps_5::::env::::MOZ_WEBRENDER::::0 <-> puppeteer::::vendor/mitt/package.json::::eslintConfig::::rules::::@typescript-eslint/no-explicit-any::::0,,,
99e1c9e4a5950ad9e37710c28a599fdf24401063,287d5d63aa81dcfcf2105ff117989cc530484f79,42cd29c1ab053ceeda0997d88208ebfe,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,puppeteer::::experimental/puppeteer-firefox/package.json::::dependencies::::mime::::mime:^2.0.3 <-> puppeteer::::package.json::::dependencies::::mime::::mime:^2.0.3,,,
3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b,93ee922f938d7882ff38ca187f0b89ec0eba53fe,1d1bd8513a90dc81ec3628cc5d363670,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,puppeteer::::package.json::::devDependencies::::sinon::::sinon:^9.0.2 <-> puppeteer::::vendor/mitt/package.json::::devDependencies::::sinon::::sinon:^9.0.2,package.json,puppeteer::::package.json::::devDependencies::::sinon(location: 108),git show 3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b -- package.json
2a1e67815e566773c3f947121f1e98525c4b9717,dc18de5a3b4fc80b958a7477d8b840fb4d4b107e,c3173b131a346a8953fa5b34c6b8238b,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,puppeteer::::package.json::::devDependencies::::typescript::::typescript:4.2.4 <-> puppeteer::::test-ts-types/js-cjs-import-esm-output/package.json::::devDependencies::::typescript::::typescript:4.2.4,package.json,puppeteer::::package.json::::devDependencies::::typescript(location: 115),git show 2a1e67815e566773c3f947121f1e98525c4b9717 -- package.json
3d7128dcd47b776b2d42d729dab6ecf56ffd52a8,0d7352379f53beaf5c125b4047dacd42f2bd99b1,474b3799f7731b06ef3a3619e275283f,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,puppeteer::::.github/workflows/main.yml::::jobs::::checks::::runs-on::::ubuntu-latest <-> puppeteer::::.github/workflows/publish-on-tag.yml::::jobs::::publish::::runs-on::::ubuntu-latest,,,
3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b,93ee922f938d7882ff38ca187f0b89ec0eba53fe,f67dd63178a2fd9455917a545bdf5e28,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,puppeteer::::experimental/puppeteer-firefox/package.json::::dependencies::::progress::::progress:^2.0.1 <-> puppeteer::::package.json::::dependencies::::progress::::progress:^2.0.1,package.json,puppeteer::::package.json::::dependencies::::progress(location: 65),git show 3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b -- package.json
b72d2991cbfbd93af32052bd3a1fcde3d7873d01,67206ac549f0f4efe9aeea2f4b65a3ec94de30e2,49dc5a696c531de1dc5430ccda0189e9,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,puppeteer::::.cirrus.yml::::task::::matrix::::matrix_0::::xvfb_start_background_script::::Xvfb :99 -ac -screen 0 1024x768x24 <-> puppeteer::::experimental/puppeteer-firefox/.cirrus.yml::::task::::xvfb_start_background_script::::Xvfb :99 -ac -screen 0 1024x768x24,,,
3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b,93ee922f938d7882ff38ca187f0b89ec0eba53fe,98b5983bdb293f5122ef714f17691fdd,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,puppeteer::::package.json::::dependencies::::rimraf::::rimraf:^3.0.2 <-> puppeteer::::vendor/mitt/package.json::::devDependencies::::rimraf::::rimraf:^3.0.2,package.json,puppeteer::::package.json::::dependencies::::rimraf(location: 67),git show 3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b -- package.json
759125cf7217afa73481023594081350b77c3650,d0664d226475a057f4ea87f61878a97fe241ef5e,501e9e079393bda22ee04d4a31d9476a,ModifiedOptionConflict,ConfigType.COMMAND<->ConfigType.COMMAND,"puppeteer::::utils/testrunner/package.json::::scripts::::test::::echo ""Error: no test specified"" && exit 1 <-> puppeteer::::utils/testserver/package.json::::scripts::::test::::echo ""Error: no test specified"" && exit 1",utils/testrunner/package.json,puppeteer::::utils/testrunner/package.json::::scripts::::test(location: 10),git show 759125cf7217afa73481023594081350b77c3650 -- utils/testrunner/package.json
8450f8e917bb36adbaaf65a2635e279d90304df5,46322c4c411509b23bdd2a84e55d5461968aaad0,79ab0743fdd861a7a0d8d7cbf5f78ab5,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,puppeteer::::experimental/puppeteer-firefox/package.json::::devDependencies::::@types/ws::::@types/ws:^6.0.1 <-> puppeteer::::package.json::::devDependencies::::@types/ws::::@types/ws:^6.0.1,,,
8450f8e917bb36adbaaf65a2635e279d90304df5,46322c4c411509b23bdd2a84e55d5461968aaad0,3942b5e6716cf8a740e58fbea551ddc9,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,puppeteer::::experimental/puppeteer-firefox/package.json::::devDependencies::::text-diff::::text-diff:^1.0.1 <-> puppeteer::::package.json::::devDependencies::::text-diff::::text-diff:^1.0.1,,,
8450f8e917bb36adbaaf65a2635e279d90304df5,46322c4c411509b23bdd2a84e55d5461968aaad0,eb533b98644b92736a21072dd139c33b,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,puppeteer::::experimental/puppeteer-firefox/package.json::::devDependencies::::@types/debug::::@types/debug:0.0.31 <-> puppeteer::::package.json::::devDependencies::::@types/debug::::@types/debug:0.0.31,,,
b788db6120b7badf51fa2dcf235db647e63a7541,4c34f76d86ad6e2c69e95731621cb5fd77fc6646,5e5aad83b32d8560ebb69d29d68f5373,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,puppeteer::::package.json::::devDependencies::::ts-node::::ts-node:^8.10.2 <-> puppeteer::::vendor/mitt/package.json::::devDependencies::::ts-node::::ts-node:^8.10.2,package.json,puppeteer::::package.json::::devDependencies::::ts-node(location: 100),git show b788db6120b7badf51fa2dcf235db647e63a7541 -- package.json
