occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
15af812b4d94aeb5bdf7a6b2d3f7b83ddb343514,5eaa510cac20e46dbd2a0fa527a1605ea1c498fc,22c46ea5a26f72ad5e24a3d1cbe2628d,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,react-native::::.travis.yml::::branches::::only::::master <-> react-native::::packager/src/worker-farm/.travis.yml::::branches::::only::::master,,,
3a95c7f73546e8434dbbcc176fa78110f47c6425,0531f21baebb5e6fc333fd360dc23f570b3cf716,01f881cf0ecc067cdab0702b120fa61c,MissingArtifactConflict,ConfigType.COMMAND<->ConfigType.COMMAND,"react-native::::local-cli/core/__fixtures__/files/package.json::::scripts::::test::::echo ""Error: no test specified"" && exit 1 <-> react-native::::local-cli/server/middleware/heapCapture/package.json::::scripts::::test::::echo ""Error: no test specified"" && exit 1",,,
c4e3c7aca08907efd04799458065bae44cce908a,d42a52d8eda9a262374b4dc2e32a3d3fd7839e51,df3276b74b3bc402b746419c50c387b6,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,react-native::::packager/package.json::::dependencies::::babel-register::::babel-register:^6.18.0 <-> react-native::::react-native-git-upgrade/package.json::::dependencies::::babel-register::::babel-register:^6.18.0,packager/package.json,react-native::::packager/package.json::::dependencies::::babel-register(location: 17),git show c4e3c7aca08907efd04799458065bae44cce908a -- packager/package.json
2c8f5efe02e7a0d7eb67162881bc9dc8e9ddbc29,b2b20b19b6a129103a128eeb7a7b41cbc5f1e272,cd5b428e8c7af30e5a9ed02127eb3d5e,MissingArtifactConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,react-native::::codegen/package.json::::dependencies::::nullthrows::::nullthrows:^1.1.0 <-> react-native::::package.json::::dependencies::::nullthrows::::nullthrows:^1.1.0,,,
161a09fc1e6f6f90ebe67cb739e5deccd46e5b99,369aff8584a10b84523cf50251c9b07beb342e72,d1cf2b9140f397f80d932bb1548cbe1a,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,react-native::::package.json::::devDependencies::::prettier::::prettier:1.13.6 <-> react-native::::packages/eslint-config-react-native-community/package.json::::devDependencies::::prettier::::prettier:1.13.6,,,
7d5e07ebb5aed0606bc19a5793c49fd13fc882a1,4eda8c66f25aab8bfdb9839093d102df9e8c06f0,d1009d683ca1e70cffedd1fa43e36973,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,react-native::::package.json::::devDependencies::::eslint::::eslint:0.9.2 <-> react-native::::packager/package.json::::devDependencies::::eslint::::eslint:0.9.2,package.json,react-native::::package.json::::devDependencies::::eslint(location: 74),git show 7d5e07ebb5aed0606bc19a5793c49fd13fc882a1 -- package.json
431d6386cbfc4cb7c5c26494137c4a6b2c84bea7,856927fb20f4f17be286b3a82c12197de5625036,8ab30d8b71218d80dcbe19253642f9e6,ModifiedOptionConflict,ConfigType.NAME<->ConfigType.NAME,react-native::::packager/package.json::::name::::react-native-cli <-> react-native::::react-native-cli/package.json::::name::::react-native-cli,packager/package.json,react-native::::packager/package.json::::name(location: 3),git show 431d6386cbfc4cb7c5c26494137c4a6b2c84bea7 -- packager/package.json
7a1feec859dec3b2f887502a392527ef04ad123b,42cc025494bd14ee553eba5106a5ca2cc04cf93b,17286fe407747db6845564bf10eaca57,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,react-native::::package.json::::dependencies::::babel-register::::babel-register:^6.18.0 <-> react-native::::react-native-git-upgrade/package.json::::dependencies::::babel-register::::babel-register:^6.18.0,package.json,react-native::::package.json::::dependencies::::babel-register(location: 137),git show 7a1feec859dec3b2f887502a392527ef04ad123b -- package.json
53aff754d81fcab172249fba421b39ec3b441fc1,b0ff38cd9908aa2f3fe7668364efd29c2df9c06d,9c1049665f1423a203814874cbf5fadb,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,react-native::::local-cli/rnpm/core/__fixtures__/files/package.json::::repository::::type::::git <-> react-native::::react-native-cli/package.json::::repository::::type::::git,,,
161a09fc1e6f6f90ebe67cb739e5deccd46e5b99,369aff8584a10b84523cf50251c9b07beb342e72,0196c343f4d11de6008eb90682a76ade,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,react-native::::package.json::::devDependencies::::eslint-plugin-jest::::eslint-plugin-jest:21.8.0 <-> react-native::::packages/eslint-config-react-native-community/package.json::::devDependencies::::eslint-plugin-jest::::eslint-plugin-jest:21.8.0,,,
ed6394a85e635388861d6cb277a632c19ae40830,f1d7754067482f8b509eb7518e6a9969dbdbe14c,3e266c8e9b2b713b9bb74faf79f1a024,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,react-native::::.github/workflows/apply-version-label-issue.yml::::jobs::::add-version-label-issue::::steps::::steps_0::::uses::::actions/checkout@v1 <-> react-native::::.github/workflows/create-new-tag-version-label.yml::::jobs::::add-new-tag-version-label::::steps::::steps_0::::uses::::actions/checkout@v1,.github/workflows/create-new-tag-version-label.yml,react-native::::.github/workflows/create-new-tag-version-label.yml::::jobs::::add-new-tag-version-label::::steps::::steps_0::::uses(location: 14),git show ed6394a85e635388861d6cb277a632c19ae40830 -- .github/workflows/create-new-tag-version-label.yml
81b19318bc9ad44b214ee109f693b8c4cc542fb1,34d25aa2cdde0a935c4946d862d5ee9a46e2a765,14aa23c33cbb5c4d2891644fd717adb2,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,react-native::::.appveyor/config.yml::::environment::::matrix::::matrix_1::::nodejs_version::::10 <-> react-native::::.circleci/config.yml::::executors::::reactnativeandroid::::environment::::environment_1::::ADB_INSTALL_TIMEOUT::::10,.appveyor/config.yml,react-native::::.appveyor/config.yml::::environment::::matrix::::matrix_1::::nodejs_version(location: 14),git show 81b19318bc9ad44b214ee109f693b8c4cc542fb1 -- .appveyor/config.yml
5b2be750768103ca473b40e2b74ac6596349ffde,10677743a997bd758c0ad0f80301f32073ddcabb,ed6dcb2526da6d6e2804a0113c2ae676,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,react-native::::gradle/wrapper/gradle-wrapper.properties::::zipstorebase::::GRADLE_USER_HOME <-> react-native::::local-cli/templates/HelloWorld/android/gradle/wrapper/gradle-wrapper.properties::::distributionbase::::GRADLE_USER_HOME,,,
079848fddb689466b70e156c81d09a60ffcc1fee,a9ff0455a373202f552c7a651ff7425ab160da6c,55ad89d54066c397f2b967ad8601374e,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,react-native::::package.json::::dependencies::::imurmurhash::::imurmurhash:^0.1.4 <-> react-native::::packager/package.json::::dependencies::::imurmurhash::::imurmurhash:^0.1.4,,,
1912ca94535763f075f99986cc748c4ef4d394d9,d99f60d690c27209b2a6d28802ad1b5219d9d55d,8a29d396998b9ccf58024395ec92cd87,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,react-native::::.github/label-actions.yml::::Needs: Verify on Latest Version::::labels::::Needs: Author Feedback <-> react-native::::.github/workflows/needs-attention.yml::::jobs::::applyNeedsAttentionLabel::::steps::::steps_1::::with::::response-required-label::::Needs: Author Feedback,,,
d68d8d1f3e80f872c9607af65dec4a17f6a3422e,85c9b738f4a4ac7b0669c1633927e74eb80fe6b7,8fd1cc9e26902fa986b1b33a55780ab3,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,react-native::::.github/workflows/apply-version-label-issue.yml::::jobs::::add-version-label-issue::::runs-on::::ubuntu-latest <-> react-native::::.github/workflows/on-issue-labeled.yml::::jobs::::respondToIssueBasedOnLabel::::runs-on::::ubuntu-latest,,,
a2879a786a0e74f424e2c48f47d9164029f5741e,c5b3a7c41795793bbe42c24989cb20862b6bfc8b,2d7036b8bcd569821fa8ddfbbd174a0d,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,react-native::::package.json::::jest::::setupFiles::::setupFiles/jestSupport/env.js::::jestSupport/env.js <-> react-native::::packager/package.json::::jest::::setupEnvScriptFile::::jestSupport/env.js,,,
f419ac25b71afee1555d569c374e307edf862844,b7129d58cc5db504e46e90b07c6289e5e41f8bd2,d6cf72ff11facf5e84f350738c6db503,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,react-native::::package.json::::dependencies::::react-native-gradle-plugin::::react-native-gradle-plugin:^0.0.4 <-> react-native::::template/package.json::::devDependencies::::react-native-gradle-plugin::::react-native-gradle-plugin:^0.0.4,,,
21d8e73f233727f94c6ae00870cf22b761db0ccf,8fd8ec75633454c995f40df5a6368af80d683855,d6887fc4dd9eeb4e17f5ef4a9b595587,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,react-native::::babel-preset/package.json::::dependencies::::react-transform-hmr::::react-transform-hmr:^1.0.4 <-> react-native::::package.json::::dependencies::::react-transform-hmr::::react-transform-hmr:^1.0.4,,,
161a09fc1e6f6f90ebe67cb739e5deccd46e5b99,369aff8584a10b84523cf50251c9b07beb342e72,25a1467a59208ea75fafcffb82ea34e9,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,react-native::::package.json::::devDependencies::::eslint-plugin-eslint-comments::::eslint-plugin-eslint-comments:^3.0.1 <-> react-native::::packages/eslint-config-react-native-community/package.json::::devDependencies::::eslint-plugin-eslint-comments::::eslint-plugin-eslint-comments:^3.0.1,,,
