occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
8fe929122a509ea2f19d803e0c6129f72a3f0cb6,55f1d0dffaf21e4455989938a03923ebc239bd4b,11912004c75430fe0abd74e6faaa34f2,MissingArtifactConflict,ConfigType.URL<->ConfigType.URL,three::::utils/build/package.json::::repository::::url::::git://github.com/mrdoob/three.js.git <-> three::::utils/npm/three.package.json::::repository::::url::::git://github.com/mrdoob/three.js.git,,,
8fe929122a509ea2f19d803e0c6129f72a3f0cb6,55f1d0dffaf21e4455989938a03923ebc239bd4b,39a2c9e5e52c46dd1cd9a8b808a6d16f,MissingArtifactConflict,ConfigType.URL<->ConfigType.URL,three::::package.json::::bugs::::url::::https://github.com/mrdoob/three.js/issues <-> three::::utils/npm/three-math.package.json::::bugs::::url::::https://github.com/mrdoob/three.js/issues,,,
8cff0994db6c14361339ffcaf81d541ae5b04bcc,56fd2282536232e1fd1c7f36cdc3ad1134197abc,5bfd31a029aaca68d7ad44ecc8e2c2ca,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,three::::.github/workflows/ci.yml::::jobs::::e2e::::env::::FORCE_COLOR::::1 <-> three::::package.json::::eslintConfig::::rules::::@typescript-eslint/indent::::SwitchCase::::1,,,
8fe929122a509ea2f19d803e0c6129f72a3f0cb6,55f1d0dffaf21e4455989938a03923ebc239bd4b,cfcc14d8c18cf449269daf7ddcddaded,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,three::::utils/build/package.json::::repository::::type::::git <-> three::::utils/npm/node_modules/three.js/package.json::::repository::::type::::git,,,
32613de2f9c791e6bd14461bc4db56a6f73029dc,6bf6c14e7053b4459cb0a707a8561ceb82362ca9,09b4f9166c48f8c3a0d04928a67c83ed,MissingOptionConflict,ConfigType.LICENSE<->ConfigType.LICENSE,three::::utils/npm/three-math.package.json::::license::::type::::The MIT License <-> three::::utils/npm/three.package.json::::license::::type::::The MIT License,,,
8fe929122a509ea2f19d803e0c6129f72a3f0cb6,55f1d0dffaf21e4455989938a03923ebc239bd4b,5865e40a379352ea6c10e44bc6b67886,ModifiedOptionConflict,ConfigType.NAME<->ConfigType.NAME,three::::package.json::::name::::three.js <-> three::::utils/build/package.json::::name::::three.js,package.json,three::::package.json::::name(location: 2),git show 8fe929122a509ea2f19d803e0c6129f72a3f0cb6 -- package.json
27f66136d5c95baef09c07996767b19096c457b2,4702956e44e24edf38f7d940aae15b00c7072969,effd52e1557e17ffca49190e1417c69f,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,three::::utils/npm/three.package.json::::repository::::type::::git <-> three::::utils/package.json::::repository::::type::::git,,,
5a3e94b43b8fd645bbfd726e98a27ee237b8b916,fff568481d2cd91793807f31791a82c03cb07d70,bf0c05b40d3549c1b8163aa056ab2e7c,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,three::::package.json::::homepage::::http://threejs.org/ <-> three::::utils/build/package.json::::homepage::::http://threejs.org/,,,
16171468cbe4d8841325263bb278c43b07144499,de563af2a60fc900f8900885592bfe5a6305b50b,23276c7492ad14724a63773d47cb6ca4,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,three::::.github/workflows/ci.yml::::jobs::::e2e::::strategy::::matrix::::CI::::1 <-> three::::package.json::::eslintConfig::::rules::::@typescript-eslint/indent::::SwitchCase::::1,,,
32613de2f9c791e6bd14461bc4db56a6f73029dc,6bf6c14e7053b4459cb0a707a8561ceb82362ca9,322f6e1f53c7fffe4279552a2ec286a1,MissingOptionConflict,ConfigType.URL<->ConfigType.URL,three::::utils/npm/three-math.package.json::::license::::url::::https://raw.github.com/mrdoob/three.js/master/LICENSE <-> three::::utils/npm/three.package.json::::license::::url::::https://raw.github.com/mrdoob/three.js/master/LICENSE,,,
