occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
979de4f35fde21e81500e7d78c2be2b8b6bad66c,0a57e018fc49af724367e3068aa783ca1db5bc40,5a31aae152b7e81890d4193d455eef27,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,transformers::::.github/workflows/model-templates.yml::::jobs::::run_tests_templates::::steps::::steps_3::::name::::Install dependencies <-> transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_tf_multi_gpu::::steps::::steps_6::::name::::Install dependencies,.github/workflows/self-push.yml,transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_tf_multi_gpu::::steps::::steps_6::::name(location: 255),git show 979de4f35fde21e81500e7d78c2be2b8b6bad66c -- .github/workflows/self-push.yml
fdcc6283897772a3c79f88ccc5428608789a8ed6,92d1989231a0aca344237ddc9b4a048aacda4de9,ded142d3d560c4d127d0def1fe5db143,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_tf_gpu::::steps::::steps_1::::name::::Python version <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_tf_multiple_gpu::::steps::::steps_2::::name::::Python version,,,
615f8ed8d5620be50093095cad6fa75e566d6fbe,682ca1ab3d183c233396ddaaef7ee89e98883b6a,7e681fb4fc77eb6491d05efeeeb5d4bf,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_tf_gpu::::steps::::steps_7::::name::::Install dependencies <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_tf_multi_gpu::::steps::::steps_7::::name::::Install dependencies,,,
979de4f35fde21e81500e7d78c2be2b8b6bad66c,0a57e018fc49af724367e3068aa783ca1db5bc40,8526330ae9bc4f4d149fd49537fa3580,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_tf_gpu::::steps::::steps_4::::with::::path::::.env <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_tf_gpu::::steps::::steps_1::::with::::path::::.env,,,
615f8ed8d5620be50093095cad6fa75e566d6fbe,682ca1ab3d183c233396ddaaef7ee89e98883b6a,eee86b69c6bd6f99f32cce70dbaceaff,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_torch_multi_gpu::::steps::::steps_4::::name::::Kill any run-away pytest processes <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_torch_gpu::::steps::::steps_5::::name::::Kill any run-away pytest processes,,,
ae013bd60771b648a2bd60e9df0ccbe576046858,06ca8622cbb23fa593e84fcc3edd13ff5aa67f54,68f90a86db0b5529546c7de0e04596a7,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,transformers::::.circleci/config.yml::::jobs::::run_examples_py3_torch::::environment::::OMP_NUM_THREADS::::1 <-> transformers::::valohai.yaml::::valohai.yaml_0::::step::::parameters::::parameters_6::::default::::1,,,
01f9661dc3e1a81ad7791b52922c9bdd59ae7d30,00a06dab8ce849a78e4b7076d2bcd99ab2f66bcd,6cafd4d3d81a4f035d5a06fecd8117d6,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,transformers::::.github/workflows/github-push.yml::::jobs::::check_code_quality::::steps::::steps_2::::name::::Install dependencies <-> transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_torch_and_tf_gpu::::steps::::steps_5::::name::::Install dependencies,,,
615f8ed8d5620be50093095cad6fa75e566d6fbe,682ca1ab3d183c233396ddaaef7ee89e98883b6a,80b1b6b492e01687d8f27c44fb8be3af,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_torch_multi_gpu::::steps::::steps_11::::with::::name::::run_all_tests_torch_multi_gpu_test_reports <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_torch_multi_gpu::::steps::::steps_15::::with::::name::::run_all_tests_torch_multi_gpu_test_reports,,,
615f8ed8d5620be50093095cad6fa75e566d6fbe,682ca1ab3d183c233396ddaaef7ee89e98883b6a,7f4be22d4c1c7726a235154ced96eeba,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_torch_gpu::::steps::::steps_6::::name::::Create new python env (on self-hosted runners we have to handle isolation ourselves) <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_torch_multi_gpu::::steps::::steps_6::::name::::Create new python env (on self-hosted runners we have to handle isolation ourselves),,,
b50f0f0c6dba7afa1b4254492311a55c48e164a1,b6a79b0b863e685e90f93e5b123553c9c6b95da7,936f96706a59504814035899e5895daa,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_torch_and_tf_gpu::::steps::::steps_3::::run::::nvidia-smi <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_torch_and_tf_gpu::::steps::::steps_3::::run::::nvidia-smi,.github/workflows/self-scheduled.yml,transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_torch_and_tf_gpu::::steps::::steps_3::::run(location: 30),git show b50f0f0c6dba7afa1b4254492311a55c48e164a1 -- .github/workflows/self-scheduled.yml
d5277c3d00db6c9ec1eccf83122b82ab8248d5af,35fee4c52340dc7542bc45d515e7becae9761aa0,cdeb2f4286df57bf5b59a5a80b0869de,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_torch_multi_gpu::::steps::::steps_8::::name::::Are GPUs recognized by our DL frameworks <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_tf_multi_gpu::::steps::::steps_8::::name::::Are GPUs recognized by our DL frameworks,,,
22a7e72e578bc8d8d89e0444562bc00cc0840d48,085033b64866675fbec997d684d7f320c594ca48,6b62be741caced756cd3e4498b07a448,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_tf_gpu::::steps::::steps_6::::with::::path::::reports <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_torch_gpu::::steps::::steps_10::::with::::path::::reports,,,
1b7370918ac988524bdc604fd919608c827b0b76,f6cf38a3eeddf256ac7625a06d087b6ca1049f53,7e5afa9783b6c11689e6bf5d14f0773d,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_torch_multi_gpu::::steps::::steps_8::::with::::path::::reports <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_torch_gpu::::steps::::steps_10::::with::::path::::reports,,,
615f8ed8d5620be50093095cad6fa75e566d6fbe,682ca1ab3d183c233396ddaaef7ee89e98883b6a,11933a501f2c7a206429227eec6f270d,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_tf_multi_gpu::::steps::::steps_1::::run::::which python
python --version
pip --version
 <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_torch_gpu::::steps::::steps_2::::run::::which python
python --version
pip --version
",,,
979de4f35fde21e81500e7d78c2be2b8b6bad66c,0a57e018fc49af724367e3068aa783ca1db5bc40,529ac77cebf334b2d934a6be26c4fa6a,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,transformers::::.circleci/config.yml::::jobs::::run_tests_tf::::environment::::OMP_NUM_THREADS::::1 <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_tf_multi_gpu::::steps::::steps_10::::env::::OMP_NUM_THREADS::::1,,,
31133d5515c40d19534fb933102125ce123a1d27,bdf64868cfa955890ca38f525441907d93997814,7ca4b42cb96b60d18bad7903aa03596a,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_flax_gpu::::runs-on::::docker-gpu <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_torch_cuda_extensions_multi_gpu::::runs-on::::docker-gpu,,,
615f8ed8d5620be50093095cad6fa75e566d6fbe,682ca1ab3d183c233396ddaaef7ee89e98883b6a,9604fefed744f4b22d222b911405aa61,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,transformers::::.circleci/config.yml::::jobs::::run_tests_pipelines_torch::::parallelism::::1 <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_torch_gpu::::steps::::steps_11::::env::::OMP_NUM_THREADS::::1,,,
615f8ed8d5620be50093095cad6fa75e566d6fbe,682ca1ab3d183c233396ddaaef7ee89e98883b6a,f5fb43531b59da389617679e27fa9e15,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_torch_multi_gpu::::steps::::steps_3::::run::::nvidia-smi <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_tf_gpu::::steps::::steps_4::::run::::nvidia-smi,,,
fdcc6283897772a3c79f88ccc5428608789a8ed6,92d1989231a0aca344237ddc9b4a048aacda4de9,3e6963129a404df3919b161e5dfdd06e,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,transformers::::.github/workflows/self-push.yml::::jobs::::run_tests_torch_multiple_gpu::::steps::::steps_7::::name::::Are GPUs recognized by our DL frameworks <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_tf_gpu::::steps::::steps_7::::name::::Are GPUs recognized by our DL frameworks,,,
979de4f35fde21e81500e7d78c2be2b8b6bad66c,0a57e018fc49af724367e3068aa783ca1db5bc40,8bbc3306dadf7d3e41a8ec8a899f9e07,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,transformers::::.github/workflows/model-templates.yml::::jobs::::run_tests_templates::::steps::::steps_8::::with::::path::::reports <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_tf_multi_gpu::::steps::::steps_12::::with::::path::::reports,,,
615f8ed8d5620be50093095cad6fa75e566d6fbe,682ca1ab3d183c233396ddaaef7ee89e98883b6a,dd6302e2447a1a79fec0d644dbb54c15,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,transformers::::.circleci/config.yml::::jobs::::run_tests_pipelines_tf::::parallelism::::1 <-> transformers::::.github/workflows/self-scheduled.yml::::jobs::::run_all_tests_tf_multi_gpu::::steps::::steps_11::::env::::OMP_NUM_THREADS::::1,,,
