occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
17a24d29753332f043606e49a96af91e7d328d62,beda1cdc99a83a3e8f3e4c2d6f5365e36b17ae45,8ce8828249cbfd54388088960f64053d,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,vue::::package.json::::version::::version:2.3.1 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.3.1,packages/vue-server-renderer/package.json,vue::::packages/vue-server-renderer/package.json::::version(location: 3),git show 17a24d29753332f043606e49a96af91e7d328d62 -- packages/vue-server-renderer/package.json
24e6be05391c3191c91ad18de56e6b27203d5ab7,7d2fe0d1ca287ce5988449e0c036c2850c4935ff,6f3967fc46d0d157885cba7539e25b2a,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,vue::::package.json::::devDependencies::::he::::he:^1.1.0 <-> vue::::packages/weex-template-compiler/package.json::::dependencies::::he::::he:^1.1.0,package.json,vue::::package.json::::devDependencies::::he(location: 81),git show 24e6be05391c3191c91ad18de56e6b27203d5ab7 -- package.json
91b8e11b95fbe2ca35189475d1456ca51bdd8d81,ccd5b5a4ff7cecb84e09f735cd0f45cee600a30f,85e1c0c50398c1c6973f29351dfc8db0,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.NAME,vue::::.circleci/config.yml::::jobs::::install::::steps::::steps_4::::persist_to_workspace::::paths::::vue <-> vue::::package.json::::name::::vue,,,
6f34aef29cca92c2bfcc6e6195de7f4283966d3b,b494666b1f3f1868226b6a6a63d284e3736f60a9,2a6a08e082e61d9c191cbf604e8b151b,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,vue::::package.json::::version::::version:2.5.4 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.5.4,packages/vue-server-renderer/package.json,vue::::packages/vue-server-renderer/package.json::::version(location: 3),git show 6f34aef29cca92c2bfcc6e6195de7f4283966d3b -- packages/vue-server-renderer/package.json
028f96029667e214646876961978c15b557ca87c,d4eb4455812e16eb8307d7a7b982377042bb8066,d42ecec8f2909643e567e32581274554,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,vue::::package.json::::version::::version:2.6.4 <-> vue::::packages/vue-template-compiler/package.json::::version::::version:2.6.4,packages/vue-template-compiler/package.json,vue::::packages/vue-template-compiler/package.json::::version(location: 3),git show 028f96029667e214646876961978c15b557ca87c -- packages/vue-template-compiler/package.json
60a77dd15911805704c9b4048033496e6f025d34,e5682ea1d0394d1e362999b1da6f283b0e17386d,b67a40da443011757712e61d04bb0433,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,vue::::package.json::::version::::version:2.2.3 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.2.3,packages/vue-server-renderer/package.json,vue::::packages/vue-server-renderer/package.json::::version(location: 3),git show 60a77dd15911805704c9b4048033496e6f025d34 -- packages/vue-server-renderer/package.json
1a2006232bf90c087f73e6db51baff62a4a3d5df,d3fd43e8719b18c3cc3ae0d3063e41ed2c9055df,1304afa0dc994a4b7f770db4f15515ac,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,vue::::package.json::::version::::version:2.5.2 <-> vue::::packages/vue-template-compiler/package.json::::version::::version:2.5.2,packages/vue-template-compiler/package.json,vue::::packages/vue-template-compiler/package.json::::version(location: 3),git show 1a2006232bf90c087f73e6db51baff62a4a3d5df -- packages/vue-template-compiler/package.json
028f96029667e214646876961978c15b557ca87c,d4eb4455812e16eb8307d7a7b982377042bb8066,ca2845196a820b49d9838f6e72d5cd8d,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,vue::::package.json::::version::::version:2.6.4 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.6.4,packages/vue-server-renderer/package.json,vue::::packages/vue-server-renderer/package.json::::version(location: 3),git show 028f96029667e214646876961978c15b557ca87c -- packages/vue-server-renderer/package.json
cd402c2468b0f2bf1aa3528d5258c42c24e92802,b9984a8ca60860d177b292c10d51c4f2d9ff0dc3,78a019420e13b7e6bf398f66118dccbb,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,vue::::package.json::::version::::version:2.0.0-rc.1 <-> vue::::packages/vue-template-compiler/package.json::::version::::version:2.0.0-rc.1,packages/vue-template-compiler/package.json,vue::::packages/vue-template-compiler/package.json::::version(location: 3),git show cd402c2468b0f2bf1aa3528d5258c42c24e92802 -- packages/vue-template-compiler/package.json
8c34a27245c21c5ff7a2b2d8003720e0b8909c3f,074f44107b691b107f07316fd8c4d48313e76995,a5e057b7147055156a450cd1abc3053f,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,vue::::package.json::::version::::version:2.0.6 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.0.6,packages/vue-server-renderer/package.json,vue::::packages/vue-server-renderer/package.json::::version(location: 3),git show 8c34a27245c21c5ff7a2b2d8003720e0b8909c3f -- packages/vue-server-renderer/package.json
