occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
54985f61497cae5247105025289b30e5185230b7,6afed1216b418f3936be55f44a3f69bc02ef9c56,52234dd556b4b291f7f3b466b5f02b5c,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,webpack::::.github/workflows/test.yml::::jobs::::unit::::steps::::steps_1::::with::::node-version::::16.8.0 <-> webpack::::azure-pipelines.yml::::jobs::::jobs_3::::strategy::::matrix::::node-16-a::::node_version::::16.8.0,azure-pipelines.yml,webpack::::azure-pipelines.yml::::jobs::::jobs_3::::strategy::::matrix::::node-16-a::::node_version(location: 192),git show 54985f61497cae5247105025289b30e5185230b7 -- azure-pipelines.yml
3bf45382a0470eb1b040e6575d8cb3ad4ea38e91,9451bf7107d5a5aea2a63e6fdbd326dec5a1070a,8ecac3b91511822dc732547a06aaea72,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,webpack::::appveyor.yml::::environment::::matrix::::matrix_2::::job_part::::integration <-> webpack::::codecov.yml::::coverage::::status::::changes::::integration::::flags::::integration,,,
8edf5a7ab13e5c418bdd27d7f162c36f5bb91cbd,9c219a033fcfa2e87a2fdb7a79cd7cfc667a7103,0499584485abf7d2bde1c4463a97716d,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,webpack::::.travis.yml::::node_js::::0.11 <-> webpack::::appveyor.yml::::environment::::matrix::::matrix_2::::nodejs_version::::0.11,,,
62de33e310191cae09195ddff99007c49932c6ca,ec8f990e3bae21dfd954a1e05ac44ead4898cb71,ed6c207145d3874d14c7238c583fe160,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,webpack::::appveyor.yml::::test_script::::yarn --version <-> webpack::::circle.yml::::test::::override::::yarn --version,,,
7bfee86bfb4367253372f23f67ea77b32454e41d,233cf98fdc997d19148c9400218d2776c2b3e9a5,5f672d47c995f856bfb538a32026d93a,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.COMMAND,webpack::::.github/workflows/test.yml::::jobs::::lint::::steps::::steps_6::::run::::yarn lint <-> webpack::::package.json::::scripts::::pretest::::yarn lint,,,
0ba8cde6e78083518836551f374e1dc022007c48,2d4b44948950c5ba421741fcd87c2d19ab936b67,e8ab6495cf7d8e37e38344d011439819,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,webpack::::.travis.yml::::node_js::::0.12 <-> webpack::::appveyor.yml::::environment::::matrix::::matrix_1::::nodejs_version::::0.12,,,
7bfee86bfb4367253372f23f67ea77b32454e41d,233cf98fdc997d19148c9400218d2776c2b3e9a5,901bdf79518c55709a469cf9d219ce6c,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,webpack::::.github/workflows/test.yml::::jobs::::unit::::steps::::steps_4::::run::::yarn --frozen-lockfile <-> webpack::::azure-pipelines.yml::::jobs::::jobs_2::::steps::::steps_4::::script::::yarn --frozen-lockfile,.github/workflows/test.yml,webpack::::.github/workflows/test.yml::::jobs::::unit::::steps::::steps_4::::run(location: 61),git show 7bfee86bfb4367253372f23f67ea77b32454e41d -- .github/workflows/test.yml
ebcfd1bfd2c2f2c89de1d872777780f95da0cb9c,60b444910799e6994bdd7ec9b9bfc071958fceb6,c2982ff525b97cebddbf1c98a53aeb8a,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,webpack::::.travis.yml::::matrix::::include::::os/linux::::node_js::::8 <-> webpack::::appveyor.yml::::environment::::matrix::::matrix_1::::nodejs_version::::8,appveyor.yml,webpack::::appveyor.yml::::environment::::matrix::::matrix_1::::nodejs_version(location: 22),git show ebcfd1bfd2c2f2c89de1d872777780f95da0cb9c -- appveyor.yml
24e1175ab22628c39b52b90c5ad1e0a60897a3c0,886193bbe436b4be81b48d88572eea7e6aeac874,87423db35c42b38f571de61ddc180d5b,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,webpack::::.travis.yml::::before_script::::npm link ../webpack --force <-> webpack::::appveyor.yml::::install::::npm link ../webpack --force,,,
9350ed464a9bb409b0b291debec2092041396935,dc406cf0dc539e7b66d2a2c904b9d24d21b6f5e6,cf43cf6bac413a7bbcfbb9315cc12017,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,webpack::::appveyor.yml::::branches::::only::::master <-> webpack::::codecov.yml::::codecov::::branch::::master,,,
