occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
12a38f88fa20acc16a13a7f2d4812d360947dc57;8ab7b727816894af78dc370c4ae56558001f217f;da69909d899ab94cd0f5d816e3dbd1d0;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;atom::::script/vsts/platforms/linux.yml::::jobs::::jobs_0::::steps::::steps_6::::displayName::::Build Atom <-> atom::::script/vsts/platforms/windows.yml::::jobs::::jobs_0::::steps::::steps_10::::displayName::::Build Atom;script/vsts/platforms/linux.yml;atom::::script/vsts/platforms/linux.yml::::jobs::::jobs_0::::steps::::steps_6::::displayName(location: 51);git show 12a38f88fa20acc16a13a7f2d4812d360947dc57 -- script/vsts/platforms/linux.yml;no;order changed in yaml file;generic yaml plugin
12a38f88fa20acc16a13a7f2d4812d360947dc57;8ab7b727816894af78dc370c4ae56558001f217f;c97794a34f13351bc11499f766d75ff6;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;atom::::script/vsts/platforms/linux.yml::::jobs::::jobs_0::::steps::::steps_4::::displayName::::Save node_modules cache <-> atom::::script/vsts/platforms/macos.yml::::jobs::::jobs_0::::steps::::steps_4::::displayName::::Save node_modules cache;script/vsts/platforms/linux.yml;atom::::script/vsts/platforms/linux.yml::::jobs::::jobs_0::::steps::::steps_4::::displayName(location: 34);git show 12a38f88fa20acc16a13a7f2d4812d360947dc57 -- script/vsts/platforms/linux.yml;no;order changed in yaml file;generic yaml plugin
1c55de25139b4355e3a0f5868b1a5230753a5d05;628f01f102c3f9b20704ffa081b58524b31df169;32511545ee56c282a83ad211743e0c07;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;atom::::appveyor.yml::::artifacts::::artifacts_2::::name::::RELEASES <-> atom::::script/vsts/platforms/windows.yml::::jobs::::jobs_0::::steps::::steps_18::::inputs::::ArtifactName::::RELEASES;script/vsts/platforms/windows.yml;atom::::script/vsts/platforms/windows.yml::::jobs::::jobs_0::::steps::::steps_18::::inputs::::ArtifactName(location: 179);git show 1c55de25139b4355e3a0f5868b1a5230753a5d05 -- script/vsts/platforms/windows.yml;no;order changed in yaml file;generic yaml plugin
1c55de25139b4355e3a0f5868b1a5230753a5d05;628f01f102c3f9b20704ffa081b58524b31df169;63b0f4a67499fef1b9bd7972cd83138e;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;atom::::appveyor.yml::::artifacts::::artifacts_0::::name::::AtomSetup.exe <-> atom::::script/vsts/platforms/windows.yml::::jobs::::jobs_0::::steps::::steps_15::::inputs::::ArtifactName::::AtomSetup.exe;script/vsts/platforms/windows.yml;atom::::script/vsts/platforms/windows.yml::::jobs::::jobs_0::::steps::::steps_15::::inputs::::ArtifactName(location: 155);git show 1c55de25139b4355e3a0f5868b1a5230753a5d05 -- script/vsts/platforms/windows.yml;no;order changed in yaml file;generic yaml plugin
200fff2f68c6cfeffeba5a9b77f7b1b6ce6c2d9b;d2f01e95f4b3c45291a32c5a11e44a54f234c0c1;d7dcd899667b8b5b68a4fe64d7a1ed3f;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;atom::::script/vsts/platforms/linux.yml::::jobs::::jobs_0::::steps::::steps_7::::condition::::ne(variables['Atom.SkipTests'], 'true') <-> atom::::script/vsts/platforms/macos.yml::::jobs::::jobs_0::::steps::::steps_9::::condition::::ne(variables['Atom.SkipTests'], 'true');script/vsts/platforms/macos.yml;atom::::script/vsts/platforms/macos.yml::::jobs::::jobs_0::::steps::::steps_9::::condition(location: 83);git show 200fff2f68c6cfeffeba5a9b77f7b1b6ce6c2d9b -- script/vsts/platforms/macos.yml;no;option was removed, order problem;generic yaml plugin
200fff2f68c6cfeffeba5a9b77f7b1b6ce6c2d9b;d2f01e95f4b3c45291a32c5a11e44a54f234c0c1;6447c2f78690bfbcca3e082cb7b8e721;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;atom::::script/vsts/platforms/linux.yml::::jobs::::jobs_0::::steps::::steps_6::::condition::::ne(variables['Atom.SkipTests'], 'true') <-> atom::::script/vsts/platforms/macos.yml::::jobs::::jobs_0::::steps::::steps_8::::condition::::ne(variables['Atom.SkipTests'], 'true');script/vsts/platforms/macos.yml;atom::::script/vsts/platforms/macos.yml::::jobs::::jobs_0::::steps::::steps_8::::condition(location: 75);git show 200fff2f68c6cfeffeba5a9b77f7b1b6ce6c2d9b -- script/vsts/platforms/macos.yml;no;option was removed, order problem;generic yaml plugin
39423260c43a9531a742fbf0a64e38a25559c431;04210db8d24971429c3f06788aa604ca5bff47f9;48421cd53d15da25cd26cf0461654a47;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.NAME;atom::::appveyor.yml::::artifacts::::artifacts_0::::path::::atom-build <-> atom::::build/package.json::::name::::atom-build;appveyor.yml;atom::::appveyor.yml::::artifacts::::artifacts_0::::path(location: 34);git show 39423260c43a9531a742fbf0a64e38a25559c431 -- appveyor.yml;yes;value;different options but equal values
40ac04d609ffe8482d2fef829968fac6e3e0dd00;1fba68d6f6a385b418e7ba8f9773b3581361f45f;ba5915b5da00bc0d04afe1b268832c7c;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;atom::::script/vsts/platforms/linux.yml::::phases::::phases_0::::steps::::steps_2::::displayName::::Build Atom <-> atom::::script/vsts/platforms/macos.yml::::phases::::phases_0::::steps::::steps_1::::displayName::::Build Atom;script/vsts/platforms/macos.yml;atom::::script/vsts/platforms/macos.yml::::phases::::phases_0::::steps::::steps_1::::displayName(location: 19);git show 40ac04d609ffe8482d2fef829968fac6e3e0dd00 -- script/vsts/platforms/macos.yml;no;order changed in yaml file;generic yaml plugin
4de6b60a677527ce899aa0c41289e0ae658a2da5;a6e3665ee4275e9b74fae29db1f6b90812b8224b;912057eeaef8417f38ffbcc28e87a43f;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;atom::::appveyor.yml::::artifacts::::artifacts_0::::name::::AtomSetup.exe <-> atom::::script/vsts/platforms/windows.yml::::jobs::::jobs_0::::steps::::steps_17::::inputs::::ArtifactName::::AtomSetup.exe;script/vsts/platforms/windows.yml;atom::::script/vsts/platforms/windows.yml::::jobs::::jobs_0::::steps::::steps_17::::inputs::::ArtifactName(location: 174);git show 4de6b60a677527ce899aa0c41289e0ae658a2da5 -- script/vsts/platforms/windows.yml;no;order changed in yaml file;generic yaml plugin
5b34cfd4668743cf9650785f4f1cd5bad9f283a9;2cdf72d8da93f1de11bec30777c886d3b19d194c;bf45771922f01ab9520df7b202fffabb;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;atom::::script/vsts/platforms/templates/preparation.yml::::steps::::steps_2::::inputs::::versionSpec::::12.4.0 <-> atom::::script/vsts/release-branch-build.yml::::jobs::::jobs_4::::steps::::steps_0::::inputs::::versionSpec::::12.4.0;script/vsts/platforms/templates/preparation.yml;atom::::script/vsts/platforms/templates/preparation.yml::::steps::::steps_2::::inputs::::versionSpec(location: 25);git show 5b34cfd4668743cf9650785f4f1cd5bad9f283a9 -- script/vsts/platforms/templates/preparation.yml;yes;option ;same option and equal values
