occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
0bfaab472d3482c2e539e66ca7a81df3985d8245;67376ae3c5acc914d9ee095c7858d31d9330eae8;422f9d3ea162de8041a57f164eb7f1b3;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.PATH;bootstrap::::config.yml::::module::::mounts::::mounts_1::::source::::dist <-> bootstrap::::package.json::::jspm::::directories::::lib::::dist;config.yml;bootstrap::::config.yml::::module::::mounts::::mounts_1::::source(location: 26);git show 0bfaab472d3482c2e539e66ca7a81df3985d8245 -- config.yml;no;order changed in yaml file;generic yaml plguin
0f9d07463e494ff926230a0aa3999b0b0c4859c9;bf14feaeaf543d7a9ad1b25c3dbf097623188982;e9bb8e87d23906e3d8ea2662cf4b16aa;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bootstrap::::.scss-lint.yml::::linters::::NestingDepth::::max_depth::::4 <-> bootstrap::::.travis.yml::::matrix::::exclude::::node_js/4::::node_js::::4;.scss-lint.yml;bootstrap::::.scss-lint.yml::::linters::::NestingDepth::::max_depth(location: 117);git show 0f9d07463e494ff926230a0aa3999b0b0c4859c9 -- .scss-lint.yml;no;magic numbers different options;magic number/word
189e71a07b0fa744ecd098a3ce9a17c7b8145b13;fa296368e0e93be90d53cdad707bf4321944f4da;e11238d60d46874eb864a695163ecf2b;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bootstrap::::package.json::::config::::version_short::::5.0 <-> bootstrap::::site/data/docs-versions.yml::::site/data/docs-versions.yml_4::::versions::::versions_0::::v::::5.0;package.json;bootstrap::::package.json::::config::::version_short(location: 6);git show 189e71a07b0fa744ecd098a3ce9a17c7b8145b13 -- package.json;no;magic numbers different options;magic number/word
189e71a07b0fa744ecd098a3ce9a17c7b8145b13;fa296368e0e93be90d53cdad707bf4321944f4da;244419d60332b1cbaf4dcf2ec53b0109;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bootstrap::::config.yml::::params::::docs_version::::5.0 <-> bootstrap::::site/data/docs-versions.yml::::site/data/docs-versions.yml_4::::versions::::versions_0::::v::::5.0;config.yml;bootstrap::::config.yml::::params::::docs_version(location: 52);git show 189e71a07b0fa744ecd098a3ce9a17c7b8145b13 -- config.yml;yes;different options;different options but equal values
2b550776223591759a26a84a9785d5025468daeb;9f314d446ca6280a7a99be9c957f928577611402;0d666d46806dfb8ca3c729953b928976;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bootstrap::::.travis.yml::::git::::depth::::10 <-> bootstrap::::grunt/sauce_browsers.yml::::grunt/sauce_browsers.yml_4::::version::::10;grunt/sauce_browsers.yml;bootstrap::::grunt/sauce_browsers.yml::::grunt/sauce_browsers.yml_4::::version(location: 25);git show 2b550776223591759a26a84a9785d5025468daeb -- grunt/sauce_browsers.yml;no;order changed in yaml file;generic yaml plguin
3cc4eea2b15e06dee9273b4de95017fbc654b7b0;61ee6e8ade25f8582cd597a6cec56b425423af5c;51353ff1448ce5e0d84494997d1fc744;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bootstrap::::config.yml::::baseURL::::https://getbootstrap.com <-> bootstrap::::site/data/docs-versions.yml::::site/data/docs-versions.yml_1::::baseurl::::https://getbootstrap.com;config.yml;bootstrap::::config.yml::::baseURL(location: 3);git show 3cc4eea2b15e06dee9273b4de95017fbc654b7b0 -- config.yml;yes;value;different options but equal values
580518365cdc3b65d7035d101fcbffa711265960;c5a97ec4612321b74e58b24a3bcc3d94dd6fd083;204cff66a13def81cf41776fb1a734c5;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bootstrap::::.travis.yml::::git::::depth::::10 <-> bootstrap::::scss/.scss-lint.yml::::linters::::PropertyCount::::max_properties::::10;.travis.yml;bootstrap::::.travis.yml::::git::::depth(location: 5);git show 580518365cdc3b65d7035d101fcbffa711265960 -- .travis.yml;no;order changed in yaml file;generic yaml plguin
b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e;7d34cf96f5c70765d130edd4ad8813e778432179;dc2382f690a3dc36d76d5731921022a0;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bootstrap::::.github/workflows/css.yml::::jobs::::css::::steps::::steps_3::::run::::npm ci <-> bootstrap::::.github/workflows/docs.yml::::jobs::::docs::::steps::::steps_4::::run::::npm ci;.github/workflows/docs.yml;bootstrap::::.github/workflows/docs.yml::::jobs::::docs::::steps::::steps_4::::run(location: 33);git show b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e -- .github/workflows/docs.yml;no;order changed in yaml file;generic yaml plguin
b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e;7d34cf96f5c70765d130edd4ad8813e778432179;db6d2f41759db8f39765baf0f8470047;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bootstrap::::.github/workflows/browserstack.yml::::jobs::::browserstack::::steps::::steps_4::::name::::Run dist <-> bootstrap::::.github/workflows/bundlewatch.yml::::jobs::::bundlewatch::::steps::::steps_4::::name::::Run dist;.github/workflows/bundlewatch.yml;bootstrap::::.github/workflows/bundlewatch.yml::::jobs::::bundlewatch::::steps::::steps_4::::name(location: 31);git show b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e -- .github/workflows/bundlewatch.yml;no;order changed in yaml file;generic yaml plguin
b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e;7d34cf96f5c70765d130edd4ad8813e778432179;d84286684ca79cc6f859846f719cf33f;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bootstrap::::.github/workflows/docs.yml::::jobs::::docs::::steps::::steps_4::::run::::npm ci <-> bootstrap::::.github/workflows/lint.yml::::jobs::::lint::::steps::::steps_3::::run::::npm ci;.github/workflows/lint.yml;bootstrap::::.github/workflows/lint.yml::::jobs::::lint::::steps::::steps_3::::run(location: 31);git show b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e -- .github/workflows/lint.yml;no;order changed in yaml file;generic yaml plguin
b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e;7d34cf96f5c70765d130edd4ad8813e778432179;14e10d19e35d3547ee8443065500b268;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bootstrap::::.github/workflows/browserstack.yml::::jobs::::browserstack::::steps::::steps_3::::name::::Install npm dependencies <-> bootstrap::::.github/workflows/lint.yml::::jobs::::lint::::steps::::steps_3::::name::::Install npm dependencies;.github/workflows/lint.yml;bootstrap::::.github/workflows/lint.yml::::jobs::::lint::::steps::::steps_3::::name(location: 30);git show b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e -- .github/workflows/lint.yml;no;order changed in yaml file;generic yaml plguin
b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e;7d34cf96f5c70765d130edd4ad8813e778432179;41cdc52118921bce99ba3c91b0115e32;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bootstrap::::.github/workflows/browserstack.yml::::jobs::::browserstack::::steps::::steps_3::::name::::Install npm dependencies <-> bootstrap::::.github/workflows/css.yml::::jobs::::css::::steps::::steps_3::::name::::Install npm dependencies;.github/workflows/css.yml;bootstrap::::.github/workflows/css.yml::::jobs::::css::::steps::::steps_3::::name(location: 30);git show b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e -- .github/workflows/css.yml;no;order changed in yaml file;generic yaml plguin
b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e;7d34cf96f5c70765d130edd4ad8813e778432179;404725b2ac2c9f93701b9d4428c55c0e;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bootstrap::::.github/workflows/css.yml::::jobs::::css::::steps::::steps_3::::run::::npm ci <-> bootstrap::::.github/workflows/js.yml::::jobs::::run::::steps::::steps_3::::run::::npm ci;.github/workflows/js.yml;bootstrap::::.github/workflows/js.yml::::jobs::::run::::steps::::steps_3::::run(location: 36);git show b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e -- .github/workflows/js.yml;no;order changed in yaml file;generic yaml plguin
b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e;7d34cf96f5c70765d130edd4ad8813e778432179;75f99ce1a72e56489e854d86703a4dd6;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bootstrap::::.github/workflows/browserstack.yml::::jobs::::browserstack::::steps::::steps_4::::run::::npm run dist <-> bootstrap::::.github/workflows/bundlewatch.yml::::jobs::::bundlewatch::::steps::::steps_4::::run::::npm run dist;.github/workflows/bundlewatch.yml;bootstrap::::.github/workflows/bundlewatch.yml::::jobs::::bundlewatch::::steps::::steps_4::::run(location: 32);git show b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e -- .github/workflows/bundlewatch.yml;no;order changed in yaml file;generic yaml plguin
b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e;7d34cf96f5c70765d130edd4ad8813e778432179;c0069e4cca8ce42b6dc5f00bc9cda5c1;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bootstrap::::.github/workflows/browserstack.yml::::jobs::::browserstack::::steps::::steps_3::::run::::npm ci <-> bootstrap::::.github/workflows/css.yml::::jobs::::css::::steps::::steps_3::::run::::npm ci;.github/workflows/css.yml;bootstrap::::.github/workflows/css.yml::::jobs::::css::::steps::::steps_3::::run(location: 31);git show b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e -- .github/workflows/css.yml;no;order changed in yaml file;generic yaml plguin
b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e;7d34cf96f5c70765d130edd4ad8813e778432179;45eb86e2c9fa8579de858314f7fb8378;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bootstrap::::.github/workflows/docs.yml::::jobs::::docs::::steps::::steps_4::::name::::Install npm dependencies <-> bootstrap::::.github/workflows/js.yml::::jobs::::run::::steps::::steps_3::::name::::Install npm dependencies;.github/workflows/js.yml;bootstrap::::.github/workflows/js.yml::::jobs::::run::::steps::::steps_3::::name(location: 35);git show b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e -- .github/workflows/js.yml;no;order changed in yaml file;generic yaml plguin
b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e;7d34cf96f5c70765d130edd4ad8813e778432179;6870cdc254a0bffdedbd8ca6afd07759;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bootstrap::::.github/workflows/browserstack.yml::::jobs::::browserstack::::steps::::steps_4::::name::::Run dist <-> bootstrap::::.github/workflows/js.yml::::jobs::::run::::steps::::steps_4::::name::::Run dist;.github/workflows/js.yml;bootstrap::::.github/workflows/js.yml::::jobs::::run::::steps::::steps_4::::name(location: 38);git show b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e -- .github/workflows/js.yml;no;order changed in yaml file;generic yaml plguin
b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e;7d34cf96f5c70765d130edd4ad8813e778432179;42faed31753fdd4e8eaa9a2f880da36a;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bootstrap::::.github/workflows/browserstack.yml::::jobs::::browserstack::::steps::::steps_3::::name::::Install npm dependencies <-> bootstrap::::.github/workflows/docs.yml::::jobs::::docs::::steps::::steps_4::::name::::Install npm dependencies;.github/workflows/docs.yml;bootstrap::::.github/workflows/docs.yml::::jobs::::docs::::steps::::steps_4::::name(location: 32);git show b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e -- .github/workflows/docs.yml;no;order changed in yaml file;generic yaml plguin
dbc1bd0cf7249f80d28bdaef63eefd713d22cd9f;dc0b56e0f59c9245ec0e27b300ece9a961889a4f;830a6f912ecdbd40d901f927fcf5fde6;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bootstrap::::.github/dependabot.yml::::updates::::updates_0::::reviewers::::XhmikosR <-> bootstrap::::site/data/core-team.yml::::site/data/core-team.yml_3::::name::::XhmikosR;site/data/core-team.yml;bootstrap::::site/data/core-team.yml::::site/data/core-team.yml_3::::name(location: 10);git show dbc1bd0cf7249f80d28bdaef63eefd713d22cd9f -- site/data/core-team.yml;no;order changed in yaml file;generic yaml plguin
ffea893fe5bb6357099d2e4010d60e5f2233d62c;b438d7640640209238ec6f69026a000617f71de2;1e0e38d3b2ea17fec31a5f02457a8a27;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bootstrap::::package.json::::version_short::::4.3 <-> bootstrap::::site/data/docs-versions.yml::::site/data/docs-versions.yml_3::::versions::::versions_3::::v::::4.3;package.json;bootstrap::::package.json::::version_short(location: 5);git show ffea893fe5bb6357099d2e4010d60e5f2233d62c -- package.json;no;magic numbers different options;magic number/word
ffea893fe5bb6357099d2e4010d60e5f2233d62c;b438d7640640209238ec6f69026a000617f71de2;d43f44278bfeb7845d9612dbc19d3e0e;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bootstrap::::config.yml::::params::::docs_version::::4.3 <-> bootstrap::::site/data/docs-versions.yml::::site/data/docs-versions.yml_3::::versions::::versions_3::::v::::4.3;config.yml;bootstrap::::config.yml::::params::::docs_version(location: 52);git show ffea893fe5bb6357099d2e4010d60e5f2233d62c -- config.yml;yes;different options;different options but equal values
