occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
0432b41d895df1390ad02167b30a3b8af395322f;85ee82734745dcc2ed765f5568beefb8c729b2b4;4cdadb494a46282d095f82e58a1f6d20;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;flutter::::dev/benchmarks/complex_layout/pubspec.yaml::::dev_dependencies::::pub_semver::::2.0.0 <-> flutter::::dev/integration_tests/android_views/pubspec.yaml::::dependencies::::plugin_platform_interface::::2.0.0;dev/integration_tests/android_views/pubspec.yaml;flutter::::dev/integration_tests/android_views/pubspec.yaml::::dependencies::::plugin_platform_interface(location: 35);git show 0432b41d895df1390ad02167b30a3b8af395322f -- dev/integration_tests/android_views/pubspec.yaml;no;magic numbers, different options;magic numbers
05f77e25db3ff3478b2d86f641803f7b8db2573d;36887045f62deee9d366b5c62f930e15b0b20ab9;6bfbdf59631a1aedc357e31b0bb433c1;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;flutter::::dev/automated_tests/pubspec.yaml::::environment::::sdk::::>=2.0.0-dev.68.0 <3.0.0 <-> flutter::::dev/snippets/pubspec.yaml::::environment::::sdk::::>=2.0.0-dev.68.0 <3.0.0;dev/snippets/pubspec.yaml;flutter::::dev/snippets/pubspec.yaml::::environment::::sdk(location: 9);git show 05f77e25db3ff3478b2d86f641803f7b8db2573d -- dev/snippets/pubspec.yaml;yes;option;same option
0a5bdd421a131e7e0e9fd568bd665f02a8ca6c81;a019b76d291295372393f4dec9fd6c133fb7ba25;551cdb5310b98a99e2bed3bd97a36b0b;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;flutter::::.github/dependabot.yml::::version::::2 <-> flutter::::packages/flutter/lib/fix_data.yaml::::transforms::::transforms_10::::oneOf::::oneOf_0::::changes::::changes_0::::index::::2;packages/flutter/lib/fix_data.yaml;flutter::::packages/flutter/lib/fix_data.yaml::::transforms::::transforms_10::::oneOf::::oneOf_0::::changes::::changes_0::::index(location: 243);git show 0a5bdd421a131e7e0e9fd568bd665f02a8ca6c81 -- packages/flutter/lib/fix_data.yaml;no;order changed in yaml file;generic yaml plugin
28c6978e16185fa97764b5b8e69917bd25e9f43a;72a41533e05afc93e09815752e14f0994126255c;99ee02c5f9b95ab42c43438377794ebb;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;flutter::::examples/catalog/pubspec.yaml::::dev_dependencies::::front_end::::0.1.6 <-> flutter::::examples/flutter_gallery/pubspec.yaml::::dependencies::::flutter_gallery_assets::::0.1.6;examples/catalog/pubspec.yaml;flutter::::examples/catalog/pubspec.yaml::::dev_dependencies::::front_end(location: 33);git show 28c6978e16185fa97764b5b8e69917bd25e9f43a -- examples/catalog/pubspec.yaml;no;magic numbers, different options;magic numbers
423a16726996d889f752b907fb850803d456afc4;ed8c9ba1b12bb26e3ff58c33bea2048b7c434b62;d1022c1d07163458d46d526c6fe4a1d4;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;flutter::::dev/benchmarks/microbenchmarks/pubspec.yaml::::dependencies::::vm_service_client::::0.2.6 <-> flutter::::dev/snippets/pubspec.yaml::::executables::::vm_service_client::::0.2.6;dev/benchmarks/microbenchmarks/pubspec.yaml;flutter::::dev/benchmarks/microbenchmarks/pubspec.yaml::::dependencies::::vm_service_client(location: 66);git show 423a16726996d889f752b907fb850803d456afc4 -- dev/benchmarks/microbenchmarks/pubspec.yaml;yes;library;version number
53b08ed98f6c5f34811a5c553d806e001144a496;f90012472c72c38be79f6a68005fd6eb42032304;7e921ea1f17993e45922e1fb2943bd04;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;flutter::::dev/benchmarks/platform_channels_benchmarks/pubspec.yaml::::dependencies::::cupertino_icons::::1.0.2 <-> flutter::::dev/benchmarks/platform_views_layout_hybrid_composition/pubspec.yaml::::dev_dependencies::::coverage::::1.0.2;dev/benchmarks/platform_channels_benchmarks/pubspec.yaml;flutter::::dev/benchmarks/platform_channels_benchmarks/pubspec.yaml::::dependencies::::cupertino_icons(location: 15);git show 53b08ed98f6c5f34811a5c553d806e001144a496 -- dev/benchmarks/platform_channels_benchmarks/pubspec.yaml;no;magic numbers, different options;magic numbers
61c03fbe769bec9b44da6d5da3f9dc843c274d12;bad8efc489509bb08cfbc21a2cde3d759c7443f1;152bc2034f34cf0cf77433a568a1f786;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;flutter::::dev/bots/pubspec.yaml::::dependencies::::typed_data::::1.1.6 <-> flutter::::packages/flutter_tools/pubspec.yaml::::dependencies::::build::::1.1.6;packages/flutter_tools/pubspec.yaml;flutter::::packages/flutter_tools/pubspec.yaml::::dependencies::::build(location: 52);git show 61c03fbe769bec9b44da6d5da3f9dc843c274d12 -- packages/flutter_tools/pubspec.yaml;no;magic numbers, different options;magic numbers
638279b40d06b1013e251c8de85605b5804b9a26;600321f121210271d60d0af6094464ef330b3451;539c5b12f5dcd5a2161e67eb44c9b8a2;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;flutter::::dev/benchmarks/platform_views_layout/pubspec.yaml::::dev_dependencies::::http_multi_server::::3.0.0 <-> flutter::::dev/integration_tests/external_ui/pubspec.yaml::::dependencies::::shelf_packages_handler::::3.0.0;dev/benchmarks/platform_views_layout/pubspec.yaml;flutter::::dev/benchmarks/platform_views_layout/pubspec.yaml::::dev_dependencies::::http_multi_server(location: 51);git show 638279b40d06b1013e251c8de85605b5804b9a26 -- dev/benchmarks/platform_views_layout/pubspec.yaml;no;magic numbers, different options;magic numbers
675d817946a0cf61fd49184de6d430a0be05e357;907886265013e51fb6920083a13fd9110b459bc1;a769952c6be2afc39572cd6cfa155ac4;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;flutter::::dev/bots/pubspec.yaml::::dependencies::::platform::::2.2.0 <-> flutter::::examples/stocks/pubspec.yaml::::dependencies::::async::::2.2.0;examples/stocks/pubspec.yaml;flutter::::examples/stocks/pubspec.yaml::::dependencies::::async(location: 19);git show 675d817946a0cf61fd49184de6d430a0be05e357 -- examples/stocks/pubspec.yaml;no;magic numbers, different options;magic numbers
675d817946a0cf61fd49184de6d430a0be05e357;907886265013e51fb6920083a13fd9110b459bc1;23932fc7ddeb88b1c13371254ccd6636;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;flutter::::dev/bots/pubspec.yaml::::dependencies::::platform::::2.2.0 <-> flutter::::dev/integration_tests/ios_add2app/flutterapp/pubspec.yaml::::dev_dependencies::::async::::2.2.0;dev/integration_tests/ios_add2app/flutterapp/pubspec.yaml;flutter::::dev/integration_tests/ios_add2app/flutterapp/pubspec.yaml::::dev_dependencies::::async(location: 39);git show 675d817946a0cf61fd49184de6d430a0be05e357 -- dev/integration_tests/ios_add2app/flutterapp/pubspec.yaml;no;magic numbers, different options;magic numbers
