occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
26e3f1386f18cfb49f0d0cb97133f98ab102792f;d128e4028b7d05390f992b8ee0e2839ba6bb4570;f43812596d941b42fdc829afb7e22cee;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;java-design-patterns::::.github/workflows/maven-ci.yml::::jobs::::build::::steps::::steps_2::::with::::key::::${{ runner.os }}-maven-${{ hashFiles('**/pom.xml') }} <-> java-design-patterns::::.github/workflows/maven-pr-builder.yml::::jobs::::build::::steps::::steps_2::::with::::key::::${{ runner.os }}-maven-${{ hashFiles('**/pom.xml') }};.github/workflows/maven-ci.yml;java-design-patterns::::.github/workflows/maven-ci.yml::::jobs::::build::::steps::::steps_2::::with::::key(location: 56);git show 26e3f1386f18cfb49f0d0cb97133f98ab102792f -- .github/workflows/maven-ci.yml;no;order changed in yaml file;generic yaml plugin
50aff5d7cc776a142b76bb1a7bf96433736e741c;eca67468a1a05a60256f0dbec742f6f21b443bcd;96c3a89cd849961821cacc9de26b625c;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;java-design-patterns::::acyclic-visitor/pom.xml::::project::::properties::::maven.compiler.target::::1.8 <-> java-design-patterns::::pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_org.apache.maven.plugins/maven-compiler-plugin::::configuration::::target::::1.8;pom.xml;java-design-patterns::::pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_org.apache.maven.plugins/maven-compiler-plugin::::configuration::::target(location: 389);git show 50aff5d7cc776a142b76bb1a7bf96433736e741c -- pom.xml;yes;value;different options
50aff5d7cc776a142b76bb1a7bf96433736e741c;eca67468a1a05a60256f0dbec742f6f21b443bcd;ceb52c64d5c31104c8b0ae3874ef82c6;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;java-design-patterns::::acyclic-visitor/pom.xml::::project::::properties::::maven.compiler.source::::1.8 <-> java-design-patterns::::pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_org.apache.maven.plugins/maven-compiler-plugin::::configuration::::source::::1.8;pom.xml;java-design-patterns::::pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_org.apache.maven.plugins/maven-compiler-plugin::::configuration::::source(location: 388);git show 50aff5d7cc776a142b76bb1a7bf96433736e741c -- pom.xml;yes;value;different options
54f6f94f349aad8e064c51da6b5c4d36f7ca4feb;49ec62d2dfe6345a382610007e94c480c2b6e724;ef624e9c2a00e407232b0b333e31740a;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;java-design-patterns::::property/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version::::version:1.0-SNAPSHOT <-> java-design-patterns::::service-layer/bin/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version::::version:1.0-SNAPSHOT;property/pom.xml;java-design-patterns::::property/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version(location: 8);git show 54f6f94f349aad8e064c51da6b5c4d36f7ca4feb -- property/pom.xml;yes;option;same option
54f6f94f349aad8e064c51da6b5c4d36f7ca4feb;49ec62d2dfe6345a382610007e94c480c2b6e724;f85858a1ee0887148c4a005776d93801;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;java-design-patterns::::object-pool/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version::::version:1.0-SNAPSHOT <-> java-design-patterns::::service-layer/bin/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version::::version:1.0-SNAPSHOT;object-pool/pom.xml;java-design-patterns::::object-pool/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version(location: 8);git show 54f6f94f349aad8e064c51da6b5c4d36f7ca4feb -- object-pool/pom.xml;yes;option;same option
54f6f94f349aad8e064c51da6b5c4d36f7ca4feb;49ec62d2dfe6345a382610007e94c480c2b6e724;0e4d084b213e6dd03cefdc373995dbc9;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;java-design-patterns::::resource-acquisition-is-initialization/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version::::version:1.0-SNAPSHOT <-> java-design-patterns::::service-layer/bin/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version::::version:1.0-SNAPSHOT;resource-acquisition-is-initialization/pom.xml;java-design-patterns::::resource-acquisition-is-initialization/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version(location: 8);git show 54f6f94f349aad8e064c51da6b5c4d36f7ca4feb -- resource-acquisition-is-initialization/pom.xml;yes;option;same option
54f6f94f349aad8e064c51da6b5c4d36f7ca4feb;49ec62d2dfe6345a382610007e94c480c2b6e724;7d99bb999b7b22000c004622f3e4af90;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;java-design-patterns::::service-layer/bin/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version::::version:1.0-SNAPSHOT <-> java-design-patterns::::thread-pool/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version::::version:1.0-SNAPSHOT;thread-pool/pom.xml;java-design-patterns::::thread-pool/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version(location: 8);git show 54f6f94f349aad8e064c51da6b5c4d36f7ca4feb -- thread-pool/pom.xml;yes;option;same option
54f6f94f349aad8e064c51da6b5c4d36f7ca4feb;49ec62d2dfe6345a382610007e94c480c2b6e724;77865263e57959deed664317e91e192f;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;java-design-patterns::::private-class-data/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version::::version:1.0-SNAPSHOT <-> java-design-patterns::::service-layer/bin/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version::::version:1.0-SNAPSHOT;private-class-data/pom.xml;java-design-patterns::::private-class-data/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version(location: 8);git show 54f6f94f349aad8e064c51da6b5c4d36f7ca4feb -- private-class-data/pom.xml;yes;option;same option
54f6f94f349aad8e064c51da6b5c4d36f7ca4feb;49ec62d2dfe6345a382610007e94c480c2b6e724;9c1c25dc410b79326796b712fcadee12;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;java-design-patterns::::service-layer/bin/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version::::version:1.0-SNAPSHOT <-> java-design-patterns::::service-layer/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version::::version:1.0-SNAPSHOT;service-layer/pom.xml;java-design-patterns::::service-layer/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version(location: 8);git show 54f6f94f349aad8e064c51da6b5c4d36f7ca4feb -- service-layer/pom.xml;yes;option;same option
54f6f94f349aad8e064c51da6b5c4d36f7ca4feb;49ec62d2dfe6345a382610007e94c480c2b6e724;49acc084039942106c15e6c263919682;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;java-design-patterns::::execute-around/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version::::version:1.0-SNAPSHOT <-> java-design-patterns::::service-layer/bin/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version::::version:1.0-SNAPSHOT;execute-around/pom.xml;java-design-patterns::::execute-around/pom.xml::::project::::parent_com.iluwatar/java-design-patterns::::version(location: 8);git show 54f6f94f349aad8e064c51da6b5c4d36f7ca4feb -- execute-around/pom.xml;yes;option;same option
