occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
0120c04c0c820d6c8866e1a59ced6c08a3261e84;8bf265fbf85f4faaf8559093960f41dcfdbf9ee2;f6a20aff1f9b2c978f23c23046aa4e3e;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.COMMAND;material-ui::::.dependabot/config.yml::::update_configs::::update_configs_0::::ignored_updates::::ignored_updates_2::::match::::dependency_name::::next <-> material-ui::::examples/nextjs-with-typescript/package.json::::scripts::::dev::::next;.dependabot/config.yml;material-ui::::.dependabot/config.yml::::update_configs::::update_configs_0::::ignored_updates::::ignored_updates_2::::match::::dependency_name(location: 23);git show 0120c04c0c820d6c8866e1a59ced6c08a3261e84 -- .dependabot/config.yml;no;order changed in yaml file;generic yaml plugin
02455452400748ba59d44f7cf4965eb387e85029;eaf401398d7b75a065cf3dfb34ac34607536223c;35271c8f3f01bb8748454bcf7bb4c919;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::packages/mui-icons-material/package.json::::version::::version:5.2.0 <-> material-ui::::packages/mui-system/package.json::::version::::version:5.2.0;packages/mui-system/package.json;material-ui::::packages/mui-system/package.json::::version(location: 3);git show 02455452400748ba59d44f7cf4965eb387e85029 -- packages/mui-system/package.json;yes;version;version number
02455452400748ba59d44f7cf4965eb387e85029;eaf401398d7b75a065cf3dfb34ac34607536223c;72185f67193b19bb83e55a3399f7c883;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::docs/package.json::::version::::version:5.0.0 <-> material-ui::::examples/preact/package.json::::version::::version:5.0.0;docs/package.json;material-ui::::docs/package.json::::version(location: 3);git show 02455452400748ba59d44f7cf4965eb387e85029 -- docs/package.json;yes;version;version number
02455452400748ba59d44f7cf4965eb387e85029;eaf401398d7b75a065cf3dfb34ac34607536223c;6f49c01d3a08ab53e53c4ccce90bde25;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::packages/mui-codemod/package.json::::version::::version:5.2.0 <-> material-ui::::packages/mui-styles/package.json::::version::::version:5.2.0;packages/mui-styles/package.json;material-ui::::packages/mui-styles/package.json::::version(location: 3);git show 02455452400748ba59d44f7cf4965eb387e85029 -- packages/mui-styles/package.json;yes;version;version number
0781f44a4413cd67bdbcf0c062a6a771e20c5b7c;0303e4087c8f6f32320acecb1e6a7d28b58cbab9;2cd2fc80fddc8c22f0493d3779115478;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;material-ui::::examples/create-react-app-with-typescript/package.json::::scripts::::start::::SKIP_PREFLIGHT_CHECK=true react-scripts start <-> material-ui::::examples/create-react-app/package.json::::scripts::::start::::SKIP_PREFLIGHT_CHECK=true react-scripts start;examples/create-react-app-with-typescript/package.json;material-ui::::examples/create-react-app-with-typescript/package.json::::scripts::::start(location: 15);git show 0781f44a4413cd67bdbcf0c062a6a771e20c5b7c -- examples/create-react-app-with-typescript/package.json;yes;option;same option
08208f8286950e80ca99dd7fbaf3f92f65dee164;366b6340e7b4cc749718eeb8d18b6715ffdb431c;514e9a067d5ba22907730fb84001e0aa;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::example/package.json::::version::::version:0.7.0 <-> material-ui::::package.json::::version::::version:0.7.0;package.json;material-ui::::package.json::::version(location: 4);git show 08208f8286950e80ca99dd7fbaf3f92f65dee164 -- package.json;yes;version;version number
0ee1aceead8ca6f4f79079f67d0e6fa99686162e;713d5b026669fda2013d49bdbd2febfd835aefda;d9a5586226c5b323b9d6a29d83d7cc10;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::packages/material-ui-docs/package.json::::version::::version:4.0.0-beta.0 <-> material-ui::::packages/material-ui-utils/package.json::::version::::version:4.0.0-beta.0;packages/material-ui-utils/package.json;material-ui::::packages/material-ui-utils/package.json::::version(location: 3);git show 0ee1aceead8ca6f4f79079f67d0e6fa99686162e -- packages/material-ui-utils/package.json;yes;version;version number
12b3a5d54eef4507b50a07ff7b2e27bb011d7b8f;4ff701d1ec3246c790279185e7195aaa17efaa71;6a4713590820ebecbe81e7087715501c;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::packages/material-ui-docs/package.json::::dependencies::::@material-ui/utils::::@material-ui/utils:^4.0.1 <-> material-ui::::packages/material-ui-lab/package.json::::dependencies::::@material-ui/utils::::@material-ui/utils:^4.0.1;packages/material-ui-lab/package.json;material-ui::::packages/material-ui-lab/package.json::::dependencies::::@material-ui/utils(location: 43);git show 12b3a5d54eef4507b50a07ff7b2e27bb011d7b8f -- packages/material-ui-lab/package.json;yes;library;version number
1393817b1dc0e7fc065739c327ed54dd9bf68ea3;eccff99b274a76ce7091560c804664c9d05042ed;b1e135ebe79d54726eee3710b8ccb484;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::packages/mui-styled-engine-sc/package.json::::version::::version:5.1.0 <-> material-ui::::packages/mui-styles/package.json::::version::::version:5.1.0;packages/mui-styles/package.json;material-ui::::packages/mui-styles/package.json::::version(location: 3);git show 1393817b1dc0e7fc065739c327ed54dd9bf68ea3 -- packages/mui-styles/package.json;yes;version;version number
1393817b1dc0e7fc065739c327ed54dd9bf68ea3;eccff99b274a76ce7091560c804664c9d05042ed;9db8580ff9b75be9778a818ee7173de8;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::packages/mui-private-theming/package.json::::version::::version:5.1.0 <-> material-ui::::packages/mui-styled-engine-sc/package.json::::version::::version:5.1.0;packages/mui-private-theming/package.json;material-ui::::packages/mui-private-theming/package.json::::version(location: 3);git show 1393817b1dc0e7fc065739c327ed54dd9bf68ea3 -- packages/mui-private-theming/package.json;yes;version;version number
