occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
14bd286a0ba77fd7aab0fe1d9ebb06b040c20833;06bf9cd61385123797127126a43b49204df584c4;fa264c814433cdcd015f6718d2cbce1e;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::java/util/pom.xml::::project::::version::::version:3.0.0-beta-1 <-> protobuf::::ruby/pom.xml::::project::::dependencies::::dependency_com.google.protobuf/protobuf-java::::version::::version:3.0.0-beta-1;ruby/pom.xml;protobuf::::ruby/pom.xml::::project::::dependencies::::dependency_com.google.protobuf/protobuf-java::::version(location: 89);git show 14bd286a0ba77fd7aab0fe1d9ebb06b040c20833 -- ruby/pom.xml;no;dependency and project version;obvious no conflict
1741eb182f3bf59fb24c6c83f799acdd146a8942;35e87af8e8713e38db4ce7cbd61ba3c33d0b9efc;b6e76ccb3aa83e38e2439452930d5eee;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::java/core/pom.xml::::project::::build::::plugins::::plugin_maven-compiler-plugin::::configuration::::generatedTestSourcesDirectory::::${generated.testsources.dir} <-> protobuf::::java/lite/pom.xml::::project::::build::::plugins::::plugin_maven-compiler-plugin::::configuration::::generatedTestSourcesDirectory::::${generated.testsources.dir};java/lite/pom.xml;protobuf::::java/lite/pom.xml::::project::::build::::plugins::::plugin_maven-compiler-plugin::::configuration::::generatedTestSourcesDirectory(location: 82);git show 1741eb182f3bf59fb24c6c83f799acdd146a8942 -- java/lite/pom.xml;yes;option;same options
1741eb182f3bf59fb24c6c83f799acdd146a8942;35e87af8e8713e38db4ce7cbd61ba3c33d0b9efc;0e553356a0507fe611c35dd6ef841db0;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::java/core/pom.xml::::project::::build::::plugins::::plugin_maven-compiler-plugin::::configuration::::generatedSourcesDirectory::::${generated.sources.dir} <-> protobuf::::java/lite/pom.xml::::project::::build::::plugins::::plugin_maven-compiler-plugin::::configuration::::generatedSourcesDirectory::::${generated.sources.dir};java/lite/pom.xml;protobuf::::java/lite/pom.xml::::project::::build::::plugins::::plugin_maven-compiler-plugin::::configuration::::generatedSourcesDirectory(location: 81);git show 1741eb182f3bf59fb24c6c83f799acdd146a8942 -- java/lite/pom.xml;yes;option;same options
174760a9a73715be2b328ca7089d8d8c6853fc11;5b2b62a5fd8455e0195159f794179638cefff5d8;7729130051ba5c255a137201c89606cf;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::java/compatibility_tests/v2.5.0/protos/pom.xml::::project::::build::::plugins::::plugin_maven-compiler-plugin::::version::::version:3.6.0 <-> protobuf::::java/pom.xml::::project::::version::::version:3.6.0;java/pom.xml;protobuf::::java/pom.xml::::project::::version(location: 14);git show 174760a9a73715be2b328ca7089d8d8c6853fc11 -- java/pom.xml;no;plugin and project version;obvious no conflict
174760a9a73715be2b328ca7089d8d8c6853fc11;5b2b62a5fd8455e0195159f794179638cefff5d8;e7e4a4be41de53a3405602b43b5496db;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.VERSION_NUMBER;protobuf::::java/compatibility_tests/v2.5.0/protos/pom.xml::::project::::build::::plugins::::plugin_maven-compiler-plugin::::version::::version:3.6.0 <-> protobuf::::js/package.json::::version::::version:3.6.0;js/package.json;protobuf::::js/package.json::::version(location: 3);git show 174760a9a73715be2b328ca7089d8d8c6853fc11 -- js/package.json;no;file and plugin version;obvious no conflict
174760a9a73715be2b328ca7089d8d8c6853fc11;5b2b62a5fd8455e0195159f794179638cefff5d8;9f83871cc6ab6d0710e480ab7049280d;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::java/compatibility_tests/v2.5.0/protos/pom.xml::::project::::build::::plugins::::plugin_maven-compiler-plugin::::version::::version:3.6.0 <-> protobuf::::java/pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_maven-compiler-plugin::::version::::version:3.6.0;java/pom.xml;protobuf::::java/pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_maven-compiler-plugin::::version(location: 95);git show 174760a9a73715be2b328ca7089d8d8c6853fc11 -- java/pom.xml;yes;version;version number
24666a81a79de6114026ef1fa5289209c2635fd6;86c3cabce29bcacdb93bbb900aea10372528f062;63051cbae80805bff97afe8fd482680e;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::java/pom.xml::::project::::version::::version:3.2.0 <-> protobuf::::javanano/pom.xml::::project::::version::::version:3.2.0;java/pom.xml;protobuf::::java/pom.xml::::project::::version(location: 14);git show 24666a81a79de6114026ef1fa5289209c2635fd6 -- java/pom.xml;yes;version;version number
24666a81a79de6114026ef1fa5289209c2635fd6;86c3cabce29bcacdb93bbb900aea10372528f062;708d83100ab3462b7c246b6e0723decf;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.VERSION_NUMBER;protobuf::::javanano/pom.xml::::project::::version::::version:3.2.0 <-> protobuf::::js/package.json::::version::::version:3.2.0;js/package.json;protobuf::::js/package.json::::version(location: 3);git show 24666a81a79de6114026ef1fa5289209c2635fd6 -- js/package.json;yes;version;version number
24666a81a79de6114026ef1fa5289209c2635fd6;86c3cabce29bcacdb93bbb900aea10372528f062;b384536053644022728270d85a2845ab;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::java/core/pom.xml::::project::::parent_com.google.protobuf/protobuf-parent::::version::::version:3.2.0 <-> protobuf::::javanano/pom.xml::::project::::version::::version:3.2.0;java/core/pom.xml;protobuf::::java/core/pom.xml::::project::::parent_com.google.protobuf/protobuf-parent::::version(location: 9);git show 24666a81a79de6114026ef1fa5289209c2635fd6 -- java/core/pom.xml;yes;version;version number
24f4f1d718a6cfccab791f901eefb612ab694ad2;e40a839033e6fffbf3b366dbc01d844ece879d00;ccabbb33214f6bdebe91d207a5534739;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::java/lite/pom.xml::::project::::parent_com.google.protobuf/protobuf-parent::::version::::version:3.0.0-beta-2 <-> protobuf::::protoc-artifacts/pom.xml::::project::::version::::version:3.0.0-beta-2;java/lite/pom.xml;protobuf::::java/lite/pom.xml::::project::::parent_com.google.protobuf/protobuf-parent::::version(location: 9);git show 24f4f1d718a6cfccab791f901eefb612ab694ad2 -- java/lite/pom.xml;yes;version;version number
24f4f1d718a6cfccab791f901eefb612ab694ad2;e40a839033e6fffbf3b366dbc01d844ece879d00;d33381bf39afa6e8dd2202cea3e1e138;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::java/core/pom.xml::::project::::parent_com.google.protobuf/protobuf-parent::::version::::version:3.0.0-beta-2 <-> protobuf::::protoc-artifacts/pom.xml::::project::::version::::version:3.0.0-beta-2;java/core/pom.xml;protobuf::::java/core/pom.xml::::project::::parent_com.google.protobuf/protobuf-parent::::version(location: 9);git show 24f4f1d718a6cfccab791f901eefb612ab694ad2 -- java/core/pom.xml;yes;version;version number
24f4f1d718a6cfccab791f901eefb612ab694ad2;e40a839033e6fffbf3b366dbc01d844ece879d00;58e4280dbfb7c78cf72caa7a48af443f;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::java/util/pom.xml::::project::::parent_com.google.protobuf/protobuf-parent::::version::::version:3.0.0-beta-2 <-> protobuf::::protoc-artifacts/pom.xml::::project::::version::::version:3.0.0-beta-2;java/util/pom.xml;protobuf::::java/util/pom.xml::::project::::parent_com.google.protobuf/protobuf-parent::::version(location: 9);git show 24f4f1d718a6cfccab791f901eefb612ab694ad2 -- java/util/pom.xml;yes;version;version number
28c2de3b18c631ce8055cf3a1837514aa7e59f12;bfb70e2f406973353b9d2327495ef49e7907f326;735d801648fff298b7ba8d93b3f93371;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::java/bom/pom.xml::::project::::version::::version:3.18.0 <-> protobuf::::ruby/pom.xml::::project::::version::::version:3.18.0;java/bom/pom.xml;protobuf::::java/bom/pom.xml::::project::::version(location: 7);git show 28c2de3b18c631ce8055cf3a1837514aa7e59f12 -- java/bom/pom.xml;yes;version;version number
28c2de3b18c631ce8055cf3a1837514aa7e59f12;bfb70e2f406973353b9d2327495ef49e7907f326;12ba66aacefa4f4da521a43e3d4d75f1;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::java/util/pom.xml::::project::::parent_com.google.protobuf/protobuf-parent::::version::::version:3.18.0 <-> protobuf::::ruby/pom.xml::::project::::version::::version:3.18.0;java/util/pom.xml;protobuf::::java/util/pom.xml::::project::::parent_com.google.protobuf/protobuf-parent::::version(location: 7);git show 28c2de3b18c631ce8055cf3a1837514aa7e59f12 -- java/util/pom.xml;yes;version;version number
28c2de3b18c631ce8055cf3a1837514aa7e59f12;bfb70e2f406973353b9d2327495ef49e7907f326;94364b1261093d04649ed863e0bbbc34;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::java/lite/pom.xml::::project::::parent_com.google.protobuf/protobuf-parent::::version::::version:3.18.0 <-> protobuf::::ruby/pom.xml::::project::::version::::version:3.18.0;java/lite/pom.xml;protobuf::::java/lite/pom.xml::::project::::parent_com.google.protobuf/protobuf-parent::::version(location: 7);git show 28c2de3b18c631ce8055cf3a1837514aa7e59f12 -- java/lite/pom.xml;yes;version;version number
28c2de3b18c631ce8055cf3a1837514aa7e59f12;bfb70e2f406973353b9d2327495ef49e7907f326;330e0101dcf94b9790191f21a986761e;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::java/kotlin/pom.xml::::project::::parent_com.google.protobuf/protobuf-parent::::version::::version:3.18.0 <-> protobuf::::ruby/pom.xml::::project::::version::::version:3.18.0;java/kotlin/pom.xml;protobuf::::java/kotlin/pom.xml::::project::::parent_com.google.protobuf/protobuf-parent::::version(location: 7);git show 28c2de3b18c631ce8055cf3a1837514aa7e59f12 -- java/kotlin/pom.xml;yes;version;version number
28c2de3b18c631ce8055cf3a1837514aa7e59f12;bfb70e2f406973353b9d2327495ef49e7907f326;b3a327cc98b835c46c5218186948dc9b;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::java/core/pom.xml::::project::::parent_com.google.protobuf/protobuf-parent::::version::::version:3.18.0 <-> protobuf::::ruby/pom.xml::::project::::dependencies::::dependency_com.google.protobuf/protobuf-java-util::::version::::version:3.18.0;java/core/pom.xml;protobuf::::java/core/pom.xml::::project::::parent_com.google.protobuf/protobuf-parent::::version(location: 7);git show 28c2de3b18c631ce8055cf3a1837514aa7e59f12 -- java/core/pom.xml;no;dependency and parent project version;obvious no conflict
49a2142033910129e084b09959e38692f1dcd6e7;ab3d78f9773a0b4304b50882af51e8ebe02e00ba;671fe6090f6e1dab97974b82c082e286;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::java/compatibility_tests/v2.5.0/more_protos/pom.xml::::project::::build::::plugins::::plugin_maven-compiler-plugin::::version::::version:3.3 <-> protobuf::::java/pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_maven-compiler-plugin::::version::::version:3.3;java/pom.xml;protobuf::::java/pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_maven-compiler-plugin::::version(location: 97);git show 49a2142033910129e084b09959e38692f1dcd6e7 -- java/pom.xml;yes;option;same options
694706c112720be5a3829aed5af05fb8308aa935;eee1c369960f671ba1e85d8496f881229eaa36de;0781256f8ba24bfdcd49e8e021d9b638;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.VERSION_NUMBER;protobuf::::java/lite/pom.xml::::project::::parent_com.google.protobuf/protobuf-parent::::version::::version:3.16.0 <-> protobuf::::js/package.json::::version::::version:3.16.0;js/package.json;protobuf::::js/package.json::::version(location: 3);git show 694706c112720be5a3829aed5af05fb8308aa935 -- js/package.json;no;file and plugin version;obvious no conflict
6f9743f63a4ef2d8290cf9a0b9b2362d1f16656e;85c7bff43a13314792793d24a14a3267362b2209;b4e8aa3df418273e2af22c0161290e1e;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.VERSION_NUMBER;protobuf::::benchmarks/java/pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_org.apache.maven.plugins/maven-compiler-plugin::::version::::version:3.5.1 <-> protobuf::::js/package.json::::version::::version:3.5.1;js/package.json;protobuf::::js/package.json::::version(location: 3);git show 6f9743f63a4ef2d8290cf9a0b9b2362d1f16656e -- js/package.json;no;file and plugin version;obvious no conflict
6f9743f63a4ef2d8290cf9a0b9b2362d1f16656e;85c7bff43a13314792793d24a14a3267362b2209;c06504efc0d41f04d729bbd51061c05e;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::benchmarks/java/pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_org.apache.maven.plugins/maven-compiler-plugin::::version::::version:3.5.1 <-> protobuf::::java/core/pom.xml::::project::::parent_com.google.protobuf/protobuf-parent::::version::::version:3.5.1;java/core/pom.xml;protobuf::::java/core/pom.xml::::project::::parent_com.google.protobuf/protobuf-parent::::version(location: 9);git show 6f9743f63a4ef2d8290cf9a0b9b2362d1f16656e -- java/core/pom.xml;no;plugin and parent project version;obvious no conflict
6f9743f63a4ef2d8290cf9a0b9b2362d1f16656e;85c7bff43a13314792793d24a14a3267362b2209;85367d2a55eed19ea4843becb8a845a5;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::benchmarks/java/pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_org.apache.maven.plugins/maven-compiler-plugin::::version::::version:3.5.1 <-> protobuf::::java/util/pom.xml::::project::::parent_com.google.protobuf/protobuf-parent::::version::::version:3.5.1;java/util/pom.xml;protobuf::::java/util/pom.xml::::project::::parent_com.google.protobuf/protobuf-parent::::version(location: 9);git show 6f9743f63a4ef2d8290cf9a0b9b2362d1f16656e -- java/util/pom.xml;no;plugin and parent project version;obvious no conflict
6f9743f63a4ef2d8290cf9a0b9b2362d1f16656e;85c7bff43a13314792793d24a14a3267362b2209;bee47b6fd443bc0e6f9e0777d3111424;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::benchmarks/java/pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_org.apache.maven.plugins/maven-compiler-plugin::::version::::version:3.5.1 <-> protobuf::::java/pom.xml::::project::::version::::version:3.5.1;java/pom.xml;protobuf::::java/pom.xml::::project::::version(location: 14);git show 6f9743f63a4ef2d8290cf9a0b9b2362d1f16656e -- java/pom.xml;no;plugin and project version;obvious no conflict
708fc4110c475ff0a471eee98cae77d7519485ca;b99d256bb770db534559e52d5d04c6d4d898f8a1;919ce17de6ab856bb78cd3bf21bb2917;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::java/compatibility_tests/v2.5.0/protos/pom.xml::::project::::build::::plugins::::plugin_maven-compiler-plugin::::configuration::::target::::1.6 <-> protobuf::::java/pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_maven-compiler-plugin::::configuration::::source::::1.6;java/pom.xml;protobuf::::java/pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_maven-compiler-plugin::::configuration::::source(location: 99);git show 708fc4110c475ff0a471eee98cae77d7519485ca -- java/pom.xml;yes;different options;different option
79cc8f803d35747efc4959e973de8eed04d464f2;e8ea71467d0ffd4e1c68ad9e2f5a9a59bf09c645;e1141a2f4bb16debcd4ccf5c8f167ec8;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;"protobuf::::java/pom.xml::::project::::build::::plugins::::plugin_org.apache.felix/maven-bundle-plugin::::configuration::::instructions::::Export-Package::::com.google.protobuf;version=2.6.2-pre <-> protobuf::::javanano/pom.xml::::project::::build::::plugins::::plugin_org.apache.felix/maven-bundle-plugin::::configuration::::instructions::::Export-Package::::com.google.protobuf;version=2.6.2-pre";java/pom.xml;protobuf::::java/pom.xml::::project::::build::::plugins::::plugin_org.apache.felix/maven-bundle-plugin::::configuration::::instructions::::Export-Package(location: 155);git show 79cc8f803d35747efc4959e973de8eed04d464f2 -- java/pom.xml;yes;option;same options
819722ad5022435ecffa377835403659b0de37d6;56e7143e7811ae7aa5747ef837fd5f57abb858f2;4b6d617d2767b888507ab3c830c18fc3;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::java/util/pom.xml::::project::::description::::Protocol Buffers are a way of encoding structured data in an efficient yet extensible format. <-> protobuf::::javanano/pom.xml::::project::::description::::Protocol Buffers are a way of encoding structured data in an efficient yet extensible format.;java/util/pom.xml;protobuf::::java/util/pom.xml::::project::::description(location: 16);git show 819722ad5022435ecffa377835403659b0de37d6 -- java/util/pom.xml;no;description in pom.xml;obvious no conflict
819722ad5022435ecffa377835403659b0de37d6;56e7143e7811ae7aa5747ef837fd5f57abb858f2;94ff5458e5f1f56a5233cf13daec931b;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::java/pom.xml::::project::::name::::Protocol Buffer Java API <-> protobuf::::java/util/pom.xml::::project::::name::::Protocol Buffer Java API;java/util/pom.xml;protobuf::::java/util/pom.xml::::project::::name(location: 15);git show 819722ad5022435ecffa377835403659b0de37d6 -- java/util/pom.xml;no;name in pom.xml;obvious no conflict
819722ad5022435ecffa377835403659b0de37d6;56e7143e7811ae7aa5747ef837fd5f57abb858f2;e6288d454d4e4f785fa1f801e86efead;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::java/pom.xml::::project::::packaging::::bundle <-> protobuf::::javanano/pom.xml::::project::::packaging::::bundle;java/pom.xml;protobuf::::java/pom.xml::::project::::packaging(location: 15);git show 819722ad5022435ecffa377835403659b0de37d6 -- java/pom.xml;yes;option;same options
85ec7fb84329474af64a21cc786793e9ae0aa504;62cf546e0d11a07524879ba19de21589d76e84b5;e81ec7cfe135b5d5bc5f0b3a39e8d18c;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::java/core/pom.xml::::project::::description::::Core Protocol Buffers library. Protocol Buffers are a way of encoding structured data in an efficient yet extensible format. <-> protobuf::::java/kotlin/pom.xml::::project::::description::::Core Protocol Buffers library. Protocol Buffers are a way of encoding structured data in an efficient yet extensible format.;java/kotlin/pom.xml;protobuf::::java/kotlin/pom.xml::::project::::description(location: 13);git show 85ec7fb84329474af64a21cc786793e9ae0aa504 -- java/kotlin/pom.xml;no;description in pom.xml;obvious no conflict
85ec7fb84329474af64a21cc786793e9ae0aa504;62cf546e0d11a07524879ba19de21589d76e84b5;44c70188e56a8e44987eb2606fb770d1;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;protobuf::::java/kotlin-lite/pom.xml::::project::::description::::Lite version of Protocol Buffers library. This version is optimized for code size, but does not guarantee API/ABI stability. <-> protobuf::::java/lite/pom.xml::::project::::description::::Lite version of Protocol Buffers library. This version is optimized for code size, but does not guarantee API/ABI stability.;java/kotlin-lite/pom.xml;protobuf::::java/kotlin-lite/pom.xml::::project::::description(location: 13);git show 85ec7fb84329474af64a21cc786793e9ae0aa504 -- java/kotlin/pom.xml;no;description in pom.xml;obvious no conflict
