occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
735da13cb25756cb9ede188536cc9535f3da6117;2da3cc99bb4c931c8c0bfec41e3234cb44fb7426;e3f585a40592a0883c9fba16d6d6ffb6;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;redis::::.github/workflows/ci.yml::::jobs::::test-ubuntu-latest::::steps::::steps_2::::name::::test <-> redis::::.github/workflows/daily.yml::::jobs::::test-ubuntu-32bit::::steps::::steps_2::::name::::test;.github/workflows/daily.yml;redis::::.github/workflows/daily.yml::::jobs::::test-ubuntu-32bit::::steps::::steps_2::::name(location: 127);git show 735da13cb25756cb9ede188536cc9535f3da6117 -- .github/workflows/daily.yml;no;order changed in yaml file;generic yaml plugin
4c8ab0439f53f46f8c4890d038a731491e6505c8;eab6dd0c085396e3858f13a11e172042ba68c0d1;77d197d5d5879c027806f2d80e46f6cb;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;redis::::.github/workflows/ci.yml::::jobs::::build-macos-latest::::runs-on::::macos-latest <-> redis::::.github/workflows/daily.yml::::jobs::::test-freebsd::::runs-on::::macos-latest;.github/workflows/daily.yml;redis::::.github/workflows/daily.yml::::jobs::::test-freebsd::::runs-on(location: 402);git show 4c8ab0439f53f46f8c4890d038a731491e6505c8 -- .github/workflows/daily.yml;yes;option;same option
6a73e0319ba72abfa560f3d035f6f50ccede068e;cd8b9287dcb69f5af89bbd8c24c6d1df36a313ef;67d40059b84dec23a138e1eda0926098;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;redis::::.github/workflows/ci.yml::::jobs::::test-ubuntu-latest::::steps::::steps_3::::run::::./runtest-moduleapi --verbose <-> redis::::.github/workflows/daily.yml::::jobs::::test-32bit::::steps::::steps_3::::run::::./runtest-moduleapi --verbose;.github/workflows/daily.yml;redis::::.github/workflows/daily.yml::::jobs::::test-32bit::::steps::::steps_3::::run(location: 50);git show 6a73e0319ba72abfa560f3d035f6f50ccede068e -- .github/workflows/daily.yml;no;different options;obvious no conflict
6ce1bf40bd981251bbec3479a84fe907c7b9ea61;5a0ac157a6bfb726152a5e01a9529d4cf9bc99f0;be5c6ce9c02a20f5ae3d8de47f72fe57;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;redis::::.github/workflows/ci.yml::::jobs::::build-32bit::::steps::::steps_1::::run::::sudo apt-get update && sudo apt-get install libc6-dev-i386 make 32bit <-> redis::::.github/workflows/daily.yml::::jobs::::test-ubuntu-32bit::::steps::::steps_1::::run::::sudo apt-get update && sudo apt-get install libc6-dev-i386 make 32bit;.github/workflows/ci.yml;redis::::.github/workflows/ci.yml::::jobs::::build-32bit::::steps::::steps_1::::run(location: 41);git show 6ce1bf40bd981251bbec3479a84fe907c7b9ea61 -- .github/workflows/ci.yml;no;order changed in yaml file;generic yaml plugin
6ce1bf40bd981251bbec3479a84fe907c7b9ea61;5a0ac157a6bfb726152a5e01a9529d4cf9bc99f0;6e3e456fc7d6eedf2084af2b55b93b4c;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;redis::::.github/workflows/ci.yml::::jobs::::build-centos7-jemalloc::::steps::::steps_1::::run::::yum -y install gcc make make <-> redis::::.github/workflows/daily.yml::::jobs::::test-centos7-jemalloc::::steps::::steps_1::::run::::yum -y install gcc make make;.github/workflows/ci.yml;redis::::.github/workflows/ci.yml::::jobs::::build-centos7-jemalloc::::steps::::steps_1::::run(location: 58);git show 6ce1bf40bd981251bbec3479a84fe907c7b9ea61 -- .github/workflows/ci.yml;no;different options;obvious no conflict
6ce1bf40bd981251bbec3479a84fe907c7b9ea61;5a0ac157a6bfb726152a5e01a9529d4cf9bc99f0;61557e89a23a172746f2dd332ccbfb70;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;redis::::.github/workflows/ci.yml::::jobs::::build-macos-latest::::steps::::steps_1::::run::::make <-> redis::::.github/workflows/daily.yml::::jobs::::test-ubuntu-jemalloc::::steps::::steps_1::::name::::make;.github/workflows/ci.yml;redis::::.github/workflows/ci.yml::::jobs::::build-macos-latest::::steps::::steps_1::::run(location: 34);git show 6ce1bf40bd981251bbec3479a84fe907c7b9ea61 -- .github/workflows/ci.yml;no;different options;obvious no conflict
6ce1bf40bd981251bbec3479a84fe907c7b9ea61;5a0ac157a6bfb726152a5e01a9529d4cf9bc99f0;61f293bc413f2e93d877ea32a024bcd9;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;redis::::.github/workflows/ci.yml::::jobs::::build-libc-malloc::::steps::::steps_1::::run::::make MALLOC=libc <-> redis::::.github/workflows/daily.yml::::jobs::::test-ubuntu-libc-malloc::::steps::::steps_1::::run::::make MALLOC=libc;.github/workflows/ci.yml;redis::::.github/workflows/ci.yml::::jobs::::build-libc-malloc::::steps::::steps_1::::run(location: 50);git show 6ce1bf40bd981251bbec3479a84fe907c7b9ea61 -- .github/workflows/ci.yml;no;different options;obvious no conflict
735da13cb25756cb9ede188536cc9535f3da6117;2da3cc99bb4c931c8c0bfec41e3234cb44fb7426;2c539ee1f407285b3e16f7381a073758;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;redis::::.github/workflows/ci.yml::::jobs::::test-ubuntu-latest::::steps::::steps_3::::name::::module api test <-> redis::::.github/workflows/daily.yml::::jobs::::test-ubuntu-libc-malloc::::steps::::steps_3::::name::::module api test;.github/workflows/daily.yml;redis::::.github/workflows/daily.yml::::jobs::::test-ubuntu-libc-malloc::::steps::::steps_3::::name(location: 81);git show 735da13cb25756cb9ede188536cc9535f3da6117 -- .github/workflows/daily.yml;no;name in yaml file;obvious no conflict
735da13cb25756cb9ede188536cc9535f3da6117;2da3cc99bb4c931c8c0bfec41e3234cb44fb7426;43f7f7fd74ecc9b9cc34212275356264;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;redis::::.github/workflows/ci.yml::::jobs::::test-ubuntu-latest::::steps::::steps_3::::name::::module api test <-> redis::::.github/workflows/daily.yml::::jobs::::test-ubuntu-32bit::::steps::::steps_3::::name::::module api test;.github/workflows/daily.yml;redis::::.github/workflows/daily.yml::::jobs::::test-ubuntu-32bit::::steps::::steps_3::::name(location: 129);git show 735da13cb25756cb9ede188536cc9535f3da6117 -- .github/workflows/daily.yml;no;name in yaml file;obvious no conflict
735da13cb25756cb9ede188536cc9535f3da6117;2da3cc99bb4c931c8c0bfec41e3234cb44fb7426;35ca8fdb46326f59e9257df2b862ab68;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;redis::::.github/workflows/ci.yml::::jobs::::test-ubuntu-latest::::steps::::steps_3::::name::::module api test <-> redis::::.github/workflows/daily.yml::::jobs::::test-alpine-jemalloc::::steps::::steps_3::::name::::module api test;.github/workflows/daily.yml;redis::::.github/workflows/daily.yml::::jobs::::test-alpine-jemalloc::::steps::::steps_3::::name(location: 353);git show 735da13cb25756cb9ede188536cc9535f3da6117 -- .github/workflows/daily.yml;no;name in yaml file;obvious no conflict
735da13cb25756cb9ede188536cc9535f3da6117;2da3cc99bb4c931c8c0bfec41e3234cb44fb7426;686d69500545fda412d9a8492b6d9d17;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;redis::::.github/workflows/ci.yml::::jobs::::test-ubuntu-latest::::steps::::steps_3::::name::::module api test <-> redis::::.github/workflows/daily.yml::::jobs::::test-centos7-tls::::steps::::steps_3::::name::::module api test;.github/workflows/daily.yml;redis::::.github/workflows/daily.yml::::jobs::::test-centos7-tls::::steps::::steps_3::::name(location: 281);git show 735da13cb25756cb9ede188536cc9535f3da6117 -- .github/workflows/daily.yml;no;name in yaml file;obvious no conflict
