occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
08d4560aa2fc6ef4e553c8128f1a59a40728925c;3359820670d0db69866424bdb0d483ef3a36d1d6;051cf3643e7fc961a3c28c710ab6eaf5;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;redux::::examples/counter/package.json::::dependencies::::react-redux::::react-redux:^1.0.0 <-> redux::::examples/todomvc/package.json::::dependencies::::react-redux::::react-redux:^1.0.0;examples/counter/package.json;redux::::examples/counter/package.json::::dependencies::::react-redux(location: 21);git show 08d4560aa2fc6ef4e553c8128f1a59a40728925c -- examples/counter/package.json;yes;library;version number
08d4560aa2fc6ef4e553c8128f1a59a40728925c;3359820670d0db69866424bdb0d483ef3a36d1d6;2cd26ea66eee7d976e6e34957fe6521d;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;redux::::examples/real-world/package.json::::dependencies::::redux::::redux:^1.0.0-rc <-> redux::::examples/todomvc/package.json::::dependencies::::redux::::redux:^1.0.0-rc;examples/real-world/package.json;redux::::examples/real-world/package.json::::dependencies::::redux(location: 25);git show 08d4560aa2fc6ef4e553c8128f1a59a40728925c -- examples/real-world/package.json;yes;library;version number
2cd31e4fd3f50ffd29828704a67f67f78aad9420;c56cb05398202bdc04286afdce2d4abaacc70edb;5c263026c5f6e7c3d71541f23d1c08f2;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;redux::::examples/async/package.json::::devDependencies::::webpack-hot-middleware::::webpack-hot-middleware:^2.2.0 <-> redux::::examples/universal/package.json::::devDependencies::::webpack-hot-middleware::::webpack-hot-middleware:^2.2.0;examples/universal/package.json;redux::::examples/universal/package.json::::devDependencies::::webpack-hot-middleware(location: 38);git show 2cd31e4fd3f50ffd29828704a67f67f78aad9420 -- examples/universal/package.json;yes;library;version number
3eeffd097b17e81dec99e98633110d93e9ae66a3;ee723843db6e132fb1e574ef7594487962185d3d;bca62d86ed998cef4a47bb1edc2f9057;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;redux::::examples/async/package.json::::dependencies::::react::::react:^16.8.6 <-> redux::::examples/counter/package.json::::dependencies::::react::::react:^16.8.6;examples/async/package.json;redux::::examples/async/package.json::::dependencies::::react(location: 10);git show 3eeffd097b17e81dec99e98633110d93e9ae66a3 -- examples/async/package.json;yes;library;version number
41d6f3da5ce627ef1c4fb048bb8acd35698b4284;59c97df5301d4046b906d59958be14b2f9dfbc9f;c985d63bbb93e8eb410884482d949877;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;redux::::examples/todos-flow/package.json::::devDependencies::::enzyme::::enzyme:^2.4.1 <-> redux::::examples/todos/package.json::::devDependencies::::enzyme::::enzyme:^2.4.1;examples/todos-flow/package.json;redux::::examples/todos-flow/package.json::::devDependencies::::enzyme(location: 6);git show 41d6f3da5ce627ef1c4fb048bb8acd35698b4284 -- examples/todos-flow/package.json;yes;library;version number
41d6f3da5ce627ef1c4fb048bb8acd35698b4284;59c97df5301d4046b906d59958be14b2f9dfbc9f;686aa8face81ef231d30325a2656a6f5;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;redux::::examples/real-world/package.json::::devDependencies::::react-scripts::::react-scripts:^0.9.3 <-> redux::::examples/todos/package.json::::devDependencies::::react-scripts::::react-scripts:^0.9.3;examples/real-world/package.json;redux::::examples/real-world/package.json::::devDependencies::::react-scripts(location: 6);git show 41d6f3da5ce627ef1c4fb048bb8acd35698b4284 -- examples/real-world/package.json;yes;library;version number
41d6f3da5ce627ef1c4fb048bb8acd35698b4284;59c97df5301d4046b906d59958be14b2f9dfbc9f;150f4d00b86b0b49150ecace407c6077;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;redux::::examples/todomvc/package.json::::devDependencies::::react-scripts::::react-scripts:^0.9.3 <-> redux::::examples/todos/package.json::::devDependencies::::react-scripts::::react-scripts:^0.9.3;examples/todomvc/package.json;redux::::examples/todomvc/package.json::::devDependencies::::react-scripts(location: 8);git show 41d6f3da5ce627ef1c4fb048bb8acd35698b4284 -- examples/todomvc/package.json;yes;library;version number
41d6f3da5ce627ef1c4fb048bb8acd35698b4284;59c97df5301d4046b906d59958be14b2f9dfbc9f;0229b1c8a3e2b4a009be2ef1024d8b8f;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;redux::::examples/counter/package.json::::devDependencies::::react-scripts::::react-scripts:^0.9.3 <-> redux::::examples/todos/package.json::::devDependencies::::react-scripts::::react-scripts:^0.9.3;examples/counter/package.json;redux::::examples/counter/package.json::::devDependencies::::react-scripts(location: 8);git show 41d6f3da5ce627ef1c4fb048bb8acd35698b4284 -- examples/counter/package.json;yes;library;version number
41d6f3da5ce627ef1c4fb048bb8acd35698b4284;59c97df5301d4046b906d59958be14b2f9dfbc9f;4856c6d984560de0f68033a4888a40cf;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;redux::::examples/shopping-cart/package.json::::devDependencies::::enzyme::::enzyme:^2.4.1 <-> redux::::examples/todos/package.json::::devDependencies::::enzyme::::enzyme:^2.4.1;examples/shopping-cart/package.json;redux::::examples/shopping-cart/package.json::::devDependencies::::enzyme(location: 6);git show 41d6f3da5ce627ef1c4fb048bb8acd35698b4284 -- examples/shopping-cart/package.json;yes;library;version number
41d6f3da5ce627ef1c4fb048bb8acd35698b4284;59c97df5301d4046b906d59958be14b2f9dfbc9f;2effbddc4fdd76ca883b9b3127988a42;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;redux::::examples/shopping-cart/package.json::::dependencies::::react-redux::::react-redux:^4.4.5 <-> redux::::examples/todos/package.json::::dependencies::::react-redux::::react-redux:^4.4.5;examples/shopping-cart/package.json;redux::::examples/shopping-cart/package.json::::dependencies::::react-redux(location: 13);git show 41d6f3da5ce627ef1c4fb048bb8acd35698b4284 -- examples/shopping-cart/package.json;yes;library;version number
