occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
00f279b177a0b011f0d7e6a4f37428dd8ffd452d;a90876ee7056edbdb8f0d9f914d6b71222c49dde;49ec89479517e0b4f7b64405d2d0b731;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;tensorflow::::tensorflow/tools/dist_test/Dockerfile::::from::::ubuntu:14.04 <-> tensorflow::::tensorflow/tools/gcs_test/Dockerfile::::from::::ubuntu:14.04;tensorflow/tools/gcs_test/Dockerfile;tensorflow::::tensorflow/tools/gcs_test/Dockerfile::::from(location: 1);git show 00f279b177a0b011f0d7e6a4f37428dd8ffd452d -- tensorflow/tools/gcs_test/Dockerfile;yes;option;same option
017fd1869249c2270c10c4c5c229e5313f7a15c7;61631574005bbb7cd1cd3f6343fcb003a252157d;ce59249aa45c46f6ddd266419dea643a;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;tensorflow::::.github/workflows/update-nightly.yml::::jobs::::master-to-nightly::::steps::::steps_0::::with::::target-branch::::nightly <-> tensorflow::::tensorflow/lite/g3doc/_book.yaml::::upper_tabs::::upper_tabs_1::::lower_tabs::::other::::other_1::::contents::::contents_14::::status::::nightly;tensorflow/lite/g3doc/_book.yaml;tensorflow::::tensorflow/lite/g3doc/_book.yaml::::upper_tabs::::upper_tabs_1::::lower_tabs::::other::::other_1::::contents::::contents_14::::status(location: 104);git show 017fd1869249c2270c10c4c5c229e5313f7a15c7 -- tensorflow/lite/g3doc/_book.yaml;no;magic words, different options;magic number/word
017fd1869249c2270c10c4c5c229e5313f7a15c7;61631574005bbb7cd1cd3f6343fcb003a252157d;748809a5f6d1191d9e5f3b1cc4ca33e9;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;tensorflow::::tensorflow/lite/g3doc/_book.yaml::::upper_tabs::::upper_tabs_1::::lower_tabs::::other::::other_1::::contents::::contents_19::::status::::nightly <-> tensorflow::::tensorflow/tools/dockerfiles/spec.yml::::slice_sets::::nightly::::nightly_0::::add_to_name::::nightly;tensorflow/lite/g3doc/_book.yaml;tensorflow::::tensorflow/lite/g3doc/_book.yaml::::upper_tabs::::upper_tabs_1::::lower_tabs::::other::::other_1::::contents::::contents_19::::status(location: 116);git show 017fd1869249c2270c10c4c5c229e5313f7a15c7 -- tensorflow/lite/g3doc/_book.yaml;no;magic words, different options;magic number/word
017fd1869249c2270c10c4c5c229e5313f7a15c7;61631574005bbb7cd1cd3f6343fcb003a252157d;d078c7f68fdb9ecc0fd32ea50c210307;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;tensorflow::::.github/workflows/update-nightly.yml::::jobs::::master-to-nightly::::steps::::steps_0::::with::::target-branch::::nightly <-> tensorflow::::tensorflow/lite/g3doc/_book.yaml::::upper_tabs::::upper_tabs_1::::lower_tabs::::other::::other_1::::contents::::contents_13::::status::::nightly;tensorflow/lite/g3doc/_book.yaml;tensorflow::::tensorflow/lite/g3doc/_book.yaml::::upper_tabs::::upper_tabs_1::::lower_tabs::::other::::other_1::::contents::::contents_13::::status(location: 101);git show 017fd1869249c2270c10c4c5c229e5313f7a15c7 -- tensorflow/lite/g3doc/_book.yaml;no;magic words, different options;magic number/word
0189433568a2bc669afca10a2f7e1d69333d4079;a377e4ef580a67bdb0d2b3c51761720a876e2229;e9898ae528b3eef375044c9cd069eb1e;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;tensorflow::::tensorflow/lite/g3doc/_book.yaml::::upper_tabs::::upper_tabs_1::::lower_tabs::::other::::other_0::::contents::::contents_14::::path::::https://blog.tensorflow.org/2019/11/how-to-get-started-with-machine.html <-> tensorflow::::tensorflow/lite/g3doc/tutorials/_index.yaml::::landing_page::::rows::::rows_9::::items::::items_1::::path::::https://blog.tensorflow.org/2019/11/how-to-get-started-with-machine.html;tensorflow/lite/g3doc/_book.yaml;tensorflow::::tensorflow/lite/g3doc/_book.yaml::::upper_tabs::::upper_tabs_1::::lower_tabs::::other::::other_0::::contents::::contents_14::::path(location: 52);git show 0189433568a2bc669afca10a2f7e1d69333d4079 -- tensorflow/lite/g3doc/_book.yaml;no;order changed in yaml file;generic yaml plugin
03b300409245bbd8888d7da1c6f73da6d0a63c14;50f458b2b6a5a0a0e501b310f6eb06d61dcc8cee;d62d8a32430eafe9ed20196f35d70edf;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;tensorflow::::tensorflow/compiler/xla/g3doc/_book.yaml::::upper_tabs::::upper_tabs_2::::lower_tabs::::other::::other_0::::contents::::contents_8::::heading::::Tutorials <-> tensorflow::::tensorflow/lite/g3doc/_book.yaml::::upper_tabs::::upper_tabs_1::::lower_tabs::::other::::other_0::::name::::Tutorials;tensorflow/lite/g3doc/_book.yaml;tensorflow::::tensorflow/lite/g3doc/_book.yaml::::upper_tabs::::upper_tabs_1::::lower_tabs::::other::::other_0::::name(location: 15);git show 03b300409245bbd8888d7da1c6f73da6d0a63c14 -- tensorflow/lite/g3doc/_book.yaml;no;option was removed, order problem;generic yaml plugin
03b300409245bbd8888d7da1c6f73da6d0a63c14;50f458b2b6a5a0a0e501b310f6eb06d61dcc8cee;247e9d3379a49f5e77de52f27d0c1fe7;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;tensorflow::::tensorflow/compiler/xla/g3doc/_book.yaml::::upper_tabs::::upper_tabs_2::::lower_tabs::::other::::other_0::::contents::::contents_8::::heading::::Tutorials <-> tensorflow::::tensorflow/lite/g3doc/_book.yaml::::upper_tabs::::upper_tabs_1::::lower_tabs::::other::::other_0::::contents::::contents_0::::title::::Tutorials;tensorflow/lite/g3doc/_book.yaml;tensorflow::::tensorflow/lite/g3doc/_book.yaml::::upper_tabs::::upper_tabs_1::::lower_tabs::::other::::other_0::::contents::::contents_0::::title(location: 17);git show 03b300409245bbd8888d7da1c6f73da6d0a63c14 -- tensorflow/lite/g3doc/_book.yaml;no;option was removed, order problem;generic yaml plugin
06c12a3298702962994b68620663fc8868fcf745;f9356d5a802c88b0fdce8e143f333553f629dfbd;9e6ba2e046bc8d6082e65cac8da626b9;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;tensorflow::::tensorflow/java/maven/spark-tensorflow-connector/pom.xml::::project::::properties::::junit.version::::4.11 <-> tensorflow::::tensorflow/java/maven/tensorflow-hadoop/pom.xml::::project::::properties::::junit.version::::4.11;tensorflow/java/maven/spark-tensorflow-connector/pom.xml;tensorflow::::tensorflow/java/maven/spark-tensorflow-connector/pom.xml::::project::::properties::::junit.version(location: 38);git show 06c12a3298702962994b68620663fc8868fcf745 -- tensorflow/java/maven/spark-tensorflow-connector/pom.xml;yes;option;same option
0bd344c3fc7e7b82fc47c0a5aca301069081c793;f8534bb06c5a8e8fb8407c2d47240b252e1d0474;19b770bfa6261ba1470fd6b8a55a9872;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;tensorflow::::tensorflow/compiler/mlir/g3doc/_book.yaml::::upper_tabs::::upper_tabs_2::::lower_tabs::::other::::other_0::::contents::::contents_0::::title::::Overview <-> tensorflow::::tensorflow/lite/g3doc/_book.yaml::::upper_tabs::::upper_tabs_1::::lower_tabs::::other::::other_1::::contents::::contents_49::::title::::Overview;tensorflow/lite/g3doc/_book.yaml;tensorflow::::tensorflow/lite/g3doc/_book.yaml::::upper_tabs::::upper_tabs_1::::lower_tabs::::other::::other_1::::contents::::contents_49::::title(location: 164);git show 0bd344c3fc7e7b82fc47c0a5aca301069081c793 -- tensorflow/lite/g3doc/_book.yaml;no;order changed in yaml file;generic yaml plugin
14bf9f48a2aeff66d5a553d4c03746a7c4f2f424;6ae065ca21b29b6118dc081f3084a1e4fee4e58e;026ea4ddc48b8d60275c58d51ae365d4;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;tensorflow::::tensorflow/compiler/xla/g3doc/_book.yaml::::upper_tabs::::upper_tabs_2::::lower_tabs::::other::::other_0::::contents::::contents_0::::title::::Overview <-> tensorflow::::tensorflow/lite/g3doc/_book.yaml::::upper_tabs::::upper_tabs_1::::lower_tabs::::other::::other_0::::contents::::contents_16::::title::::Overview;tensorflow/lite/g3doc/_book.yaml;tensorflow::::tensorflow/lite/g3doc/_book.yaml::::upper_tabs::::upper_tabs_1::::lower_tabs::::other::::other_0::::contents::::contents_16::::title(location: 49);git show 14bf9f48a2aeff66d5a553d4c03746a7c4f2f424 -- tensorflow/lite/g3doc/_book.yaml;no;order changed in yaml file;generic yaml plugin
