occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;categroy
1a4c791c26a2058a7fe699ad6b2c010545d9b51b;1ca68f42bd17e8d32d23a5feb28f1734e5043bee;5f6bd119ded08a41f0cbcf99f2120801;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;terminal::::build/pipelines/release.yml::::jobs::::jobs_0::::steps::::steps_17::::${{ if eq(parameters.buildTerminal, true) }}::::${{ if eq(parameters.buildTerminal, true) }}_1::::task::::PublishBuildArtifacts@1 <-> terminal::::build/pipelines/templates/helix-processtestresults-job.yml::::jobs::::jobs_0::::steps::::steps_4::::task::::PublishBuildArtifacts@1;build/pipelines/release.yml;terminal::::build/pipelines/release.yml::::jobs::::jobs_0::::steps::::steps_17::::${{ if eq(parameters.buildTerminal, true) }}::::${{ if eq(parameters.buildTerminal, true) }}_1::::task(location: 240);git show 1a4c791c26a2058a7fe699ad6b2c010545d9b51b -- build/pipelines/release.yml;no;order changed in yaml file;generic yaml plugin
1ca8e40dccaf741dd72ac5089d2151a7a7d7f844;5fee4f80d207b121416ae6bb022ed4484b360cb6;224e1dc75e744564cdb7792bd99636d6;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;terminal::::build/pipelines/release.yml::::jobs::::jobs_0::::steps::::steps_11::::${{ if eq(parameters.buildTerminal, true) }}::::${{ if eq(parameters.buildTerminal, true) }}_0::::task::::VSBuild@1 <-> terminal::::build/pipelines/templates/build-console-audit-job.yml::::jobs::::jobs_0::::steps::::steps_3::::task::::VSBuild@1;build/pipelines/templates/build-console-audit-job.yml;terminal::::build/pipelines/templates/build-console-audit-job.yml::::jobs::::jobs_0::::steps::::steps_3::::task(location: 42);git show 1ca8e40dccaf741dd72ac5089d2151a7a7d7f844 -- build/pipelines/templates/build-console-audit-job.yml;no;order changed in yaml file;generic yaml plugin
1ca8e40dccaf741dd72ac5089d2151a7a7d7f844;5fee4f80d207b121416ae6bb022ed4484b360cb6;7e508349aec1910c40a8c580cdd4b185;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;terminal::::build/pipelines/release.yml::::jobs::::jobs_0::::steps::::steps_17::::${{ if eq(parameters.buildTerminal, true) }}::::${{ if eq(parameters.buildTerminal, true) }}_0::::task::::CopyFiles@2 <-> terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_20::::task::::CopyFiles@2;build/pipelines/templates/build-console-steps.yml;terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_20::::task(location: 191);git show 1ca8e40dccaf741dd72ac5089d2151a7a7d7f844 -- build/pipelines/templates/build-console-steps.yml;no;order changed in yaml file;generic yaml plugin
1ca8e40dccaf741dd72ac5089d2151a7a7d7f844;5fee4f80d207b121416ae6bb022ed4484b360cb6;ee42ed849062331320445125fa13cb48;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;terminal::::build/pipelines/release.yml::::jobs::::jobs_0::::steps::::steps_16::::inputs::::filePath::::build\scripts\Run-Tests.ps1 <-> terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_13::::inputs::::filePath::::build\scripts\Run-Tests.ps1;build/pipelines/templates/build-console-steps.yml;terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_13::::inputs::::filePath(location: 113);git show 1ca8e40dccaf741dd72ac5089d2151a7a7d7f844 -- build/pipelines/templates/build-console-steps.yml;no;order changed in yaml file;generic yaml plugin
1ca8e40dccaf741dd72ac5089d2151a7a7d7f844;5fee4f80d207b121416ae6bb022ed4484b360cb6;c56a63ad6647009ecd41b1f9d59233bc;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;terminal::::build/pipelines/release.yml::::jobs::::jobs_0::::steps::::steps_17::::${{ if eq(parameters.buildTerminal, true) }}::::${{ if eq(parameters.buildTerminal, true) }}_0::::task::::CopyFiles@2 <-> terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_18::::task::::CopyFiles@2;build/pipelines/templates/build-console-steps.yml;terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_18::::task(location: 175);git show 1ca8e40dccaf741dd72ac5089d2151a7a7d7f844 -- build/pipelines/templates/build-console-steps.yml;no;order changed in yaml file;generic yaml plugin
1ca8e40dccaf741dd72ac5089d2151a7a7d7f844;5fee4f80d207b121416ae6bb022ed4484b360cb6;297138b68827a06b64f92d2ecf6ce59d;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;terminal::::build/pipelines/release.yml::::jobs::::jobs_0::::steps::::steps_17::::${{ if eq(parameters.buildTerminal, true) }}::::${{ if eq(parameters.buildTerminal, true) }}_2::::inputs::::PathtoPublish::::$(Build.ArtifactStagingDirectory)/appx <-> terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_17::::inputs::::TargetFolder::::$(Build.ArtifactStagingDirectory)/appx;build/pipelines/templates/build-console-steps.yml;terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_17::::inputs::::TargetFolder(location: 170);git show 1ca8e40dccaf741dd72ac5089d2151a7a7d7f844 -- build/pipelines/templates/build-console-steps.yml;no;order changed in yaml file;generic yaml plugin
1ca8e40dccaf741dd72ac5089d2151a7a7d7f844;5fee4f80d207b121416ae6bb022ed4484b360cb6;5834677ff54f0d2f388ce087cffdff74;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;terminal::::build/pipelines/release.yml::::jobs::::jobs_1::::${{ if eq(parameters.buildTerminal, true) }}::::${{ if eq(parameters.buildTerminal, true) }}_0::::steps::::steps_3::::task::::PowerShell@2 <-> terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_14::::task::::PowerShell@2;build/pipelines/templates/build-console-steps.yml;terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_14::::task(location: 117);git show 1ca8e40dccaf741dd72ac5089d2151a7a7d7f844 -- build/pipelines/templates/build-console-steps.yml;no;order changed in yaml file;generic yaml plugin
1ca8e40dccaf741dd72ac5089d2151a7a7d7f844;5fee4f80d207b121416ae6bb022ed4484b360cb6;a48f4bd6d535f05537a9c24684c43030;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;terminal::::build/pipelines/release.yml::::jobs::::jobs_0::::steps::::steps_17::::${{ if eq(parameters.buildTerminal, true) }}::::${{ if eq(parameters.buildTerminal, true) }}_2::::task::::PublishBuildArtifacts@1 <-> terminal::::build/pipelines/templates/pgo-build-and-publish-nuget-job.yml::::jobs::::jobs_0::::steps::::steps_6::::task::::PublishBuildArtifacts@1;build/pipelines/templates/pgo-build-and-publish-nuget-job.yml;terminal::::build/pipelines/templates/pgo-build-and-publish-nuget-job.yml::::jobs::::jobs_0::::steps::::steps_6::::task(location: 55);git show 1ca8e40dccaf741dd72ac5089d2151a7a7d7f844 -- build/pipelines/templates/pgo-build-and-publish-nuget-job.yml;no;order changed in yaml file;generic yaml plugin
1ca8e40dccaf741dd72ac5089d2151a7a7d7f844;5fee4f80d207b121416ae6bb022ed4484b360cb6;883cbe2c2da41d76531e6d0e73c31f38;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;terminal::::build/pipelines/pgo.yml::::stages::::stages_1::::jobs::::jobs_0::::parameters::::pgoArtifact::::PGO <-> terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_21::::inputs::::ArtifactName::::PGO;build/pipelines/templates/build-console-steps.yml;terminal::::build/pipelines/templates/build-console-steps.yml::::steps::::steps_21::::inputs::::ArtifactName(location: 204);git show 1ca8e40dccaf741dd72ac5089d2151a7a7d7f844 -- build/pipelines/templates/build-console-steps.yml;no;order changed in yaml file;generic yaml plugin
1ca8e40dccaf741dd72ac5089d2151a7a7d7f844;5fee4f80d207b121416ae6bb022ed4484b360cb6;79c01588b73969982969a0fbbbb87e59;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;terminal::::build/pipelines/release.yml::::jobs::::jobs_0::::steps::::steps_11::::${{ if eq(parameters.buildTerminal, true) }}::::${{ if eq(parameters.buildTerminal, true) }}_0::::displayName::::Build solution **\OpenConsole.sln <-> terminal::::build/pipelines/templates/build-console-audit-job.yml::::jobs::::jobs_0::::steps::::steps_3::::displayName::::Build solution **\OpenConsole.sln;build/pipelines/templates/build-console-audit-job.yml;terminal::::build/pipelines/templates/build-console-audit-job.yml::::jobs::::jobs_0::::steps::::steps_3::::displayName(location: 43);git show 1ca8e40dccaf741dd72ac5089d2151a7a7d7f844 -- build/pipelines/templates/build-console-audit-job.yml;no;order changed in yaml file;generic yaml plugin
