occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
028f96029667e214646876961978c15b557ca87c;d4eb4455812e16eb8307d7a7b982377042bb8066;ca2845196a820b49d9838f6e72d5cd8d;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.6.4 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.6.4;packages/vue-server-renderer/package.json;vue::::packages/vue-server-renderer/package.json::::version(location: 3);git show 028f96029667e214646876961978c15b557ca87c -- packages/vue-server-renderer/package.json;yes;version;version number
091735320199a44f4ce17e4cabe63e8d052ad038;2f5c971c6a547ab04ede988f7564b199a7e75a14;5ece9eff28793311c6faa5b6813ddaaa;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.5.20 <-> vue::::packages/vue-template-compiler/package.json::::version::::version:2.5.20;packages/vue-template-compiler/package.json;vue::::packages/vue-template-compiler/package.json::::version(location: 3);git show 091735320199a44f4ce17e4cabe63e8d052ad038 -- packages/vue-template-compiler/package.json;yes;version;version number
0985a8d6b10624d8c039f8934e5f0ac23133ab0a;4ae082f0fba353e8a3f762e31d05a25078e8aa73;3fd61948d212f7a33683b2bf268ea253;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.4.1 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.4.1;packages/vue-server-renderer/package.json;vue::::packages/vue-server-renderer/package.json::::version(location: 3);git show 0985a8d6b10624d8c039f8934e5f0ac23133ab0a -- packages/vue-server-renderer/package.json;yes;version;version number
0ba8abd04e8339c4fa909a67c9afd6c0e4d25b6b;3aa97aa9ea9ce94d8c50fceec40bab35a997bfca;9d2407dbef7ec6431449f16cedbf51ac;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.0.0-beta.8 <-> vue::::packages/vue-template-compiler/package.json::::version::::version:2.0.0-beta.8;packages/vue-template-compiler/package.json;vue::::packages/vue-template-compiler/package.json::::version(location: 3);git show 0ba8abd04e8339c4fa909a67c9afd6c0e4d25b6b -- packages/vue-template-compiler/package.json;yes;version;version number
157b4760434a27447e1e99c5d33767c8679d771f;c533e51fa115297077eb1479c7b6c84052d1af95;51bcfd026a6d74e4c6898a5e0be3d157;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.6.0-beta.2 <-> vue::::packages/vue-template-compiler/package.json::::version::::version:2.6.0-beta.2;packages/vue-template-compiler/package.json;vue::::packages/vue-template-compiler/package.json::::version(location: 3);git show 157b4760434a27447e1e99c5d33767c8679d771f -- packages/vue-template-compiler/package.json;yes;version;version number
1a63e50b442c47ccbc7c825eca40d6a19ee99dbb;ed1afca55ca432dcfe6806466b103c5a2344c59b;dd12221449e5f8d894e79741352c59dd;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.1.3 <-> vue::::packages/vue-template-compiler/package.json::::version::::version:2.1.3;packages/vue-template-compiler/package.json;vue::::packages/vue-template-compiler/package.json::::version(location: 3);git show 1a63e50b442c47ccbc7c825eca40d6a19ee99dbb -- packages/vue-template-compiler/package.json;yes;version;version number
1bda3b37d845dbba8de10ec471f2dc70404f2a2d;eb34d9c94c315791592ccaec7209c67a376096be;a3b2d7210f00dc70c029070637b4e36b;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.5.5 <-> vue::::packages/vue-template-compiler/package.json::::version::::version:2.5.5;packages/vue-template-compiler/package.json;vue::::packages/vue-template-compiler/package.json::::version(location: 3);git show 1bda3b37d845dbba8de10ec471f2dc70404f2a2d -- packages/vue-template-compiler/package.json;yes;version;version number
34dda6b4eb6af9d01a2501096d72985c77f2cbf5;38691f925cb61672abbaf49517ca56ccae8434f4;c1589b1267c5f0961b6698a06dd54c2f;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.4.2 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.4.2;packages/vue-server-renderer/package.json;vue::::packages/vue-server-renderer/package.json::::version(location: 3);git show 34dda6b4eb6af9d01a2501096d72985c77f2cbf5 -- packages/vue-server-renderer/package.json;yes;version;version number
3c37cd6902960d9cf11dfb0f99e304c5db8220a7;a3e6d4a0b43fccb0cc8b3ebcd13e1d4d912ae756;e6f608600bb51425121c00aba90300f3;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.2.1 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.2.1;packages/vue-server-renderer/package.json;vue::::packages/vue-server-renderer/package.json::::version(location: 3);git show 3c37cd6902960d9cf11dfb0f99e304c5db8220a7 -- packages/vue-server-renderer/package.json;yes;version;version number
3e261427030a7c3364f3f2fb70583016928e0517;0216d576d4f99841ce119acb4a3658749ed7755c;2cef9d96b9c807f935fe82887489e924;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.0.0-beta.5 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.0.0-beta.5;packages/vue-server-renderer/package.json;vue::::packages/vue-server-renderer/package.json::::version(location: 3);git show 3e261427030a7c3364f3f2fb70583016928e0517 -- packages/vue-server-renderer/package.json;yes;version;version number
47f89b1e2a52f2d83811d13fa838b300005b174f;a5d2649a09975e8c5c049d1ce57347a22e78e7f5;6eee58120725ee58ae448bc74bd33e9c;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.5.11 <-> vue::::packages/vue-template-compiler/package.json::::version::::version:2.5.11;packages/vue-template-compiler/package.json;vue::::packages/vue-template-compiler/package.json::::version(location: 3);git show 47f89b1e2a52f2d83811d13fa838b300005b174f -- packages/vue-template-compiler/package.json;yes;version;version number
