occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
0189cb20b7066d7e3361633dbc7382e298cba1f0;f5b957f75c48b546bbec70777e5b813b91e70e66;b9088efc9d1f73945c4fd5dae7d912e2;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;webpack::::.travis.yml::::matrix::::include::::os/osx::::node_js::::7 <-> webpack::::appveyor.yml::::environment::::matrix::::matrix_0::::nodejs_version::::7;appveyor.yml;webpack::::appveyor.yml::::environment::::matrix::::matrix_0::::nodejs_version(location: 16);git show 0189cb20b7066d7e3361633dbc7382e298cba1f0 -- appveyor.yml;yes;option;same option
035573b190fe12af96eca63cea72ce170780d542;3647a188740ab59219638e623787400191dffbef;390b31d7539e15ef58af8d9adf11f733;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;webpack::::.travis.yml::::matrix::::include::::os/linux::::node_js::::6 <-> webpack::::appveyor.yml::::environment::::matrix::::matrix_1::::nodejs_version::::6;appveyor.yml;webpack::::appveyor.yml::::environment::::matrix::::matrix_1::::nodejs_version(location: 17);git show 035573b190fe12af96eca63cea72ce170780d542 -- appveyor.yml;no;order changed in yaml file;generic yaml plugin
1db203c3383b6c383fdeecbd28d3c9706566cb1f;ae7c7f97eea2b3ffc5d23fe2b7e82cf9b1f02548;719ccc07def1938978e1d32ef6b1698f;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;webpack::::azure-pipelines.yml::::jobs::::jobs_4::::strategy::::maxParallel::::2 <-> webpack::::codecov.yml::::coverage::::precision::::2;azure-pipelines.yml;webpack::::azure-pipelines.yml::::jobs::::jobs_4::::strategy::::maxParallel(location: 244);git show 1db203c3383b6c383fdeecbd28d3c9706566cb1f -- azure-pipelines.yml;no;magic numbers, different options;magic number/word
41b2f49882df3d574b6d3ed1c96ee2820af318f2;b40aa054a3bb72d2d37e2fca104f5ec5104befd7;ea89ad631b297dc568c7fadf598f441f;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;webpack::::.travis.yml::::matrix::::include::::os/linux::::os::::linux <-> webpack::::azure-pipelines.yml::::jobs::::jobs_2::::job::::linux;azure-pipelines.yml;webpack::::azure-pipelines.yml::::jobs::::jobs_2::::job(location: 83);git show 41b2f49882df3d574b6d3ed1c96ee2820af318f2 -- azure-pipelines.yml;no;order changed in yaml file;generic yaml plugin
54985f61497cae5247105025289b30e5185230b7;6afed1216b418f3936be55f44a3f69bc02ef9c56;52234dd556b4b291f7f3b466b5f02b5c;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;webpack::::.github/workflows/test.yml::::jobs::::unit::::steps::::steps_1::::with::::node-version::::16.8.0 <-> webpack::::azure-pipelines.yml::::jobs::::jobs_3::::strategy::::matrix::::node-16-a::::node_version::::16.8.0;azure-pipelines.yml;webpack::::azure-pipelines.yml::::jobs::::jobs_3::::strategy::::matrix::::node-16-a::::node_version(location: 192);git show 54985f61497cae5247105025289b30e5185230b7 -- azure-pipelines.yml;yes;option;same option
54985f61497cae5247105025289b30e5185230b7;6afed1216b418f3936be55f44a3f69bc02ef9c56;03c3d48a531ca90268b74002e39dfd18;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;webpack::::.github/workflows/test.yml::::jobs::::lint::::steps::::steps_1::::with::::node-version::::16.8.0 <-> webpack::::azure-pipelines.yml::::jobs::::jobs_4::::strategy::::matrix::::node-16-b::::node_version::::16.8.0;azure-pipelines.yml;webpack::::azure-pipelines.yml::::jobs::::jobs_4::::strategy::::matrix::::node-16-b::::node_version(location: 257);git show 54985f61497cae5247105025289b30e5185230b7 -- azure-pipelines.yml;yes;option;same option
54985f61497cae5247105025289b30e5185230b7;6afed1216b418f3936be55f44a3f69bc02ef9c56;393b1c9254c99c3b7724a27df3a0e173;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;webpack::::.github/workflows/test.yml::::jobs::::unit::::steps::::steps_1::::with::::node-version::::16.8.0 <-> webpack::::azure-pipelines.yml::::jobs::::jobs_4::::strategy::::matrix::::node-16-a::::node_version::::16.8.0;azure-pipelines.yml;webpack::::azure-pipelines.yml::::jobs::::jobs_4::::strategy::::matrix::::node-16-a::::node_version(location: 254);git show 54985f61497cae5247105025289b30e5185230b7 -- azure-pipelines.yml;yes;option;same option
54985f61497cae5247105025289b30e5185230b7;6afed1216b418f3936be55f44a3f69bc02ef9c56;3f8bb2e4224dbbea40bd35e2163cfe19;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;webpack::::.github/workflows/test.yml::::jobs::::lint::::steps::::steps_1::::with::::node-version::::16.8.0 <-> webpack::::azure-pipelines.yml::::jobs::::jobs_0::::steps::::steps_0::::inputs::::versionSpec::::16.8.0;azure-pipelines.yml;webpack::::azure-pipelines.yml::::jobs::::jobs_0::::steps::::steps_0::::inputs::::versionSpec(location: 11);git show 54985f61497cae5247105025289b30e5185230b7 -- azure-pipelines.yml;no;different options;obvious no conflict
54985f61497cae5247105025289b30e5185230b7;6afed1216b418f3936be55f44a3f69bc02ef9c56;d4538c012889dbdebe88ad408815f96a;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;webpack::::.github/workflows/test.yml::::jobs::::lint::::steps::::steps_1::::with::::node-version::::16.8.0 <-> webpack::::azure-pipelines.yml::::jobs::::jobs_3::::strategy::::matrix::::node-16-b::::node_version::::16.8.0;azure-pipelines.yml;webpack::::azure-pipelines.yml::::jobs::::jobs_3::::strategy::::matrix::::node-16-b::::node_version(location: 195);git show 54985f61497cae5247105025289b30e5185230b7 -- azure-pipelines.yml;yes;option;same option
54985f61497cae5247105025289b30e5185230b7;6afed1216b418f3936be55f44a3f69bc02ef9c56;3f8c242323fcdbd7cde13e394e2b9808;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;webpack::::.github/workflows/test.yml::::jobs::::basic::::steps::::steps_1::::with::::node-version::::16.8.0 <-> webpack::::azure-pipelines.yml::::jobs::::jobs_2::::strategy::::matrix::::node-16-a::::node_version::::16.8.0;azure-pipelines.yml;webpack::::azure-pipelines.yml::::jobs::::jobs_2::::strategy::::matrix::::node-16-a::::node_version(location: 128);git show 54985f61497cae5247105025289b30e5185230b7 -- azure-pipelines.yml;yes;option;same option
