id;creationdate;score;title;tags;note
39331665;05.09.2016 13:27;8;Permission denied for protoc on maven build in Teamcity;<maven><ubuntu><docker><teamcity><docker-compose>;nothing found
52120845;2018-08-31 18:16:34.017;7;Docker-compose - build with maven that re-uses the maven repository;<maven><docker><docker-compose>;executable name, port dependency docker-compose and docker, copying files in dockerfile
45063118;12.07.2017 16:27;6;docker-compose build download few pom dependencies each time;<maven><heroku><docker-compose><dockerfile><dropwizard>;internal port dependency docker-compose
39977955;11.10.2016 13:06;4;How to mount docker volume into my docker project using compose?;<maven><docker><docker-compose>;nothing found
58681074;03.11.2019 14:23;4;Development workflow for Spring Boot + Maven + Docker + IntelliJ;<java><maven><docker><intellij-idea><docker-compose>;internal port dependency docker-compose
46387862;2017-09-24 07:53:45.073;3;Fabric8 Docker Maven plugin not working for compose.yml on Multi module project;<maven><docker><docker-compose><dockerfile><fabric8>;executable name, port dependency docker-compose and docker, internal port dependency docker-compose, internal docker dependency
49071113;02.03.2018 14:26;3;Integration Testing against a service in docker;<java><maven><unit-testing><docker><docker-compose>;nothing found
44242091;29.05.2017 12:06;3;Docker | How to build and deploy war file in jboss container hosted in Docker;<maven><docker><jboss><docker-compose>;exectuable name
41411593;2016-12-31 20:43:34.057;3;Install Docker in container for use by GitLab CI build;<maven><docker><gitlab><docker-compose><gitlab-ci>;docker service and commands (yaml file)
35594188;2016-02-24 05:44:39.027;3;How do I run JUnit tests in a Docker container and have the container fail startup when JUnit fails?;<maven><junit><docker><continuous-integration><docker-compose>;nothing found
50805431;11.06.2018 20:20;2;How to set environment variables for a java project running through docker?;<java><maven><docker><docker-compose><dockerfile>;nothing found
53106535;01.11.2018 17:40;2;"Unable to build docker image due to failed to process ""${project.artifactId}"": missing ':' in substitution";<maven><docker><docker-compose><dockerfile>;executable name, internal docker dependency
46719537;12.10.2017 22:00;2;Maven child module failing to find parent pom/artifact within image built with Docker;<java><maven><docker><docker-compose><dockerfile>;nothing found
57318429;02.08.2019 00:06;2;How to deploy maven multi-module spring boot to docker container;<maven><spring-boot><docker><docker-compose><multi-module>;nothing found
57464720;12.08.2019 16:15;2;How to use maven local repository in Multi-stage docker build?;<java><maven><docker-compose><dockerfile><docker-multi-stage-build>;nothing found
45981735;31.08.2017 12:42;2;How to use maven-docker on development-environment to avoid repeated download jars?;<java><maven><docker><docker-compose><development-environment>;exectuable name, copying files in dockerfile, internal port dependency docker-compose, database credentials
68478399;22.07.2021 02:22;1;Passing parameters in docker-compose and into POM;<java><docker><maven><docker-compose><dockerfile>;nothing found
44890034;03.07.2017 16:11;1;how to use docker-compose and maven snaphot dependencies from external repos;<java><maven><docker><docker-compose><snapshot>;nothing found
68014528;17.06.2021 07:09;1;Unable to reach tomcat, war file not deployed while integrating with docker;<postgresql><maven><tomcat><docker-compose><war-filedeployment>;internal port dependency docker-compose, port dependency docker and docker-compose, database credentials
44953686;06.07.2017 15:52;1;Configure Docker container for spring boot micro services;<java><maven><docker><spring-boot><docker-compose>;nothing found
56599603;14.06.2019 13:52;1;SpringBoot project, Environment Variable in application.yml always empty;<maven><spring-boot><docker-compose><environment-variables>;nothing found
57321812;02.08.2019 07:32;1;JIra container cannot find postgresql when run with mvn-docker plugin;<postgresql><maven><docker><docker-compose><jira>;nothing found
68703466;08.08.2021 18:04;1;Run spring boot docker image with a different configuration in docker compose;<spring-boot><docker><maven><docker-compose>;nothing found
59085091;28.11.2019 09:02;1;Execute mvn clean install before docker-compose commands;<maven><spring-boot><docker><compilation><docker-compose>;exectuable name, internal port dependency docker-compose, port dependency docker and docker-compose, internal docker dependency
60709358;16.03.2020 16:06;1;Parse environment variables in dockerfile entrypoint for mvn spring-boot:run;<spring-boot><maven><docker><docker-compose>;database credentials
47364417;18.11.2017 09:18;1;How to set value from Maven to Docker Compose File;<java><maven><docker-compose><maven-plugin>;nothing found
39739271;28.09.2016 06:10;1;Mount volume not working in docker;<maven><docker><docker-compose><mount>;nothing found
64511717;24.10.2020 09:05;1;Dockerfile can't build app with Maven - No goals specified for this build;<spring><spring-boot><docker><maven><docker-compose>;executable name, copying files in dockerfile, internal port dependeny docker-compose, internal docker dependency
50932259;19.06.2018 15:41;1;Spring Boot and Docker-compose setting arguments;<java><maven><docker><spring-boot><docker-compose>;executable name, internal port dependency docker-compose, port dependency docker and docker-compose, internal docker dependency
52707667;08.10.2018 17:52;1;Docker-Compose - Control docker-compose execution order;<java><maven><docker><spring-boot><docker-compose>;executable name, internal port dependency docker-compose, port dependency docker and docker-compose, internal docker dependency
54315830;22.01.2019 20:15;1;Gitlab CICD - Run a mvn clean install before building a docker container;<maven><spring-boot><docker><docker-compose><centos7>;docker service and commands (yaml file)
54700920;15.02.2019 00:01;1;Is it possible to use a local Docker image in a docker-compose file for DockerComposeContainer?;<java><maven><docker><docker-compose><testcontainers>;executable name, copying files in dockerfile
