id;creationdate;score;title;tags;note
27767264;04.01.2015 15:48;113;How to dockerize maven project? and how many ways to accomplish it?;<java><maven><docker>;copying files in dockerfile, executable name, internal docker dependency, port dependency docker and spring boot, internal docker dependency
42208442;2017-02-13 16:06:04.087;53;Maven docker cache dependencies;<java><docker><maven><caching><dockerfile>;copying files in dockerfile, exectubale name
31696439;29.07.2015 09:28;51;How to build a docker container for a Java application;<java><maven><gradle><docker><dockerfile>;executable name, internal docker dependency, port dependency, internal docker dependency
27749193;2015-01-02 22:08:43.030;31;How to build Docker Images with Dockerfile behind HTTP_PROXY by Jenkins?;<git><maven><npm><docker><dockerfile>;copying files in dockerfile
30252532;15.05.2015 05:59;27;Correct way to deploy WAR files in docker image;<java><maven><jetty><docker><dockerfile>;executable name
35549854;22.02.2016 09:22;19;maven package docker:build - connection refused;<java><maven><docker>;nothing found
34748584;2016-01-12 16:15:16.093;18;What is happening when docker-maven plugin tries to build image?;<maven><plugins><jenkins><permissions><docker>;nothing found
36234088;26.03.2016 10:13;16;How do I point a docker image to my .m2 directory for running maven in docker on a mac?;<linux><macos><maven><docker><vagrant>;exectuable name, port dependency, internal port dependency docker-compose
46831762;19.10.2017 14:02;16;Maven build and maven-failsafe-plugin - The forked VM terminated without properly saying goodbye;<java><maven><docker><windows-10><maven-surefire-plugin>;nothing found
39487399;14.09.2016 09:49;15;DOCKER_HOST environment variable on windows;<java><windows><maven><docker>;nothing found
27342154;07.12.2014 11:25;15;Using Docker in development for Java EE applications;<java><maven><jakarta-ee><jboss><docker>;nothing found
46670582;10.10.2017 15:30;14;"Docker->Maven->Failsafe->Surefire starting fork fails with ""The forked VM terminated without properly saying goodbye. VM crash or System.exit called?""";<java><maven><docker><containers><maven-surefire-plugin>;nothing found
34203179;10.12.2015 13:28;12;fetch all maven dependencies including plugin dependencies;<maven><docker>;copying files in dockerfile
49578847;30.03.2018 17:37;11;Maven error occurred in starting fork, check output in log;<maven><docker><spring-boot><windows-10><maven-surefire-plugin>;nothing found
46052711;05.09.2017 10:25;11;extend jenkins image to install maven;<maven><docker><jenkins><dockerfile><docker-container>;nothing found
53691781;2018-12-09 11:21:04.030;10;How to cache maven dependencies in Docker;<java><maven><docker>;excetuable name, copying files in dockerfile
31079375;26.06.2015 17:58;9;Unable to run docker image - no main manifest attribute, in app.jar;<java><maven><docker>;nothing found
46713288;12.10.2017 15:19;9;Maven inside docker container horribly slow;<macos><performance><maven><docker>;nothing found
46940191;25.10.2017 19:02;9;docker.exe: invalid reference format;<windows><maven><docker>;nothing found
57581943;20.08.2019 21:48;9;#NAME?;<maven><docker><dockerfile><docker-build>;copying files in dockerfile
47969389;25.12.2017 14:12;9;How can I cache Maven dependencies and plugins in a Docker Multi Stage Build Layer?;<maven><docker><build><dockerfile><docker-multi-stage-build>;nothing found
35132568;2016-02-01 14:06:42.070;9;Caching Jar dependencies for Maven-based Docker builds;<maven><docker><dependencies><dockerfile>;nothing found
39331665;05.09.2016 13:27;8;Permission denied for protoc on maven build in Teamcity;<maven><ubuntu><docker><teamcity><docker-compose>;nothing found
44919972;05.07.2017 07:44;8;Deploying Spring WAR to Tomcat-based docker;<java><spring><maven><tomcat><docker>;execetuable name
42278216;16.02.2017 15:31;8;Run a maven webapp in a docker container;<maven><docker><tomcat7>;copying files in dockerfile
55353804;26.03.2019 09:35;8;How to automate Maven and Java JDK8 installation with groovy for Jenkins?;<java><maven><docker><jenkins><groovy>;nothing found
47708983;08.12.2017 06:37;8;Build docker image without docker installed;<maven><docker><build>;nothing found
34815411;15.01.2016 16:19;8;Docker maven plugin ClientProtocolException (Windows 10 using Docker Toolbox);<java><maven><docker><spotify><docker-toolbox>;nothing found
55346431;2019-03-25 21:08:13.040;8;How to fix JAVAX runtime error on JDK11 Tomcat9 Spring Application;<java><spring><maven><docker><tomcat>;nothing found
39924530;07.10.2016 19:27;7;Spotify docker-maven-plugin unauthorized: authentication required public repo;<maven><docker><maven-plugin><spotify><docker-registry>;nothing found
36389982;2016-04-03 19:18:02.020;7;Docker Maven Spotify plugin - Possible to switch to non-secure registry;<maven><docker><maven-plugin><spotify><docker-registry>;nothing found
55104543;11.03.2019 14:50;7;How to cache local Maven repository using Docker with Pipelines?;<maven><docker><jenkins><jenkins-pipeline>;nothing found
52120845;2018-08-31 18:16:34.017;7;Docker-compose - build with maven that re-uses the maven repository;<maven><docker><docker-compose>;executable name, port dependency docker and docker-compose, Docker-Compose specifies Dockerfile, internal docker dependency
49395983;20.03.2018 23:53;7;Downloading all dependencies for Maven test;<maven><docker>;copying files in dockerfile
50948581;20.06.2018 12:43;7;Access to outside of context in Dockerfile;<java><maven><docker>;internal port dependency docker and docker compose
59747862;15.01.2020 08:54;7;"Docker build fails ""COPY failed: no source files were specified""";<maven><docker>;exectuable name, copying files in dockerfile, internal docker dependency
33381235;28.10.2015 01:08;7;Download all dependencies, plugin dependencies, compilers, etc. with Maven?;<maven><docker><gatling>;copying files in dockerfile
47776984;12.12.2017 16:13;7;Error pushing docker hub using spotify/dockerfile-maven-plugin;<java><maven><docker><dockerhub><maven-docker-plugin>;nothing found
39527236;16.09.2016 08:46;7;Jenkins pipeline script exit status -1 for docker maven image;<maven><docker><jenkins><jenkins-pipeline>;nothing found
52188457;05.09.2018 15:11;7;GitLab-CI get pom version in pipeline;<maven><docker><gitlab><gitlab-ci>;nothing found
56284845;24.05.2019 01:42;7;Skip maven deploy for one module;<java><maven><spring-boot><docker><spotify-docker-client>;nothing found
32614762;16.09.2015 17:12;7;Installing maven in a docker build overrides JAVA 8 with JAVA 7(!);<maven><docker><dockerfile>;nothing found
38179626;04.07.2016 08:04;7;Cannot (apt-get) install packages inside docker;<maven><docker><apt-get>;nothing found
58402441;15.10.2019 20:47;6;Docker Multimodule Maven Build - Copy All POM Files to Appropriate Directories;<java><maven><docker>;copying files in dockerfile
51679363;03.08.2018 19:57;6;multi-module Maven project on Dockers;<java><maven><docker><pom.xml><microservices>;executable name, copying files in dockerfile, port dependency docker and docker-compose, internal docker dependency
45660774;13.08.2017 13:18;6;Mounting Maven Repository to Docker;<java><maven><docker><dockerfile><docker-build>;nothing found
63492180;19.08.2020 17:33;6;spring-boot-maven-plugin:build-image fails with 400 Bad Request;<spring-boot><docker><maven>;nothing found
28078524;21.01.2015 23:03;6;Docker - maven connect to specific repository in runtime;<java><xml><maven><docker>;copying files in dockerfile
45685232;15.08.2017 01:20;6;Dynamically get JAR filename in DockerFile;<maven><docker><jar><dockerfile>;nothing found
35450248;17.02.2016 07:19;6;Can't connect to mySql docker container with JDBC;<java><mysql><maven><jdbc><docker>;nothing found
65437831;24.12.2020 11:42;6;Multi Module Maven Project and Docker: Cannot find artifact?;<java><docker><maven><dependencies><pom.xml>;copying files in dockerfile
51801388;11.08.2018 15:54;6;How to connect persistent storage to Google Cloud Build?;<maven><docker><google-cloud-storage><google-cloud-build>;nothing found
37191662;12.05.2016 15:42;6;Cannot push to remote repo using the (spotify) Docker maven plugin;<maven><docker><spring-boot>;nothing found
32015945;14.08.2015 17:49;6;How to set maven options to run for release or snapshot;<java><maven><jenkins><docker><maven-release-plugin>;nothing found
56269584;23.05.2019 06:54;5;Maven build download artefacts connection slow/reset when running inside a Docker Container on Azure;<java><azure><maven><docker>;nothing found
38692481;01.08.2016 06:43;5;Write to file in Java App running on Docker;<java><maven><docker>;copying files in dockerfile
60711034;16.03.2020 18:02;5;Read txt file from resources folder on maven Quarkus project From Docker Container;<java><maven><docker><dockerfile><quarkus>;executable name
60522767;04.03.2020 09:25;5;docker build with maven - how to prevent re-downloading dependencies;<java><maven><docker>;copying files in dockerfile, executable name
54202708;15.01.2019 16:12;5;Docker on ARM extremely slow;<maven><docker><arm>;nothing found
54194249;2019-01-15 07:18:02.083;5;Where to store settings.xml for maven in docker based GitLab CI setup;<maven><docker><gitlab><gitlab-ci>;nothing found
36842719;25.04.2016 13:57;5;Docker Automated build downloading private jars from a Maven Sonatype Nexus repository;<java><maven><docker><nexus><continuous-deployment>;nothing found
55956323;02.05.2019 16:06;5;How does the Jenkins config file provider plugin work?;<maven><docker><jenkins>;nothing found
52933220;22.10.2018 15:49;5;Failed to execute goal com.spotify:dockerfile-maven-plugin:1.3.6:build on project 'foo': Could not build image:;<java><maven><docker><spring-boot>;internal port dependency dc
61226664;15.04.2020 10:35;5;Build docker error /bin/sh: 1: ./mvnw: not found;<docker><maven>;executable name
44667063;21.06.2017 04:49;5;Docker and Eureka with Spring Boot failing to register clients;<java><spring><maven><docker><spring-boot>;internal port dependency dc
51714101;06.08.2018 19:04;5;Maven skip deploy & push only Docker images;<maven><docker>;nothing found
38293073;10.07.2016 14:42;5;Do not download all Maven dependencies on a Docker build;<maven><docker>;copying files in dockerfile
40898608;30.11.2016 21:32;5;Caching Maven parent in offline build;<java><maven><docker>;copying files in dockerfile
42903354;20.03.2017 12:15;4;Jenkinsfile maven plugin inside a docker container;<java><maven><docker><jenkins><artifactory>;nothing found
49631630;03.04.2018 13:40;4;Dockerfile maven plugin not working;<maven><docker>;nothing found
34713722;11.01.2016 03:21;4;Running docker as non-root user OR running jenkins on tomcat as root user;<maven><tomcat><jenkins><docker><devops>;nothing found
62291853;09.06.2020 21:06;4;Permission denied when executing mvn from inside docker container of official maven image;<linux><docker><maven>;nothing found
52768974;11.10.2018 21:10;4;docker-maven-plugin: how do I pass environment variable from `docker run ... -e <value>` to build or run step?;<maven><docker><environment-variables><docker-maven-plugin>;nothing found
58681074;03.11.2019 14:23;4;Development workflow for Spring Boot + Maven + Docker + IntelliJ;<java><maven><docker><intellij-idea><docker-compose>;internal port dependency dc
58703508;05.11.2019 02:09;4;jib-maven spring boot profile;<maven><spring-boot><docker><environment><jib>;nothing found
52798237;13.10.2018 23:31;4;How can I optimize docker builds of multiple, related maven java projects? (caching);<java><maven><docker>;nothing found
47224781;10.11.2017 14:16;4;Share local maven repository to agents in Jenkins Pipeline;<maven><docker><jenkins-pipeline>;nothing found
57198251;25.07.2019 09:09;4;Docker with Maven and Tomcat;<java><maven><docker><tomcat>;copying files in dockerfile, internal port dependency dc
52892488;2018-10-19 12:37:00.097;4;Maven/Docker: cache all dependencies;<maven><docker><spring-boot>;copying files in dockerfile
38972644;16.08.2016 10:34;4;Spotify docker maven build multiple images;<java><maven><docker><spotify>;nothing found
44589875;16.06.2017 12:59;4;I am trying to perform mvn install from Dockerfile but it is not working says mvn not found;<maven><docker><build>;nothing found
55405383;28.03.2019 19:20;4;Jenkins: How to use JUnit plugin when Maven builds occur within Docker container;<maven><docker><jenkins><automated-tests><jenkins-pipeline>;executable name
35905590;10.03.2016 00:49;4;Dockerizing a maven app that uses oracle-ojdbc: How do you get the driver in there?;<java><oracle><maven><docker>;nothing found
39977955;11.10.2016 13:06;4;How to mount docker volume into my docker project using compose?;<maven><docker><docker-compose>;nothing found
40522967;10.11.2016 08:26;4;"Maven install-file not effective in GitLab/Docker: ""could not resolve dependencies for project""";<java><maven><docker><gitlab>;copying files in dockerfile
59483201;26.12.2019 02:08;4;Docker - multi stage build with multi-module Maven project;<java><docker><maven><caching><maven-dependency-plugin>;nothing found
47302658;15.11.2017 08:31;4;How can I use Jar produced by mvn package in another Jenkins declarative pipeline stage?;<java><maven><docker><jenkins><devops>;executable name, internal docker dependency
50610998;30.05.2018 18:07;4;/BOOT-INF/classes (No such file or directory) on spring boot java project;<java><maven><docker><spring-boot><jersey-2.0>;nothing found
39240560;31.08.2016 04:06;4;Spring boot with docker unable to find valid certification path to requested target error;<spring><maven><docker><spring-boot>;executable name, port dependency docker and docker-compose, internal docker dependency
36429949;05.04.2016 14:55;4;IntelliJ: use docker jvm or docker maven?;<java><maven><intellij-idea><docker><ide>;nothing found
