id;creationdate;score;title;tags;note
62246824;07.06.2020 14:29;26;"Error [ERR_PACKAGE_PATH_NOT_EXPORTED]: No ""exports"" main resolved in /app/node_modules/@babel/helper-compilation-targets/package.json";<node.js><docker><travis-ci><nuxt.js>;docker service and commands used in travis
26098531;29.09.2014 11:11;20;Can travis-ci run docker?;<docker><travis-ci>;nothing found
32866599;30.09.2015 12:51;20;Can Travis CI cache docker images?;<caching><docker><travis-ci>;nothing found
35837905;07.03.2016 06:58;13;Running Travis locally using docker;<docker><containers><travis-ci>;nothing found
35305492;10.02.2016 01:45;13;Cache docker images on Travis CI;<performance><caching><docker><continuous-integration><travis-ci>;nothing found
55361762;26.03.2019 16:17;13;apt-get update fails with 404 in a previously working build;<docker><travis-ci><debian-jessie>;nothing found
34710513;10.01.2016 20:39;12;How can I update full description on Docker Hub automatically?;<docker><travis-ci><docker-registry><dockerhub>;docker service and commands used in travis
62114945;31.05.2020 10:38;11;AttributeError: 'ParsedRequirement' object has no attribute 'req';<python><docker><travis-ci>;nothing found
32535195;12.09.2015 04:36;9;How to run tests on CentOS 7 with Travis-CI?;<docker><travis-ci>;docker service and commands used in travis
56029398;07.05.2019 19:37;8;Zef fails to install JSON::Fast when running in Travis with Docker;<docker><travis-ci><raku><zef>;docker service and commands used in travis
27254312;02.12.2014 16:32;7;Download Github build artifact (release) using wget/curl;<curl><github><docker><wget><travis-ci>;nothing found
50551277;27.05.2018 10:36;6;Could not parse .travis.yml;<docker><travis-ci><aws-ecs>;nothing found
33132868;14.10.2015 18:24;6;Continuous Deployment Using Travis CI and Docker;<docker><travis-ci><continuous-deployment>;nothing found
38398135;15.07.2016 14:05;6;Error starting docker postgres on travis-;<docker><travis-ci><docker-compose>;database credentials, internal port dependency docker-compose
43760865;03.05.2017 13:02;6;What is the optimal way to store data-files for testing using travis-ci + Docker?;<testing><docker><automated-tests><travis-ci>;nothing found
35222589;05.02.2016 11:06;5;Install package on Travis-ci with sudo:false;<docker><travis-ci>;nothing found
38133107;30.06.2016 20:56;5;Travis-CI: docker image as build environment;<docker><travis-ci><gitlab-ci>;docker service and commands used in travis
37335910;19.05.2016 23:57;5;How to speed up CI build times when using docker?;<node.js><jenkins><docker><continuous-integration><travis-ci>;nothing found
47994152;27.12.2017 14:47;5;How to automate Multi-Arch-Docker Image builds;<docker><github><travis-ci><dockerhub>;nothing found
48304204;17.01.2018 15:09;4;using docker image in travis ci (w/o Dockerfile or building a container);<docker><travis-ci><gitlab-ci>;docker service and commands used in travis
61546515;01.05.2020 16:27;4;AWS Elastic Beanstalk with docker incorrect version;<amazon-web-services><docker><amazon-elastic-beanstalk><travis-ci>;nothing found
38998245;17.08.2016 13:36;4;How to get all Travis CI environment variables, excluding the system defaults?;<docker><travis-ci>;docker service and commands used in travis
33068097;11.10.2015 17:41;4;How to get Docker host IP on Travis CI?;<ruby-on-rails><docker><chef-infra><travis-ci>;database credentials, internal port dependency docker-compose, docker service and commands used in travis
55240542;19.03.2019 11:58;4;Run coverage test in a docker container;<django><docker><dockerfile><travis-ci><coverage.py>;docker service and commands used in travis, copying filed in dockerfile, database credentials, internal port dependency in docker-compose
61462646;27.04.2020 15:40;4;unable to deploy docker application in elasticbeanstalk using travis ci;<amazon-web-services><docker><github><amazon-elastic-beanstalk><travis-ci>;nothing found
40280924;2016-10-27 09:26:42.050;4;How to build my docker (nodejs) container in travis and run in production;<node.js><docker><travis-ci>;nothing found
36683647;18.04.2016 00:16;4;How to upload docker container logs from TRAVIS CI to remote machine?;<docker><travis-ci><logfile>;nothing found
