id;creationdate;score;title;tags;notes
62246824;07.06.2020 14:29;26;"Error [ERR_PACKAGE_PATH_NOT_EXPORTED]: No ""exports"" main resolved in /app/node_modules/@babel/helper-compilation-targets/package.json";<node.js><docker><travis-ci><nuxt.js>;nothing found
26098531;29.09.2014 11:11;20;Can travis-ci run docker?;<docker><travis-ci>;nothing found
32866599;30.09.2015 12:51;20;Can Travis CI cache docker images?;<caching><docker><travis-ci>;nothing found
35837905;07.03.2016 06:58;13;Running Travis locally using docker;<docker><containers><travis-ci>;nothing found
35305492;10.02.2016 01:45;13;Cache docker images on Travis CI;<performance><caching><docker><continuous-integration><travis-ci>;nothing found
55361762;26.03.2019 16:17;13;apt-get update fails with 404 in a previously working build;<docker><travis-ci><debian-jessie>;nothing found
34710513;10.01.2016 20:39;12;How can I update full description on Docker Hub automatically?;<docker><travis-ci><docker-registry><dockerhub>;nothing found
62114945;31.05.2020 10:38;11;AttributeError: 'ParsedRequirement' object has no attribute 'req';<python><docker><travis-ci>;nothing found
32535195;12.09.2015 04:36;9;How to run tests on CentOS 7 with Travis-CI?;<docker><travis-ci>;nothing found
56029398;07.05.2019 19:37;8;Zef fails to install JSON::Fast when running in Travis with Docker;<docker><travis-ci><raku><zef>;nothing found
27254312;02.12.2014 16:32;7;Download Github build artifact (release) using wget/curl;<curl><github><docker><wget><travis-ci>;nothing found
50551277;27.05.2018 10:36;6;Could not parse .travis.yml;<docker><travis-ci><aws-ecs>;nothing found
33132868;14.10.2015 18:24;6;Continuous Deployment Using Travis CI and Docker;<docker><travis-ci><continuous-deployment>;nothing found
38398135;15.07.2016 14:05;6;Error starting docker postgres on travis-;<docker><travis-ci><docker-compose>;database credentials
43760865;03.05.2017 13:02;6;What is the optimal way to store data-files for testing using travis-ci + Docker?;<testing><docker><automated-tests><travis-ci>;nothing found
35222589;05.02.2016 11:06;5;Install package on Travis-ci with sudo:false;<docker><travis-ci>;nothing found
38133107;30.06.2016 20:56;5;Travis-CI: docker image as build environment;<docker><travis-ci><gitlab-ci>;nothing found
37335910;19.05.2016 23:57;5;How to speed up CI build times when using docker?;<node.js><jenkins><docker><continuous-integration><travis-ci>;nothing found
47994152;27.12.2017 14:47;5;How to automate Multi-Arch-Docker Image builds;<docker><github><travis-ci><dockerhub>;nothing found
48304204;17.01.2018 15:09;4;using docker image in travis ci (w/o Dockerfile or building a container);<docker><travis-ci><gitlab-ci>;nothing found
61546515;01.05.2020 16:27;4;AWS Elastic Beanstalk with docker incorrect version;<amazon-web-services><docker><amazon-elastic-beanstalk><travis-ci>;nothing found
38998245;17.08.2016 13:36;4;How to get all Travis CI environment variables, excluding the system defaults?;<docker><travis-ci>;nothing found
33068097;11.10.2015 17:41;4;How to get Docker host IP on Travis CI?;<ruby-on-rails><docker><chef-infra><travis-ci>;database credentials
55240542;19.03.2019 11:58;4;Run coverage test in a docker container;<django><docker><dockerfile><travis-ci><coverage.py>;config artifact, database credentials
61462646;27.04.2020 15:40;4;unable to deploy docker application in elasticbeanstalk using travis ci;<amazon-web-services><docker><github><amazon-elastic-beanstalk><travis-ci>;nothing found
40280924;2016-10-27 09:26:42.050;4;How to build my docker (nodejs) container in travis and run in production;<node.js><docker><travis-ci>;nothing found
36683647;18.04.2016 00:16;4;How to upload docker container logs from TRAVIS CI to remote machine?;<docker><travis-ci><logfile>;nothing found
35203169;04.02.2016 14:06;4;Caching a single file on Travis CI;<docker><travis-ci>;nothing found
61315231;20.04.2020 04:39;3;Is it possible to use Access Tokens to login & push images to Docker Hub from Travis CI?;<docker><github><travis-ci><dockerhub>;nothing found
65241546;10.12.2020 20:05;3;Mounted Docker volume has different ownership when using Travis;<docker><travis-ci>;nothing found
39432668;11.09.2016 03:48;3;Travis Multi-Architecture Buiilds;<docker><travis-ci>;nothing found
57178788;24.07.2019 08:44;3;Docker build fails for ARM images;<linux><docker><travis-ci><multiarch>;nothing found
44546320;14.06.2017 13:31;3;Error while changing hostname inside docker container;<docker><centos><ansible><travis-ci>;nothing found
37721572;09.06.2016 09:11;3;Using a Docker image to build and deploy as part of a build matrix;<docker><travis-ci>;nothing found
41635824;13.01.2017 13:33;3;Travis Docker Image missing Python 3.5;<python><docker><travis-ci>;nothing found
41958888;2017-01-31 13:30:36.000;3;"No executable found matching command ""dotnet-/../.dll"" when running dotnet core docker image in Azure Web App on Linux";<c#><azure><docker><travis-ci><.net-core>;nothing found
30105976;07.05.2015 15:49;3;Deploy Docker from Travis to AWS (or any other SSH able server);<amazon-web-services><docker><travis-ci>;nothing found
40441477;05.11.2016 18:00;3;TravisCI Docker Permissions;<php><docker><file-permissions><travis-ci>;nothing found
36186848;23.03.2016 19:16;2;Install later version of docker-engine stuck on Travis build;<docker><installation><automated-tests><build-automation><travis-ci>;nothing found
56109647;13.05.2019 09:40;2;Local testing of Perl repository using Travis CI (with docker);<perl><docker><travis-ci><travis-ci-cli>;nothing found
55086850;10.03.2019 10:42;2;Kubectl: command not found on travis ci;<docker><kubernetes><travis-ci><gcloud>;nothing found
62344636;12.06.2020 12:49;2;Deploy to Digital Ocean Droplet from travis;<docker><travis-ci><digital-ocean>;nothing found
36684631;18.04.2016 02:38;2;How to do a custom deploy using ssh with Travis CI?;<linux><ssh><docker><continuous-integration><travis-ci>;node version
62996384;20.07.2020 13:23;2;Failed to deploy multi-container app to Heroku via Travis CI;<docker><heroku><containers><travis-ci><heroku-cli>;database credentials
50527400;25.05.2018 10:44;2;How to save immediately dockers images created in multi-stage docker?;<docker><travis-ci>;config artifact
45435019;01.08.2017 10:11;2;Pipeline GitHub -> Travis CI -> Docker;<docker><automated-tests><travis-ci>;nothing found
49932954;20.04.2018 02:23;2;Why is the COPY instruction causing a cache miss in my Docker build;<docker><haskell><travis-ci><haskell-stack>;nothing found
43236590;05.04.2017 16:18;2;"What causes this intermittent nix-build failure with error ""Too many levels of symbolic links""?";<python><docker><travis-ci><nix>;nothing found
55646181;12.04.2019 07:02;2;(Django) How to run test suite in Travis CI;<python><django><docker><docker-compose><travis-ci>;database credentials, config artifact, internal docker
55690941;15.04.2019 14:03;2;Travis docker build to AWS ec2 docker;<amazon-web-services><spring-boot><docker><amazon-ec2><travis-ci>;executable name, port, internal docker
